date,year,month,-999,cr_-999,nr_-999,activism,cr_activism,nr_activism,arrest,cr_arrest,nr_arrest,censor,cr_censor,nr_censor,cooperate,cr_cooperate,nr_cooperate,corruption,cr_corruption,nr_corruption,coup,cr_coup,nr_coup,defamationcase,cr_defamationcase,nr_defamationcase,disaster,cr_disaster,nr_disaster,electionactivity,cr_electionactivity,nr_electionactivity,electionirregularities,cr_electionirregularities,nr_electionirregularities,legalaction,cr_legalaction,nr_legalaction,legalchange,cr_legalchange,nr_legalchange,martiallaw,cr_martiallaw,nr_martiallaw,mobilizesecurity,cr_mobilizesecurity,nr_mobilizesecurity,protest,cr_protest,nr_protest,purge,cr_purge,nr_purge,raid,cr_raid,nr_raid,threaten,cr_threaten,nr_threaten,violencelethal,cr_violencelethal,nr_violencelethal,violencenonlethal,cr_violencenonlethal,nr_violencenonlethal,-999Norm,cr_-999Norm,nr_-999Norm,activismNorm,cr_activismNorm,nr_activismNorm,arrestNorm,cr_arrestNorm,nr_arrestNorm,censorNorm,cr_censorNorm,nr_censorNorm,cooperateNorm,cr_cooperateNorm,nr_cooperateNorm,corruptionNorm,cr_corruptionNorm,nr_corruptionNorm,coupNorm,cr_coupNorm,nr_coupNorm,defamationcaseNorm,cr_defamationcaseNorm,nr_defamationcaseNorm,disasterNorm,cr_disasterNorm,nr_disasterNorm,electionactivityNorm,cr_electionactivityNorm,nr_electionactivityNorm,electionirregularitiesNorm,cr_electionirregularitiesNorm,nr_electionirregularitiesNorm,legalactionNorm,cr_legalactionNorm,nr_legalactionNorm,legalchangeNorm,cr_legalchangeNorm,nr_legalchangeNorm,martiallawNorm,cr_martiallawNorm,nr_martiallawNorm,mobilizesecurityNorm,cr_mobilizesecurityNorm,nr_mobilizesecurityNorm,protestNorm,cr_protestNorm,nr_protestNorm,purgeNorm,cr_purgeNorm,nr_purgeNorm,raidNorm,cr_raidNorm,nr_raidNorm,threatenNorm,cr_threatenNorm,nr_threatenNorm,violencelethalNorm,cr_violencelethalNorm,nr_violencelethalNorm,violencenonlethalNorm,cr_violencenonlethalNorm,nr_violencenonlethalNorm,total_articles
2012-01-01,2012,1,1141,246,895,2,2,0,15,6,9,0,0,0,14,5,9,9,6,3,0,0,0,0,0,0,4,2,2,18,14,4,5,5,0,29,14,15,27,11,16,0,0,0,3,2,1,18,9,9,4,2,2,0,0,0,10,4,6,14,4,10,13,5,8,0.784192439862543,0.1690721649484536,0.6151202749140894,0.0013745704467353,0.0013745704467353,0.0,0.010309278350515299,0.0041237113402061,0.0061855670103092,0.0,0.0,0.0,0.0096219931271476,0.0034364261168384,0.0061855670103092,0.0061855670103091,0.0041237113402061,0.002061855670103,0.0,0.0,0.0,0.0,0.0,0.0,0.0027491408934706,0.0013745704467353,0.0013745704467353,0.012371134020618398,0.0096219931271477,0.0027491408934707,0.0034364261168384,0.0034364261168384,0.0,0.019931271477663097,0.0096219931271477,0.0103092783505154,0.0185567010309277,0.0075601374570446,0.0109965635738831,0.0,0.0,0.0,0.0020618556701029,0.0013745704467353,0.0006872852233676,0.0123711340206184,0.0061855670103092,0.0061855670103092,0.0027491408934706,0.0013745704467353,0.0013745704467353,0.0,0.0,0.0,0.0068728522336768,0.0027491408934707,0.0041237113402061,0.0096219931271476,0.0027491408934707,0.0068728522336769,0.0089347079037799,0.0034364261168384,0.0054982817869415,333
2012-02-01,2012,2,901,216,685,0,0,0,13,2,11,1,0,1,21,18,3,13,9,4,1,1,0,0,0,0,22,4,18,41,36,5,9,9,0,16,8,8,13,7,6,0,0,0,4,3,1,10,6,4,10,7,3,1,1,0,6,3,3,19,12,7,24,15,9,0.702808112324493,0.1684867394695788,0.5343213728549142,0.0,0.0,0.0,0.010140405616224599,0.0015600624024961,0.0085803432137285,0.000780031201248,0.0,0.000780031201248,0.0163806552262089,0.0140405616224648,0.0023400936037441,0.0101404056162246,0.0070202808112324,0.0031201248049922,0.000780031201248,0.000780031201248,0.0,0.0,0.0,0.0,0.017160686427457002,0.0031201248049922,0.0140405616224648,0.0319812792511699,0.0280811232449297,0.0039001560062402,0.0070202808112324,0.0070202808112324,0.0,0.0124804992199688,0.0062402496099844,0.0062402496099844,0.0101404056162246,0.0054602184087363,0.0046801872074883,0.0,0.0,0.0,0.0031201248049921,0.0023400936037441,0.000780031201248,0.0078003120124804995,0.0046801872074883,0.0031201248049922,0.007800312012480401,0.0054602184087363,0.0023400936037441,0.000780031201248,0.000780031201248,0.0,0.0046801872074882,0.0023400936037441,0.0023400936037441,0.0148205928237129,0.0093603744149766,0.0054602184087363,0.0187207488299531,0.0117004680187207,0.0070202808112324,354
2012-03-01,2012,3,1111,339,772,1,0,1,16,6,10,2,1,1,31,17,14,7,4,3,3,3,0,0,0,0,7,3,4,63,55,8,8,8,0,14,7,7,17,7,10,0,0,0,4,3,1,20,12,8,6,4,2,1,0,1,11,9,2,21,4,17,25,18,7,0.6956793988728867,0.2122730118973074,0.4834063869755792,0.0006261740763932,0.0,0.0006261740763932,0.010018785222291701,0.0037570444583594,0.0062617407639323,0.0012523481527864,0.0006261740763932,0.0006261740763932,0.0194113963681903,0.010644959298685,0.0087664370695053,0.0043832185347526,0.0025046963055729,0.0018785222291797,0.0018785222291797,0.0018785222291797,0.0,0.0,0.0,0.0,0.0043832185347526,0.0018785222291797,0.0025046963055729,0.0394489668127738,0.034439574201628,0.0050093926111458,0.0050093926111458,0.0050093926111458,0.0,0.0087664370695052,0.0043832185347526,0.0043832185347526,0.0106449592986849,0.0043832185347526,0.0062617407639323,0.0,0.0,0.0,0.0025046963055729,0.0018785222291797,0.0006261740763932,0.0125234815278646,0.0075140889167188,0.0050093926111458,0.0037570444583593003,0.0025046963055729,0.0012523481527864,0.0006261740763932,0.0,0.0006261740763932,0.0068879148403255,0.0056355666875391,0.0012523481527864,0.0131496556042579,0.0025046963055729,0.010644959298685,0.0156543519098308,0.0112711333750782,0.0043832185347526,499
2012-04-01,2012,4,1183,333,850,3,3,0,4,2,2,0,0,0,16,12,4,16,14,2,1,1,0,0,0,0,4,1,3,73,66,7,10,10,0,24,16,8,13,3,10,0,0,0,8,7,1,39,16,23,6,4,2,2,1,1,12,6,6,7,3,4,33,25,8,0.739375,0.208125,0.53125,0.001875,0.001875,0.0,0.0025,0.00125,0.00125,0.0,0.0,0.0,0.01,0.0075,0.0025,0.01,0.00875,0.00125,0.000625,0.000625,0.0,0.0,0.0,0.0,0.0025,0.000625,0.001875,0.045625,0.04125,0.004375,0.00625,0.00625,0.0,0.015,0.01,0.005,0.008125,0.001875,0.00625,0.0,0.0,0.0,0.005,0.004375,0.000625,0.024375,0.01,0.014375,0.00375,0.0025,0.00125,0.00125,0.000625,0.000625,0.0075,0.00375,0.00375,0.004375,0.001875,0.0025,0.020625,0.015625,0.005,518
2012-05-01,2012,5,1260,354,906,1,0,1,28,8,20,0,0,0,19,10,9,13,11,2,4,4,0,1,0,1,16,3,13,135,125,10,13,13,0,28,15,13,22,12,10,1,1,0,3,2,1,19,11,8,11,9,2,1,1,0,8,5,3,17,9,8,15,6,9,0.7015590200445434,0.1971046770601336,0.5044543429844098,0.0005567928730512,0.0,0.0005567928730512,0.0155902004454341,0.0044543429844097,0.0111358574610244,0.0,0.0,0.0,0.0105790645879732,0.0055679287305122,0.005011135857461,0.0072383073496658,0.0061247216035634,0.0011135857461024,0.0022271714922048,0.0022271714922048,0.0,0.0005567928730512,0.0,0.0005567928730512,0.0089086859688195,0.0016703786191536,0.0072383073496659,0.07516703786191531,0.0695991091314031,0.0055679287305122,0.0072383073496659,0.0072383073496659,0.0,0.0155902004454342,0.0083518930957683,0.0072383073496659,0.0122494432071268,0.0066815144766146,0.0055679287305122,0.0005567928730512,0.0005567928730512,0.0,0.0016703786191536,0.0011135857461024,0.0005567928730512,0.0105790645879731,0.0061247216035634,0.0044543429844097,0.006124721603563399,0.005011135857461,0.0011135857461024,0.0005567928730512,0.0005567928730512,0.0,0.0044543429844097,0.0027839643652561,0.0016703786191536,0.0094654788418707,0.005011135857461,0.0044543429844097,0.008351893095768299,0.0033407572383073,0.005011135857461,591
2012-06-01,2012,6,1453,354,1099,1,0,1,15,3,12,1,1,0,21,10,11,12,5,7,2,2,0,1,1,0,9,0,9,30,25,5,6,5,1,40,21,19,17,11,6,1,0,1,12,7,5,6,4,2,10,7,3,0,0,0,7,3,4,24,10,14,24,16,8,0.7866811044937737,0.1916621548456957,0.595018949648078,0.0005414185165132,0.0,0.0005414185165132,0.0081212777476988,0.0016242555495397,0.0064970221981591,0.0005414185165132,0.0005414185165132,0.0,0.0113697888467785,0.0054141851651326,0.0059556036816459,0.0064970221981591,0.0027070925825663,0.0037899296155928,0.0010828370330265,0.0010828370330265,0.0,0.0005414185165132,0.0005414185165132,0.0,0.0048727666486193,0.0,0.0048727666486193,0.0162425554953979,0.0135354629128316,0.0027070925825663,0.0032485110990794997,0.0027070925825663,0.0005414185165132,0.0216567406605305,0.0113697888467785,0.010286951813752,0.0092041147807254,0.0059556036816459,0.0032485110990795,0.0005414185165132,0.0,0.0005414185165132,0.0064970221981591,0.0037899296155928,0.0027070925825663,0.0032485110990795,0.002165674066053,0.0010828370330265,0.0054141851651325,0.0037899296155928,0.0016242555495397,0.0,0.0,0.0,0.0037899296155927,0.0016242555495397,0.002165674066053,0.0129940443963183,0.0054141851651326,0.0075798592311857,0.0129940443963183,0.0086626962642122,0.0043313481321061,480
2012-07-01,2012,7,1512,359,1153,5,2,3,13,1,12,0,0,0,26,12,14,13,6,7,1,1,0,1,1,0,16,3,13,17,14,3,2,2,0,21,13,8,21,11,10,0,0,0,9,3,6,15,11,4,8,8,0,5,3,2,8,4,4,12,4,8,35,18,17,0.7999999999999999,0.1899470899470899,0.6100529100529101,0.0026455026455024996,0.001058201058201,0.0015873015873015,0.0068783068783067995,0.0005291005291005,0.0063492063492063,0.0,0.0,0.0,0.0137566137566137,0.0063492063492063,0.0074074074074074,0.0068783068783067995,0.0031746031746031,0.0037037037037037,0.0005291005291005,0.0005291005291005,0.0,0.0005291005291005,0.0005291005291005,0.0,0.0084656084656083,0.0015873015873015,0.0068783068783068,0.0089947089947089,0.0074074074074074,0.0015873015873015,0.001058201058201,0.001058201058201,0.0,0.011111111111111,0.0068783068783068,0.0042328042328042,0.011111111111110999,0.0058201058201058,0.0052910052910052,0.0,0.0,0.0,0.0047619047619046,0.0015873015873015,0.0031746031746031,0.0079365079365079,0.0058201058201058,0.0021164021164021,0.0042328042328042,0.0042328042328042,0.0,0.0026455026455024996,0.0015873015873015,0.001058201058201,0.0042328042328042,0.0021164021164021,0.0021164021164021,0.006349206349206301,0.0021164021164021,0.0042328042328042,0.0185185185185184,0.0095238095238095,0.0089947089947089,475
2012-08-01,2012,8,1159,193,966,1,1,0,17,7,10,1,0,1,21,13,8,4,3,1,2,2,0,0,0,0,14,1,13,14,13,1,0,0,0,13,6,7,8,5,3,1,0,1,2,0,2,9,4,5,6,4,2,0,0,0,12,4,8,17,8,9,17,11,6,0.8104895104895103,0.1349650349650349,0.6755244755244755,0.0006993006993006,0.0006993006993006,0.0,0.0118881118881117,0.0048951048951048,0.0069930069930069,0.0006993006993006,0.0,0.0006993006993006,0.014685314685314501,0.009090909090909,0.0055944055944055,0.0027972027972026,0.002097902097902,0.0006993006993006,0.0013986013986013,0.0013986013986013,0.0,0.0,0.0,0.0,0.0097902097902096,0.0006993006993006,0.009090909090909,0.0097902097902096,0.009090909090909,0.0006993006993006,0.0,0.0,0.0,0.0090909090909089,0.0041958041958041,0.0048951048951048,0.0055944055944054,0.0034965034965034,0.002097902097902,0.0006993006993006,0.0,0.0006993006993006,0.0013986013986013,0.0,0.0013986013986013,0.0062937062937061,0.0027972027972027,0.0034965034965034,0.004195804195804,0.0027972027972027,0.0013986013986013,0.0,0.0,0.0,0.008391608391608199,0.0027972027972027,0.0055944055944055,0.011888111888111699,0.0055944055944055,0.0062937062937062,0.0118881118881117,0.0076923076923076,0.0041958041958041,274
2012-09-01,2012,9,1198,262,936,2,2,0,17,3,14,1,1,0,29,18,11,7,3,4,1,0,1,1,0,1,8,4,4,25,23,2,3,3,0,26,8,18,17,8,9,0,0,0,6,3,3,33,15,18,11,9,2,4,2,2,10,3,7,16,11,5,22,15,7,0.7764095917044718,0.169799092676604,0.6066104990278678,0.001296176279974,0.001296176279974,0.0,0.0110174983797796,0.0019442644199611,0.0090732339598185,0.000648088139987,0.000648088139987,0.0,0.018794556059624,0.0116655865197666,0.0071289695398574,0.0045366169799092,0.0019442644199611,0.0025923525599481,0.000648088139987,0.0,0.000648088139987,0.000648088139987,0.0,0.000648088139987,0.0051847051198962,0.0025923525599481,0.0025923525599481,0.0162022034996758,0.0149060272197018,0.001296176279974,0.0019442644199611,0.0019442644199611,0.0,0.0168502916396629,0.0051847051198963,0.0116655865197666,0.0110174983797796,0.0051847051198963,0.0058327932598833,0.0,0.0,0.0,0.0038885288399222,0.0019442644199611,0.0019442644199611,0.021386908619572098,0.0097213220998055,0.0116655865197666,0.0071289695398573,0.0058327932598833,0.001296176279974,0.002592352559948,0.001296176279974,0.001296176279974,0.0064808813998703,0.0019442644199611,0.0045366169799092,0.010369410239792501,0.0071289695398574,0.0032404406999351,0.0142579390797147,0.0097213220998055,0.0045366169799092,393
2012-10-01,2012,10,1250,333,917,4,1,3,16,4,12,1,1,0,38,21,17,16,7,9,1,1,0,0,0,0,13,0,13,16,14,2,4,4,0,35,16,19,13,8,5,0,0,0,7,3,4,17,6,11,4,3,1,0,0,0,12,5,7,18,7,11,12,10,2,0.7936507936507936,0.2114285714285714,0.5822222222222222,0.0025396825396824998,0.0006349206349206,0.0019047619047619,0.0101587301587301,0.0025396825396825,0.0076190476190476,0.0006349206349206,0.0006349206349206,0.0,0.024126984126984,0.0133333333333333,0.0107936507936507,0.0101587301587301,0.0044444444444444,0.0057142857142857,0.0006349206349206,0.0006349206349206,0.0,0.0,0.0,0.0,0.0082539682539682,0.0,0.0082539682539682,0.01015873015873,0.0088888888888888,0.0012698412698412,0.0025396825396825,0.0025396825396825,0.0,0.0222222222222221,0.0101587301587301,0.012063492063492,0.0082539682539681,0.005079365079365,0.0031746031746031,0.0,0.0,0.0,0.0044444444444444,0.0019047619047619,0.0025396825396825,0.010793650793650699,0.0038095238095238,0.0069841269841269,0.0025396825396824998,0.0019047619047619,0.0006349206349206,0.0,0.0,0.0,0.0076190476190475,0.0031746031746031,0.0044444444444444,0.0114285714285713,0.0044444444444444,0.0069841269841269,0.007619047619047499,0.0063492063492063,0.0012698412698412,441
