date,year,month,-999,cr_-999,nr_-999,activism,cr_activism,nr_activism,arrest,cr_arrest,nr_arrest,censor,cr_censor,nr_censor,cooperate,cr_cooperate,nr_cooperate,corruption,cr_corruption,nr_corruption,coup,cr_coup,nr_coup,defamationcase,cr_defamationcase,nr_defamationcase,disaster,cr_disaster,nr_disaster,electionactivity,cr_electionactivity,nr_electionactivity,electionirregularities,cr_electionirregularities,nr_electionirregularities,legalaction,cr_legalaction,nr_legalaction,legalchange,cr_legalchange,nr_legalchange,martiallaw,cr_martiallaw,nr_martiallaw,mobilizesecurity,cr_mobilizesecurity,nr_mobilizesecurity,protest,cr_protest,nr_protest,purge,cr_purge,nr_purge,raid,cr_raid,nr_raid,threaten,cr_threaten,nr_threaten,violencelethal,cr_violencelethal,nr_violencelethal,violencenonlethal,cr_violencenonlethal,nr_violencenonlethal,-999Norm,cr_-999Norm,nr_-999Norm,activismNorm,cr_activismNorm,nr_activismNorm,arrestNorm,cr_arrestNorm,nr_arrestNorm,censorNorm,cr_censorNorm,nr_censorNorm,cooperateNorm,cr_cooperateNorm,nr_cooperateNorm,corruptionNorm,cr_corruptionNorm,nr_corruptionNorm,coupNorm,cr_coupNorm,nr_coupNorm,defamationcaseNorm,cr_defamationcaseNorm,nr_defamationcaseNorm,disasterNorm,cr_disasterNorm,nr_disasterNorm,electionactivityNorm,cr_electionactivityNorm,nr_electionactivityNorm,electionirregularitiesNorm,cr_electionirregularitiesNorm,nr_electionirregularitiesNorm,legalactionNorm,cr_legalactionNorm,nr_legalactionNorm,legalchangeNorm,cr_legalchangeNorm,nr_legalchangeNorm,martiallawNorm,cr_martiallawNorm,nr_martiallawNorm,mobilizesecurityNorm,cr_mobilizesecurityNorm,nr_mobilizesecurityNorm,protestNorm,cr_protestNorm,nr_protestNorm,purgeNorm,cr_purgeNorm,nr_purgeNorm,raidNorm,cr_raidNorm,nr_raidNorm,threatenNorm,cr_threatenNorm,nr_threatenNorm,violencelethalNorm,cr_violencelethalNorm,nr_violencelethalNorm,violencenonlethalNorm,cr_violencenonlethalNorm,nr_violencenonlethalNorm,total_articles
2012-01-01,2012,1,555,164,391,1,1,0,15,9,6,3,2,1,14,11,3,18,14,4,1,1,0,0,0,0,6,1,5,11,9,2,0,0,0,9,4,5,5,3,2,0,0,0,1,0,1,11,6,5,4,2,2,2,1,1,8,6,2,6,2,4,18,4,14,0.8161764705882353,0.2411764705882353,0.575,0.0014705882352941,0.0014705882352941,0.0,0.0220588235294117,0.013235294117647,0.0088235294117647,0.0044117647058823,0.0029411764705882,0.0014705882352941,0.020588235294117498,0.0161764705882352,0.0044117647058823,0.026470588235294003,0.0205882352941176,0.0058823529411764,0.0014705882352941,0.0014705882352941,0.0,0.0,0.0,0.0,0.0088235294117646,0.0014705882352941,0.0073529411764705,0.0161764705882352,0.013235294117647,0.0029411764705882,0.0,0.0,0.0,0.0132352941176469,0.0058823529411764,0.0073529411764705,0.0073529411764705,0.0044117647058823,0.0029411764705882,0.0,0.0,0.0,0.0014705882352941,0.0,0.0014705882352941,0.016176470588235202,0.0088235294117647,0.0073529411764705,0.0058823529411764,0.0029411764705882,0.0029411764705882,0.0029411764705882,0.0014705882352941,0.0014705882352941,0.011764705882352901,0.0088235294117647,0.0029411764705882,0.0088235294117646,0.0029411764705882,0.0058823529411764,0.026470588235294003,0.0058823529411764,0.0205882352941176,234
2012-02-01,2012,2,602,191,411,3,3,0,21,12,9,2,2,0,12,8,4,16,11,5,1,1,0,0,0,0,21,1,20,7,6,1,2,2,0,26,11,15,5,3,2,0,0,0,0,0,0,13,8,5,1,1,0,1,0,1,6,5,1,11,8,3,16,8,8,0.7910643889618922,0.2509855453350854,0.5400788436268068,0.0039421813403416,0.0039421813403416,0.0,0.0275952693823915,0.0157687253613666,0.0118265440210249,0.0026281208935611,0.0026281208935611,0.0,0.0157687253613666,0.0105124835742444,0.0052562417871222,0.0210249671484887,0.014454664914586,0.0065703022339027,0.0013140604467805,0.0013140604467805,0.0,0.0,0.0,0.0,0.0275952693823915,0.0013140604467805,0.026281208935611,0.0091984231274638,0.0078843626806833,0.0013140604467805,0.0026281208935611,0.0026281208935611,0.0,0.0341655716162942,0.014454664914586,0.0197109067017082,0.006570302233902699,0.0039421813403416,0.0026281208935611,0.0,0.0,0.0,0.0,0.0,0.0,0.0170827858081471,0.0105124835742444,0.0065703022339027,0.0013140604467805,0.0013140604467805,0.0,0.0013140604467805,0.0,0.0013140604467805,0.0078843626806832,0.0065703022339027,0.0013140604467805,0.014454664914586,0.0105124835742444,0.0039421813403416,0.0210249671484888,0.0105124835742444,0.0105124835742444,278
2012-03-01,2012,3,644,226,418,5,4,1,24,12,12,2,2,0,18,13,5,15,11,4,4,3,1,0,0,0,10,3,7,9,6,3,0,0,0,18,9,9,3,2,1,1,0,1,0,0,0,24,19,5,6,5,1,5,2,3,7,5,2,10,5,5,21,11,10,0.7863247863247862,0.2759462759462759,0.5103785103785103,0.006105006105006,0.0048840048840048,0.0012210012210012,0.0293040293040292,0.0146520146520146,0.0146520146520146,0.0024420024420024,0.0024420024420024,0.0,0.0219780219780219,0.0158730158730158,0.0061050061050061,0.0183150183150182,0.0134310134310134,0.0048840048840048,0.0048840048840048,0.0036630036630036,0.0012210012210012,0.0,0.0,0.0,0.012210012210012099,0.0036630036630036,0.0085470085470085,0.0109890109890109,0.0073260073260073,0.0036630036630036,0.0,0.0,0.0,0.0219780219780218,0.0109890109890109,0.0109890109890109,0.0036630036630035997,0.0024420024420024,0.0012210012210012,0.0012210012210012,0.0,0.0012210012210012,0.0,0.0,0.0,0.0293040293040293,0.0231990231990232,0.0061050061050061,0.0073260073260073,0.0061050061050061,0.0012210012210012,0.006105006105006,0.0024420024420024,0.0036630036630036,0.0085470085470085,0.0061050061050061,0.0024420024420024,0.0122100122100122,0.0061050061050061,0.0061050061050061,0.0256410256410256,0.0134310134310134,0.0122100122100122,332
2012-04-01,2012,4,661,209,452,7,5,2,28,13,15,1,0,1,16,14,2,17,13,4,0,0,0,0,0,0,10,2,8,14,10,4,0,0,0,24,12,12,11,3,8,0,0,0,7,4,3,39,30,9,8,8,0,2,0,2,7,7,0,12,9,3,27,16,11,0.7485843714609286,0.2366930917327293,0.5118912797281994,0.0079275198187994,0.0056625141562853,0.0022650056625141,0.0317100792751981,0.014722536806342,0.0169875424688561,0.001132502831257,0.0,0.001132502831257,0.0181200453001131,0.015855039637599,0.0022650056625141,0.019252548131370298,0.014722536806342,0.0045300113250283,0.0,0.0,0.0,0.0,0.0,0.0,0.0113250283125707,0.0022650056625141,0.0090600226500566,0.015855039637599,0.0113250283125707,0.0045300113250283,0.0,0.0,0.0,0.0271800679501698,0.0135900339750849,0.0135900339750849,0.0124575311438278,0.0033975084937712,0.0090600226500566,0.0,0.0,0.0,0.0079275198187995,0.0045300113250283,0.0033975084937712,0.044167610419026,0.0339750849377123,0.0101925254813137,0.0090600226500566,0.0090600226500566,0.0,0.0022650056625141,0.0,0.0022650056625141,0.0079275198187995,0.0079275198187995,0.0,0.0135900339750849,0.0101925254813137,0.0033975084937712,0.030577576443940997,0.0181200453001132,0.0124575311438278,349
2012-05-01,2012,5,807,300,507,3,3,0,28,15,13,2,1,1,10,4,6,28,12,16,0,0,0,1,1,0,18,9,9,9,7,2,0,0,0,23,13,10,4,3,1,2,2,0,1,1,0,22,19,3,5,2,3,1,1,0,14,13,1,11,5,6,20,12,8,0.8094282848545638,0.3009027081243731,0.5085255767301906,0.0030090270812437,0.0030090270812437,0.0,0.0280842527582747,0.0150451354062186,0.0130391173520561,0.0020060180541624,0.0010030090270812,0.0010030090270812,0.010030090270812302,0.0040120361083249,0.0060180541624874,0.0280842527582748,0.0120361083249749,0.0160481444332999,0.0,0.0,0.0,0.0010030090270812,0.0010030090270812,0.0,0.0180541624874622,0.0090270812437311,0.0090270812437311,0.0090270812437311,0.0070210631895687,0.0020060180541624,0.0,0.0,0.0,0.0230692076228685,0.0130391173520561,0.0100300902708124,0.0040120361083249,0.0030090270812437,0.0010030090270812,0.0020060180541624,0.0020060180541624,0.0,0.0010030090270812,0.0010030090270812,0.0,0.0220661985957873,0.0190571715145436,0.0030090270812437,0.0050150451354061005,0.0020060180541624,0.0030090270812437,0.0010030090270812,0.0010030090270812,0.0,0.0140421263791373,0.0130391173520561,0.0010030090270812,0.0110330992978936,0.0050150451354062,0.0060180541624874,0.020060180541624797,0.0120361083249749,0.0080240722166499,418
2012-06-01,2012,6,894,278,616,11,10,1,29,10,19,7,5,2,31,18,13,17,12,5,5,4,1,1,0,1,15,7,8,7,6,1,0,0,0,28,10,18,14,9,5,2,1,1,2,2,0,12,9,3,6,4,2,2,1,1,19,13,6,24,15,9,16,8,8,0.7883597883597883,0.2451499118165784,0.5432098765432098,0.0097001763668429,0.0088183421516754,0.0008818342151675,0.0255731922398588,0.0088183421516754,0.0167548500881834,0.0061728395061726995,0.0044091710758377,0.001763668430335,0.027336860670193898,0.0158730158730158,0.0114638447971781,0.014991181657848199,0.0105820105820105,0.0044091710758377,0.0044091710758376,0.0035273368606701,0.0008818342151675,0.0008818342151675,0.0,0.0008818342151675,0.0132275132275131,0.0061728395061728,0.0070546737213403,0.0061728395061726995,0.0052910052910052,0.0008818342151675,0.0,0.0,0.0,0.024691358024691197,0.0088183421516754,0.0158730158730158,0.012345679012345599,0.0079365079365079,0.0044091710758377,0.001763668430335,0.0008818342151675,0.0008818342151675,0.001763668430335,0.001763668430335,0.0,0.0105820105820105,0.0079365079365079,0.0026455026455026,0.0052910052910051,0.0035273368606701,0.001763668430335,0.001763668430335,0.0008818342151675,0.0008818342151675,0.0167548500881833,0.0114638447971781,0.0052910052910052,0.0211640211640211,0.0132275132275132,0.0079365079365079,0.0141093474426806,0.0070546737213403,0.0070546737213403,419
2012-07-01,2012,7,1671,369,1302,3,3,0,36,14,22,4,2,2,20,14,6,36,25,11,2,2,0,2,2,0,22,5,17,15,12,3,0,0,0,35,30,5,11,4,7,0,0,0,4,1,3,17,12,5,2,2,0,2,0,2,8,5,3,21,8,13,20,8,12,0.870766023970818,0.1922876498176133,0.6784783741532048,0.0015633142261594,0.0015633142261594,0.0,0.0187597707139134,0.0072954663887441,0.0114643043251693,0.0020844189682126,0.0010422094841063,0.0010422094841063,0.010422094841063,0.0072954663887441,0.0031266284523189,0.0187597707139134,0.0130276185513288,0.0057321521625846,0.0010422094841063,0.0010422094841063,0.0,0.0010422094841063,0.0010422094841063,0.0,0.0114643043251692,0.0026055237102657,0.0088587806149035,0.0078165711307972,0.0062532569046378,0.0015633142261594,0.0,0.0,0.0,0.018238665971860198,0.0156331422615945,0.0026055237102657,0.0057321521625846,0.0020844189682126,0.003647733194372,0.0,0.0,0.0,0.0020844189682125,0.0005211047420531,0.0015633142261594,0.0088587806149035,0.0062532569046378,0.0026055237102657,0.0010422094841063,0.0010422094841063,0.0,0.0010422094841063,0.0,0.0010422094841063,0.0041688379364251005,0.0026055237102657,0.0015633142261594,0.010943199583116101,0.0041688379364252,0.0067743616466909,0.010422094841063,0.0041688379364252,0.0062532569046378,508
2012-08-01,2012,8,2179,422,1757,5,5,0,28,11,17,6,5,1,26,18,8,30,15,15,4,3,1,1,1,0,38,19,19,7,7,0,0,0,0,34,18,16,12,5,7,0,0,0,4,4,0,25,21,4,10,9,1,5,0,5,6,4,2,26,18,8,28,5,23,0.8839756592292088,0.1711967545638945,0.7127789046653144,0.0020283975659229,0.0020283975659229,0.0,0.0113590263691683,0.0044624746450304,0.0068965517241379,0.0024340770791074,0.0020283975659229,0.0004056795131845,0.0105476673427991,0.0073022312373225,0.0032454361054766,0.0121703853955374,0.0060851926977687,0.0060851926977687,0.0016227180527382,0.0012170385395537,0.0004056795131845,0.0004056795131845,0.0004056795131845,0.0,0.015415821501014,0.007707910750507,0.007707910750507,0.002839756592292,0.002839756592292,0.0,0.0,0.0,0.0,0.0137931034482758,0.0073022312373225,0.0064908722109533,0.0048681541582149,0.0020283975659229,0.002839756592292,0.0,0.0,0.0,0.0016227180527383,0.0016227180527383,0.0,0.0101419878296145,0.0085192697768762,0.0016227180527383,0.0040567951318456995,0.0036511156186612,0.0004056795131845,0.0020283975659229,0.0,0.0020283975659229,0.0024340770791074,0.0016227180527383,0.0008113590263691,0.0105476673427991,0.0073022312373225,0.0032454361054766,0.0113590263691683,0.0020283975659229,0.0093306288032454,583
2012-09-01,2012,9,2774,616,2158,6,6,0,56,14,42,7,4,3,54,43,11,53,38,15,2,2,0,0,0,0,42,12,30,14,11,3,1,1,0,58,30,28,24,12,12,1,0,1,2,2,0,36,30,6,10,9,1,2,2,0,8,6,2,20,11,9,26,9,17,0.872052813580635,0.1936497956617416,0.6784030179188935,0.0018861993083935,0.0018861993083935,0.0,0.0176045268783401,0.004401131719585,0.0132033951587551,0.0022005658597924003,0.0012574662055957,0.0009430996541967,0.0169757937755422,0.013517761710154,0.0034580320653882,0.0166614272241432,0.0119459289531593,0.0047154982709839,0.0006287331027978,0.0006287331027978,0.0,0.0,0.0,0.0,0.013203395158755,0.0037723986167871,0.0094309965419679,0.0044011317195848994,0.0034580320653882,0.0009430996541967,0.0003143665513989,0.0003143665513989,0.0,0.018233259981137902,0.0094309965419679,0.00880226343917,0.0075447972335742,0.0037723986167871,0.0037723986167871,0.0003143665513989,0.0,0.0003143665513989,0.0006287331027978,0.0006287331027978,0.0,0.0113171958503614,0.0094309965419679,0.0018861993083935,0.0031436655139892,0.0028292989625903,0.0003143665513989,0.0006287331027978,0.0006287331027978,0.0,0.0025149324111913,0.0018861993083935,0.0006287331027978,0.0062873310279785,0.0034580320653882,0.0028292989625903,0.0081735303363721,0.0028292989625903,0.0053442313737818,851
2012-10-01,2012,10,2241,494,1747,8,8,0,33,15,18,11,10,1,55,32,23,53,35,18,5,5,0,0,0,0,38,16,22,16,13,3,2,2,0,61,34,27,22,11,11,1,1,0,4,3,1,33,23,10,16,11,5,3,0,3,12,11,1,22,8,14,33,11,22,0.8447041085563511,0.1862042970222389,0.6584998115341123,0.0030154542027892,0.0030154542027892,0.0,0.0124387485865058,0.0056539766302299,0.0067847719562759,0.0041462495288352,0.0037693177534866,0.0003769317753486,0.020731247644176297,0.0120618168111571,0.0086694308330192,0.019977384093479,0.0131926121372031,0.0067847719562759,0.0018846588767433,0.0018846588767433,0.0,0.0,0.0,0.0,0.014323407463249001,0.0060309084055785,0.0082924990576705,0.0060309084055785,0.0049001130795326,0.0011307953260459,0.0007538635506973,0.0007538635506973,0.0,0.022992838296268303,0.0128156803618545,0.0101771579344138,0.0082924990576704,0.0041462495288352,0.0041462495288352,0.0003769317753486,0.0003769317753486,0.0,0.0015077271013945002,0.0011307953260459,0.0003769317753486,0.012438748586505798,0.0086694308330192,0.0037693177534866,0.006030908405578499,0.0041462495288352,0.0018846588767433,0.0011307953260459,0.0,0.0011307953260459,0.0045231813041838,0.0041462495288352,0.0003769317753486,0.0082924990576704,0.0030154542027892,0.0052770448548812,0.012438748586505701,0.0041462495288352,0.0082924990576705,734
