date,year,month,-999,cr_-999,nr_-999,activism,cr_activism,nr_activism,arrest,cr_arrest,nr_arrest,censor,cr_censor,nr_censor,cooperate,cr_cooperate,nr_cooperate,corruption,cr_corruption,nr_corruption,coup,cr_coup,nr_coup,defamationcase,cr_defamationcase,nr_defamationcase,disaster,cr_disaster,nr_disaster,electionactivity,cr_electionactivity,nr_electionactivity,electionirregularities,cr_electionirregularities,nr_electionirregularities,legalaction,cr_legalaction,nr_legalaction,legalchange,cr_legalchange,nr_legalchange,martiallaw,cr_martiallaw,nr_martiallaw,mobilizesecurity,cr_mobilizesecurity,nr_mobilizesecurity,protest,cr_protest,nr_protest,purge,cr_purge,nr_purge,raid,cr_raid,nr_raid,threaten,cr_threaten,nr_threaten,violencelethal,cr_violencelethal,nr_violencelethal,violencenonlethal,cr_violencenonlethal,nr_violencenonlethal,-999Norm,cr_-999Norm,nr_-999Norm,activismNorm,cr_activismNorm,nr_activismNorm,arrestNorm,cr_arrestNorm,nr_arrestNorm,censorNorm,cr_censorNorm,nr_censorNorm,cooperateNorm,cr_cooperateNorm,nr_cooperateNorm,corruptionNorm,cr_corruptionNorm,nr_corruptionNorm,coupNorm,cr_coupNorm,nr_coupNorm,defamationcaseNorm,cr_defamationcaseNorm,nr_defamationcaseNorm,disasterNorm,cr_disasterNorm,nr_disasterNorm,electionactivityNorm,cr_electionactivityNorm,nr_electionactivityNorm,electionirregularitiesNorm,cr_electionirregularitiesNorm,nr_electionirregularitiesNorm,legalactionNorm,cr_legalactionNorm,nr_legalactionNorm,legalchangeNorm,cr_legalchangeNorm,nr_legalchangeNorm,martiallawNorm,cr_martiallawNorm,nr_martiallawNorm,mobilizesecurityNorm,cr_mobilizesecurityNorm,nr_mobilizesecurityNorm,protestNorm,cr_protestNorm,nr_protestNorm,purgeNorm,cr_purgeNorm,nr_purgeNorm,raidNorm,cr_raidNorm,nr_raidNorm,threatenNorm,cr_threatenNorm,nr_threatenNorm,violencelethalNorm,cr_violencelethalNorm,nr_violencelethalNorm,violencenonlethalNorm,cr_violencenonlethalNorm,nr_violencenonlethalNorm,total_articles
2012-01-01,2012,1,5040,688,4352,11,6,5,313,70,243,1,1,0,83,43,40,73,44,29,23,22,1,4,3,1,79,5,74,83,69,14,9,7,2,296,98,198,63,18,45,4,2,2,11,6,5,189,110,79,32,18,14,8,3,5,18,10,8,224,58,166,217,95,122,0.7475526549985166,0.1020468703648768,0.6455057846336398,0.0016315633343220001,0.0008899436369029,0.0007416196974191,0.0464253930584395,0.0103826757638682,0.0360427172945713,0.0001483239394838,0.0001483239394838,0.0,0.0123108869771581,0.0063779293978048,0.0059329575793533,0.010827647582319699,0.0065262533372886,0.0043013942450311,0.0034114506081281,0.0032631266686443,0.0001483239394838,0.0005932957579352,0.0004449718184514,0.0001483239394838,0.0117175912192227,0.0007416196974191,0.0109759715218036,0.012310886977158,0.0102343518243844,0.0020765351527736,0.0013349154553544001,0.0010382675763868,0.0002966478789676,0.043903886087214405,0.0145357460694156,0.0293681400177988,0.0093444081874813,0.0026698309107089,0.0066745772767724,0.0005932957579352,0.0002966478789676,0.0002966478789676,0.0016315633343220001,0.0008899436369029,0.0007416196974191,0.028033224562444198,0.0163156333432215,0.0117175912192227,0.004746366063482501,0.0026698309107089,0.0020765351527736,0.0011865915158705,0.0004449718184514,0.0007416196974191,0.0026698309107089,0.0014832393948383,0.0011865915158706,0.033224562444378394,0.0086027884900622,0.0246217739543162,0.0321862948679916,0.0140907742509641,0.0180955206170275,1357
2012-02-01,2012,2,4459,647,3812,12,5,7,251,46,205,3,2,1,69,36,33,76,47,29,9,8,1,3,2,1,64,6,58,61,55,6,11,10,1,229,80,149,66,17,49,3,2,1,4,1,3,161,86,75,42,23,19,2,0,2,8,5,3,197,54,143,171,57,114,0.7561471934882142,0.1097168051551636,0.6464303883330507,0.0020349330167881,0.000847888756995,0.0011870442597931,0.042564015601153,0.0078005765643547,0.0347634390367983,0.000508733254197,0.000339155502798,0.000169577751399,0.011700864846531999,0.0061047990503645,0.0055960657961675,0.0128879091063251,0.0079701543157537,0.0049177547905714,0.0015261997625911,0.0013566220111921,0.000169577751399,0.000508733254197,0.000339155502798,0.000169577751399,0.0108529760895369,0.001017466508394,0.0098355095811429,0.0103442428353399,0.0093267763269459,0.001017466508394,0.0018653552653891,0.0016957775139901,0.000169577751399,0.0388333050703747,0.0135662201119213,0.0252670849584534,0.011192131592335,0.0028828217737832,0.0083093098185518,0.000508733254197,0.000339155502798,0.000169577751399,0.000678311005596,0.000169577751399,0.000508733254197,0.0273020179752416,0.0145836866203154,0.0127183313549262,0.0071222655587586,0.0039002882821773,0.0032219772765813,0.000339155502798,0.0,0.000339155502798,0.001356622011192,0.000847888756995,0.000508733254197,0.0334068170256061,0.0091571985755468,0.0242496184500593,0.028997795489231697,0.0096659318297439,0.0193318636594878,1165
2012-03-01,2012,3,4967,726,4241,20,14,6,203,35,168,5,2,3,64,28,36,66,39,27,1,1,0,3,2,1,111,12,99,73,60,13,3,2,1,260,94,166,59,22,37,4,1,3,12,8,4,180,104,76,32,23,9,8,3,5,15,6,9,214,70,144,206,80,126,0.7678157365898902,0.1122275467614778,0.6555881898284124,0.0030916679548615,0.0021641675684031,0.0009275003864584,0.0313804297418456,0.0054104189210078,0.0259700108208378,0.0007729169887153,0.0003091667954861,0.0004637501932292,0.0098933374555572,0.0043283351368063,0.0055650023187509,0.010202504251043399,0.0060287525119802,0.0041737517390632,0.000154583397743,0.000154583397743,0.0,0.0004637501932291,0.0003091667954861,0.000154583397743,0.017158757149482,0.0018550007729169,0.0153037563765651,0.0112845880352449,0.0092750038645849,0.00200958417066,0.0004637501932291,0.0003091667954861,0.000154583397743,0.0401916834132013,0.0145308393878497,0.0256608440253516,0.0091204204668418,0.0034008347503478,0.005719585716494,0.0006183335909722,0.000154583397743,0.0004637501932292,0.0018550007729168998,0.0012366671819446,0.0006183335909723,0.027825011593754702,0.0160766733652805,0.0117483382284742,0.0049466687277785,0.0035554181480908,0.0013912505796877,0.0012366671819446001,0.0004637501932292,0.0007729169887154,0.0023187509661461003,0.0009275003864584,0.0013912505796877,0.0330808471170195,0.0108208378420157,0.0222600092750038,0.031844179935074796,0.0123666718194465,0.0194775081156283,1311
2012-04-01,2012,4,4567,624,3943,9,6,3,200,37,163,1,1,0,55,26,29,111,69,42,2,1,1,1,1,0,134,16,118,54,44,10,11,11,0,225,94,131,49,15,34,1,0,1,15,9,6,166,96,70,55,38,17,6,1,5,11,5,6,171,55,116,211,89,122,0.7587639142714736,0.1036717062634989,0.6550922080079747,0.001495264994185,0.0009968433294567,0.0004984216647283,0.0332281109818906,0.0061472005316497,0.0270809104502409,0.0001661405549094,0.0001661405549094,0.0,0.0091377305200198,0.0043196544276457,0.0048180760923741,0.0184416015949492,0.0114636982887522,0.006977903306197,0.0003322811098188,0.0001661405549094,0.0001661405549094,0.0001661405549094,0.0001661405549094,0.0,0.0222628343578667,0.0026582488785512,0.0196045854793155,0.0089715899651104,0.0073101844160159,0.0016614055490945,0.0018275461040039,0.0018275461040039,0.0,0.0373816248546269,0.0156172121614886,0.0217644126931383,0.0081408871905632,0.0024921083236418,0.0056487788669214,0.0001661405549094,0.0,0.0001661405549094,0.0024921083236417,0.001495264994185,0.0009968433294567,0.0275793321149692,0.0159494932713075,0.0116298388436617,0.0091377305200199,0.0063133410865592,0.0028243894334607,0.0009968433294566,0.0001661405549094,0.0008307027745472,0.0018275461040039,0.0008307027745472,0.0009968433294567,0.0284100348895164,0.0091377305200199,0.0192723043694965,0.0350556570858946,0.0147865093869413,0.0202691476989533,1200
2012-05-01,2012,5,4521,685,3836,9,6,3,270,62,208,0,0,0,72,39,33,91,42,49,3,1,2,1,1,0,120,15,105,45,40,5,4,4,0,316,130,186,66,17,49,1,0,1,16,11,5,170,111,59,23,17,6,12,3,9,9,7,2,217,68,149,206,79,127,0.7354807223035627,0.1114364730762973,0.6240442492272653,0.0014641288433382,0.0009760858955588,0.0004880429477794,0.0439238653001463,0.0100862209207743,0.033837644379372,0.0,0.0,0.0,0.0117130307467056,0.0063445583211322,0.0053684724255734,0.0148039694159752,0.0068326012689116,0.0079713681470636,0.0004880429477793,0.0001626809825931,0.0003253619651862,0.0001626809825931,0.0001626809825931,0.0,0.019521717911176097,0.002440214738897,0.0170815031722791,0.0073206442166909,0.0065072393037253,0.0008134049129656,0.0006507239303725,0.0006507239303725,0.0,0.0514071904994305,0.0211485277371075,0.030258662762323,0.0107369448511468,0.0027655767040832,0.0079713681470636,0.0001626809825931,0.0,0.0001626809825931,0.0026028957214899997,0.0017894908085244,0.0008134049129656,0.0276557670408328,0.0180575890678379,0.0095981779729949,0.003741662599642,0.0027655767040832,0.0009760858955588,0.0019521717911176,0.0004880429477794,0.0014641288433382,0.0014641288433381,0.0011387668781519,0.0003253619651862,0.035301773222710095,0.0110623068163331,0.024239466406377,0.0335122824141857,0.0128517976248576,0.0206604847893281,1315
2012-06-01,2012,6,4279,635,3644,13,7,6,270,79,191,7,6,1,61,31,30,87,55,32,2,2,0,3,1,2,156,27,129,49,39,10,8,8,0,245,77,168,111,23,88,5,1,4,8,4,4,160,97,63,39,22,17,4,3,1,10,2,8,200,62,138,156,62,94,0.7320786997433705,0.1086398631308811,0.6234388366124893,0.0022241231822069003,0.0011976047904191,0.0010265183917878,0.0461933276304532,0.0135158254918733,0.0326775021385799,0.0011976047904191,0.0010265183917878,0.0001710863986313,0.010436270316509701,0.0053036783575705,0.0051325919589392,0.0148845166809237,0.0094097519247219,0.0054747647562018,0.0003421727972626,0.0003421727972626,0.0,0.0005132591958938999,0.0001710863986313,0.0003421727972626,0.0266894781864841,0.0046193327630453,0.0220701454234388,0.008383233532934,0.006672369546621,0.001710863986313,0.0013686911890504,0.0013686911890504,0.0,0.0419161676646705,0.0131736526946107,0.0287425149700598,0.0189905902480752,0.0039349871685201,0.0150556030795551,0.0008554319931565,0.0001710863986313,0.0006843455945252,0.0013686911890504,0.0006843455945252,0.0006843455945252,0.0273738237810093,0.0165953806672369,0.0107784431137724,0.0066723695466209,0.0037639007698887,0.0029084687767322,0.0006843455945252,0.0005132591958939,0.0001710863986313,0.001710863986313,0.0003421727972626,0.0013686911890504,0.0342172797262617,0.0106073567151411,0.0236099230111206,0.0266894781864841,0.0106073567151411,0.016082121471343,1222
2012-07-01,2012,7,4385,598,3787,22,17,5,250,59,191,4,4,0,53,24,29,110,83,27,6,2,4,3,1,2,118,16,102,70,58,12,7,7,0,278,82,196,68,17,51,2,1,1,9,4,5,184,97,87,50,27,23,4,0,4,5,1,4,216,66,150,176,60,116,0.731320880587058,0.0997331554369579,0.6315877251501001,0.0036691127418278,0.0028352234823215,0.0008338892595063,0.041694462975316704,0.0098398932621747,0.031854569713142,0.000667111407605,0.000667111407605,0.0,0.008839226150767099,0.0040026684456304,0.0048365577051367,0.0183455637091394,0.0138425617078052,0.0045030020013342,0.0010006671114075,0.0003335557038025,0.000667111407605,0.0005003335557037,0.0001667778519012,0.0003335557038025,0.019679786524349402,0.0026684456304202,0.0170113408939292,0.0116744496330887,0.0096731154102735,0.0020013342228152,0.0011674449633088,0.0011674449633088,0.0,0.0463642428285523,0.0136757838559039,0.0326884589726484,0.0113408939292861,0.0028352234823215,0.0085056704469646,0.0003335557038024,0.0001667778519012,0.0001667778519012,0.0015010006671113,0.000667111407605,0.0008338892595063,0.030687124749833098,0.0161774516344229,0.0145096731154102,0.0083388925950633,0.0045030020013342,0.0038358905937291,0.000667111407605,0.0,0.000667111407605,0.0008338892595061999,0.0001667778519012,0.000667111407605,0.036024016010673704,0.0110073382254836,0.0250166777851901,0.029352901934623,0.010006671114076,0.019346230820547,1191
2012-08-01,2012,8,3840,526,3314,16,10,6,248,45,203,3,2,1,55,27,28,81,44,37,5,3,2,3,1,2,107,8,99,55,50,5,6,6,0,232,92,140,69,22,47,1,0,1,7,3,4,96,49,47,31,21,10,9,1,8,7,1,6,255,80,175,164,75,89,0.7339449541284403,0.1005351681957186,0.6334097859327217,0.0030581039755350004,0.0019113149847094,0.0011467889908256,0.047400611620795,0.0086009174311926,0.0387996941896024,0.0005733944954127001,0.0003822629969418,0.0001911314984709,0.010512232415902,0.0051605504587155,0.0053516819571865,0.0154816513761467,0.0084097859327217,0.007071865443425,0.0009556574923546001,0.0005733944954128,0.0003822629969418,0.0005733944954127001,0.0001911314984709,0.0003822629969418,0.0204510703363913,0.0015290519877675,0.0189220183486238,0.0105122324159021,0.0095565749235474,0.0009556574923547,0.0011467889908256,0.0011467889908256,0.0,0.044342507645259904,0.0175840978593272,0.0267584097859327,0.0131880733944953,0.0042048929663608,0.0089831804281345,0.0001911314984709,0.0,0.0001911314984709,0.0013379204892965,0.0005733944954128,0.0007645259938837,0.0183486238532109,0.0093654434250764,0.0089831804281345,0.0059250764525993,0.0040137614678899,0.0019113149847094,0.0017201834862384,0.0001911314984709,0.0015290519877675,0.0013379204892965,0.0001911314984709,0.0011467889908256,0.0487385321100917,0.0152905198776758,0.0334480122324159,0.0313455657492354,0.0143348623853211,0.0170107033639143,1039
2012-09-01,2012,9,4475,687,3788,12,11,1,269,59,210,5,3,2,64,33,31,117,63,54,6,2,4,8,6,2,116,10,106,78,65,13,10,10,0,285,107,178,95,46,49,3,1,2,5,3,2,171,91,80,50,26,24,8,4,4,10,4,6,201,46,155,253,104,149,0.724461712805569,0.1112190383681398,0.6132426744374292,0.0019426906265176001,0.0017807997409745,0.0001618908855431,0.0435486482111056,0.0095515622470454,0.0339970859640602,0.0008094544277156,0.0004856726566294,0.0003237817710862,0.0103610166747611,0.0053423992229237,0.0050186174518374,0.0189412336085477,0.010199125789218,0.0087421078193297,0.0009713453132587,0.0003237817710862,0.0006475635421725,0.001295127084345,0.0009713453132588,0.0003237817710862,0.0187793427230046,0.0016189088554314,0.0171604338675732,0.012627489072365099,0.0105229075603043,0.0021045815120608,0.0016189088554314,0.0016189088554314,0.0,0.046138902379795996,0.0173223247531164,0.0288165776266796,0.0153796341265986,0.0074469807349846,0.007932653391614,0.0004856726566293,0.0001618908855431,0.0003237817710862,0.0008094544277156,0.0004856726566294,0.0003237817710862,0.0276833414278775,0.014732070584426,0.0129512708434515,0.0080945442771571,0.0042091630241217,0.0038853812530354,0.001295127084345,0.0006475635421725,0.0006475635421725,0.0016189088554313,0.0006475635421725,0.0009713453132588,0.0325400679941719,0.0074469807349846,0.0250930872591873,0.0409583940424153,0.0168366520964869,0.0241217419459284,1341
2012-10-01,2012,10,4198,628,3570,16,12,4,266,43,223,7,5,2,56,31,25,132,65,67,2,1,1,7,5,2,111,17,94,55,51,4,5,5,0,279,120,159,67,22,45,4,3,1,13,5,8,127,76,51,20,10,10,3,1,2,5,1,4,219,58,161,225,123,102,0.7300869565217392,0.1092173913043478,0.6208695652173913,0.0027826086956521,0.0020869565217391,0.000695652173913,0.0462608695652173,0.0074782608695652,0.0387826086956521,0.0012173913043478,0.0008695652173913,0.0003478260869565,0.0097391304347825,0.005391304347826,0.0043478260869565,0.0229565217391303,0.0113043478260869,0.0116521739130434,0.0003478260869564,0.0001739130434782,0.0001739130434782,0.0012173913043478,0.0008695652173913,0.0003478260869565,0.0193043478260869,0.0029565217391304,0.0163478260869565,0.0095652173913043,0.0088695652173913,0.000695652173913,0.0008695652173913,0.0008695652173913,0.0,0.0485217391304347,0.0208695652173913,0.0276521739130434,0.0116521739130434,0.0038260869565217,0.0078260869565217,0.0006956521739129,0.0005217391304347,0.0001739130434782,0.0022608695652173,0.0008695652173913,0.001391304347826,0.0220869565217391,0.0132173913043478,0.0088695652173913,0.0034782608695652,0.0017391304347826,0.0017391304347826,0.0005217391304347001,0.0001739130434782,0.0003478260869565,0.0008695652173912001,0.0001739130434782,0.000695652173913,0.0380869565217391,0.0100869565217391,0.028,0.0391304347826086,0.021391304347826,0.0177391304347826,1237
