date,year,month,-999,cr_-999,nr_-999,activism,cr_activism,nr_activism,arrest,cr_arrest,nr_arrest,censor,cr_censor,nr_censor,cooperate,cr_cooperate,nr_cooperate,corruption,cr_corruption,nr_corruption,coup,cr_coup,nr_coup,defamationcase,cr_defamationcase,nr_defamationcase,disaster,cr_disaster,nr_disaster,electionactivity,cr_electionactivity,nr_electionactivity,electionirregularities,cr_electionirregularities,nr_electionirregularities,legalaction,cr_legalaction,nr_legalaction,legalchange,cr_legalchange,nr_legalchange,martiallaw,cr_martiallaw,nr_martiallaw,mobilizesecurity,cr_mobilizesecurity,nr_mobilizesecurity,protest,cr_protest,nr_protest,purge,cr_purge,nr_purge,raid,cr_raid,nr_raid,threaten,cr_threaten,nr_threaten,violencelethal,cr_violencelethal,nr_violencelethal,violencenonlethal,cr_violencenonlethal,nr_violencenonlethal,-999Norm,cr_-999Norm,nr_-999Norm,activismNorm,cr_activismNorm,nr_activismNorm,arrestNorm,cr_arrestNorm,nr_arrestNorm,censorNorm,cr_censorNorm,nr_censorNorm,cooperateNorm,cr_cooperateNorm,nr_cooperateNorm,corruptionNorm,cr_corruptionNorm,nr_corruptionNorm,coupNorm,cr_coupNorm,nr_coupNorm,defamationcaseNorm,cr_defamationcaseNorm,nr_defamationcaseNorm,disasterNorm,cr_disasterNorm,nr_disasterNorm,electionactivityNorm,cr_electionactivityNorm,nr_electionactivityNorm,electionirregularitiesNorm,cr_electionirregularitiesNorm,nr_electionirregularitiesNorm,legalactionNorm,cr_legalactionNorm,nr_legalactionNorm,legalchangeNorm,cr_legalchangeNorm,nr_legalchangeNorm,martiallawNorm,cr_martiallawNorm,nr_martiallawNorm,mobilizesecurityNorm,cr_mobilizesecurityNorm,nr_mobilizesecurityNorm,protestNorm,cr_protestNorm,nr_protestNorm,purgeNorm,cr_purgeNorm,nr_purgeNorm,raidNorm,cr_raidNorm,nr_raidNorm,threatenNorm,cr_threatenNorm,nr_threatenNorm,violencelethalNorm,cr_violencelethalNorm,nr_violencelethalNorm,violencenonlethalNorm,cr_violencenonlethalNorm,nr_violencenonlethalNorm,total_articles
2012-01-01,2012,1,3931,455,3476,12,11,1,47,16,31,6,4,2,29,19,10,21,13,8,1,1,0,1,1,0,53,2,51,30,30,0,6,6,0,70,29,41,62,15,47,1,1,0,4,3,1,21,14,7,16,13,3,1,0,1,5,4,1,17,4,13,19,4,15,0.9049263351749539,0.1047421731123388,0.8001841620626151,0.0027624309392264,0.0025322283609576,0.0002302025782688,0.0108195211786371,0.003683241252302,0.0071362799263351,0.0013812154696132,0.0009208103130755,0.0004604051565377,0.006675874769797301,0.0043738489871086,0.0023020257826887,0.004834254143646299,0.0029926335174953,0.001841620626151,0.0002302025782688,0.0002302025782688,0.0,0.0002302025782688,0.0002302025782688,0.0,0.0122007366482504,0.0004604051565377,0.0117403314917127,0.0069060773480662,0.0069060773480662,0.0,0.0013812154696132,0.0013812154696132,0.0,0.0161141804788213,0.0066758747697974,0.0094383057090239,0.014272559852670301,0.0034530386740331,0.0108195211786372,0.0002302025782688,0.0002302025782688,0.0,0.0009208103130754,0.0006906077348066,0.0002302025782688,0.0048342541436463,0.0032228360957642,0.0016114180478821,0.0036832412523018997,0.0029926335174953,0.0006906077348066,0.0002302025782688,0.0,0.0002302025782688,0.0011510128913442999,0.0009208103130755,0.0002302025782688,0.0039134438305708,0.0009208103130755,0.0029926335174953,0.0043738489871086,0.0009208103130755,0.0034530386740331,637
2012-02-01,2012,2,4457,520,3937,14,10,4,31,9,22,4,3,1,47,23,24,34,24,10,0,0,0,0,0,0,52,7,45,35,29,6,6,6,0,56,27,29,76,19,57,2,1,1,3,1,2,14,9,5,26,22,4,1,1,0,11,8,3,13,5,8,25,12,13,0.9105209397344228,0.1062308478038815,0.8042900919305414,0.0028600612870275,0.0020429009193054,0.0008171603677221,0.0063329928498467,0.0018386108273748,0.0044943820224719,0.0008171603677221,0.0006128702757916,0.0002042900919305,0.0096016343207353,0.0046986721144024,0.0049029622063329,0.0069458631256383,0.0049029622063329,0.0020429009193054,0.0,0.0,0.0,0.0,0.0,0.0,0.010623084780387999,0.0014300306435137,0.0091930541368743,0.007150153217568801,0.0059244126659856,0.0012257405515832,0.0012257405515832,0.0012257405515832,0.0,0.0114402451481102,0.0055158324821246,0.0059244126659856,0.015526046986721002,0.0038815117466802,0.0116445352400408,0.000408580183861,0.0002042900919305,0.0002042900919305,0.0006128702757915,0.0002042900919305,0.000408580183861,0.0028600612870275,0.0018386108273748,0.0010214504596527,0.005311542390194,0.0044943820224719,0.0008171603677221,0.0002042900919305,0.0002042900919305,0.0,0.0022471910112359,0.0016343207354443,0.0006128702757916,0.0026557711950969997,0.0010214504596527,0.0016343207354443,0.0051072522982634,0.0024514811031664,0.002655771195097,725
2012-03-01,2012,3,4476,539,3937,11,9,2,43,12,31,5,3,2,62,29,33,17,8,9,0,0,0,1,1,0,43,6,37,34,28,6,4,4,0,43,21,22,60,16,44,1,1,0,4,3,1,20,17,3,8,7,1,8,4,4,26,25,1,19,5,14,20,7,13,0.9132830034686799,0.1099775556008977,0.8033054478677821,0.0022444399102224,0.0018363599265456,0.0004080799836768,0.008773719649051201,0.0024484799020608,0.0063252397469904,0.001020199959192,0.0006121199755152,0.0004080799836768,0.0126504794939808,0.0059171597633136,0.0067333197306672,0.0034686798612528,0.0016323199347072,0.0018363599265456,0.0,0.0,0.0,0.0002040399918384,0.0002040399918384,0.0,0.0087737196490512,0.0012242399510304,0.0075494796980208,0.006937359722505599,0.0057131197714752,0.0012242399510304,0.0008161599673536,0.0008161599673536,0.0,0.008773719649051201,0.0042848398286064,0.0044888798204448,0.012242399510304,0.0032646398694144,0.0089777596408896,0.0002040399918384,0.0002040399918384,0.0,0.0008161599673536,0.0006121199755152,0.0002040399918384,0.004080799836768,0.0034686798612528,0.0006121199755152,0.0016323199347072,0.0014282799428688,0.0002040399918384,0.0016323199347072,0.0008161599673536,0.0008161599673536,0.0053050397877984,0.00510099979596,0.0002040399918384,0.0038767598449296,0.001020199959192,0.0028565598857376,0.004080799836768,0.0014282799428688,0.0026525198938992,743
2012-04-01,2012,4,3893,509,3384,11,6,5,26,5,21,2,1,1,53,29,24,16,12,4,0,0,0,1,0,1,39,3,36,19,17,2,2,1,1,47,21,26,46,15,31,2,0,2,2,2,0,12,5,7,4,3,1,2,0,2,10,8,2,11,5,6,28,9,19,0.9229492650545282,0.1206733048838312,0.802275960170697,0.0026078710289236,0.0014224751066856,0.001185395922238,0.0061640587956377,0.001185395922238,0.0049786628733997,0.0004741583688952,0.0002370791844476,0.0002370791844476,0.012565196775723,0.0068752963489805,0.0056899004267425,0.0037932669511616,0.0028449502133712,0.0009483167377904,0.0,0.0,0.0,0.0002370791844476,0.0,0.0002370791844476,0.0092460881934565,0.0007112375533428,0.0085348506401137,0.0045045045045043995,0.0040303461356092,0.0004741583688952,0.0004741583688952,0.0002370791844476,0.0002370791844476,0.0111427216690374,0.0049786628733997,0.0061640587956377,0.0109056424845897,0.003556187766714,0.0073494547178757,0.0004741583688952,0.0,0.0004741583688952,0.0004741583688952,0.0004741583688952,0.0,0.0028449502133712,0.001185395922238,0.0016595542911332,0.0009483167377904,0.0007112375533428,0.0002370791844476,0.0004741583688952,0.0,0.0004741583688952,0.002370791844476,0.0018966334755808,0.0004741583688952,0.0026078710289236,0.001185395922238,0.0014224751066856,0.0066382171645328995,0.0021337126600284,0.0045045045045045,645
2012-05-01,2012,5,4222,546,3676,9,8,1,49,15,34,6,5,1,62,32,30,22,13,9,0,0,0,3,2,1,24,1,23,15,15,0,4,4,0,61,25,36,53,16,37,3,1,2,5,3,2,22,14,8,10,4,6,3,1,2,9,6,3,16,8,8,33,6,27,0.9132597880164395,0.118105126541207,0.7951546614752325,0.0019467878001297,0.0017304780445598,0.0002163097555699,0.0105991780229287,0.0032446463335496,0.0073545316893791,0.0012978585334197002,0.0010815487778498,0.0002163097555699,0.0134112048453384,0.0069219121782392,0.0064892926670992,0.0047588146225393,0.0028120268224096,0.0019467878001297,0.0,0.0,0.0,0.0006489292667098,0.0004326195111399,0.0002163097555699,0.005191434133679299,0.0002163097555699,0.0049751243781094,0.0032446463335496,0.0032446463335496,0.0,0.0008652390222799,0.0008652390222799,0.0,0.0131948950897685,0.0054077438892494,0.0077871512005191,0.0114644170452087,0.0034609560891196,0.0080034609560891,0.0006489292667098,0.0002163097555699,0.0004326195111399,0.0010815487778498,0.0006489292667099,0.0004326195111399,0.0047588146225394,0.0030283365779796,0.0017304780445598,0.0021630975556997,0.0008652390222799,0.0012978585334198,0.0006489292667098,0.0002163097555699,0.0004326195111399,0.0019467878001296999,0.0012978585334198,0.0006489292667099,0.0034609560891196,0.0017304780445598,0.0017304780445598,0.0071382219338091,0.0012978585334198,0.0058403634003893,720
2012-06-01,2012,6,4424,560,3864,7,4,3,40,19,21,4,2,2,56,27,29,20,12,8,3,3,0,2,2,0,45,3,42,55,48,7,2,2,0,65,34,31,60,19,41,3,2,1,6,3,3,19,13,6,6,6,0,4,0,4,10,8,2,14,4,10,24,1,23,0.9095394736842105,0.1151315789473684,0.7944078947368421,0.001439144736842,0.0008223684210526,0.0006167763157894,0.0082236842105263,0.00390625,0.0043174342105263,0.0008223684210526,0.0004111842105263,0.0004111842105263,0.011513157894736701,0.0055509868421052,0.0059621710526315,0.004111842105263,0.0024671052631578,0.0016447368421052,0.0006167763157894,0.0006167763157894,0.0,0.0004111842105263,0.0004111842105263,0.0,0.009251644736841999,0.0006167763157894,0.0086348684210526,0.0113075657894736,0.0098684210526315,0.0014391447368421,0.0004111842105263,0.0004111842105263,0.0,0.0133634868421051,0.0069901315789473,0.0063733552631578,0.0123355263157894,0.00390625,0.0084292763157894,0.0006167763157893999,0.0004111842105263,0.0002055921052631,0.0012335526315788,0.0006167763157894,0.0006167763157894,0.0039062499999999,0.002672697368421,0.0012335526315789,0.0012335526315789,0.0012335526315789,0.0,0.0008223684210526,0.0,0.0008223684210526,0.0020559210526315,0.0016447368421052,0.0004111842105263,0.0028782894736840998,0.0008223684210526,0.0020559210526315,0.004934210526315701,0.0002055921052631,0.0047286184210526,767
2012-07-01,2012,7,4339,525,3814,11,9,2,49,23,26,4,3,1,43,20,23,27,16,11,2,2,0,2,0,2,74,14,60,83,76,7,1,1,0,64,21,43,67,24,43,3,1,2,2,1,1,21,14,7,13,9,4,8,4,4,8,7,1,14,3,11,30,6,24,0.8939019365471774,0.1081582200247218,0.7857437165224557,0.0022661722290893,0.0018541409147095,0.0004120313143798,0.0100947672023073,0.0047383601153687,0.0053564070869386,0.0008240626287597,0.0006180469715698,0.0002060156571899,0.008858673259167602,0.0041203131437989,0.0047383601153687,0.0055624227441285,0.0032962505150391,0.0022661722290894,0.0004120313143798,0.0004120313143798,0.0,0.0004120313143798,0.0,0.0004120313143798,0.015245158632055899,0.0028842192006592,0.0123609394313967,0.0170992995467655,0.0156571899464359,0.0014421096003296,0.0002060156571899,0.0002060156571899,0.0,0.0131850020601564,0.0043263288009888,0.0088586732591676,0.0138030490317263,0.0049443757725587,0.0088586732591676,0.0006180469715697,0.0002060156571899,0.0004120313143798,0.0004120313143798,0.0002060156571899,0.0002060156571899,0.0043263288009888,0.0028842192006592,0.0014421096003296,0.0026782035434692,0.0018541409147095,0.0008240626287597,0.0016481252575194,0.0008240626287597,0.0008240626287597,0.0016481252575195001,0.0014421096003296,0.0002060156571899,0.0028842192006592,0.0006180469715698,0.0022661722290894,0.0061804697156983,0.0012360939431396,0.0049443757725587,772
2012-08-01,2012,8,4886,489,4397,10,8,2,50,22,28,7,4,3,51,22,29,24,12,12,3,3,0,0,0,0,90,5,85,122,114,8,10,10,0,69,33,36,67,12,55,1,0,1,8,6,2,10,7,3,44,41,3,5,3,2,7,5,2,30,11,19,26,9,17,0.8856262461482689,0.0886351277868406,0.7969911183614283,0.0018125793003443,0.0014500634402755,0.0003625158600688,0.0090628965017218,0.0039876744607576,0.0050752220409642,0.001268805510241,0.0007250317201377,0.0005437737901033,0.0092441544317563,0.0039876744607576,0.0052564799709987,0.0043501903208264,0.0021750951604132,0.0021750951604132,0.0005437737901033,0.0005437737901033,0.0,0.0,0.0,0.0,0.0163132137030994,0.0009062896501721,0.0154069240529273,0.0221134674642015,0.020663404023926,0.0014500634402755,0.0018125793003443,0.0018125793003443,0.0,0.0125067971723762,0.0059815116911364,0.0065252854812398,0.0121442813123073,0.0021750951604132,0.0099691861518941,0.0001812579300344,0.0,0.0001812579300344,0.0014500634402753998,0.0010875475802066,0.0003625158600688,0.0018125793003443001,0.001268805510241,0.0005437737901033,0.0079753489215152,0.0074315751314119,0.0005437737901033,0.0009062896501721,0.0005437737901033,0.0003625158600688,0.0012688055102409,0.0009062896501721,0.0003625158600688,0.0054377379010331,0.0019938372303788,0.0034439006706543,0.0047127061808953,0.0016313213703099,0.0030813848105854,815
2012-09-01,2012,9,4229,479,3750,9,4,5,65,27,38,10,6,4,51,22,29,22,14,8,0,0,0,0,0,0,40,3,37,261,238,23,58,58,0,64,30,34,43,10,33,1,0,1,4,1,3,21,10,11,10,6,4,5,3,2,12,9,3,18,5,13,38,8,30,0.853481331987891,0.096670030272452,0.756811301715439,0.0018163471241169002,0.0008072653884964,0.0010090817356205,0.0131180625630675,0.0054490413723511,0.0076690211907164,0.0020181634712411,0.0012108980827447,0.0008072653884964,0.0102926337033298,0.0044399596367305,0.0058526740665993,0.0044399596367305,0.0028254288597376,0.0016145307769929,0.0,0.0,0.0,0.0,0.0,0.0,0.0080726538849646,0.0006054490413723,0.0074672048435923,0.0526740665993944,0.0480322906155398,0.0046417759838546,0.0117053481331987,0.0117053481331987,0.0,0.0129162462159434,0.0060544904137235,0.0068617558022199,0.0086781029263369,0.0020181634712411,0.0066599394550958,0.0002018163471241,0.0,0.0002018163471241,0.0008072653884964,0.0002018163471241,0.0006054490413723,0.0042381432896063,0.0020181634712411,0.0022199798183652,0.0020181634712411,0.0012108980827447,0.0008072653884964,0.0010090817356205,0.0006054490413723,0.0004036326942482,0.0024217961654892997,0.001816347124117,0.0006054490413723,0.003632694248234,0.0010090817356205,0.0026236125126135,0.0076690211907164,0.0016145307769929,0.0060544904137235,927
2012-10-01,2012,10,5099,619,4480,6,6,0,57,13,44,1,1,0,85,41,44,24,15,9,3,2,1,1,1,0,48,1,47,76,68,8,3,3,0,68,34,34,82,20,62,5,3,2,4,2,2,13,8,5,19,12,7,2,2,0,12,6,6,20,3,17,51,12,39,0.899294532627866,0.1091710758377425,0.7901234567901234,0.001058201058201,0.001058201058201,0.0,0.010052910052910001,0.0022927689594356,0.0077601410934744,0.0001763668430335,0.0001763668430335,0.0,0.014991181657848199,0.0072310405643738,0.0077601410934744,0.0042328042328040995,0.0026455026455026,0.0015873015873015,0.0005291005291005,0.000352733686067,0.0001763668430335,0.0001763668430335,0.0001763668430335,0.0,0.0084656084656084,0.0001763668430335,0.0082892416225749,0.0134038800705466,0.0119929453262786,0.001410934744268,0.0005291005291005,0.0005291005291005,0.0,0.0119929453262786,0.0059964726631393,0.0059964726631393,0.0144620811287477,0.0035273368606701,0.0109347442680776,0.0008818342151675,0.0005291005291005,0.000352733686067,0.000705467372134,0.000352733686067,0.000352733686067,0.0022927689594355,0.001410934744268,0.0008818342151675,0.0033509700176366,0.0021164021164021,0.0012345679012345,0.000352733686067,0.000352733686067,0.0,0.002116402116402,0.001058201058201,0.001058201058201,0.0035273368606701,0.0005291005291005,0.0029982363315696,0.008994708994708901,0.0021164021164021,0.0068783068783068,865
