date,year,month,-999,cr_-999,nr_-999,activism,cr_activism,nr_activism,arrest,cr_arrest,nr_arrest,censor,cr_censor,nr_censor,cooperate,cr_cooperate,nr_cooperate,corruption,cr_corruption,nr_corruption,coup,cr_coup,nr_coup,defamationcase,cr_defamationcase,nr_defamationcase,disaster,cr_disaster,nr_disaster,electionactivity,cr_electionactivity,nr_electionactivity,electionirregularities,cr_electionirregularities,nr_electionirregularities,legalaction,cr_legalaction,nr_legalaction,legalchange,cr_legalchange,nr_legalchange,martiallaw,cr_martiallaw,nr_martiallaw,mobilizesecurity,cr_mobilizesecurity,nr_mobilizesecurity,protest,cr_protest,nr_protest,purge,cr_purge,nr_purge,raid,cr_raid,nr_raid,threaten,cr_threaten,nr_threaten,violencelethal,cr_violencelethal,nr_violencelethal,violencenonlethal,cr_violencenonlethal,nr_violencenonlethal,-999Norm,cr_-999Norm,nr_-999Norm,activismNorm,cr_activismNorm,nr_activismNorm,arrestNorm,cr_arrestNorm,nr_arrestNorm,censorNorm,cr_censorNorm,nr_censorNorm,cooperateNorm,cr_cooperateNorm,nr_cooperateNorm,corruptionNorm,cr_corruptionNorm,nr_corruptionNorm,coupNorm,cr_coupNorm,nr_coupNorm,defamationcaseNorm,cr_defamationcaseNorm,nr_defamationcaseNorm,disasterNorm,cr_disasterNorm,nr_disasterNorm,electionactivityNorm,cr_electionactivityNorm,nr_electionactivityNorm,electionirregularitiesNorm,cr_electionirregularitiesNorm,nr_electionirregularitiesNorm,legalactionNorm,cr_legalactionNorm,nr_legalactionNorm,legalchangeNorm,cr_legalchangeNorm,nr_legalchangeNorm,martiallawNorm,cr_martiallawNorm,nr_martiallawNorm,mobilizesecurityNorm,cr_mobilizesecurityNorm,nr_mobilizesecurityNorm,protestNorm,cr_protestNorm,nr_protestNorm,purgeNorm,cr_purgeNorm,nr_purgeNorm,raidNorm,cr_raidNorm,nr_raidNorm,threatenNorm,cr_threatenNorm,nr_threatenNorm,violencelethalNorm,cr_violencelethalNorm,nr_violencelethalNorm,violencenonlethalNorm,cr_violencenonlethalNorm,nr_violencenonlethalNorm,total_articles
2012-01-01,2012,1,614,97,517,4,2,2,30,5,25,0,0,0,14,9,5,11,9,2,0,0,0,6,3,3,23,2,21,6,6,0,2,2,0,47,26,21,11,3,8,0,0,0,0,0,0,16,12,4,2,0,2,0,0,0,2,1,1,17,3,14,19,4,15,0.7552275522755227,0.1193111931119311,0.6359163591635917,0.004920049200492,0.002460024600246,0.002460024600246,0.03690036900369,0.006150061500615,0.030750307503075,0.0,0.0,0.0,0.017220172201722,0.011070110701107,0.006150061500615,0.013530135301353,0.011070110701107,0.002460024600246,0.0,0.0,0.0,0.007380073800738,0.003690036900369,0.003690036900369,0.028290282902829,0.002460024600246,0.025830258302583,0.007380073800738,0.007380073800738,0.0,0.002460024600246,0.002460024600246,0.0,0.057810578105780996,0.031980319803198,0.025830258302583,0.013530135301353,0.003690036900369,0.009840098400984,0.0,0.0,0.0,0.0,0.0,0.0,0.019680196801968,0.014760147601476,0.004920049200492,0.002460024600246,0.0,0.002460024600246,0.0,0.0,0.0,0.002460024600246,0.001230012300123,0.001230012300123,0.020910209102090998,0.003690036900369,0.017220172201722,0.023370233702337,0.004920049200492,0.018450184501845,178
2012-02-01,2012,2,567,101,466,9,4,5,30,6,24,0,0,0,16,6,10,10,7,3,1,1,0,4,2,2,20,1,19,12,10,2,1,1,0,49,21,28,10,4,6,0,0,0,1,1,0,9,5,4,5,4,1,1,0,1,0,0,0,20,9,11,24,4,20,0.7297297297297297,0.12998712998713,0.5997425997425997,0.011583011583011501,0.0051480051480051,0.0064350064350064,0.0386100386100385,0.0077220077220077,0.0308880308880308,0.0,0.0,0.0,0.020592020592020498,0.0077220077220077,0.0128700128700128,0.0128700128700128,0.009009009009009,0.0038610038610038,0.0012870012870012,0.0012870012870012,0.0,0.005148005148005,0.0025740025740025,0.0025740025740025,0.0257400257400256,0.0012870012870012,0.0244530244530244,0.0154440154440153,0.0128700128700128,0.0025740025740025,0.0012870012870012,0.0012870012870012,0.0,0.063063063063063,0.027027027027027,0.036036036036036,0.0128700128700128,0.0051480051480051,0.0077220077220077,0.0,0.0,0.0,0.0012870012870012,0.0012870012870012,0.0,0.011583011583011501,0.0064350064350064,0.0051480051480051,0.0064350064350063,0.0051480051480051,0.0012870012870012,0.0012870012870012,0.0,0.0012870012870012,0.0,0.0,0.0,0.0257400257400256,0.0115830115830115,0.0141570141570141,0.0308880308880308,0.0051480051480051,0.0257400257400257,180
2012-03-01,2012,3,626,141,485,6,5,1,38,6,32,0,0,0,29,16,13,13,4,9,0,0,0,4,1,3,23,5,18,12,11,1,1,1,0,42,13,29,8,4,4,0,0,0,6,3,3,9,7,2,9,7,2,1,0,1,1,0,1,8,1,7,33,7,26,0.727906976744186,0.163953488372093,0.563953488372093,0.0069767441860464005,0.005813953488372,0.0011627906976744,0.044186046511627795,0.0069767441860465,0.0372093023255813,0.0,0.0,0.0,0.033720930232558,0.0186046511627906,0.0151162790697674,0.0151162790697673,0.0046511627906976,0.0104651162790697,0.0,0.0,0.0,0.0046511627906976,0.0011627906976744,0.0034883720930232,0.0267441860465115,0.005813953488372,0.0209302325581395,0.013953488372092999,0.0127906976744186,0.0011627906976744,0.0011627906976744,0.0011627906976744,0.0,0.048837209302325504,0.0151162790697674,0.0337209302325581,0.0093023255813952,0.0046511627906976,0.0046511627906976,0.0,0.0,0.0,0.0069767441860464,0.0034883720930232,0.0034883720930232,0.010465116279069701,0.0081395348837209,0.0023255813953488,0.010465116279069701,0.0081395348837209,0.0023255813953488,0.0011627906976744,0.0,0.0011627906976744,0.0011627906976744,0.0,0.0011627906976744,0.0093023255813953,0.0011627906976744,0.0081395348837209,0.0383720930232557,0.0081395348837209,0.0302325581395348,230
2012-04-01,2012,4,582,119,463,11,6,5,37,8,29,2,1,1,19,11,8,3,1,2,3,0,3,0,0,0,27,10,17,16,16,0,1,1,0,23,10,13,6,3,3,0,0,0,2,2,0,16,11,5,3,3,0,0,0,0,3,1,2,23,15,8,23,9,14,0.7265917602996254,0.1485642946317103,0.5780274656679151,0.013732833957553,0.0074906367041198,0.0062421972534332,0.0461922596754057,0.0099875156054931,0.0362047440699126,0.0024968789013732,0.0012484394506866,0.0012484394506866,0.0237203495630461,0.013732833957553,0.0099875156054931,0.0037453183520598002,0.0012484394506866,0.0024968789013732,0.0037453183520599,0.0,0.0037453183520599,0.0,0.0,0.0,0.033707865168539304,0.0124843945068664,0.0212234706616729,0.0199750312109862,0.0199750312109862,0.0,0.0012484394506866,0.0012484394506866,0.0,0.028714107365792697,0.0124843945068664,0.0162297128589263,0.0074906367041198,0.0037453183520599,0.0037453183520599,0.0,0.0,0.0,0.0024968789013732,0.0024968789013732,0.0,0.0199750312109862,0.013732833957553,0.0062421972534332,0.0037453183520599,0.0037453183520599,0.0,0.0,0.0,0.0,0.0037453183520598002,0.0012484394506866,0.0024968789013732,0.028714107365792697,0.0187265917602996,0.0099875156054931,0.0287141073657926,0.0112359550561797,0.0174781523096129,227
2012-05-01,2012,5,815,163,652,7,6,1,37,10,27,2,2,0,34,26,8,10,7,3,0,0,0,0,0,0,36,8,28,15,11,4,1,1,0,38,19,19,9,3,6,1,0,1,3,2,1,17,12,5,2,2,0,4,1,3,2,1,1,26,8,18,36,12,24,0.7456541628545288,0.1491308325709057,0.596523330283623,0.0064043915827995,0.0054894784995425,0.000914913083257,0.0338517840805123,0.0091491308325709,0.0247026532479414,0.0018298261665141,0.0018298261665141,0.0,0.031107044830740997,0.0237877401646843,0.0073193046660567,0.0091491308325708,0.0064043915827996,0.0027447392497712,0.0,0.0,0.0,0.0,0.0,0.0,0.0329368709972552,0.0073193046660567,0.0256175663311985,0.0137236962488562,0.0100640439158279,0.0036596523330283,0.000914913083257,0.000914913083257,0.0,0.0347666971637694,0.0173833485818847,0.0173833485818847,0.0082342177493137,0.0027447392497712,0.0054894784995425,0.000914913083257,0.0,0.000914913083257,0.0027447392497711,0.0018298261665141,0.000914913083257,0.015553522415370401,0.010978956999085,0.0045745654162854,0.0018298261665141,0.0018298261665141,0.0,0.0036596523330282003,0.000914913083257,0.0027447392497712,0.001829826166514,0.000914913083257,0.000914913083257,0.023787740164684303,0.0073193046660567,0.0164684354986276,0.032936870997255105,0.010978956999085,0.0219579139981701,293
2012-06-01,2012,6,763,149,614,6,3,3,36,5,31,2,2,0,29,23,6,8,8,0,1,1,0,1,1,0,24,2,22,36,33,3,5,5,0,48,27,21,13,8,5,0,0,0,3,3,0,16,10,6,3,3,0,0,0,0,0,0,0,12,4,8,17,6,11,0.7502458210422811,0.1465093411996066,0.6037364798426745,0.0058997050147492,0.0029498525073746,0.0029498525073746,0.0353982300884954,0.0049164208456243,0.0304818092428711,0.0019665683382497,0.0019665683382497,0.0,0.0285152409046213,0.0226155358898721,0.0058997050147492,0.007866273352999,0.007866273352999,0.0,0.0009832841691248,0.0009832841691248,0.0,0.0009832841691248,0.0009832841691248,0.0,0.0235988200589969,0.0019665683382497,0.0216322517207472,0.035398230088495505,0.0324483775811209,0.0029498525073746,0.0049164208456243,0.0049164208456243,0.0,0.047197640117994,0.0265486725663716,0.0206489675516224,0.012782694198623299,0.007866273352999,0.0049164208456243,0.0,0.0,0.0,0.0029498525073746,0.0029498525073746,0.0,0.0157325467059979,0.0098328416912487,0.0058997050147492,0.0029498525073746,0.0029498525073746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0117994100294985,0.0039331366764995,0.007866273352999,0.0167158308751228,0.0058997050147492,0.0108161258603736,286
2012-07-01,2012,7,772,201,571,9,4,5,34,10,24,1,1,0,49,37,12,7,4,3,2,1,1,2,1,1,33,5,28,8,7,1,0,0,0,40,15,25,13,8,5,0,0,0,16,16,0,10,5,5,6,5,1,4,2,2,3,3,0,23,9,14,19,3,16,0.7366412213740459,0.191793893129771,0.5448473282442748,0.0085877862595419,0.0038167938931297,0.0047709923664122,0.032442748091603,0.0095419847328244,0.0229007633587786,0.0009541984732824,0.0009541984732824,0.0,0.046755725190839606,0.0353053435114503,0.0114503816793893,0.006679389312977,0.0038167938931297,0.0028625954198473,0.0019083969465648,0.0009541984732824,0.0009541984732824,0.0019083969465648,0.0009541984732824,0.0009541984732824,0.0314885496183205,0.0047709923664122,0.0267175572519083,0.0076335877862594,0.006679389312977,0.0009541984732824,0.0,0.0,0.0,0.0381679389312976,0.0143129770992366,0.023854961832061,0.0124045801526717,0.0076335877862595,0.0047709923664122,0.0,0.0,0.0,0.015267175572519,0.015267175572519,0.0,0.0095419847328244,0.0047709923664122,0.0047709923664122,0.0057251908396946,0.0047709923664122,0.0009541984732824,0.0038167938931296,0.0019083969465648,0.0019083969465648,0.0028625954198473,0.0028625954198473,0.0,0.021946564885495998,0.0085877862595419,0.0133587786259541,0.0181297709923663,0.0028625954198473,0.015267175572519,335
2012-08-01,2012,8,750,178,572,7,4,3,40,7,33,1,1,0,25,12,13,11,7,4,0,0,0,3,1,2,23,6,17,8,6,2,1,1,0,51,18,33,6,2,4,0,0,0,2,1,1,10,6,4,4,3,1,5,1,4,0,0,0,20,6,14,35,10,25,0.7568113017154389,0.1796165489404641,0.5771947527749748,0.0070635721493440004,0.0040363269424823,0.0030272452068617,0.0403632694248233,0.007063572149344,0.0332996972754793,0.0010090817356205,0.0010090817356205,0.0,0.025227043390514597,0.012108980827447,0.0131180625630676,0.0110998990918263,0.007063572149344,0.0040363269424823,0.0,0.0,0.0,0.0030272452068616,0.0010090817356205,0.0020181634712411,0.0232088799192734,0.0060544904137235,0.0171543895055499,0.0080726538849646,0.0060544904137235,0.0020181634712411,0.0010090817356205,0.0010090817356205,0.0,0.0514631685166498,0.0181634712411705,0.0332996972754793,0.0060544904137234,0.0020181634712411,0.0040363269424823,0.0,0.0,0.0,0.002018163471241,0.0010090817356205,0.0010090817356205,0.0100908173562058,0.0060544904137235,0.0040363269424823,0.0040363269424822,0.0030272452068617,0.0010090817356205,0.005045408678102801,0.0010090817356205,0.0040363269424823,0.0,0.0,0.0,0.0201816347124116,0.0060544904137235,0.0141271442986881,0.0353178607467204,0.0100908173562058,0.0252270433905146,263
2012-09-01,2012,9,708,164,544,5,4,1,43,9,34,0,0,0,27,15,12,20,11,9,1,1,0,1,1,0,43,15,28,7,7,0,1,1,0,63,24,39,13,4,9,0,0,0,2,2,0,12,8,4,7,5,2,1,0,1,0,0,0,19,8,11,19,6,13,0.7246673490276355,0.1678607983623336,0.5568065506653019,0.0051177072671442,0.0040941658137154,0.0010235414534288,0.044012282497441005,0.0092118730808597,0.0348004094165813,0.0,0.0,0.0,0.0276356192425792,0.0153531218014329,0.0122824974411463,0.020470829068577202,0.0112589559877175,0.0092118730808597,0.0010235414534288,0.0010235414534288,0.0,0.0010235414534288,0.0010235414534288,0.0,0.044012282497441005,0.0153531218014329,0.0286591606960081,0.007164790174002,0.007164790174002,0.0,0.0010235414534288,0.0010235414534288,0.0,0.0644831115660183,0.0245649948822927,0.0399181166837256,0.0133060388945751,0.0040941658137154,0.0092118730808597,0.0,0.0,0.0,0.0020470829068577,0.0020470829068577,0.0,0.0122824974411463,0.0081883316274309,0.0040941658137154,0.007164790174001999,0.0051177072671443,0.0020470829068577,0.0010235414534288,0.0,0.0010235414534288,0.0,0.0,0.0,0.0194472876151484,0.0081883316274309,0.0112589559877175,0.0194472876151483,0.0061412487205731,0.0133060388945752,275
2012-10-01,2012,10,760,194,566,9,8,1,35,7,28,2,2,0,18,7,11,10,3,7,0,0,0,0,0,0,25,6,19,25,23,2,0,0,0,46,21,25,9,3,6,1,1,0,0,0,0,13,10,3,10,6,4,1,0,1,1,0,1,21,10,11,28,6,22,0.753968253968254,0.1924603174603174,0.5615079365079365,0.0089285714285713,0.0079365079365079,0.0009920634920634,0.0347222222222221,0.0069444444444444,0.0277777777777777,0.0019841269841269,0.0019841269841269,0.0,0.0178571428571428,0.0069444444444444,0.0109126984126984,0.0099206349206348,0.0029761904761904,0.0069444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0248015873015872,0.0059523809523809,0.0188492063492063,0.0248015873015872,0.0228174603174603,0.0019841269841269,0.0,0.0,0.0,0.0456349206349206,0.0208333333333333,0.0248015873015873,0.0089285714285713,0.0029761904761904,0.0059523809523809,0.0009920634920634,0.0009920634920634,0.0,0.0,0.0,0.0,0.012896825396825299,0.0099206349206349,0.0029761904761904,0.0099206349206348,0.0059523809523809,0.0039682539682539,0.0009920634920634,0.0,0.0009920634920634,0.0009920634920634,0.0,0.0009920634920634,0.0208333333333333,0.0099206349206349,0.0109126984126984,0.0277777777777777,0.0059523809523809,0.0218253968253968,305
