date,year,month,-999,cr_-999,nr_-999,activism,cr_activism,nr_activism,arrest,cr_arrest,nr_arrest,censor,cr_censor,nr_censor,cooperate,cr_cooperate,nr_cooperate,corruption,cr_corruption,nr_corruption,coup,cr_coup,nr_coup,defamationcase,cr_defamationcase,nr_defamationcase,disaster,cr_disaster,nr_disaster,electionactivity,cr_electionactivity,nr_electionactivity,electionirregularities,cr_electionirregularities,nr_electionirregularities,legalaction,cr_legalaction,nr_legalaction,legalchange,cr_legalchange,nr_legalchange,martiallaw,cr_martiallaw,nr_martiallaw,mobilizesecurity,cr_mobilizesecurity,nr_mobilizesecurity,protest,cr_protest,nr_protest,purge,cr_purge,nr_purge,raid,cr_raid,nr_raid,threaten,cr_threaten,nr_threaten,violencelethal,cr_violencelethal,nr_violencelethal,violencenonlethal,cr_violencenonlethal,nr_violencenonlethal,-999Norm,cr_-999Norm,nr_-999Norm,activismNorm,cr_activismNorm,nr_activismNorm,arrestNorm,cr_arrestNorm,nr_arrestNorm,censorNorm,cr_censorNorm,nr_censorNorm,cooperateNorm,cr_cooperateNorm,nr_cooperateNorm,corruptionNorm,cr_corruptionNorm,nr_corruptionNorm,coupNorm,cr_coupNorm,nr_coupNorm,defamationcaseNorm,cr_defamationcaseNorm,nr_defamationcaseNorm,disasterNorm,cr_disasterNorm,nr_disasterNorm,electionactivityNorm,cr_electionactivityNorm,nr_electionactivityNorm,electionirregularitiesNorm,cr_electionirregularitiesNorm,nr_electionirregularitiesNorm,legalactionNorm,cr_legalactionNorm,nr_legalactionNorm,legalchangeNorm,cr_legalchangeNorm,nr_legalchangeNorm,martiallawNorm,cr_martiallawNorm,nr_martiallawNorm,mobilizesecurityNorm,cr_mobilizesecurityNorm,nr_mobilizesecurityNorm,protestNorm,cr_protestNorm,nr_protestNorm,purgeNorm,cr_purgeNorm,nr_purgeNorm,raidNorm,cr_raidNorm,nr_raidNorm,threatenNorm,cr_threatenNorm,nr_threatenNorm,violencelethalNorm,cr_violencelethalNorm,nr_violencelethalNorm,violencenonlethalNorm,cr_violencenonlethalNorm,nr_violencenonlethalNorm,total_articles
2012-01-01,2012,1,2979,726,2253,3,2,1,85,19,66,1,1,0,46,34,12,68,51,17,0,0,0,2,2,0,64,15,49,45,43,2,3,2,1,232,171,61,58,18,40,5,3,2,11,7,4,7,5,2,20,15,5,5,1,4,7,4,3,88,43,45,83,36,47,0.7912350597609562,0.1928286852589641,0.5984063745019921,0.0007968127490038,0.0005312084993359,0.0002656042496679,0.022576361221779397,0.0050464807436918,0.0175298804780876,0.0002656042496679,0.0002656042496679,0.0,0.012217795484727699,0.0090305444887118,0.0031872509960159,0.0180610889774236,0.0135458167330677,0.0045152722443559,0.0,0.0,0.0,0.0005312084993359,0.0005312084993359,0.0,0.0169986719787516,0.0039840637450199,0.0130146082337317,0.011952191235059601,0.0114209827357237,0.0005312084993359,0.0007968127490038,0.0005312084993359,0.0002656042496679,0.061620185922974594,0.045418326693227,0.0162018592297476,0.0154050464807436,0.0047808764940239,0.0106241699867197,0.0013280212483398,0.0007968127490039,0.0005312084993359,0.0029216467463478,0.0018592297476759,0.0010624169986719,0.0018592297476758002,0.0013280212483399,0.0005312084993359,0.005312084993359801,0.0039840637450199,0.0013280212483399,0.0013280212483398,0.0002656042496679,0.0010624169986719,0.0018592297476758,0.0010624169986719,0.0007968127490039,0.023373173970783402,0.0114209827357237,0.0119521912350597,0.0220451527224435,0.0095617529880478,0.0124833997343957,1161
2012-02-01,2012,2,8407,1906,6501,15,10,5,185,67,118,4,4,0,119,64,55,157,93,64,6,5,1,1,1,0,100,28,72,100,92,8,11,10,1,421,290,131,113,51,62,5,2,3,28,16,12,61,45,16,40,28,12,7,2,5,10,6,4,109,62,47,151,83,68,0.8444154278826839,0.1914423463238248,0.652973081558859,0.0015066291683406001,0.0010044194455604,0.0005022097227802,0.0185817597428686,0.0067296102852551,0.0118521494576135,0.0004017677782241,0.0004017677782241,0.0,0.0119525914021694,0.0064282844515869,0.0055243069505825,0.0157693852952992,0.0093411008437123,0.0064282844515869,0.0006026516673362,0.0005022097227802,0.000100441944556,0.000100441944556,0.000100441944556,0.0,0.0100441944556046,0.0028123744475693,0.0072318200080353,0.0100441944556045,0.0092406588991562,0.0008035355564483,0.0011048613901164,0.0010044194455604,0.000100441944556,0.0422860586580956,0.0291281639212535,0.0131578947368421,0.0113499397348331,0.0051225391723583,0.0062274005624748,0.0005022097227801,0.000200883889112,0.0003013258336681,0.0028123744475692,0.0016070711128967,0.0012053033346725,0.006126958617918701,0.004519887505022,0.0016070711128967,0.0040176777822418,0.0028123744475693,0.0012053033346725,0.0007030936118922,0.000200883889112,0.0005022097227802,0.0010044194455603,0.0006026516673362,0.0004017677782241,0.0109481719566089,0.0062274005624748,0.0047207713941341,0.0151667336279629,0.0083366813981518,0.0068300522298111,2812
2012-03-01,2012,3,8788,1967,6821,11,11,0,170,58,112,2,1,1,100,60,40,117,90,27,0,0,0,10,9,1,122,32,90,94,86,8,4,4,0,357,246,111,136,65,71,5,0,5,34,23,11,90,65,25,70,51,19,6,4,2,29,23,6,146,101,45,152,90,62,0.8487541046938382,0.1899748889318138,0.6587792157620244,0.0010623913463395,0.0010623913463395,0.0,0.0164187753525207,0.0056016998261541,0.0108170755263666,0.00019316206297083252,9.658103148541626e-05,9.658103148541626e-05,0.0096581031485415,0.0057948618891249,0.0038632412594166,0.0112999806837936,0.0086922928336874,0.0026076878501062,0.0,0.0,0.0,0.0009658103148541163,0.0008692292833687,9.658103148541626e-05,0.011782885841220699,0.0030905930075333,0.0086922928336874,0.009078616959628999,0.0083059687077457,0.0007726482518833,0.0003863241259416,0.0003863241259416,0.0,0.034479428240293604,0.0237589337454124,0.0107204944948812,0.013135020282016501,0.006277767046552,0.0068572532354645,0.000482905157427,0.0,0.000482905157427,0.0032837550705040004,0.0022213637241645,0.0010623913463395,0.008692292833687401,0.006277767046552,0.0024145257871354,0.0067606722039791,0.0049256326057562,0.0018350395982229,0.0005794861889124,0.0003863241259416,0.0001931620629708,0.0028008499130769,0.0022213637241645,0.0005794861889124,0.0141008305968707,0.009754684180027,0.0043461464168437,0.0146803167857832,0.0086922928336874,0.0059880239520958,2914
2012-04-01,2012,4,8702,1889,6813,11,6,5,104,42,62,0,0,0,98,61,37,163,103,60,5,4,1,1,1,0,209,75,134,63,56,7,3,3,0,381,270,111,138,59,79,4,3,1,18,14,4,66,39,27,84,63,21,13,4,9,15,9,6,146,83,63,132,73,59,0.8460042776589539,0.1836476764534318,0.6623566012055221,0.0010694147384794,0.0005833171300797,0.0004860976083997,0.0101108302547151,0.004083219910558,0.0060276103441571,0.0,0.0,0.0,0.0095275131246353,0.0059303908224771,0.0035971223021582,0.015846782033832302,0.0100136107330351,0.0058331713007972,0.0004860976083997533,0.0003888780867198,9.721952167995334e-05,9.721952167995334e-05,9.721952167995334e-05,0.0,0.0203188800311102,0.0072914641259965,0.0130274159051137,0.0061248298658369005,0.0054442932140773,0.0006805366517596,0.0002916585650398,0.0002916585650398,0.0,0.0370406377600622,0.0262492708535874,0.0107913669064748,0.0134162939918335,0.0057359517791172,0.0076803422127163,0.0003888780867197533,0.0002916585650398,9.721952167995334e-05,0.0017499513902391,0.0013610733035193,0.0003888780867198,0.0064164884308768,0.0037915613455181,0.0026249270853587,0.008166439821116,0.006124829865837,0.002041609955279,0.0012638537818393,0.0003888780867198,0.0008749756951195,0.0014582928251992001,0.0008749756951195,0.0005833171300797,0.0141940501652731,0.0080692202994361,0.006124829865837,0.012832976861753699,0.0070970250826365,0.0057359517791172,2808
2012-05-01,2012,5,9208,2153,7055,7,3,4,163,74,89,0,0,0,78,41,37,151,111,40,7,6,1,5,5,0,117,32,85,100,92,8,9,8,1,489,371,118,176,74,102,4,3,1,22,14,8,58,40,18,49,41,8,5,0,5,20,11,9,136,82,54,206,130,76,0.8429146832662028,0.1970889783961918,0.645825704870011,0.0006407909190772,0.0002746246796045,0.0003661662394727,0.014921274258513301,0.0067740754302453,0.008147198828268,0.0,0.0,0.0,0.0071402416697178995,0.0037532039545953,0.0033870377151226,0.0138227755400951,0.0101611131453679,0.0036616623947272,0.0006407909190771802,0.000549249359209,9.154155986818016e-05,0.0004577077993409,0.0004577077993409,0.0,0.010710362504577,0.0029293299157817,0.0077810325887953,0.009154155986817899,0.0084218235078725,0.0007323324789454,0.0008238740388135801,0.0007323324789454,9.154155986818016e-05,0.04476382277554,0.0339619187110948,0.0108019040644452,0.0161113145367996,0.0067740754302453,0.0093372391065543,0.0003661662394726802,0.0002746246796045,9.154155986818016e-05,0.0020139143170999,0.0012815818381545,0.0007323324789454,0.0053094104723544,0.0036616623947272,0.0016477480776272,0.0044855364335407,0.0037532039545953,0.0007323324789454,0.0004577077993409,0.0,0.0004577077993409,0.0018308311973634999,0.0010069571585499,0.0008238740388136,0.012449652142072401,0.0075064079091907,0.0049432442328817,0.018857561332845,0.0119004027828634,0.0069571585499816,3223
2012-06-01,2012,6,6622,1722,4900,13,7,6,133,65,68,1,1,0,80,47,33,99,69,30,6,6,0,2,1,1,120,46,74,90,80,10,17,14,3,361,258,103,223,150,73,4,2,2,24,17,7,36,27,9,67,61,6,6,2,4,21,15,6,128,54,74,132,76,56,0.8151157065484982,0.2119645494830133,0.6031511570654849,0.0016001969473165,0.0008616445100935,0.000738552437223,0.0163712456917773,0.0080009847365829,0.0083702609551944,0.0001230920728705,0.0001230920728705,0.0,0.009847365829640499,0.0057853274249138,0.0040620384047267,0.0121861152141801,0.0084933530280649,0.0036927621861152,0.000738552437223,0.000738552437223,0.0,0.000246184145741,0.0001230920728705,0.0001230920728705,0.0147710487444608,0.0056622353520433,0.0091088133924175,0.011078286558345501,0.0098473658296405,0.001230920728705,0.0020925652387985003,0.001723289020187,0.0003692762186115,0.044436238306253,0.0317577548005908,0.0126784835056622,0.027449532250122997,0.018463810930576,0.008985721319547,0.000492368291482,0.000246184145741,0.000246184145741,0.0029542097488921,0.0020925652387986,0.0008616445100935,0.0044313146233381,0.0033234859675036,0.0011078286558345,0.0082471688823239,0.0075086164451009,0.000738552437223,0.000738552437223,0.000246184145741,0.000492368291482,0.0025849335302806,0.0018463810930576,0.000738552437223,0.0157557853274248,0.0066469719350073,0.0091088133924175,0.016248153618906802,0.0093549975381585,0.0068931560807483,2677
2012-07-01,2012,7,7172,1633,5539,11,9,2,158,53,105,2,1,1,85,54,31,124,94,30,7,7,0,10,9,1,129,52,77,108,102,6,28,27,1,417,291,126,128,70,58,4,3,1,27,20,7,55,32,23,56,46,10,11,4,7,20,15,5,135,62,73,184,110,74,0.8155560609506481,0.1856947919035706,0.6298612690470775,0.0012508528542187,0.0010234250625426,0.0002274277916761,0.0179667955424151,0.0060268364794177,0.0119399590629974,0.000227427791676,0.000113713895838,0.000113713895838,0.009665681146236,0.0061405503752558,0.0035251307709802,0.0141005230839208,0.0106891062087787,0.0034114168751421,0.0007959972708664,0.0007959972708664,0.0,0.0011371389583806,0.0010234250625426,0.000113713895838,0.0146690925631111,0.0059131225835797,0.0087559699795314,0.012281100750511599,0.0115988173754832,0.0006822833750284,0.0031839890834659,0.0030702751876279,0.000113713895838,0.0474186945644756,0.0330907436888787,0.0143279508755969,0.014555378667273099,0.007959972708665,0.0065954059586081,0.00045485558335220004,0.0003411416875142,0.000113713895838,0.0030702751876278004,0.0022742779167614,0.0007959972708664,0.0062542642710938,0.0036388446668182,0.0026154196042756,0.0063679781669319,0.0052308392085512,0.0011371389583807,0.0012508528542186,0.0004548555833522,0.0007959972708664,0.0022742779167613,0.001705708437571,0.0005685694791903,0.015351375938139601,0.0070502615419604,0.0083011143961792,0.020923356834205,0.0125085285421878,0.0084148282920172,2635
2012-08-01,2012,8,7179,1666,5513,7,5,2,134,52,82,3,3,0,168,136,32,86,66,20,3,3,0,10,10,0,105,37,68,69,68,1,4,4,0,391,286,105,110,40,70,3,0,3,24,16,8,92,69,23,74,66,8,15,4,11,9,4,5,151,78,73,157,79,78,0.8225252062328139,0.1908799266727772,0.6316452795600367,0.000802016498625,0.0005728689275893,0.0002291475710357,0.015352887259395001,0.0059578368469294,0.0093950504124656,0.0003437213565536,0.0003437213565536,0.0,0.0192483959670026,0.0155820348304307,0.0036663611365719,0.009853345554536999,0.0075618698441796,0.0022914757103574,0.0003437213565536,0.0003437213565536,0.0,0.0011457378551787,0.0011457378551787,0.0,0.0120302474793766,0.0042392300641613,0.0077910174152153,0.0079055912007331,0.0077910174152153,0.0001145737855178,0.0004582951420714,0.0004582951420714,0.0,0.0447983501374885,0.0327681026581118,0.0120302474793767,0.012603116406966,0.0045829514207149,0.0080201649862511,0.0003437213565536,0.0,0.0003437213565536,0.0027497708524287998,0.0018331805682859,0.0009165902841429,0.010540788267644199,0.0079055912007332,0.002635197066911,0.0084784601283225,0.0075618698441796,0.0009165902841429,0.001718606782768,0.0004582951420714,0.0012603116406966,0.0010311640696607,0.0004582951420714,0.0005728689275893,0.017300641613198803,0.0089367552703941,0.0083638863428047,0.0179880843263061,0.009051329055912,0.0089367552703941,2637
2012-09-01,2012,9,7916,1791,6125,10,4,6,171,80,91,1,0,1,210,156,54,109,82,27,4,2,2,1,1,0,119,40,79,87,82,5,8,8,0,393,267,126,124,48,76,6,1,5,14,8,6,60,49,11,37,31,6,8,2,6,12,11,1,151,72,79,128,59,69,0.8339654445849136,0.188685208596713,0.6452802359882006,0.0010535187526337,0.0004214075010535,0.0006321112515802,0.0180151706700378,0.0084281500210703,0.0095870206489675,0.0001053518752633,0.0,0.0001053518752633,0.0221238938053097,0.0164348925410872,0.0056890012642225,0.0114833544037083,0.0086388537715971,0.0028445006321112,0.0004214075010534,0.0002107037505267,0.0002107037505267,0.0001053518752633,0.0001053518752633,0.0,0.012536873156342,0.0042140750105351,0.0083227981458069,0.009165613147913901,0.0086388537715971,0.0005267593763168,0.000842815002107,0.000842815002107,0.0,0.0414032869785081,0.0281289506953223,0.0132743362831858,0.013063632532658999,0.0050568900126422,0.0080067425200168,0.0006321112515801,0.0001053518752633,0.0005267593763168,0.0014749262536872,0.000842815002107,0.0006321112515802,0.0063211125158027,0.0051622418879056,0.0011588706278971,0.0038980193847449,0.0032659081331647,0.0006321112515802,0.0008428150021069,0.0002107037505267,0.0006321112515802,0.0012642225031604,0.0011588706278971,0.0001053518752633,0.015908133164770202,0.0075853350189633,0.0083227981458069,0.0134850400337125,0.0062157606405394,0.0072692793931731,2737
2012-10-01,2012,10,7762,1952,5810,14,12,2,162,78,84,2,2,0,180,139,41,133,90,43,8,4,4,7,4,3,143,49,94,109,105,4,5,5,0,395,264,131,194,93,101,6,4,2,23,13,10,92,63,29,56,51,5,9,2,7,14,6,8,111,72,39,118,66,52,0.822332874245153,0.2068015679627079,0.6155313062824451,0.0014832079669456,0.0012713211145248,0.0002118868524208,0.0171628350460853,0.0082635872444114,0.0088992478016739,0.0002118868524208,0.0002118868524208,0.0,0.019069816717872598,0.0147261362432461,0.0043436804746265,0.014090475685983601,0.0095349083589363,0.0045555673270473,0.0008475474096832,0.0004237737048416,0.0004237737048416,0.0007416039834728,0.0004237737048416,0.0003178302786312,0.0151499099480876,0.0051912278843097,0.0099586820637779,0.0115478334569339,0.0111240597520923,0.0004237737048416,0.000529717131052,0.000529717131052,0.0,0.041847653353109304,0.0279690645195465,0.0138785888335628,0.0205530246848182,0.0098527386375675,0.0107002860472507,0.0006356605572624,0.0004237737048416,0.0002118868524208,0.0024366988028392,0.0013772645407352,0.001059434262104,0.0097467952113571,0.0066744358512554,0.0030723593601017,0.0059328318677825,0.0054031147367305,0.000529717131052,0.0009534908358936,0.0002118868524208,0.0007416039834728,0.0014832079669456,0.0006356605572624,0.0008475474096832,0.0117597203093547,0.007627926687149,0.0041317936222057,0.0125013242928275,0.0069922661298866,0.0055090581629409,3003
