date,year,month,-999,cr_-999,nr_-999,activism,cr_activism,nr_activism,arrest,cr_arrest,nr_arrest,censor,cr_censor,nr_censor,cooperate,cr_cooperate,nr_cooperate,corruption,cr_corruption,nr_corruption,coup,cr_coup,nr_coup,defamationcase,cr_defamationcase,nr_defamationcase,disaster,cr_disaster,nr_disaster,electionactivity,cr_electionactivity,nr_electionactivity,electionirregularities,cr_electionirregularities,nr_electionirregularities,legalaction,cr_legalaction,nr_legalaction,legalchange,cr_legalchange,nr_legalchange,martiallaw,cr_martiallaw,nr_martiallaw,mobilizesecurity,cr_mobilizesecurity,nr_mobilizesecurity,protest,cr_protest,nr_protest,purge,cr_purge,nr_purge,raid,cr_raid,nr_raid,threaten,cr_threaten,nr_threaten,violencelethal,cr_violencelethal,nr_violencelethal,violencenonlethal,cr_violencenonlethal,nr_violencenonlethal,-999Norm,cr_-999Norm,nr_-999Norm,activismNorm,cr_activismNorm,nr_activismNorm,arrestNorm,cr_arrestNorm,nr_arrestNorm,censorNorm,cr_censorNorm,nr_censorNorm,cooperateNorm,cr_cooperateNorm,nr_cooperateNorm,corruptionNorm,cr_corruptionNorm,nr_corruptionNorm,coupNorm,cr_coupNorm,nr_coupNorm,defamationcaseNorm,cr_defamationcaseNorm,nr_defamationcaseNorm,disasterNorm,cr_disasterNorm,nr_disasterNorm,electionactivityNorm,cr_electionactivityNorm,nr_electionactivityNorm,electionirregularitiesNorm,cr_electionirregularitiesNorm,nr_electionirregularitiesNorm,legalactionNorm,cr_legalactionNorm,nr_legalactionNorm,legalchangeNorm,cr_legalchangeNorm,nr_legalchangeNorm,martiallawNorm,cr_martiallawNorm,nr_martiallawNorm,mobilizesecurityNorm,cr_mobilizesecurityNorm,nr_mobilizesecurityNorm,protestNorm,cr_protestNorm,nr_protestNorm,purgeNorm,cr_purgeNorm,nr_purgeNorm,raidNorm,cr_raidNorm,nr_raidNorm,threatenNorm,cr_threatenNorm,nr_threatenNorm,violencelethalNorm,cr_violencelethalNorm,nr_violencelethalNorm,violencenonlethalNorm,cr_violencenonlethalNorm,nr_violencenonlethalNorm,total_articles
2012-01-01,2012,1,4832,832,4000,9,5,4,70,6,64,7,7,0,55,27,28,47,34,13,3,1,2,6,3,3,186,39,147,61,55,6,4,4,0,175,98,77,118,69,49,6,4,2,6,1,5,14,11,3,27,18,9,7,0,7,8,4,4,66,8,58,63,14,49,0.842986741102582,0.1451500348918353,0.6978367062107467,0.0015701325889741,0.0008722958827634,0.0006978367062107,0.012212142358688,0.0010467550593161,0.0111653872993719,0.0012212142358688,0.0012212142358688,0.0,0.0095952547103977,0.0047103977669225,0.0048848569434752,0.0081995812979762,0.0059316120027913,0.0022679692951849,0.0005233775296579,0.0001744591765526,0.0003489183531053,0.001046755059316,0.000523377529658,0.000523377529658,0.0324494068387996,0.0068039078855547,0.0256454989532449,0.0106420097697138,0.0095952547103977,0.0010467550593161,0.0006978367062107,0.0006978367062107,0.0,0.03053035589672,0.0170969993021632,0.0134333565945568,0.0205861828332169,0.0120376831821353,0.0085484996510816,0.001046755059316,0.0006978367062107,0.0003489183531053,0.001046755059316,0.0001744591765526,0.0008722958827634,0.0024424284717374997,0.0019190509420795,0.000523377529658,0.0047103977669224004,0.0031402651779483,0.0015701325889741,0.0012212142358688,0.0,0.0012212142358688,0.0013956734124214,0.0006978367062107,0.0006978367062107,0.0115143056524772,0.0013956734124214,0.0101186322400558,0.0109909281228192,0.0024424284717376,0.0085484996510816,1215
2012-02-01,2012,2,3955,623,3332,7,5,2,68,10,58,5,4,1,53,22,31,28,22,6,4,1,3,6,5,1,158,29,129,51,44,7,1,1,0,170,102,68,74,46,28,2,1,1,8,8,0,36,22,14,18,17,1,4,2,2,7,3,4,69,13,56,81,14,67,0.8268868910725486,0.1302529793016935,0.6966339117708551,0.0014635166213672,0.0010453690152623,0.0004181476061049,0.0142170186075683,0.0020907380305247,0.0121262805770436,0.0010453690152622999,0.0008362952122099,0.0002090738030524,0.011080911561781301,0.0045996236671545,0.0064812878946268,0.0058540664854693,0.0045996236671545,0.0012544428183148,0.0008362952122098,0.0002090738030524,0.0006272214091574,0.0012544428183147,0.0010453690152623,0.0002090738030524,0.0330336608822914,0.0060631402885218,0.0269705205937696,0.010662763955676299,0.009199247334309,0.0014635166213673,0.0002090738030524,0.0002090738030524,0.0,0.035542546518921095,0.0213255279113527,0.0142170186075684,0.0154714614258832,0.0096173949404139,0.0058540664854693,0.0004181476061048,0.0002090738030524,0.0002090738030524,0.0016725904244198,0.0016725904244198,0.0,0.0075266569098890995,0.0045996236671545,0.0029270332427346,0.0037633284549445,0.0035542546518921,0.0002090738030524,0.0008362952122098,0.0004181476061049,0.0004181476061049,0.0014635166213672998,0.0006272214091574,0.0008362952122099,0.0144260924106209,0.0027179594396822,0.0117081329709387,0.0169349780472505,0.0029270332427346,0.0140079448045159,976
2012-03-01,2012,3,4094,566,3528,8,3,5,82,11,71,2,1,1,48,21,27,40,25,15,4,3,1,0,0,0,152,38,114,41,35,6,5,4,1,139,72,67,78,37,41,13,11,2,13,6,7,127,97,30,13,9,4,4,1,3,12,9,3,66,17,49,77,14,63,0.8194555644515612,0.1132906325060048,0.7061649319455564,0.0016012810248198,0.0006004803843074,0.0010008006405124,0.0164131305044035,0.0022017614091273,0.0142113690952762,0.0004003202562048,0.0002001601281024,0.0002001601281024,0.0096076861489191,0.0042033626901521,0.005404323458767,0.0080064051240992,0.005004003202562,0.0030024019215372,0.0008006405124098,0.0006004803843074,0.0002001601281024,0.0,0.0,0.0,0.0304243394715772,0.0076060848678943,0.0228182546036829,0.0082065652522016,0.0070056044835868,0.0012009607686148,0.0010008006405123,0.0008006405124099,0.0002001601281024,0.0278222578062449,0.0144115292233787,0.0134107285828662,0.0156124899919935,0.0074059247397918,0.0082065652522017,0.0026020816653322,0.0022017614091273,0.0004003202562049,0.0026020816653321,0.0012009607686148,0.0014011208967173,0.025420336269015097,0.0194155324259407,0.0060048038430744,0.0026020816653322,0.0018014411529223,0.0008006405124099,0.0008006405124098,0.0002001601281024,0.0006004803843074,0.0024019215372297,0.0018014411529223,0.0006004803843074,0.013210568454763701,0.0034027221777421,0.0098078462770216,0.015412329863891001,0.0028022417934347,0.0126100880704563,968
2012-04-01,2012,4,3955,537,3418,9,5,4,73,11,62,0,0,0,65,26,39,36,23,13,4,2,2,1,1,0,139,33,106,30,26,4,1,1,0,146,85,61,88,35,53,1,1,0,9,6,3,26,15,11,40,36,4,3,1,2,2,1,1,59,8,51,80,16,64,0.8335089567966281,0.1131717597471022,0.7203371970495258,0.0018967334035826,0.0010537407797681,0.0008429926238145,0.0153846153846152,0.0023182297154899,0.0130663856691253,0.0,0.0,0.0,0.0136986301369862,0.0054794520547945,0.0082191780821917,0.0075869336143308,0.0048472075869336,0.0027397260273972,0.0008429926238144,0.0004214963119072,0.0004214963119072,0.0002107481559536,0.0002107481559536,0.0,0.0292939936775552,0.0069546891464699,0.0223393045310853,0.006322444678609,0.0054794520547945,0.0008429926238145,0.0002107481559536,0.0002107481559536,0.0,0.030769230769230698,0.017913593256059,0.0128556375131717,0.0185458377239198,0.0073761854583772,0.0111696522655426,0.0002107481559536,0.0002107481559536,0.0,0.0018967334035827,0.0012644889357218,0.0006322444678609,0.0054794520547944,0.0031612223393045,0.0023182297154899,0.008429926238145301,0.0075869336143308,0.0008429926238145,0.0006322444678607999,0.0002107481559536,0.0004214963119072,0.0004214963119072,0.0002107481559536,0.0002107481559536,0.0124341412012644,0.001685985247629,0.0107481559536354,0.0168598524762907,0.0033719704952581,0.0134878819810326,855
2012-05-01,2012,5,3828,648,3180,11,8,3,77,19,58,5,4,1,70,45,25,33,21,12,3,1,2,0,0,0,124,14,110,63,56,7,4,4,0,153,86,67,98,37,61,1,1,0,9,6,3,37,25,12,18,14,4,5,0,5,12,7,5,51,11,40,70,11,59,0.8234028823402881,0.1393848139384814,0.6840180684018068,0.00236610023661,0.00172080017208,0.00064530006453,0.0165627016562701,0.00408690040869,0.0124758012475801,0.00107550010755,0.00086040008604,0.00021510002151,0.0150570015057,0.00967950096795,0.00537750053775,0.0070983007098299996,0.00451710045171,0.00258120025812,0.00064530006453,0.00021510002151,0.00043020004302,0.0,0.0,0.0,0.0266724026672402,0.00301140030114,0.0236610023661002,0.013551301355130099,0.0120456012045601,0.00150570015057,0.00086040008604,0.00086040008604,0.0,0.0329103032910302,0.0184986018498601,0.0144117014411701,0.0210798021079801,0.00795870079587,0.0131211013121101,0.00021510002151,0.00021510002151,0.0,0.0019359001935899999,0.00129060012906,0.00064530006453,0.007958700795870001,0.00537750053775,0.00258120025812,0.00387180038718,0.00301140030114,0.00086040008604,0.00107550010755,0.0,0.00107550010755,0.00258120025812,0.00150570015057,0.00107550010755,0.01097010109701,0.00236610023661,0.0086040008604,0.0150570015057001,0.00236610023661,0.0126909012690901,1006
2012-06-01,2012,6,4330,817,3513,6,4,2,91,15,76,9,9,0,64,42,22,36,22,14,5,4,1,0,0,0,90,29,61,58,49,9,1,1,0,150,82,68,90,29,61,0,0,0,8,6,2,27,18,9,34,28,6,8,1,7,11,9,2,56,17,39,52,12,40,0.8483542319749215,0.1600705329153605,0.6882836990595611,0.0011755485893416,0.0007836990595611,0.0003918495297805,0.0178291536050156,0.0029388714733542,0.0148902821316614,0.0017633228840125,0.0017633228840125,0.0,0.012539184952978,0.0082288401253918,0.0043103448275862,0.0070532915360501,0.0043103448275862,0.0027429467084639,0.0009796238244513,0.0007836990595611,0.0001959247648902,0.0,0.0,0.0,0.0176332288401253,0.0056818181818181,0.0119514106583072,0.0113636363636363,0.0096003134796238,0.0017633228840125,0.0001959247648902,0.0001959247648902,0.0,0.029388714733542202,0.0160658307210031,0.0133228840125391,0.0176332288401253,0.0056818181818181,0.0119514106583072,0.0,0.0,0.0,0.0015673981191221,0.0011755485893416,0.0003918495297805,0.0052899686520375,0.003526645768025,0.0017633228840125,0.0066614420062695,0.0054858934169279,0.0011755485893416,0.0015673981191221,0.0001959247648902,0.0013714733542319,0.002155172413793,0.0017633228840125,0.0003918495297805,0.0109717868338557,0.0033307210031347,0.007641065830721,0.010188087774294498,0.0023510971786833,0.0078369905956112,1180
2012-07-01,2012,7,4365,747,3618,6,4,2,103,15,88,5,5,0,58,32,26,41,33,8,2,0,2,0,0,0,90,19,71,93,82,11,15,15,0,155,79,76,109,55,54,2,1,1,18,11,7,44,33,11,17,14,3,6,2,4,4,1,3,68,22,46,64,19,45,0.8320625238276782,0.1423942051086542,0.689668318719024,0.0011437285550895,0.000762485703393,0.0003812428516965,0.0196340068623712,0.0028593213877239,0.0167746854746473,0.0009531071292413,0.0009531071292413,0.0,0.0110560426991992,0.0060998856271444,0.0049561570720548,0.0078154784597788,0.0062905070529927,0.0015249714067861,0.0003812428516965,0.0,0.0003812428516965,0.0,0.0,0.0,0.0171559283263438,0.003621807091117,0.0135341212352268,0.017727792603888598,0.0156309569195577,0.0020968356843309,0.0028593213877239,0.0028593213877239,0.0,0.029546321006481,0.0150590926420129,0.0144872283644681,0.0207777354174608,0.0104841784216545,0.0102935569958063,0.0003812428516964,0.0001906214258482,0.0001906214258482,0.0034311856652687,0.0020968356843309,0.0013343499809378,0.0083873427373236,0.0062905070529927,0.0020968356843309,0.0032405642394203998,0.0026686999618757,0.0005718642775447,0.0011437285550895,0.0003812428516965,0.000762485703393,0.0007624857033928999,0.0001906214258482,0.0005718642775447,0.012962256957682,0.0041936713686618,0.0087685855890202,0.0121997712542889,0.003621807091117,0.0085779641631719,1175
2012-08-01,2012,8,4714,1074,3640,4,3,1,117,30,87,6,1,5,92,62,30,47,33,14,3,0,3,0,0,0,129,36,93,71,64,7,8,8,0,211,112,99,64,25,39,1,1,0,10,4,6,40,28,12,18,13,5,13,6,7,26,24,2,75,14,61,68,19,49,0.8281799016163035,0.1886858749121574,0.6394940267041461,0.0007027406886857999,0.0005270555165144,0.0001756851721714,0.0205551651440617,0.005270555165144,0.0152846099789177,0.0010541110330287,0.0001756851721714,0.0008784258608573,0.016163035839775,0.010892480674631,0.005270555165144,0.0082572030920589,0.0057976106816584,0.0024595924104005,0.0005270555165144,0.0,0.0005270555165144,0.0,0.0,0.0,0.0226633872101193,0.0063246661981728,0.0163387210119465,0.0124736472241741,0.0112438510189739,0.0012297962052002,0.0014054813773717,0.0014054813773717,0.0,0.0370695713281798,0.0196767392832044,0.0173928320449754,0.0112438510189739,0.0043921293042867,0.0068517217146872,0.0001756851721714,0.0001756851721714,0.0,0.0017568517217145998,0.0007027406886858,0.0010541110330288,0.007027406886858699,0.0049191848208011,0.0021082220660576,0.0031623330990862997,0.002283907238229,0.0008784258608573,0.002283907238229,0.0010541110330288,0.0012297962052002,0.0045678144764580994,0.0042164441321152,0.0003513703443429,0.01317638791286,0.0024595924104005,0.0107167955024595,0.0119465917076598,0.0033380182712579,0.0086085734364019,1541
2012-09-01,2012,9,4060,746,3314,6,2,4,81,5,76,10,10,0,66,38,28,31,20,11,3,1,2,0,0,0,148,44,104,100,93,7,6,5,1,144,65,79,67,26,41,0,0,0,12,10,2,28,19,9,22,14,8,2,2,0,23,19,4,62,15,47,72,13,59,0.8236964901602759,0.151349158044228,0.6723473321160479,0.0012172854534387,0.0004057618178129,0.0008115236356258,0.0164333536214241,0.0010144045445323,0.0154189490768918,0.0020288090890647,0.0020288090890647,0.0,0.0133901399878271,0.0077094745384459,0.0056806654493812,0.0062893081761005,0.0040576181781294,0.0022316899979711,0.0006086427267193,0.0002028809089064,0.0004057618178129,0.0,0.0,0.0,0.0300263745181577,0.0089267599918847,0.021099614526273,0.0202880908906471,0.0188679245283018,0.0014201663623453,0.0012172854534386998,0.0010144045445323,0.0002028809089064,0.029214850882531798,0.0131872590789206,0.0160275918036112,0.013593020896733499,0.0052749036315682,0.0083181172651653,0.0,0.0,0.0,0.0024345709068776,0.0020288090890647,0.0004057618178129,0.0056806654493811,0.0038547372692229,0.0018259281801582,0.0044633799959423,0.0028403327246906,0.0016230472712517,0.0004057618178129,0.0004057618178129,0.0,0.0046662609048487,0.0038547372692229,0.0008115236356258,0.012578616352201099,0.003043213633597,0.0095354027186041,0.014607425441265899,0.0026374518157841,0.0119699736254818,1140
2012-10-01,2012,10,4461,889,3572,10,4,6,86,20,66,6,4,2,72,39,33,57,39,18,0,0,0,1,1,0,65,19,46,111,105,6,1,1,0,150,69,81,87,50,37,0,0,0,9,3,6,20,18,2,13,10,3,11,5,6,11,10,1,57,12,45,59,20,39,0.8498761668889312,0.1693655934463707,0.6805105734425605,0.0019051247856733,0.0007620499142693,0.001143074871404,0.0163840731567917,0.0038102495713469,0.0125738235854448,0.0011430748714039,0.0007620499142693,0.0003810249571346,0.0137168984568489,0.0074299866641265,0.0062869117927224,0.0108592112783387,0.0074299866641265,0.0034292246142122,0.0,0.0,0.0,0.0001905124785673,0.0001905124785673,0.0,0.0123833111068774,0.0036197370927795,0.0087635740140979,0.0211468851209753,0.0200038102495713,0.001143074871404,0.0001905124785673,0.0001905124785673,0.0,0.0285768717851018,0.0131453610211468,0.015431510763955,0.0165745856353591,0.0095256239283673,0.0070489617069918,0.0,0.0,0.0,0.0017146123071059998,0.000571537435702,0.001143074871404,0.0038102495713468,0.0034292246142122,0.0003810249571346,0.0024766622213754,0.0019051247856734,0.000571537435702,0.0020956372642407,0.0009525623928367,0.001143074871404,0.0020956372642407,0.0019051247856734,0.0001905124785673,0.0108592112783386,0.0022861497428081,0.0085730615355305,0.0112402362354734,0.0038102495713469,0.0074299866641265,1290
