date,year,month,-999,cr_-999,nr_-999,activism,cr_activism,nr_activism,arrest,cr_arrest,nr_arrest,censor,cr_censor,nr_censor,cooperate,cr_cooperate,nr_cooperate,corruption,cr_corruption,nr_corruption,coup,cr_coup,nr_coup,defamationcase,cr_defamationcase,nr_defamationcase,disaster,cr_disaster,nr_disaster,electionactivity,cr_electionactivity,nr_electionactivity,electionirregularities,cr_electionirregularities,nr_electionirregularities,legalaction,cr_legalaction,nr_legalaction,legalchange,cr_legalchange,nr_legalchange,martiallaw,cr_martiallaw,nr_martiallaw,mobilizesecurity,cr_mobilizesecurity,nr_mobilizesecurity,protest,cr_protest,nr_protest,purge,cr_purge,nr_purge,raid,cr_raid,nr_raid,threaten,cr_threaten,nr_threaten,violencelethal,cr_violencelethal,nr_violencelethal,violencenonlethal,cr_violencenonlethal,nr_violencenonlethal,-999Norm,cr_-999Norm,nr_-999Norm,activismNorm,cr_activismNorm,nr_activismNorm,arrestNorm,cr_arrestNorm,nr_arrestNorm,censorNorm,cr_censorNorm,nr_censorNorm,cooperateNorm,cr_cooperateNorm,nr_cooperateNorm,corruptionNorm,cr_corruptionNorm,nr_corruptionNorm,coupNorm,cr_coupNorm,nr_coupNorm,defamationcaseNorm,cr_defamationcaseNorm,nr_defamationcaseNorm,disasterNorm,cr_disasterNorm,nr_disasterNorm,electionactivityNorm,cr_electionactivityNorm,nr_electionactivityNorm,electionirregularitiesNorm,cr_electionirregularitiesNorm,nr_electionirregularitiesNorm,legalactionNorm,cr_legalactionNorm,nr_legalactionNorm,legalchangeNorm,cr_legalchangeNorm,nr_legalchangeNorm,martiallawNorm,cr_martiallawNorm,nr_martiallawNorm,mobilizesecurityNorm,cr_mobilizesecurityNorm,nr_mobilizesecurityNorm,protestNorm,cr_protestNorm,nr_protestNorm,purgeNorm,cr_purgeNorm,nr_purgeNorm,raidNorm,cr_raidNorm,nr_raidNorm,threatenNorm,cr_threatenNorm,nr_threatenNorm,violencelethalNorm,cr_violencelethalNorm,nr_violencelethalNorm,violencenonlethalNorm,cr_violencenonlethalNorm,nr_violencenonlethalNorm,total_articles
2012-01-01,2012,1,5918,1380,4538,9,5,4,76,9,67,6,4,2,62,38,24,82,49,33,6,4,2,3,1,2,141,5,136,62,49,13,4,4,0,222,97,125,115,64,51,4,1,3,4,1,3,138,113,25,58,44,14,8,2,6,18,16,2,67,9,58,133,27,106,0.8351679367767428,0.1947502116850127,0.6404177250917301,0.0012701100762065,0.0007056167090036,0.0005644933672029,0.0107253739768557,0.0012701100762066,0.0094552639006491,0.0008467400508043,0.0005644933672029,0.0002822466836014,0.0087496471916454,0.0053626869884278,0.0033869602032176,0.011572114027660101,0.0069150437482359,0.0046570702794242,0.0008467400508043,0.0005644933672029,0.0002822466836014,0.00042337002540209997,0.0001411233418007,0.0002822466836014,0.0198983911939034,0.0007056167090036,0.0191927744848998,0.0087496471916454,0.0069150437482359,0.0018346034434095,0.0005644933672029,0.0005644933672029,0.0,0.0313293818797628,0.0136889641546711,0.0176404177250917,0.0162291843070843,0.0090318938752469,0.0071972904318374,0.0005644933672028999,0.0001411233418007,0.0004233700254022,0.0005644933672028999,0.0001411233418007,0.0004233700254022,0.019475021168501198,0.0159469376234829,0.0035280835450183,0.0081851538244424,0.0062094270392322,0.0019757267852102,0.0011289867344057999,0.0002822466836014,0.0008467400508044,0.0025402201524130997,0.0022579734688117,0.0002822466836014,0.009455263900649099,0.0012701100762066,0.0081851538244425,0.0187694044594975,0.0038103302286198,0.0149590742308777,1891
2012-02-01,2012,2,5615,957,4658,7,4,3,75,6,69,2,2,0,40,30,10,55,31,24,7,7,0,2,0,2,184,11,173,49,44,5,1,1,0,178,63,115,100,37,63,4,0,4,8,5,3,102,62,40,40,26,14,9,2,7,13,1,12,38,8,30,109,19,90,0.8498562131073104,0.144846375056758,0.7050098380505524,0.0010594823671862,0.000605418495535,0.0004540638716512,0.0113515967912819,0.0009081277433025,0.0104434690479794,0.0003027092477675,0.0003027092477675,0.0,0.006054184955350201,0.0045406387165127,0.0015135462388375,0.0083245043136067,0.0046919933403965,0.0036325109732102,0.0010594823671863,0.0010594823671863,0.0,0.0003027092477675,0.0,0.0003027092477675,0.027849250794611702,0.0016649008627213,0.0261843499318904,0.0074163765703041005,0.0066596034508854,0.0007567731194187,0.0001513546238837,0.0001513546238837,0.0,0.0269411230513091,0.0095353413046768,0.0174057817466323,0.0151354623883759,0.0056001210836991,0.0095353413046768,0.000605418495535,0.0,0.000605418495535,0.0012108369910699,0.0007567731194187,0.0004540638716512,0.015438171636143302,0.009383986680793,0.0060541849553503,0.0060541849553503,0.0039352202209777,0.0021189647343726,0.0013621916149538001,0.0003027092477675,0.0010594823671863,0.0019676101104888002,0.0001513546238837,0.0018162554866051,0.005751475707582701,0.00121083699107,0.0045406387165127,0.016497654003329698,0.0028757378537914,0.0136219161495383,1300
2012-03-01,2012,3,5858,1093,4765,6,3,3,65,14,51,9,8,1,55,35,20,68,48,20,4,2,2,3,0,3,168,10,158,79,65,14,2,1,1,173,55,118,120,55,65,4,0,4,9,6,3,115,80,35,31,25,6,10,2,8,16,7,9,48,8,40,116,24,92,0.8460427498555748,0.1578567302137492,0.6881860196418256,0.0008665511265164,0.0004332755632582,0.0004332755632582,0.0093876372039283,0.0020219526285384,0.0073656845753899,0.0012998266897746,0.0011554015020219,0.0001444251877527,0.0079433853264008,0.005054881571346,0.0028885037550548,0.0098209127671865,0.0069324090121317,0.0028885037550548,0.0005777007510108,0.0002888503755054,0.0002888503755054,0.0004332755632582,0.0,0.0004332755632582,0.024263431542460898,0.0014442518775274,0.0228191796649335,0.011409589832466701,0.0093876372039283,0.0020219526285384,0.0002888503755054,0.0001444251877527,0.0001444251877527,0.0249855574812247,0.0079433853264009,0.0170421721548238,0.0173310225303292,0.0079433853264009,0.0093876372039283,0.0005777007510109,0.0,0.0005777007510109,0.0012998266897746,0.0008665511265164,0.0004332755632582,0.0166088965915655,0.0115540150202195,0.005054881571346,0.004477180820335,0.0036106296938186,0.0008665511265164,0.0014442518775273,0.0002888503755054,0.0011554015020219,0.0023108030040438,0.0010109763142692,0.0012998266897746,0.0069324090121316,0.0011554015020219,0.0057770075101097,0.0167533217793182,0.0034662045060658,0.0132871172732524,1522
2012-04-01,2012,4,5233,938,4295,6,4,2,74,11,63,9,7,2,58,39,19,69,46,23,8,5,3,1,1,0,116,3,113,88,82,6,1,1,0,173,81,92,154,51,103,9,2,7,15,4,11,77,43,34,64,51,13,13,1,12,8,3,5,63,7,56,111,18,93,0.8287931580614506,0.1485587583148558,0.6802343997465948,0.000950269242952,0.0006335128286347,0.0003167564143173,0.0117199873297433,0.0017421602787456,0.0099778270509977,0.0014254038644280998,0.0011086474501108,0.0003167564143173,0.0091859360152043,0.0061767500791891,0.0030091859360152,0.0109280962939498,0.0072853975292999,0.0036426987646499,0.0012670256572694001,0.0007918910357934,0.000475134621476,0.0001583782071586,0.0001583782071586,0.0,0.0183718720304085,0.000475134621476,0.0178967374089325,0.013937282229964999,0.0129870129870129,0.0009502692429521,0.0001583782071586,0.0001583782071586,0.0,0.0273994298384541,0.0128286347798542,0.0145707950585999,0.0243902439024389,0.0080772885650934,0.0163129553373455,0.0014254038644280998,0.0003167564143173,0.0011086474501108,0.0023756731073803,0.0006335128286347,0.0017421602787456,0.0121951219512194,0.0068102629078238,0.0053848590433956,0.0101362052581564,0.0080772885650934,0.002058916693063,0.0020589166930629,0.0001583782071586,0.0019005384859043,0.0012670256572694001,0.000475134621476,0.0007918910357934,0.0099778270509977,0.0011086474501108,0.0088691796008869,0.0175799809946151,0.0028508077288565,0.0147291732657586,1374
2012-05-01,2012,5,5331,923,4408,1,1,0,57,8,49,0,0,0,47,35,12,64,35,29,1,1,0,6,4,2,144,12,132,69,66,3,1,1,0,162,43,119,143,45,98,6,1,5,5,0,5,52,38,14,33,27,6,10,1,9,7,0,7,58,11,47,106,16,90,0.8502392344497607,0.1472089314194577,0.703030303030303,0.0001594896331738,0.0001594896331738,0.0,0.009090909090909,0.0012759170653907,0.0078149920255183,0.0,0.0,0.0,0.0074960127591705995,0.0055821371610845,0.0019138755980861,0.010207336523125901,0.0055821371610845,0.0046251993620414,0.0001594896331738,0.0001594896331738,0.0,0.0009569377990428999,0.0006379585326953,0.0003189792663476,0.0229665071770334,0.0019138755980861,0.0210526315789473,0.0110047846889951,0.0105263157894736,0.0004784688995215,0.0001594896331738,0.0001594896331738,0.0,0.025837320574162603,0.0068580542264752,0.0189792663476874,0.0228070175438595,0.0071770334928229,0.0156299840510366,0.000956937799043,0.0001594896331738,0.0007974481658692,0.0007974481658692,0.0,0.0007974481658692,0.0082934609250398,0.006060606060606,0.0022328548644338,0.0052631578947367,0.0043062200956937,0.000956937799043,0.0015948963317383,0.0001594896331738,0.0014354066985645,0.0011164274322169,0.0,0.0011164274322169,0.0092503987240828,0.0017543859649122,0.0074960127591706,0.0169059011164273,0.0025518341307814,0.0143540669856459,1256
2012-06-01,2012,6,4910,880,4030,2,0,2,91,17,74,1,0,1,46,21,25,133,83,50,4,3,1,3,1,2,147,4,143,41,39,2,1,1,0,179,55,124,149,51,98,6,0,6,12,3,9,36,25,11,55,44,11,21,8,13,23,9,14,41,6,35,125,23,102,0.8238255033557047,0.1476510067114094,0.6761744966442953,0.0003355704697986,0.0,0.0003355704697986,0.015268456375838799,0.0028523489932885,0.0124161073825503,0.0001677852348993,0.0,0.0001677852348993,0.0077181208053691,0.0035234899328859,0.0041946308724832,0.0223154362416106,0.0139261744966442,0.0083892617449664,0.0006711409395972,0.0005033557046979,0.0001677852348993,0.0005033557046979,0.0001677852348993,0.0003355704697986,0.0246644295302013,0.0006711409395973,0.023993288590604,0.006879194630872399,0.0065436241610738,0.0003355704697986,0.0001677852348993,0.0001677852348993,0.0,0.0300335570469797,0.009228187919463,0.0208053691275167,0.024999999999999897,0.0085570469798657,0.0164429530201342,0.0010067114093959,0.0,0.0010067114093959,0.0020134228187918,0.0005033557046979,0.0015100671140939,0.0060402684563758,0.0041946308724832,0.0018456375838926,0.009228187919463001,0.0073825503355704,0.0018456375838926,0.0035234899328858,0.0013422818791946,0.0021812080536912,0.0038590604026845,0.0015100671140939,0.0023489932885906,0.006879194630872399,0.0010067114093959,0.0058724832214765,0.020973154362416,0.0038590604026845,0.0171140939597315,1244
2012-07-01,2012,7,4877,795,4082,6,5,1,99,17,82,4,2,2,54,34,20,54,30,24,12,8,4,1,1,0,202,7,195,41,39,2,2,2,0,140,64,76,104,33,71,7,0,7,8,1,7,23,16,7,50,41,9,14,2,12,8,4,4,68,8,60,120,17,103,0.8308347529812607,0.1354344122657581,0.6954003407155026,0.001022146507666,0.0008517887563884,0.0001703577512776,0.0168654173764906,0.0028960817717206,0.01396933560477,0.0006814310051106,0.0003407155025553,0.0003407155025553,0.0091993185689948,0.0057921635434412,0.0034071550255536,0.0091993185689947,0.0051107325383304,0.0040885860306643,0.0020442930153321,0.0013628620102214,0.0006814310051107,0.0001703577512776,0.0001703577512776,0.0,0.0344122657580919,0.0011925042589437,0.0332197614991482,0.0069846678023849,0.0066439522998296,0.0003407155025553,0.0003407155025553,0.0003407155025553,0.0,0.0238500851788756,0.0109028960817717,0.0129471890971039,0.017717206132879,0.0056218057921635,0.0120954003407155,0.0011925042589437,0.0,0.0011925042589437,0.0013628620102213,0.0001703577512776,0.0011925042589437,0.0039182282793866,0.0027257240204429,0.0011925042589437,0.008517887563884101,0.006984667802385,0.0015332197614991,0.0023850085178874,0.0003407155025553,0.0020442930153321,0.0013628620102214,0.0006814310051107,0.0006814310051107,0.0115843270868823,0.0013628620102214,0.0102214650766609,0.0204429301533219,0.0028960817717206,0.0175468483816013,1115
2012-08-01,2012,8,4665,618,4047,2,1,1,91,8,83,2,1,1,20,9,11,52,26,26,0,0,0,1,0,1,147,5,142,26,19,7,3,3,0,111,42,69,51,12,39,10,4,6,21,9,12,34,21,13,36,24,12,17,0,17,6,3,3,52,8,44,115,30,85,0.8581677704194259,0.1136865342163355,0.7444812362030905,0.0003679175864606,0.0001839587932303,0.0001839587932303,0.0167402501839587,0.0014716703458425,0.0152685798381162,0.0003679175864606,0.0001839587932303,0.0001839587932303,0.0036791758646062,0.0016556291390728,0.0020235467255334,0.0095658572479764,0.0047829286239882,0.0047829286239882,0.0,0.0,0.0,0.0001839587932303,0.0,0.0001839587932303,0.0270419426048564,0.0009197939661515,0.0261221486387049,0.0047829286239882,0.003495217071376,0.0012877115526122,0.0005518763796909,0.0005518763796909,0.0,0.020419426048565,0.0077262693156732,0.0126931567328918,0.009381898454746001,0.0022075055187637,0.0071743929359823,0.0018395879323030002,0.0007358351729212,0.0011037527593818,0.0038631346578365004,0.0016556291390728,0.0022075055187637,0.0062545989698307,0.0038631346578366,0.0023914643119941,0.006622516556291201,0.0044150110375275,0.0022075055187637,0.0031272994849153,0.0,0.0031272994849153,0.0011037527593818,0.0005518763796909,0.0005518763796909,0.0095658572479764,0.0014716703458425,0.0080941869021339,0.0211552612214862,0.0055187637969094,0.0156364974245768,831
2012-09-01,2012,9,4924,999,3925,8,4,4,102,15,87,4,2,2,38,20,18,69,47,22,3,1,2,2,1,1,136,3,133,59,49,10,5,4,1,158,60,98,93,31,62,5,1,4,13,5,8,72,57,15,39,23,16,6,1,5,19,10,9,49,5,44,134,23,111,0.8326006087250591,0.1689212039228948,0.6636794048021644,0.0013527223537368,0.0006763611768684,0.0006763611768684,0.0172472100101453,0.0025363544132566,0.0147108555968887,0.0006763611768684,0.0003381805884342,0.0003381805884342,0.0064254311802502,0.0033818058843422,0.003043625295908,0.011667230300980599,0.0079472438282042,0.0037199864727764,0.0005072708826513,0.0001690902942171,0.0003381805884342,0.0003381805884342,0.0001690902942171,0.0001690902942171,0.0229962800135271,0.0005072708826513,0.0224890091308758,0.0099763273588095,0.0082854244166384,0.0016909029421711,0.0008454514710855,0.0006763611768684,0.0001690902942171,0.026716266486303604,0.0101454176530267,0.0165708488332769,0.0157253973621913,0.0052417991207304,0.0104835982414609,0.0008454514710855,0.0001690902942171,0.0006763611768684,0.0021981738248223,0.0008454514710855,0.0013527223537368,0.0121745011836319,0.0096381467703753,0.0025363544132566,0.0065945214744672,0.0038890767669935,0.0027054447074737,0.0010145417653026,0.0001690902942171,0.0008454514710855,0.0032127155901251,0.0016909029421711,0.001521812647954,0.0082854244166384,0.0008454514710855,0.0074399729455529,0.0226580994250929,0.0038890767669935,0.0187690226580994,1347
2012-10-01,2012,10,5864,1095,4769,7,4,3,106,10,96,6,2,4,62,36,26,79,43,36,1,1,0,0,0,0,136,5,131,105,88,17,7,6,1,139,50,89,173,59,114,7,0,7,22,11,11,76,48,28,50,36,14,5,0,5,15,6,9,62,10,52,130,25,105,0.8356847655693316,0.1560495938435228,0.6796351717258088,0.0009975773122416,0.0005700441784238,0.0004275331338178,0.0151061707282313,0.0014251104460595,0.0136810602821718,0.0008550662676356999,0.0002850220892119,0.0005700441784238,0.0088356847655692,0.0051303976058144,0.0037052871597548,0.0112583725238705,0.0061279749180561,0.0051303976058144,0.0001425110446059,0.0001425110446059,0.0,0.0,0.0,0.0,0.019381502066409997,0.0007125552230297,0.0186689468433803,0.0149636596836254,0.0125409719253242,0.0024226877583012,0.0009975773122416,0.0008550662676357,0.0001425110446059,0.0198090352002279,0.0071255522302978,0.0126834829699301,0.0246544107168304,0.0084081516317514,0.016246259085079,0.0009975773122416,0.0,0.0009975773122416,0.003135242981331,0.0015676214906655,0.0015676214906655,0.0108308393900526,0.0068405301410859,0.0039903092489667,0.0071255522302977,0.0051303976058144,0.0019951546244833,0.0007125552230297,0.0,0.0007125552230297,0.0021376656690893,0.0008550662676357,0.0012825994014536,0.0088356847655692,0.0014251104460595,0.0074105743195097,0.0185264357987743,0.0035627761151489,0.0149636596836254,1518
