date,year,month,-999,cr_-999,nr_-999,activism,cr_activism,nr_activism,arrest,cr_arrest,nr_arrest,censor,cr_censor,nr_censor,cooperate,cr_cooperate,nr_cooperate,corruption,cr_corruption,nr_corruption,coup,cr_coup,nr_coup,defamationcase,cr_defamationcase,nr_defamationcase,disaster,cr_disaster,nr_disaster,electionactivity,cr_electionactivity,nr_electionactivity,electionirregularities,cr_electionirregularities,nr_electionirregularities,legalaction,cr_legalaction,nr_legalaction,legalchange,cr_legalchange,nr_legalchange,martiallaw,cr_martiallaw,nr_martiallaw,mobilizesecurity,cr_mobilizesecurity,nr_mobilizesecurity,protest,cr_protest,nr_protest,purge,cr_purge,nr_purge,raid,cr_raid,nr_raid,threaten,cr_threaten,nr_threaten,violencelethal,cr_violencelethal,nr_violencelethal,violencenonlethal,cr_violencenonlethal,nr_violencenonlethal,-999Norm,cr_-999Norm,nr_-999Norm,activismNorm,cr_activismNorm,nr_activismNorm,arrestNorm,cr_arrestNorm,nr_arrestNorm,censorNorm,cr_censorNorm,nr_censorNorm,cooperateNorm,cr_cooperateNorm,nr_cooperateNorm,corruptionNorm,cr_corruptionNorm,nr_corruptionNorm,coupNorm,cr_coupNorm,nr_coupNorm,defamationcaseNorm,cr_defamationcaseNorm,nr_defamationcaseNorm,disasterNorm,cr_disasterNorm,nr_disasterNorm,electionactivityNorm,cr_electionactivityNorm,nr_electionactivityNorm,electionirregularitiesNorm,cr_electionirregularitiesNorm,nr_electionirregularitiesNorm,legalactionNorm,cr_legalactionNorm,nr_legalactionNorm,legalchangeNorm,cr_legalchangeNorm,nr_legalchangeNorm,martiallawNorm,cr_martiallawNorm,nr_martiallawNorm,mobilizesecurityNorm,cr_mobilizesecurityNorm,nr_mobilizesecurityNorm,protestNorm,cr_protestNorm,nr_protestNorm,purgeNorm,cr_purgeNorm,nr_purgeNorm,raidNorm,cr_raidNorm,nr_raidNorm,threatenNorm,cr_threatenNorm,nr_threatenNorm,violencelethalNorm,cr_violencelethalNorm,nr_violencelethalNorm,violencenonlethalNorm,cr_violencenonlethalNorm,nr_violencenonlethalNorm,total_articles
2012-01-01,2012,1,13207,2405,10802,73,43,30,467,84,383,28,16,12,335,178,157,415,233,182,28,19,9,27,12,15,245,35,210,493,463,30,33,32,1,969,478,491,311,108,203,9,4,5,29,16,13,146,111,35,132,104,28,35,14,21,64,41,23,166,60,106,207,80,127,0.773651221369574,0.1408821978794446,0.6327690234901294,0.0042762579813718,0.0025188916876574,0.0017573662937144,0.0273563353054887,0.0049206256224005,0.0224357096830882,0.0016402085408,0.0009372620233143,0.0007029465174857,0.019623923613145,0.0104270400093726,0.0091968836037724,0.024310233729717003,0.0136488782145158,0.0106613555152012,0.0016402085408001,0.0011129986526858,0.0005272098881143,0.0015816296643429,0.0007029465174857,0.0008786831468572,0.0143518247320016,0.0020502606760002,0.0123015640560014,0.0288793860933746,0.0271220197996602,0.0017573662937144,0.0019331029230858496,0.0018745240466287,5.8578876457149553e-05,0.056762931286977805,0.0280007029465174,0.0287622283404604,0.0182180305781734,0.0063265186573721,0.0118915119208013,0.0005272098881142,0.0002343155058285,0.0002928943822857,0.0016987874172572,0.0009372620233143,0.0007615253939429,0.008552515962743801,0.0065022552867436,0.0020502606760002,0.0077324116923436,0.0060922031515435,0.0016402085408001,0.0020502606760001,0.0008201042704,0.0012301564056001,0.0037490480932575,0.0024017339347431,0.0013473141585144,0.0097240934918867,0.0035147325874289,0.0062093609044578,0.0121258274266298,0.0046863101165719,0.0074395173100579,4361
2012-02-01,2012,2,15259,2682,12577,95,79,16,531,121,410,20,15,5,475,233,242,579,365,214,30,17,13,19,12,7,230,49,181,556,512,44,37,36,1,1471,725,746,413,157,256,8,2,6,57,32,25,248,177,71,196,151,45,86,40,46,55,37,18,221,78,143,301,142,159,0.7474772215146468,0.1313804251983932,0.6160967963162536,0.0046536690506514,0.0038698932105417,0.0007837758401097,0.026011560693641498,0.0059273047908298,0.0200842559028117,0.000979719800137,0.0007347898501028,0.0002449299500342,0.0232683452532575,0.0114137356715979,0.0118546095816596,0.0283628882139707,0.0178798863525031,0.0104830018614676,0.0014695797002056,0.0008327618301165,0.0006368178700891,0.0009307338101301999,0.0005878318800822,0.000342901930048,0.0112667777015773,0.002400313510336,0.0088664641912413,0.027236210443813,0.0250808268835113,0.0021553835603017,0.001812481630253658,0.0017634956402468,4.898599000685804e-05,0.07205839130008809,0.035514842754972,0.0365435485451161,0.020231213872832297,0.0076908004310767,0.0125404134417556,0.0003918879200548161,9.797198001371608e-05,0.0002939159400411,0.0027922014303908,0.0015675516802194,0.0012246497501714,0.0121485255217007,0.0086705202312138,0.0034780052904869,0.0096012540413441,0.0073968844910355,0.0022043695503086,0.0042127951405897,0.0019594396002743,0.0022533555403154,0.0026942294503771,0.0018124816302537,0.0008817478201234,0.0108259037915156,0.0038209072205349,0.0070049965709807,0.0147447829920642,0.0069560105809738,0.0077887724110904,5375
2012-03-01,2012,3,17390,3588,13802,152,108,44,617,158,459,10,7,3,564,354,210,697,463,234,21,13,8,58,44,14,336,62,274,674,643,31,38,38,0,1603,826,777,759,237,522,42,24,18,58,27,31,376,249,127,280,234,46,79,40,39,97,67,30,274,106,168,339,148,191,0.7279501025576625,0.1501946502574406,0.5777554523002219,0.0063627611034366,0.0045209092050734,0.0018418518983632,0.025827786847502997,0.0066139227259408,0.0192138641215622,0.0004186027041734,0.0002930218929214,0.000125580811252,0.0236091925153836,0.0148185357277408,0.0087906567876428,0.029176608480890702,0.0193813052032316,0.0097953032776591,0.0008790656787642,0.0005441835154255,0.0003348821633387,0.0024278956842060002,0.0018418518983632,0.0005860437858428,0.0140650508602285,0.0025953367658755,0.011469714094353,0.0282138222612917,0.026916153878354,0.0012976683829377,0.0015906902758591,0.0015906902758591,0.0,0.06710201347900699,0.0345765833647285,0.0325254301142785,0.0317719452467662,0.0099208840889112,0.021851061157855,0.0017581313575284999,0.0010046464900163,0.0007534848675122,0.0024278956842060002,0.0011302273012683,0.0012976683829377,0.0157394616769223,0.0104232073339193,0.005316254343003,0.011720875716857001,0.0097953032776591,0.0019255724391979,0.0033069613629703,0.0016744108166938,0.0016325505462765,0.0040604462304826,0.0028046381179622,0.0012558081125204,0.0114697140943529,0.0044371886642387,0.0070325254301142,0.014190631671480498,0.0061953200217673,0.0079953116497132,7064
2012-04-01,2012,4,18160,3012,15148,113,73,40,610,100,510,22,11,11,561,333,228,571,355,216,52,28,24,52,38,14,470,140,330,379,345,34,20,19,1,1648,858,790,619,228,391,24,11,13,82,53,29,272,160,112,184,132,52,62,22,40,96,58,38,335,93,242,293,124,169,0.7530894915816537,0.1249066932072655,0.6281827983743883,0.0046860744795554,0.0030272870531641,0.0016587874263913,0.0252965082524673,0.0041469685659782,0.0211495396864891,0.0009123330845152,0.0004561665422576,0.0004561665422576,0.023264493655138,0.0138094053247076,0.0094550883304304,0.0236791905117358,0.0147217384092228,0.008957452102513,0.0021564236543086,0.0011611511984739,0.0009952724558347,0.0021564236543085997,0.0015758480550717,0.0005805755992369,0.0194907522600977,0.0058057559923695,0.0136849962677282,0.015717010865057602,0.014307041552625,0.0014099693124326,0.0008293937131955827,0.0007879240275358,4.14696856597827e-05,0.0683420419673218,0.0355809902960935,0.0327610516712283,0.0256697354234054,0.0094550883304304,0.016214647092975,0.0009952724558347,0.0004561665422576,0.0005391059135771,0.0034005142241020003,0.0021978933399684,0.0012026208841336,0.0112797544994608,0.0066351497055652,0.0046446047938956,0.0076304221614000006,0.0054739985070913,0.0021564236543087,0.0025711205109065,0.0009123330845152,0.0016587874263913,0.0039810898233389996,0.0024052417682673,0.0015758480550717,0.013892344696027101,0.0038566807663597,0.0100356639296674,0.0121506178983162,0.005142241021813,0.0070083768765032,5883
2012-05-01,2012,5,28121,3821,24300,138,83,55,1060,186,874,19,13,6,570,288,282,909,462,447,25,12,13,78,43,35,937,63,874,564,514,50,53,49,4,2115,899,1216,712,200,512,39,13,26,94,47,47,701,373,328,250,153,97,187,38,149,100,62,38,558,117,441,805,207,598,0.754622299745069,0.1025358915872802,0.6520864081577888,0.0037032067623775002,0.0022272910237488,0.0014759157386287,0.0284449215081174,0.0049912786797262,0.0234536428283912,0.0005098618006171001,0.0003488528109486,0.0001610089896685,0.015295854018515999,0.0077284315040923,0.0075674225144237,0.0243928619347913,0.0123976922044814,0.0119951697303099,0.0006708707902857,0.0003220179793371,0.0003488528109486,0.0020931168656916,0.0011538977592915,0.0009392191064001,0.0251442372199113,0.0016905943915201,0.0234536428283912,0.015134845028847299,0.0137931034482758,0.0013417415805715,0.0014222460754058,0.0013149067489601,0.0001073393264457,0.0567556688581778,0.024124513618677,0.0326311552395008,0.0191064001073392,0.0053669663222863,0.0137394337850529,0.0010465584328458,0.0003488528109486,0.0006977056218972,0.0025224741714744,0.0012612370857372,0.0012612370857372,0.0188112169596135,0.010009392191064,0.0088018247685495,0.0067087079028578,0.004105729236549,0.0026029786663088,0.0050181135113377,0.0010197236012344,0.0039983899101033,0.0026834831611431,0.0016637595599087,0.0010197236012344,0.0149738360391788,0.0031396752985375,0.0118341607406413,0.021602039447202397,0.0055548101435663,0.0160472293036361,7258
2012-06-01,2012,6,27334,4178,23156,133,76,57,1047,214,833,28,14,14,613,326,287,762,449,313,41,26,15,40,26,14,962,110,852,1215,1106,109,94,91,3,1794,772,1022,580,182,398,50,22,28,105,48,57,637,339,298,286,202,84,177,38,139,110,71,39,526,121,405,749,228,521,0.7452017448200654,0.1139040348964013,0.6312977099236641,0.0036259541984732,0.002071973827699,0.0015539803707742,0.028544165757906102,0.005834242093784,0.0227099236641221,0.0007633587786258,0.0003816793893129,0.0003816793893129,0.0167121046892038,0.0088876772082878,0.007824427480916,0.0207742639040348,0.0122410032715376,0.0085332606324972,0.0011177753544165002,0.0007088331515812,0.0004089422028353,0.0010905125408941,0.0007088331515812,0.0003816793893129,0.0262268266085059,0.0029989094874591,0.0232279171210468,0.0331243184296618,0.0301526717557251,0.0029716466739367,0.0025627044711013665,0.0024809160305343,8.178844056706652e-05,0.0489094874591057,0.0210468920392584,0.0278625954198473,0.0158124318429661,0.0049618320610687,0.0108505997818974,0.0013631406761177001,0.0005997818974918,0.0007633587786259,0.0028625954198472,0.001308615049073,0.0015539803707742,0.017366412213740398,0.0092420937840785,0.0081243184296619,0.0077971646673936,0.0055070883315158,0.0022900763358778,0.0048255179934569,0.0010359869138495,0.0037895310796074,0.002998909487459,0.0019356597600872,0.0010632497273718,0.0143402399127589,0.003298800436205,0.0110414394765539,0.0204198473282442,0.006215921483097,0.0142039258451472,8301
2012-07-01,2012,7,31544,4167,27377,156,92,64,1090,186,904,18,9,9,585,258,327,724,398,326,33,15,18,44,32,12,1238,183,1055,819,711,108,59,53,6,2026,879,1147,661,178,483,60,19,41,113,56,57,890,512,378,279,174,105,165,22,143,90,43,47,718,177,541,1010,301,709,0.7551289110190792,0.0997534292485576,0.6553754817705216,0.0037344696334951997,0.0022023795274459,0.0015320901060493,0.0260934096186531,0.0044526368707059,0.0216407727479472,0.0004309003423262,0.0002154501711631,0.0002154501711631,0.0140042611256073,0.0061762382400114,0.0078280228855959,0.017331769324683298,0.0095276853469944,0.0078040839776889,0.0007899839609316001,0.0003590836186053,0.0004309003423263,0.0010533119479088,0.0007660450530246,0.0002872668948842,0.0296363679888922,0.0043808201469848,0.0252555478419074,0.0196059655758503,0.0170205635218921,0.0025854020539582,0.0014123955665142,0.0012687621190721,0.0001436334474421,0.0485002274196251,0.0210423000502717,0.0274579273693534,0.0158236181265409,0.0042611256074497,0.0115624925190912,0.0014363344744212,0.0004548392502334,0.0009814952241878,0.0027050965934933002,0.0013405788427931,0.0013645177507002,0.0213056280372488,0.0122567208483948,0.009048907188854,0.0066789553060589,0.0041653699758217,0.0025135853302372,0.0039499198046584,0.0005266559739544,0.003423263830704,0.0021545017116319,0.0010293730400019,0.00112512867163,0.0171881358772412,0.0042371866995427,0.0129509491776985,0.024178296986091398,0.0072056112800134,0.016972685706078,8170
2012-08-01,2012,8,38280,5057,33223,175,96,79,1257,208,1049,40,26,14,609,311,298,845,494,351,48,27,21,42,29,13,1629,227,1402,512,438,74,65,63,2,2180,918,1262,767,258,509,75,39,36,154,62,92,1241,703,538,320,217,103,254,44,210,136,80,56,794,176,618,1341,404,937,0.7626865374270287,0.1007551154589468,0.661931421968082,0.0034866808790419,0.0019126935107887,0.0015739873682532,0.0250443306568906,0.0041441692733757,0.0209001613835149,0.0007969556294951999,0.0005180211591719,0.0002789344703233,0.0121336494590662,0.0061963300193261,0.0059373194397401,0.016835687673088698,0.0098424020242672,0.0069932856488215,0.0009563467553942999,0.0005379450499093,0.000418401705485,0.0008368034109699999,0.0005777928313841,0.0002590105795859,0.0324560180111971,0.0045227231973859,0.0279332948138112,0.0102010320575401,0.0087266641429738,0.0014743679145663,0.0012950528979298664,0.0012552051164551,3.98477814747664e-05,0.043434081807495195,0.0182901316969177,0.0251439501105775,0.0152816241955728,0.0051403638102448,0.010141260385328,0.0014942918053035999,0.0007770317387579,0.0007172600665457,0.0030682791735569,0.0012352812257177,0.0018329979478392,0.0247255484050924,0.0140064951883803,0.0107190532167121,0.0063756450359625,0.0043234842900121,0.0020521607459504,0.0050606682472952,0.0008766511924448,0.0041840170548504,0.002709649140284,0.0015939112589906,0.0011157378812934,0.0158195692454822,0.0035066047697794,0.0123129644757028,0.0267179374788308,0.0080492518579028,0.018668685620928,9569
2012-09-01,2012,9,32676,4841,27835,176,121,55,1105,206,899,32,26,6,667,351,316,853,493,360,33,23,10,33,22,11,1197,172,1025,584,505,79,54,51,3,2098,879,1219,805,276,529,88,26,62,134,60,74,1157,702,455,340,248,92,160,37,123,144,93,51,656,167,489,995,293,702,0.7533371757925073,0.1116080691642651,0.6417291066282421,0.004057636887608,0.0027896253602305,0.0012680115273775,0.0254755043227664,0.0047492795389048,0.0207262247838616,0.0007377521613831999,0.0005994236311239,0.0001383285302593,0.015377521613832799,0.0080922190201729,0.0072853025936599,0.0196657060518731,0.0113659942363112,0.0082997118155619,0.0007608069164264,0.0005302593659942,0.0002305475504322,0.0007608069164265,0.000507204610951,0.0002536023054755,0.027596541786743402,0.0039654178674351,0.0236311239193083,0.0134639769452448,0.0116426512968299,0.0018213256484149,0.001244956772334283,0.0011757925072046,6.9164265129683e-05,0.0483688760806916,0.0202651296829971,0.0281037463976945,0.0185590778097982,0.0063631123919308,0.0121959654178674,0.002028818443804,0.0005994236311239,0.0014293948126801,0.0030893371757924,0.0013832853025936,0.0017060518731988,0.0266743515850143,0.0161844380403458,0.0104899135446685,0.0078386167146973,0.0057175792507204,0.0021210374639769,0.0036887608069163997,0.0008530259365994,0.002835734870317,0.0033198847262247,0.0021440922190201,0.0011757925072046,0.0151239193083573,0.003850144092219,0.0112737752161383,0.0229394812680115,0.0067550432276657,0.0161844380403458,9251
2012-10-01,2012,10,43727,5915,37812,220,134,86,1507,209,1298,25,16,9,732,320,412,1035,647,388,19,13,6,99,66,33,1311,102,1209,1215,1035,180,105,100,5,2349,982,1367,813,242,571,64,20,44,163,84,79,1280,681,599,474,316,158,224,29,195,147,87,60,938,184,754,1514,376,1138,0.7640706634748117,0.1033566897901413,0.6607139736846703,0.0038442048611717,0.0023414702336228,0.0015027346275489,0.0263328032990266,0.0036519946181131,0.0226808086809135,0.0004368414614967,0.0002795785353579,0.0001572629261388,0.012790717992625999,0.0055915707071589,0.0071991472854671,0.0180852365059672,0.011305457023537,0.0067797794824302,0.0003319995107375,0.0002271575599783,0.0001048419507592,0.0017298921875272002,0.0011532614583515,0.0005766307291757,0.0229079662408918,0.0017823131629069,0.0211256530779849,0.0212304950287441,0.0180852365059672,0.0031452585227769,0.0018347341382864589,0.0017473658459871,8.736829229935872e-05,0.0410456237222386,0.017159132607594,0.0238864911146446,0.014206084327875599,0.0042286253472889,0.0099774589805867,0.0011183141414317001,0.0003494731691974,0.0007688409722343,0.002848206328959,0.0014677873106292,0.0013804190183298,0.022366282828635703,0.0118995614111726,0.0104667214174631,0.0082825141099791,0.0055216760733194,0.0027608380366597,0.0039140994950111,0.0005067360953362,0.0034073633996749,0.0025686277936011,0.0015202082860088,0.0010484195075923,0.0163902916353596,0.0032151531566164,0.0131751384787432,0.026455118908245697,0.0065700955809117,0.019885023327334,11111
