date,year,month,-999,cr_-999,nr_-999,activism,cr_activism,nr_activism,arrest,cr_arrest,nr_arrest,censor,cr_censor,nr_censor,cooperate,cr_cooperate,nr_cooperate,corruption,cr_corruption,nr_corruption,coup,cr_coup,nr_coup,defamationcase,cr_defamationcase,nr_defamationcase,disaster,cr_disaster,nr_disaster,electionactivity,cr_electionactivity,nr_electionactivity,electionirregularities,cr_electionirregularities,nr_electionirregularities,legalaction,cr_legalaction,nr_legalaction,legalchange,cr_legalchange,nr_legalchange,martiallaw,cr_martiallaw,nr_martiallaw,mobilizesecurity,cr_mobilizesecurity,nr_mobilizesecurity,protest,cr_protest,nr_protest,purge,cr_purge,nr_purge,raid,cr_raid,nr_raid,threaten,cr_threaten,nr_threaten,violencelethal,cr_violencelethal,nr_violencelethal,violencenonlethal,cr_violencenonlethal,nr_violencenonlethal,-999Norm,cr_-999Norm,nr_-999Norm,activismNorm,cr_activismNorm,nr_activismNorm,arrestNorm,cr_arrestNorm,nr_arrestNorm,censorNorm,cr_censorNorm,nr_censorNorm,cooperateNorm,cr_cooperateNorm,nr_cooperateNorm,corruptionNorm,cr_corruptionNorm,nr_corruptionNorm,coupNorm,cr_coupNorm,nr_coupNorm,defamationcaseNorm,cr_defamationcaseNorm,nr_defamationcaseNorm,disasterNorm,cr_disasterNorm,nr_disasterNorm,electionactivityNorm,cr_electionactivityNorm,nr_electionactivityNorm,electionirregularitiesNorm,cr_electionirregularitiesNorm,nr_electionirregularitiesNorm,legalactionNorm,cr_legalactionNorm,nr_legalactionNorm,legalchangeNorm,cr_legalchangeNorm,nr_legalchangeNorm,martiallawNorm,cr_martiallawNorm,nr_martiallawNorm,mobilizesecurityNorm,cr_mobilizesecurityNorm,nr_mobilizesecurityNorm,protestNorm,cr_protestNorm,nr_protestNorm,purgeNorm,cr_purgeNorm,nr_purgeNorm,raidNorm,cr_raidNorm,nr_raidNorm,threatenNorm,cr_threatenNorm,nr_threatenNorm,violencelethalNorm,cr_violencelethalNorm,nr_violencelethalNorm,violencenonlethalNorm,cr_violencenonlethalNorm,nr_violencenonlethalNorm,total_articles
2012-01-01,2012,1,2683,376,2307,6,5,1,36,4,32,2,1,1,19,10,9,95,65,30,2,1,1,0,0,0,82,12,70,37,33,4,6,6,0,66,18,48,44,11,33,1,0,1,9,3,6,23,14,9,19,10,9,4,0,4,11,4,7,28,6,22,56,21,35,0.8402756028813028,0.1177575947384904,0.7225180081428124,0.0018791105543376,0.001565925461948,0.0003131850923896,0.0112746633260256,0.0012527403695584,0.0100219229564672,0.0006263701847792,0.0003131850923896,0.0003131850923896,0.0059505167554024,0.003131850923896,0.0028186658315064,0.0297525837770121,0.0203570310053241,0.009395552771688,0.0006263701847792,0.0003131850923896,0.0003131850923896,0.0,0.0,0.0,0.0256811775759473,0.0037582211086752,0.0219229564672721,0.0115878484184152,0.0103351080488568,0.0012527403695584,0.0018791105543376,0.0018791105543376,0.0,0.0206702160977137,0.0056373316630128,0.0150328844347009,0.0137801440651424,0.0034450360162856,0.0103351080488568,0.0003131850923896,0.0,0.0003131850923896,0.0028186658315064,0.0009395552771688,0.0018791105543376,0.0072032571249608,0.0043845912934544,0.0028186658315064,0.0059505167554024,0.003131850923896,0.0028186658315064,0.0012527403695584,0.0,0.0012527403695584,0.0034450360162856,0.0012527403695584,0.0021922956467272,0.0087691825869088,0.0018791105543376,0.0068900720325712,0.0175383651738176,0.0065768869401816,0.010961478233636,588
2012-02-01,2012,2,3165,455,2710,3,3,0,87,14,73,4,3,1,36,15,21,116,81,35,3,2,1,0,0,0,81,17,64,30,29,1,5,5,0,84,29,55,58,19,39,1,0,1,20,6,14,27,16,11,23,10,13,23,4,19,12,4,8,42,8,34,61,20,41,0.8248631743549648,0.1185822256971592,0.7062809486578056,0.0007818608287724,0.0007818608287724,0.0,0.0226739640344017,0.0036486838676048,0.0190252801667969,0.0010424811050298,0.0007818608287724,0.0002606202762574,0.0093823299452696,0.0039093041438623,0.0054730258014073,0.0302319520458691,0.0211102423768569,0.0091217096690122,0.0007818608287723,0.0005212405525149,0.0002606202762574,0.0,0.0,0.0,0.0211102423768568,0.0044305446963773,0.0166796976804795,0.0078186082877246,0.0075579880114672,0.0002606202762574,0.0013031013812874,0.0013031013812874,0.0,0.0218921032056293,0.0075579880114672,0.0143341151941621,0.015115976022934501,0.0049517852488923,0.0101641907740422,0.0002606202762574,0.0,0.0002606202762574,0.0052124055251497,0.0015637216575449,0.0036486838676048,0.0070367474589522,0.0041699244201198,0.0028668230388324,0.0059942663539223,0.0026062027625749,0.0033880635913474,0.0059942663539222,0.0010424811050299,0.0049517852488923,0.0031274433150898003,0.0010424811050299,0.0020849622100599,0.010946051602814599,0.0020849622100599,0.0088610893927547,0.015897836851707002,0.0052124055251498,0.0106854313265572,721
2012-03-01,2012,3,3490,547,2943,15,9,6,70,14,56,1,0,1,26,13,13,94,57,37,2,2,0,1,0,1,57,11,46,58,48,10,4,4,0,96,24,72,102,37,65,0,0,0,29,11,18,82,54,28,14,7,7,28,6,22,23,14,9,28,16,12,95,38,57,0.8175216678379011,0.1281330522370578,0.6893886156008433,0.0035137034434292998,0.0021082220660576,0.0014054813773717,0.0163972827360036,0.0032794565472007,0.0131178261888029,0.0002342468962286,0.0,0.0002342468962286,0.0060904193019442,0.0030452096509721,0.0030452096509721,0.022019208245490703,0.0133520730850316,0.0086671351604591,0.0004684937924572,0.0004684937924572,0.0,0.0002342468962286,0.0,0.0002342468962286,0.0133520730850315,0.0025767158585148,0.0107753572265167,0.0135863199812601,0.0112438510189739,0.0023424689622862,0.0009369875849144,0.0009369875849144,0.0,0.0224877020379478,0.0056219255094869,0.0168657765284609,0.0238931834153197,0.0086671351604591,0.0152260482548606,0.0,0.0,0.0,0.00679315999063,0.0025767158585148,0.0042164441321152,0.0192082454907471,0.0126493323963457,0.0065589130944014,0.0032794565472006,0.0016397282736003,0.0016397282736003,0.0065589130944014,0.0014054813773717,0.0051534317170297,0.0053876786132583,0.0032794565472007,0.0021082220660576,0.0065589130944013,0.0037479503396579,0.0028109627547434,0.0222534551417193,0.0089013820566877,0.0133520730850316,898
2012-04-01,2012,4,3502,531,2971,2,0,2,47,9,38,1,1,0,32,12,20,95,61,34,0,0,0,0,0,0,169,84,85,67,61,6,5,5,0,80,25,55,82,47,35,0,0,0,19,11,8,21,14,7,30,16,14,21,2,19,8,3,5,29,5,24,55,18,37,0.8300545152879829,0.1258592083432093,0.7041953069447736,0.0004740459824602,0.0,0.0004740459824602,0.0111400805878169,0.0021332069210713,0.0090068736667456,0.0002370229912301,0.0002370229912301,0.0,0.0075847357193646,0.0028442758947617,0.0047404598246029,0.0225171841668641,0.0144584024650391,0.008058781701825,0.0,0.0,0.0,0.0,0.0,0.0,0.0400568855178951,0.0199099312633325,0.0201469542545626,0.0158805404124199,0.0144584024650391,0.0014221379473808,0.0011851149561507,0.0011851149561507,0.0,0.0189618392984119,0.0059255747807537,0.0130362645176582,0.0194358852808722,0.011140080587817,0.0082958046930552,0.0,0.0,0.0,0.0045034368333727,0.0026072529035316,0.0018961839298411,0.004977482815833,0.003318321877222,0.001659160938611,0.0071106897369043,0.0037923678596823,0.003318321877222,0.004977482815833,0.0004740459824602,0.0045034368333728,0.0018961839298411,0.0007110689736904,0.0011851149561507,0.0068736667456742,0.0011851149561507,0.0056885517895235,0.0130362645176581,0.0042664138421426,0.0087698506755155,890
2012-05-01,2012,5,3342,481,2861,2,1,1,62,7,55,1,0,1,26,6,20,85,53,32,3,2,1,1,1,0,69,9,60,23,22,1,3,3,0,77,21,56,59,16,43,2,1,1,13,7,6,26,9,17,14,7,7,12,1,11,7,1,6,38,7,31,58,13,45,0.860453141091658,0.1238414006179196,0.7366117404737385,0.0005149330587022,0.0002574665293511,0.0002574665293511,0.0159629248197733,0.0018022657054582,0.0141606591143151,0.0002574665293511,0.0,0.0002574665293511,0.006694129763130699,0.0015447991761071,0.0051493305870236,0.0218846549948505,0.0136457260556127,0.0082389289392378,0.0007723995880534,0.0005149330587023,0.0002574665293511,0.0002574665293511,0.0002574665293511,0.0,0.0177651905252316,0.0023171987641606,0.015447991761071,0.0059217301750771,0.005664263645726,0.0002574665293511,0.0007723995880535,0.0007723995880535,0.0,0.0198249227600411,0.0054067971163748,0.0144181256436663,0.0151905252317198,0.0041194644696189,0.0110710607621009,0.0005149330587022,0.0002574665293511,0.0002574665293511,0.0033470648815653,0.0018022657054582,0.0015447991761071,0.006694129763130699,0.0023171987641606,0.0043769309989701,0.0036045314109164,0.0018022657054582,0.0018022657054582,0.0030895983522140997,0.0002574665293511,0.002832131822863,0.0018022657054582,0.0002574665293511,0.0015447991761071,0.009783728115344899,0.0018022657054582,0.0079814624098867,0.014933058702368501,0.0033470648815653,0.0115859938208032,656
2012-06-01,2012,6,2794,468,2326,2,2,0,70,9,61,1,1,0,15,7,8,161,96,65,1,0,1,1,0,1,83,27,56,38,31,7,3,3,0,93,34,59,44,12,32,0,0,0,10,6,4,14,11,3,19,12,7,12,2,10,8,6,2,31,7,24,52,14,38,0.8290801186943619,0.1388724035608308,0.6902077151335312,0.000593471810089,0.000593471810089,0.0,0.0207715133531156,0.0026706231454005,0.0181008902077151,0.0002967359050445,0.0002967359050445,0.0,0.004451038575667501,0.0020771513353115,0.002373887240356,0.047774480712166,0.0284866468842729,0.0192878338278931,0.0002967359050445,0.0,0.0002967359050445,0.0002967359050445,0.0,0.0002967359050445,0.024629080118694198,0.0080118694362017,0.0166172106824925,0.0112759643916913,0.0091988130563798,0.0020771513353115,0.0008902077151335,0.0008902077151335,0.0,0.027596439169139397,0.0100890207715133,0.0175074183976261,0.0130563798219584,0.0035608308605341,0.0094955489614243,0.0,0.0,0.0,0.002967359050445,0.001780415430267,0.001186943620178,0.0041543026706231,0.0032640949554896,0.0008902077151335,0.0056379821958456,0.0035608308605341,0.0020771513353115,0.0035608308605341,0.000593471810089,0.0029673590504451,0.002373887240356,0.001780415430267,0.000593471810089,0.0091988130563797,0.0020771513353115,0.0071216617210682,0.015430267062314401,0.0041543026706231,0.0112759643916913,722
2012-07-01,2012,7,3081,495,2586,7,4,3,50,7,43,1,0,1,40,26,14,159,123,36,1,0,1,0,0,0,77,15,62,62,51,11,6,6,0,95,31,64,44,17,27,1,0,1,16,3,13,18,7,11,13,7,6,21,4,17,18,7,11,24,4,20,35,11,24,0.8286713286713286,0.1331360946745562,0.6955352339967724,0.0018827326519633,0.0010758472296933,0.00080688542227,0.0134480903711672,0.0018827326519634,0.0115653577192038,0.0002689618074233,0.0,0.0002689618074233,0.0107584722969337,0.0069930069930069,0.0037654653039268,0.0427649273803119,0.0330823023130715,0.0096826250672404,0.0002689618074233,0.0,0.0002689618074233,0.0,0.0,0.0,0.0207100591715975,0.0040344271113501,0.0166756320602474,0.0166756320602474,0.0137170521785906,0.0029585798816568,0.00161377084454,0.00161377084454,0.0,0.0255513717052178,0.0083378160301237,0.0172135556750941,0.011834319526627099,0.0045723507261968,0.0072619688004303,0.0002689618074233,0.0,0.0002689618074233,0.004303388918773399,0.00080688542227,0.0034965034965034,0.0048413125336202,0.0018827326519634,0.0029585798816568,0.0034965034965034,0.0018827326519634,0.00161377084454,0.0056481979558901,0.0010758472296933,0.0045723507261968,0.0048413125336202,0.0018827326519634,0.0029585798816568,0.0064550833781602,0.0010758472296933,0.0053792361484669,0.009413663259817101,0.0029585798816568,0.0064550833781603,800
2012-08-01,2012,8,3494,493,3001,4,4,0,55,8,47,3,3,0,22,3,19,114,79,35,1,0,1,0,0,0,107,20,87,41,36,5,3,3,0,98,26,72,41,14,27,1,0,1,18,5,13,21,9,12,19,13,6,13,1,12,12,4,8,38,7,31,65,16,49,0.8472356935014549,0.1195441319107662,0.7276915615906887,0.0009699321047526,0.0009699321047526,0.0,0.0133365664403491,0.0019398642095053,0.0113967022308438,0.0007274490785645,0.0007274490785645,0.0,0.0053346265761396,0.0007274490785645,0.0046071774975751,0.0276430649854509,0.0191561590688651,0.0084869059165858,0.0002424830261881,0.0,0.0002424830261881,0.0,0.0,0.0,0.025945683802133798,0.0048496605237633,0.0210960232783705,0.0099418040737148,0.008729388942774,0.0012124151309408,0.0007274490785645,0.0007274490785645,0.0,0.0237633365664403,0.0063045586808923,0.017458777885548,0.0099418040737148,0.0033947623666343,0.0065470417070805,0.0002424830261881,0.0,0.0002424830261881,0.0043646944713869006,0.0012124151309408,0.0031522793404461,0.0050921435499515,0.0021823472356935,0.002909796314258,0.0046071774975751,0.0031522793404461,0.001454898157129,0.0031522793404460997,0.0002424830261881,0.002909796314258,0.0029097963142579,0.0009699321047526,0.0019398642095053,0.0092143549951502,0.0016973811833171,0.0075169738118331,0.0157613967022307,0.0038797284190106,0.0118816682832201,726
2012-09-01,2012,9,3615,685,2930,2,1,1,85,24,61,4,4,0,34,13,21,110,58,52,0,0,0,0,0,0,129,26,103,81,78,3,3,3,0,96,24,72,62,20,42,0,0,0,14,5,9,45,30,15,23,14,9,23,13,10,19,15,4,30,5,25,77,25,52,0.8234624145785877,0.1560364464692483,0.6674259681093394,0.0004555808656036,0.0002277904328018,0.0002277904328018,0.0193621867881548,0.0054669703872437,0.0138952164009111,0.0009111617312072,0.0009111617312072,0.0,0.0077448747152618,0.0029612756264236,0.0047835990888382,0.0250569476082003,0.0132118451025056,0.0118451025056947,0.0,0.0,0.0,0.0,0.0,0.0,0.029384965831435,0.0059225512528473,0.0234624145785877,0.018451025056947498,0.0177676537585421,0.0006833712984054,0.0006833712984054,0.0006833712984054,0.0,0.0218678815489749,0.0054669703872437,0.0164009111617312,0.0141230068337129,0.0045558086560364,0.0095671981776765,0.0,0.0,0.0,0.0031890660592255,0.0011389521640091,0.0020501138952164,0.0102505694760819,0.0068337129840546,0.0034168564920273,0.0052391799544419,0.0031890660592255,0.0020501138952164,0.0052391799544418,0.0029612756264236,0.0022779043280182,0.0043280182232345,0.0034168564920273,0.0009111617312072,0.0068337129840546,0.0011389521640091,0.0056947608200455,0.0175398633257402,0.0056947608200455,0.0118451025056947,1028
2012-10-01,2012,10,4954,854,4100,9,8,1,116,31,85,3,3,0,47,18,29,135,77,58,4,1,3,0,0,0,94,17,77,43,38,5,2,2,0,119,30,89,130,30,100,1,0,1,34,17,17,71,48,23,21,15,6,23,6,17,21,11,10,51,16,35,111,38,73,0.8359770502868713,0.1441106986162673,0.6918663516706041,0.0015187310158622,0.0013499831252109,0.0001687478906513,0.0195747553155584,0.0052311846101923,0.0143435707053661,0.0005062436719541,0.0005062436719541,0.0,0.0079311508606142,0.0030374620317246,0.0048936888288896,0.0227809652379344,0.0129935875801552,0.0097873776577792,0.0006749915626054,0.0001687478906513,0.0005062436719541,0.0,0.0,0.0,0.015862301721228402,0.0028687141410732,0.0129935875801552,0.0072561592980087,0.0064124198447519,0.0008437394532568,0.0003374957813027,0.0003374957813027,0.0,0.020080998987512602,0.005062436719541,0.0150185622679716,0.0219372257846776,0.005062436719541,0.0168747890651366,0.0001687478906513,0.0,0.0001687478906513,0.0057374282821464,0.0028687141410732,0.0028687141410732,0.011981100236246999,0.0080998987512656,0.0038812014849814,0.0035437057036787,0.0025312183597705,0.0010124873439082,0.0038812014849814,0.0010124873439082,0.0028687141410732,0.0035437057036786,0.001856226797165,0.0016874789065136,0.0086061424232196,0.0026999662504218,0.0059061761727978,0.018731015862301602,0.0064124198447519,0.0123185960175497,1246
