date,year,month,-999,cr_-999,nr_-999,activism,cr_activism,nr_activism,arrest,cr_arrest,nr_arrest,censor,cr_censor,nr_censor,cooperate,cr_cooperate,nr_cooperate,corruption,cr_corruption,nr_corruption,coup,cr_coup,nr_coup,defamationcase,cr_defamationcase,nr_defamationcase,disaster,cr_disaster,nr_disaster,electionactivity,cr_electionactivity,nr_electionactivity,electionirregularities,cr_electionirregularities,nr_electionirregularities,legalaction,cr_legalaction,nr_legalaction,legalchange,cr_legalchange,nr_legalchange,martiallaw,cr_martiallaw,nr_martiallaw,mobilizesecurity,cr_mobilizesecurity,nr_mobilizesecurity,protest,cr_protest,nr_protest,purge,cr_purge,nr_purge,raid,cr_raid,nr_raid,threaten,cr_threaten,nr_threaten,violencelethal,cr_violencelethal,nr_violencelethal,violencenonlethal,cr_violencenonlethal,nr_violencenonlethal,-999Norm,cr_-999Norm,nr_-999Norm,activismNorm,cr_activismNorm,nr_activismNorm,arrestNorm,cr_arrestNorm,nr_arrestNorm,censorNorm,cr_censorNorm,nr_censorNorm,cooperateNorm,cr_cooperateNorm,nr_cooperateNorm,corruptionNorm,cr_corruptionNorm,nr_corruptionNorm,coupNorm,cr_coupNorm,nr_coupNorm,defamationcaseNorm,cr_defamationcaseNorm,nr_defamationcaseNorm,disasterNorm,cr_disasterNorm,nr_disasterNorm,electionactivityNorm,cr_electionactivityNorm,nr_electionactivityNorm,electionirregularitiesNorm,cr_electionirregularitiesNorm,nr_electionirregularitiesNorm,legalactionNorm,cr_legalactionNorm,nr_legalactionNorm,legalchangeNorm,cr_legalchangeNorm,nr_legalchangeNorm,martiallawNorm,cr_martiallawNorm,nr_martiallawNorm,mobilizesecurityNorm,cr_mobilizesecurityNorm,nr_mobilizesecurityNorm,protestNorm,cr_protestNorm,nr_protestNorm,purgeNorm,cr_purgeNorm,nr_purgeNorm,raidNorm,cr_raidNorm,nr_raidNorm,threatenNorm,cr_threatenNorm,nr_threatenNorm,violencelethalNorm,cr_violencelethalNorm,nr_violencelethalNorm,violencenonlethalNorm,cr_violencenonlethalNorm,nr_violencenonlethalNorm,total_articles
2012-01-01,2012,1,912,137,775,1,1,0,41,2,39,0,0,0,38,20,18,19,8,11,0,0,0,0,0,0,9,1,8,32,29,3,4,4,0,98,20,78,16,6,10,16,1,15,1,0,1,3,3,0,7,5,2,0,0,0,4,0,4,31,4,27,12,2,10,0.7444897959183674,0.1118367346938775,0.6326530612244898,0.0008163265306122,0.0008163265306122,0.0,0.0334693877551019,0.0016326530612244,0.0318367346938775,0.0,0.0,0.0,0.0310204081632653,0.0163265306122449,0.0146938775510204,0.015510204081632499,0.0065306122448979,0.0089795918367346,0.0,0.0,0.0,0.0,0.0,0.0,0.0073469387755101,0.0008163265306122,0.0065306122448979,0.026122448979591803,0.0236734693877551,0.0024489795918367,0.0032653061224489,0.0032653061224489,0.0,0.08,0.0163265306122449,0.0636734693877551,0.0130612244897958,0.0048979591836734,0.0081632653061224,0.013061224489795801,0.0008163265306122,0.0122448979591836,0.0008163265306122,0.0,0.0008163265306122,0.0024489795918367,0.0024489795918367,0.0,0.0057142857142856,0.0040816326530612,0.0016326530612244,0.0,0.0,0.0,0.0032653061224489,0.0,0.0032653061224489,0.0253061224489795,0.0032653061224489,0.0220408163265306,0.0097959183673468,0.0016326530612244,0.0081632653061224,235
2012-02-01,2012,2,889,77,812,4,1,3,28,2,26,2,2,0,39,14,25,25,12,13,2,0,2,0,0,0,27,6,21,13,13,0,4,4,0,97,18,79,22,9,13,6,0,6,5,1,4,5,4,1,7,5,2,0,0,0,0,0,0,26,2,24,5,2,3,0.7483164983164983,0.0648148148148148,0.6835016835016835,0.0033670033670032996,0.0008417508417508,0.0025252525252525,0.0235690235690234,0.0016835016835016,0.0218855218855218,0.0016835016835016,0.0016835016835016,0.0,0.0328282828282827,0.0117845117845117,0.021043771043771,0.021043771043771,0.0101010101010101,0.0109427609427609,0.0016835016835016,0.0,0.0016835016835016,0.0,0.0,0.0,0.0227272727272726,0.005050505050505,0.0176767676767676,0.0109427609427609,0.0109427609427609,0.0,0.0033670033670033,0.0033670033670033,0.0,0.0816498316498316,0.0151515151515151,0.0664983164983165,0.0185185185185184,0.0075757575757575,0.0109427609427609,0.005050505050505,0.0,0.005050505050505,0.0042087542087541,0.0008417508417508,0.0033670033670033,0.0042087542087541,0.0033670033670033,0.0008417508417508,0.0058922558922557995,0.0042087542087542,0.0016835016835016,0.0,0.0,0.0,0.0,0.0,0.0,0.0218855218855218,0.0016835016835016,0.0202020202020202,0.004208754208754099,0.0016835016835016,0.0025252525252525,166
2012-03-01,2012,3,955,132,823,4,2,2,28,2,26,2,2,0,21,11,10,23,15,8,3,1,2,3,1,2,24,3,21,56,47,9,7,7,0,77,13,64,31,12,19,12,0,12,5,1,4,12,10,2,10,8,2,2,1,1,1,1,0,26,5,21,16,4,12,0.7340507302075326,0.1014604150653343,0.6325903151421983,0.0030745580322828,0.0015372790161414,0.0015372790161414,0.0215219062259799,0.0015372790161414,0.0199846272098385,0.0015372790161414,0.0015372790161414,0.0,0.0161414296694849,0.0084550345887778,0.0076863950807071,0.017678708685626397,0.0115295926210607,0.0061491160645657,0.0023059185242121,0.0007686395080707,0.0015372790161414,0.0023059185242121,0.0007686395080707,0.0015372790161414,0.018447348193697102,0.0023059185242121,0.016141429669485,0.04304381245196,0.0361260568793236,0.0069177555726364,0.005380476556495,0.005380476556495,0.0,0.0591852421214449,0.0099923136049192,0.0491929285165257,0.023827824750192003,0.0092236740968485,0.0146041506533435,0.0092236740968485,0.0,0.0092236740968485,0.0038431975403535,0.0007686395080707,0.0030745580322828,0.0092236740968485,0.0076863950807071,0.0015372790161414,0.007686395080707099,0.0061491160645657,0.0015372790161414,0.0015372790161414,0.0007686395080707,0.0007686395080707,0.0007686395080707,0.0007686395080707,0.0,0.019984627209838502,0.0038431975403535,0.016141429669485,0.0122982321291313,0.0030745580322828,0.0092236740968485,269
2012-04-01,2012,4,850,89,761,2,1,1,20,1,19,1,0,1,29,4,25,25,10,15,0,0,0,2,1,1,23,1,22,9,7,2,2,2,0,111,17,94,30,12,18,3,0,3,0,0,0,3,1,2,9,6,3,1,0,1,3,2,1,22,1,21,10,0,10,0.7502206531332745,0.0785525154457193,0.6716681376875552,0.0017652250661958,0.0008826125330979,0.0008826125330979,0.0176522506619593,0.0008826125330979,0.0167696381288614,0.0008826125330979,0.0,0.0008826125330979,0.025595763459841,0.0035304501323918,0.0220653133274492,0.0220653133274492,0.0088261253309797,0.0132391879964695,0.0,0.0,0.0,0.0017652250661958,0.0008826125330979,0.0008826125330979,0.0203000882612532,0.0008826125330979,0.0194174757281553,0.0079435127978816,0.0061782877316857,0.0017652250661959,0.0017652250661959,0.0017652250661959,0.0,0.09796999117387449,0.0150044130626654,0.0829655781112091,0.026478375992939,0.0105913503971756,0.0158870255957634,0.0026478375992939,0.0,0.0026478375992939,0.0,0.0,0.0,0.0026478375992938,0.0008826125330979,0.0017652250661959,0.007943512797881701,0.0052956751985878,0.0026478375992939,0.0008826125330979,0.0,0.0008826125330979,0.0026478375992938,0.0017652250661959,0.0008826125330979,0.0194174757281552,0.0008826125330979,0.0185348631950573,0.0088261253309797,0.0,0.0088261253309797,147
2012-05-01,2012,5,933,86,847,4,1,3,39,5,34,0,0,0,30,4,26,27,13,14,2,1,1,0,0,0,13,0,13,3,2,1,0,0,0,102,22,80,36,13,23,3,1,2,1,0,1,6,5,1,5,1,4,3,0,3,3,0,3,16,4,12,13,2,11,0.7628781684382665,0.0703188879803761,0.6925592804578904,0.0032706459525756,0.0008176614881439,0.0024529844644317,0.0318887980376123,0.0040883074407195,0.0278004905968928,0.0,0.0,0.0,0.024529844644317202,0.0032706459525756,0.0212591986917416,0.0220768601798855,0.0106295993458708,0.0114472608340147,0.0016353229762878,0.0008176614881439,0.0008176614881439,0.0,0.0,0.0,0.0106295993458708,0.0,0.0106295993458708,0.0024529844644316998,0.0016353229762878,0.0008176614881439,0.0,0.0,0.0,0.0834014717906785,0.0179885527391659,0.0654129190515126,0.029435813573180602,0.0106295993458708,0.0188062142273098,0.0024529844644316998,0.0008176614881439,0.0016353229762878,0.0008176614881439,0.0,0.0008176614881439,0.0049059689288634,0.0040883074407195,0.0008176614881439,0.0040883074407195,0.0008176614881439,0.0032706459525756,0.0024529844644317,0.0,0.0024529844644317,0.0024529844644317,0.0,0.0024529844644317,0.0130825838103025,0.0032706459525756,0.0098119378577269,0.0106295993458707,0.0016353229762878,0.0089942763695829,152
2012-06-01,2012,6,863,78,785,1,1,0,33,0,33,0,0,0,22,6,16,37,8,29,1,0,1,2,0,2,27,2,25,7,3,4,0,0,0,128,13,115,38,11,27,10,0,10,0,0,0,2,2,0,12,4,8,0,0,0,3,3,0,38,7,31,7,1,6,0.7185678601165696,0.0649458784346378,0.6536219816819318,0.0008326394671107,0.0008326394671107,0.0,0.0274771024146544,0.0,0.0274771024146544,0.0,0.0,0.0,0.0183180682764362,0.0049958368026644,0.0133222314737718,0.030807660283097303,0.0066611157368859,0.0241465445462114,0.0008326394671107,0.0,0.0008326394671107,0.0016652789342214,0.0,0.0016652789342214,0.0224812656119899,0.0016652789342214,0.0208159866777685,0.005828476269775101,0.0024979184013322,0.0033305578684429,0.0,0.0,0.0,0.1065778517901748,0.0108243130724396,0.0957535387177352,0.0316402997502081,0.0091590341382181,0.02248126561199,0.0083263946711074,0.0,0.0083263946711074,0.0,0.0,0.0,0.0016652789342214,0.0016652789342214,0.0,0.0099916736053288,0.0033305578684429,0.0066611157368859,0.0,0.0,0.0,0.0024979184013322,0.0024979184013322,0.0,0.031640299750208,0.0058284762697751,0.0258118234804329,0.005828476269775101,0.0008326394671107,0.0049958368026644,135
2012-07-01,2012,7,1047,90,957,1,1,0,43,2,41,0,0,0,17,8,9,17,7,10,0,0,0,1,0,1,21,1,20,5,2,3,0,0,0,105,29,76,17,7,10,4,0,4,3,0,3,2,2,0,6,5,1,1,0,1,1,1,0,28,5,23,7,2,5,0.7961977186311786,0.0684410646387832,0.7277566539923954,0.0007604562737642,0.0007604562737642,0.0,0.0326996197718631,0.0015209125475285,0.0311787072243346,0.0,0.0,0.0,0.0129277566539923,0.006083650190114,0.0068441064638783,0.0129277566539923,0.0053231939163498,0.0076045627376425,0.0,0.0,0.0,0.0007604562737642,0.0,0.0007604562737642,0.0159695817490493,0.0007604562737642,0.0152091254752851,0.0038022813688212,0.0015209125475285,0.0022813688212927,0.0,0.0,0.0,0.079847908745247,0.0220532319391634,0.0577946768060836,0.0129277566539923,0.0053231939163498,0.0076045627376425,0.003041825095057,0.0,0.003041825095057,0.0022813688212927,0.0,0.0022813688212927,0.0015209125475285,0.0015209125475285,0.0,0.0045627376425854,0.0038022813688212,0.0007604562737642,0.0007604562737642,0.0,0.0007604562737642,0.0007604562737642,0.0007604562737642,0.0,0.0212927756653991,0.0038022813688212,0.0174904942965779,0.0053231939163497,0.0015209125475285,0.0038022813688212,159
2012-08-01,2012,8,1226,92,1134,2,0,2,20,1,19,0,0,0,15,7,8,31,16,15,2,0,2,0,0,0,44,22,22,4,4,0,0,0,0,69,21,48,11,5,6,5,0,5,1,0,1,7,5,2,3,2,1,1,0,1,2,0,2,15,1,14,9,3,6,0.8513888888888888,0.0638888888888888,0.7875,0.0013888888888888,0.0,0.0013888888888888,0.0138888888888888,0.0006944444444444,0.0131944444444444,0.0,0.0,0.0,0.0104166666666666,0.0048611111111111,0.0055555555555555,0.0215277777777777,0.0111111111111111,0.0104166666666666,0.0013888888888888,0.0,0.0013888888888888,0.0,0.0,0.0,0.0305555555555554,0.0152777777777777,0.0152777777777777,0.0027777777777777,0.0027777777777777,0.0,0.0,0.0,0.0,0.0479166666666666,0.0145833333333333,0.0333333333333333,0.007638888888888799,0.0034722222222222,0.0041666666666666,0.0034722222222222,0.0,0.0034722222222222,0.0006944444444444,0.0,0.0006944444444444,0.004861111111111,0.0034722222222222,0.0013888888888888,0.0020833333333332,0.0013888888888888,0.0006944444444444,0.0006944444444444,0.0,0.0006944444444444,0.0013888888888888,0.0,0.0013888888888888,0.0104166666666666,0.0006944444444444,0.0097222222222222,0.0062499999999999,0.0020833333333333,0.0041666666666666,166
2012-09-01,2012,9,901,114,787,3,1,2,29,2,27,1,0,1,36,13,23,10,3,7,1,0,1,2,2,0,25,2,23,4,4,0,1,1,0,89,12,77,17,6,11,2,0,2,0,0,0,13,9,4,4,0,4,1,0,1,4,3,1,30,6,24,12,3,9,0.766156462585034,0.096938775510204,0.66921768707483,0.0025510204081632,0.0008503401360544,0.0017006802721088,0.0246598639455781,0.0017006802721088,0.0229591836734693,0.0008503401360544,0.0,0.0008503401360544,0.0306122448979591,0.0110544217687074,0.0195578231292517,0.0085034013605441,0.0025510204081632,0.0059523809523809,0.0008503401360544,0.0,0.0008503401360544,0.0017006802721088,0.0017006802721088,0.0,0.021258503401360502,0.0017006802721088,0.0195578231292517,0.0034013605442176,0.0034013605442176,0.0,0.0008503401360544,0.0008503401360544,0.0,0.0756802721088434,0.010204081632653,0.0654761904761904,0.0144557823129251,0.0051020408163265,0.0093537414965986,0.0017006802721088,0.0,0.0017006802721088,0.0,0.0,0.0,0.011054421768707301,0.0076530612244897,0.0034013605442176,0.0034013605442176,0.0,0.0034013605442176,0.0008503401360544,0.0,0.0008503401360544,0.0034013605442176,0.0025510204081632,0.0008503401360544,0.025510204081632598,0.0051020408163265,0.0204081632653061,0.0102040816326529,0.0025510204081632,0.0076530612244897,178
2012-10-01,2012,10,951,93,858,1,0,1,32,1,31,0,0,0,23,11,12,25,8,17,1,1,0,0,0,0,154,54,100,4,4,0,0,0,0,108,14,94,24,10,14,11,4,7,1,1,0,3,3,0,3,3,0,3,0,3,3,2,1,35,2,33,14,3,11,0.6896301667875272,0.0674401740391588,0.6221899927483684,0.0007251631617113,0.0,0.0007251631617113,0.0232052211747642,0.0007251631617113,0.0224800580130529,0.0,0.0,0.0,0.016678752719361797,0.0079767947788252,0.0087019579405366,0.018129079042784497,0.005801305293691,0.0123277737490935,0.0007251631617113,0.0007251631617113,0.0,0.0,0.0,0.0,0.1116751269035532,0.0391588107324147,0.0725163161711385,0.0029006526468455,0.0029006526468455,0.0,0.0,0.0,0.0,0.0783176214648295,0.0101522842639593,0.0681653372008702,0.0174039158810731,0.0072516316171138,0.0101522842639593,0.0079767947788251,0.0029006526468455,0.0050761421319796,0.0007251631617113,0.0007251631617113,0.0,0.0021754894851341,0.0021754894851341,0.0,0.0021754894851341,0.0021754894851341,0.0,0.0021754894851341,0.0,0.0021754894851341,0.002175489485134,0.0014503263234227,0.0007251631617113,0.0253807106598984,0.0014503263234227,0.0239303843364757,0.0101522842639593,0.0021754894851341,0.0079767947788252,208
