date,year,month,-999,cr_-999,nr_-999,activism,cr_activism,nr_activism,arrest,cr_arrest,nr_arrest,censor,cr_censor,nr_censor,cooperate,cr_cooperate,nr_cooperate,corruption,cr_corruption,nr_corruption,coup,cr_coup,nr_coup,defamationcase,cr_defamationcase,nr_defamationcase,disaster,cr_disaster,nr_disaster,electionactivity,cr_electionactivity,nr_electionactivity,electionirregularities,cr_electionirregularities,nr_electionirregularities,legalaction,cr_legalaction,nr_legalaction,legalchange,cr_legalchange,nr_legalchange,martiallaw,cr_martiallaw,nr_martiallaw,mobilizesecurity,cr_mobilizesecurity,nr_mobilizesecurity,protest,cr_protest,nr_protest,purge,cr_purge,nr_purge,raid,cr_raid,nr_raid,threaten,cr_threaten,nr_threaten,violencelethal,cr_violencelethal,nr_violencelethal,violencenonlethal,cr_violencenonlethal,nr_violencenonlethal,-999Norm,cr_-999Norm,nr_-999Norm,activismNorm,cr_activismNorm,nr_activismNorm,arrestNorm,cr_arrestNorm,nr_arrestNorm,censorNorm,cr_censorNorm,nr_censorNorm,cooperateNorm,cr_cooperateNorm,nr_cooperateNorm,corruptionNorm,cr_corruptionNorm,nr_corruptionNorm,coupNorm,cr_coupNorm,nr_coupNorm,defamationcaseNorm,cr_defamationcaseNorm,nr_defamationcaseNorm,disasterNorm,cr_disasterNorm,nr_disasterNorm,electionactivityNorm,cr_electionactivityNorm,nr_electionactivityNorm,electionirregularitiesNorm,cr_electionirregularitiesNorm,nr_electionirregularitiesNorm,legalactionNorm,cr_legalactionNorm,nr_legalactionNorm,legalchangeNorm,cr_legalchangeNorm,nr_legalchangeNorm,martiallawNorm,cr_martiallawNorm,nr_martiallawNorm,mobilizesecurityNorm,cr_mobilizesecurityNorm,nr_mobilizesecurityNorm,protestNorm,cr_protestNorm,nr_protestNorm,purgeNorm,cr_purgeNorm,nr_purgeNorm,raidNorm,cr_raidNorm,nr_raidNorm,threatenNorm,cr_threatenNorm,nr_threatenNorm,violencelethalNorm,cr_violencelethalNorm,nr_violencelethalNorm,violencenonlethalNorm,cr_violencenonlethalNorm,nr_violencenonlethalNorm,total_articles
2012-01-01,2012,1,1302,103,1199,4,3,1,46,14,32,2,2,0,6,2,4,9,5,4,1,1,0,0,0,0,13,3,10,49,49,0,22,22,0,28,14,14,18,11,7,3,3,0,1,1,0,15,10,5,8,3,5,5,1,4,0,0,0,7,3,4,8,2,6,0.8432642487046632,0.0667098445595855,0.7765544041450777,0.0025906735751293998,0.0019430051813471,0.0006476683937823,0.0297927461139895,0.0090673575129533,0.0207253886010362,0.0012953367875647,0.0012953367875647,0.0,0.0038860103626942,0.0012953367875647,0.0025906735751295,0.0058290155440414,0.0032383419689119,0.0025906735751295,0.0006476683937823,0.0006476683937823,0.0,0.0,0.0,0.0,0.0084196891191709,0.0019430051813471,0.0064766839378238,0.0317357512953367,0.0317357512953367,0.0,0.0142487046632124,0.0142487046632124,0.0,0.0181347150259066,0.0090673575129533,0.0090673575129533,0.0116580310880828,0.0071243523316062,0.0045336787564766,0.0019430051813471,0.0019430051813471,0.0,0.0006476683937823,0.0006476683937823,0.0,0.009715025906735699,0.0064766839378238,0.0032383419689119,0.005181347150259,0.0019430051813471,0.0032383419689119,0.0032383419689118,0.0006476683937823,0.0025906735751295,0.0,0.0,0.0,0.004533678756476599,0.0019430051813471,0.0025906735751295,0.005181347150259,0.0012953367875647,0.0038860103626943,248
2012-02-01,2012,2,1418,95,1323,2,1,1,37,7,30,1,1,0,5,0,5,16,7,9,1,1,0,0,0,0,23,7,16,1,1,0,0,0,0,32,15,17,7,1,6,4,0,4,4,2,2,20,16,4,3,2,1,1,0,1,1,1,0,7,1,6,12,4,8,0.8952020202020201,0.0599747474747474,0.8352272727272727,0.0012626262626262,0.0006313131313131,0.0006313131313131,0.023358585858585797,0.0044191919191919,0.0189393939393939,0.0006313131313131,0.0006313131313131,0.0,0.0031565656565656,0.0,0.0031565656565656,0.01010101010101,0.0044191919191919,0.0056818181818181,0.0006313131313131,0.0006313131313131,0.0,0.0,0.0,0.0,0.014520202020202,0.0044191919191919,0.0101010101010101,0.0006313131313131,0.0006313131313131,0.0,0.0,0.0,0.0,0.020202020202020103,0.0094696969696969,0.0107323232323232,0.0044191919191918,0.0006313131313131,0.0037878787878787,0.0025252525252525,0.0,0.0025252525252525,0.0025252525252524,0.0012626262626262,0.0012626262626262,0.0126262626262626,0.0101010101010101,0.0025252525252525,0.0018939393939393,0.0012626262626262,0.0006313131313131,0.0006313131313131,0.0,0.0006313131313131,0.0006313131313131,0.0006313131313131,0.0,0.0044191919191918,0.0006313131313131,0.0037878787878787,0.0075757575757575,0.0025252525252525,0.005050505050505,157
2012-03-01,2012,3,1367,99,1268,3,3,0,29,8,21,6,3,3,6,3,3,4,3,1,0,0,0,1,1,0,11,3,8,2,2,0,1,1,0,38,18,20,6,1,5,4,0,4,0,0,0,10,7,3,2,2,0,5,0,5,0,0,0,4,0,4,8,1,7,0.907100199071002,0.0656934306569343,0.8414067684140677,0.0019907100199071,0.0019907100199071,0.0,0.0192435301924353,0.0053085600530856,0.0139349701393497,0.0039814200398142,0.0019907100199071,0.0019907100199071,0.0039814200398142,0.0019907100199071,0.0019907100199071,0.0026542800265428,0.0019907100199071,0.0006635700066357,0.0,0.0,0.0,0.0006635700066357,0.0006635700066357,0.0,0.0072992700729927,0.0019907100199071,0.0053085600530856,0.0013271400132714,0.0013271400132714,0.0,0.0006635700066357,0.0006635700066357,0.0,0.025215660252156602,0.0119442601194426,0.013271400132714,0.0039814200398142,0.0006635700066357,0.0033178500331785,0.0026542800265428,0.0,0.0026542800265428,0.0,0.0,0.0,0.006635700066357,0.0046449900464499,0.0019907100199071,0.0013271400132714,0.0013271400132714,0.0,0.0033178500331785,0.0,0.0033178500331785,0.0,0.0,0.0,0.0026542800265428,0.0,0.0026542800265428,0.0053085600530856005,0.0006635700066357,0.0046449900464499,153
2012-04-01,2012,4,1454,76,1378,3,3,0,24,8,16,2,1,1,8,4,4,6,4,2,0,0,0,1,0,1,7,2,5,4,4,0,0,0,0,42,21,21,10,4,6,0,0,0,1,0,1,7,4,3,3,3,0,3,0,3,0,0,0,6,1,5,17,10,7,0.9110275689223057,0.0476190476190476,0.8634085213032582,0.0018796992481203,0.0018796992481203,0.0,0.0150375939849624,0.0050125313283208,0.0100250626566416,0.0012531328320802,0.0006265664160401,0.0006265664160401,0.0050125313283208,0.0025062656641604,0.0025062656641604,0.0037593984962406,0.0025062656641604,0.0012531328320802,0.0,0.0,0.0,0.0006265664160401,0.0,0.0006265664160401,0.0043859649122807,0.0012531328320802,0.0031328320802005,0.0025062656641604,0.0025062656641604,0.0,0.0,0.0,0.0,0.0263157894736842,0.0131578947368421,0.0131578947368421,0.006265664160401,0.0025062656641604,0.0037593984962406,0.0,0.0,0.0,0.0006265664160401,0.0,0.0006265664160401,0.0043859649122807,0.0025062656641604,0.0018796992481203,0.0018796992481203,0.0018796992481203,0.0,0.0018796992481203,0.0,0.0018796992481203,0.0,0.0,0.0,0.0037593984962406004,0.0006265664160401,0.0031328320802005,0.0106516290726817,0.006265664160401,0.0043859649122807,144
2012-05-01,2012,5,1473,82,1391,1,1,0,22,4,18,1,1,0,5,2,3,12,9,3,0,0,0,0,0,0,14,4,10,1,1,0,0,0,0,36,16,20,6,3,3,0,0,0,2,0,2,17,7,10,1,1,0,5,1,4,3,2,1,19,8,11,12,2,10,0.908138101109741,0.0505548705302096,0.8575832305795315,0.000616522811344,0.000616522811344,0.0,0.0135635018495683,0.002466091245376,0.0110974106041923,0.000616522811344,0.000616522811344,0.0,0.0030826140567200002,0.001233045622688,0.001849568434032,0.0073982737361281,0.0055487053020961,0.001849568434032,0.0,0.0,0.0,0.0,0.0,0.0,0.0086313193588161,0.002466091245376,0.0061652281134401,0.000616522811344,0.000616522811344,0.0,0.0,0.0,0.0,0.022194821208384598,0.0098643649815043,0.0123304562268803,0.003699136868064,0.001849568434032,0.001849568434032,0.0,0.0,0.0,0.001233045622688,0.0,0.001233045622688,0.010480887792848202,0.0043156596794081,0.0061652281134401,0.000616522811344,0.000616522811344,0.0,0.0030826140567200002,0.000616522811344,0.002466091245376,0.001849568434032,0.001233045622688,0.000616522811344,0.011713933415536299,0.0049321824907521,0.0067817509247842,0.0073982737361281,0.001233045622688,0.0061652281134401,139
2012-06-01,2012,6,1473,114,1359,1,1,0,35,8,27,1,1,0,14,5,9,14,8,6,0,0,0,0,0,0,19,7,12,2,2,0,0,0,0,36,14,22,15,5,10,0,0,0,3,2,1,9,5,4,3,2,1,0,0,0,1,1,0,27,9,18,11,3,8,0.8889559444779722,0.0687990343995172,0.820156910078455,0.0006035003017501,0.0006035003017501,0.0,0.0211225105612552,0.0048280024140012,0.016294508147254,0.0006035003017501,0.0006035003017501,0.0,0.008449004224502,0.0030175015087507,0.0054315027157513,0.0084490042245021,0.0048280024140012,0.0036210018105009,0.0,0.0,0.0,0.0,0.0,0.0,0.0114665057332528,0.004224502112251,0.0072420036210018,0.0012070006035003,0.0012070006035003,0.0,0.0,0.0,0.0,0.0217260108630054,0.0084490042245021,0.0132770066385033,0.009052504526252201,0.0030175015087507,0.0060350030175015,0.0,0.0,0.0,0.0018105009052504,0.0012070006035003,0.0006035003017501,0.0054315027157513,0.0030175015087507,0.0024140012070006,0.0018105009052504,0.0012070006035003,0.0006035003017501,0.0,0.0,0.0,0.0006035003017501,0.0006035003017501,0.0,0.016294508147254,0.0054315027157513,0.0108630054315027,0.0066385033192516004,0.0018105009052504,0.0048280024140012,185
2012-07-01,2012,7,1388,89,1299,0,0,0,22,4,18,3,1,2,10,5,5,6,3,3,0,0,0,0,0,0,13,5,8,1,1,0,0,0,0,20,11,9,8,4,4,0,0,0,3,2,1,7,6,1,5,3,2,0,0,0,1,0,1,10,3,7,14,5,9,0.919205298013245,0.0589403973509933,0.8602649006622517,0.0,0.0,0.0,0.014569536423841001,0.0026490066225165,0.0119205298013245,0.0019867549668873,0.0006622516556291,0.0013245033112582,0.0066225165562912,0.0033112582781456,0.0033112582781456,0.0039735099337748,0.0019867549668874,0.0019867549668874,0.0,0.0,0.0,0.0,0.0,0.0,0.0086092715231787,0.0033112582781456,0.0052980132450331,0.0006622516556291,0.0006622516556291,0.0,0.0,0.0,0.0,0.0132450331125827,0.0072847682119205,0.0059602649006622,0.005298013245033,0.0026490066225165,0.0026490066225165,0.0,0.0,0.0,0.0019867549668873,0.0013245033112582,0.0006622516556291,0.004635761589403899,0.0039735099337748,0.0006622516556291,0.0033112582781456,0.0019867549668874,0.0013245033112582,0.0,0.0,0.0,0.0006622516556291,0.0,0.0006622516556291,0.0066225165562913,0.0019867549668874,0.0046357615894039,0.0092715231788078,0.0033112582781456,0.0059602649006622,142
2012-08-01,2012,8,1379,75,1304,2,1,1,21,3,18,1,0,1,5,2,3,12,8,4,1,1,0,0,0,0,16,3,13,1,1,0,0,0,0,40,23,17,7,3,4,0,0,0,0,0,0,6,5,1,1,1,0,4,0,4,0,0,0,31,11,20,15,6,9,0.8966189856957087,0.0487646293888166,0.8478543563068921,0.001300390117035,0.0006501950585175,0.0006501950585175,0.0136540962288685,0.0019505851755526,0.0117035110533159,0.0006501950585175,0.0,0.0006501950585175,0.0032509752925877,0.0013003901170351,0.0019505851755526,0.0078023407022106,0.0052015604681404,0.0026007802340702,0.0006501950585175,0.0006501950585175,0.0,0.0,0.0,0.0,0.0104031209362808,0.0019505851755526,0.0084525357607282,0.0006501950585175,0.0006501950585175,0.0,0.0,0.0,0.0,0.0260078023407021,0.0149544863459037,0.0110533159947984,0.0045513654096228,0.0019505851755526,0.0026007802340702,0.0,0.0,0.0,0.0,0.0,0.0,0.0039011703511052,0.0032509752925877,0.0006501950585175,0.0006501950585175,0.0006501950585175,0.0,0.0026007802340702,0.0,0.0026007802340702,0.0,0.0,0.0,0.0201560468140442,0.0071521456436931,0.0130039011703511,0.0097529258777632,0.0039011703511053,0.0058517555266579,140
2012-09-01,2012,9,1017,106,911,3,1,2,24,7,17,2,2,0,9,8,1,10,4,6,0,0,0,0,0,0,13,0,13,4,3,1,0,0,0,28,11,17,3,2,1,0,0,0,6,2,4,5,3,2,6,6,0,0,0,0,0,0,0,17,12,5,11,3,8,0.8843478260869565,0.0921739130434782,0.7921739130434783,0.0026086956521739002,0.0008695652173913,0.0017391304347826,0.0208695652173912,0.0060869565217391,0.0147826086956521,0.0017391304347826,0.0017391304347826,0.0,0.0078260869565217,0.0069565217391304,0.0008695652173913,0.008695652173913,0.0034782608695652,0.0052173913043478,0.0,0.0,0.0,0.0,0.0,0.0,0.0113043478260869,0.0,0.0113043478260869,0.0034782608695651997,0.0026086956521739,0.0008695652173913,0.0,0.0,0.0,0.0243478260869564,0.0095652173913043,0.0147826086956521,0.0026086956521739002,0.0017391304347826,0.0008695652173913,0.0,0.0,0.0,0.0052173913043478005,0.0017391304347826,0.0034782608695652,0.0043478260869565,0.0026086956521739,0.0017391304347826,0.0052173913043478,0.0052173913043478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0147826086956521,0.0104347826086956,0.0043478260869565,0.0095652173913043,0.0026086956521739,0.0069565217391304,168
2012-10-01,2012,10,1079,82,997,2,2,0,25,9,16,2,0,2,10,5,5,12,7,5,0,0,0,1,0,1,11,3,8,2,2,0,0,0,0,37,16,21,5,2,3,0,0,0,2,1,1,11,7,4,3,1,2,0,0,0,0,0,0,9,3,6,15,6,9,0.8858784893267652,0.0673234811165845,0.8185550082101807,0.0016420361247947,0.0016420361247947,0.0,0.0205254515599342,0.0073891625615763,0.0131362889983579,0.0016420361247947,0.0,0.0016420361247947,0.0082101806239736,0.0041050903119868,0.0041050903119868,0.009852216748768398,0.0057471264367816,0.0041050903119868,0.0,0.0,0.0,0.0008210180623973,0.0,0.0008210180623973,0.009031198686371,0.0024630541871921,0.0065681444991789,0.0016420361247947,0.0016420361247947,0.0,0.0,0.0,0.0,0.0303776683087027,0.0131362889983579,0.0172413793103448,0.0041050903119868,0.0016420361247947,0.0024630541871921,0.0,0.0,0.0,0.0016420361247946,0.0008210180623973,0.0008210180623973,0.009031198686370999,0.0057471264367816,0.0032840722495894,0.002463054187192,0.0008210180623973,0.0016420361247947,0.0,0.0,0.0,0.0,0.0,0.0,0.0073891625615763006,0.0024630541871921,0.0049261083743842,0.0123152709359605,0.0049261083743842,0.0073891625615763,142
