date,year,month,-999,cr_-999,nr_-999,activism,cr_activism,nr_activism,arrest,cr_arrest,nr_arrest,censor,cr_censor,nr_censor,cooperate,cr_cooperate,nr_cooperate,corruption,cr_corruption,nr_corruption,coup,cr_coup,nr_coup,defamationcase,cr_defamationcase,nr_defamationcase,disaster,cr_disaster,nr_disaster,electionactivity,cr_electionactivity,nr_electionactivity,electionirregularities,cr_electionirregularities,nr_electionirregularities,legalaction,cr_legalaction,nr_legalaction,legalchange,cr_legalchange,nr_legalchange,martiallaw,cr_martiallaw,nr_martiallaw,mobilizesecurity,cr_mobilizesecurity,nr_mobilizesecurity,protest,cr_protest,nr_protest,purge,cr_purge,nr_purge,raid,cr_raid,nr_raid,threaten,cr_threaten,nr_threaten,violencelethal,cr_violencelethal,nr_violencelethal,violencenonlethal,cr_violencenonlethal,nr_violencenonlethal,-999Norm,cr_-999Norm,nr_-999Norm,activismNorm,cr_activismNorm,nr_activismNorm,arrestNorm,cr_arrestNorm,nr_arrestNorm,censorNorm,cr_censorNorm,nr_censorNorm,cooperateNorm,cr_cooperateNorm,nr_cooperateNorm,corruptionNorm,cr_corruptionNorm,nr_corruptionNorm,coupNorm,cr_coupNorm,nr_coupNorm,defamationcaseNorm,cr_defamationcaseNorm,nr_defamationcaseNorm,disasterNorm,cr_disasterNorm,nr_disasterNorm,electionactivityNorm,cr_electionactivityNorm,nr_electionactivityNorm,electionirregularitiesNorm,cr_electionirregularitiesNorm,nr_electionirregularitiesNorm,legalactionNorm,cr_legalactionNorm,nr_legalactionNorm,legalchangeNorm,cr_legalchangeNorm,nr_legalchangeNorm,martiallawNorm,cr_martiallawNorm,nr_martiallawNorm,mobilizesecurityNorm,cr_mobilizesecurityNorm,nr_mobilizesecurityNorm,protestNorm,cr_protestNorm,nr_protestNorm,purgeNorm,cr_purgeNorm,nr_purgeNorm,raidNorm,cr_raidNorm,nr_raidNorm,threatenNorm,cr_threatenNorm,nr_threatenNorm,violencelethalNorm,cr_violencelethalNorm,nr_violencelethalNorm,violencenonlethalNorm,cr_violencenonlethalNorm,nr_violencenonlethalNorm,total_articles
2012-01-01,2012,1,1504,760,744,27,21,6,37,12,25,5,2,3,44,36,8,83,56,27,6,6,0,21,14,7,13,4,9,89,88,1,17,16,1,161,102,59,29,18,11,7,4,3,10,8,2,87,68,19,34,30,4,4,1,3,31,26,5,14,5,9,63,45,18,0.6570554827435561,0.3320227173438183,0.3250327653997378,0.0117955439056356,0.0091743119266055,0.0026212319790301,0.0161642638706858,0.0052424639580602,0.0109217999126256,0.002184359982525,0.00087374399301,0.001310615989515,0.0192223678462209,0.0157273918741808,0.0034949759720401,0.0362603757099169,0.0244648318042813,0.0117955439056356,0.0026212319790301,0.0026212319790301,0.0,0.009174311926605401,0.0061162079510703,0.0030581039755351,0.0056793359545652,0.00174748798602,0.0039318479685452,0.0388816076889471,0.0384447356924421,0.000436871996505,0.0074268239405853005,0.0069899519440803,0.000436871996505,0.0703363914373088,0.0445609436435124,0.0257754477937964,0.0126692878986456,0.0078636959370904,0.0048055919615552,0.0030581039755350004,0.00174748798602,0.001310615989515,0.0043687199650501,0.0034949759720401,0.00087374399301,0.038007863695937005,0.0297072957623416,0.0083005679335954,0.0148536478811707,0.0131061598951507,0.00174748798602,0.00174748798602,0.000436871996505,0.001310615989515,0.0135430318916557,0.0113586719091306,0.0021843599825251,0.006116207951070301,0.0021843599825251,0.0039318479685452,0.027522935779816397,0.019659239842726,0.0078636959370904,1296
2012-02-01,2012,2,1710,800,910,30,25,5,36,18,18,14,5,9,43,26,17,92,73,19,7,5,2,8,7,1,11,4,7,75,72,3,26,25,1,140,89,51,38,28,10,3,3,0,9,9,0,68,50,18,20,18,2,2,2,0,24,17,7,6,2,4,77,48,29,0.708955223880597,0.3316749585406301,0.3772802653399668,0.012437810945273499,0.0103648424543946,0.0020729684908789,0.0149253731343282,0.0074626865671641,0.0074626865671641,0.0058043117744609,0.0020729684908789,0.003731343283582,0.0178275290215587,0.0107794361525704,0.0070480928689883,0.0381426202321724,0.0302653399668325,0.0078772802653399,0.0029021558872304003,0.0020729684908789,0.0008291873963515,0.0033167495854062,0.0029021558872305,0.0004145936981757,0.0045605306799336,0.0016583747927031,0.0029021558872305,0.031094527363183997,0.0298507462686567,0.0012437810945273,0.0107794361525703,0.0103648424543946,0.0004145936981757,0.0580431177446102,0.0368988391376451,0.0211442786069651,0.0157545605306798,0.011608623548922,0.0041459369817578,0.0012437810945273,0.0012437810945273,0.0,0.003731343283582,0.003731343283582,0.0,0.0281923714759534,0.0207296849087893,0.0074626865671641,0.0082918739635156,0.0074626865671641,0.0008291873963515,0.0008291873963515,0.0008291873963515,0.0,0.009950248756218801,0.0070480928689883,0.0029021558872305,0.0024875621890546,0.0008291873963515,0.0016583747927031,0.0319237147595356,0.0199004975124378,0.0120232172470978,1301
2012-03-01,2012,3,1896,873,1023,50,34,16,36,19,17,5,3,2,46,30,16,115,85,30,4,4,0,17,15,2,34,7,27,120,115,5,51,51,0,216,137,79,57,31,26,2,1,1,5,2,3,89,67,22,22,21,1,0,0,0,18,16,2,12,8,4,56,27,29,0.6747330960854092,0.3106761565836299,0.3640569395017793,0.017793594306049702,0.0120996441281138,0.0056939501779359,0.0128113879003558,0.0067615658362989,0.0060498220640569,0.0017793594306048,0.0010676156583629,0.0007117437722419,0.0163701067615657,0.0106761565836298,0.0056939501779359,0.040925266903914403,0.0302491103202846,0.0106761565836298,0.0014234875444839,0.0014234875444839,0.0,0.0060498220640568,0.0053380782918149,0.0007117437722419,0.0120996441281138,0.0024911032028469,0.0096085409252669,0.0427046263345194,0.0409252669039145,0.0017793594306049,0.0181494661921708,0.0181494661921708,0.0,0.0768683274021352,0.0487544483985765,0.0281138790035587,0.0202846975088967,0.0110320284697508,0.0092526690391459,0.0007117437722418,0.0003558718861209,0.0003558718861209,0.0017793594306048,0.0007117437722419,0.0010676156583629,0.0316725978647686,0.0238434163701067,0.0078291814946619,0.0078291814946618,0.0074733096085409,0.0003558718861209,0.0,0.0,0.0,0.0064056939501778,0.0056939501779359,0.0007117437722419,0.004270462633451801,0.0028469750889679,0.0014234875444839,0.0199288256227757,0.0096085409252669,0.0103202846975088,1507
2012-04-01,2012,4,1615,738,877,34,28,6,39,24,15,12,8,4,43,31,12,93,67,26,8,5,3,12,8,4,27,8,19,129,128,1,60,59,1,144,77,67,144,107,37,7,4,3,21,21,0,164,130,34,8,6,2,6,5,1,24,19,5,6,5,1,93,57,36,0.6092040739343643,0.2783855149000377,0.3308185590343266,0.0128253489249338,0.0105620520558279,0.0022632968691059,0.014711429649188798,0.0090531874764239,0.0056582421727649,0.0045265937382118,0.0030177291588079,0.0015088645794039,0.0162202942285928,0.0116937004903809,0.0045265937382119,0.0350811014711428,0.0252734817050169,0.0098076197661259,0.0030177291588078,0.0018860807242549,0.0011316484345529,0.0045265937382118,0.0030177291588079,0.0015088645794039,0.0101848359109768,0.0030177291588079,0.0071671067521689,0.048660882685778804,0.0482836665409279,0.0003772161448509,0.0226329686910598,0.0222557525462089,0.0003772161448509,0.0543191248585438,0.0290456431535269,0.0252734817050169,0.0543191248585438,0.0403621274990569,0.0139569973594869,0.0026405130139568,0.0015088645794039,0.0011316484345529,0.0079215390418709,0.0079215390418709,0.0,0.0618634477555638,0.0490380988306299,0.0128253489249339,0.0030177291588077996,0.0022632968691059,0.0007544322897019,0.0022632968691058,0.0018860807242549,0.0003772161448509,0.0090531874764238,0.0071671067521689,0.0018860807242549,0.0022632968691058,0.0018860807242549,0.0003772161448509,0.0350811014711428,0.0215013202565069,0.0135797812146359,1506
2012-05-01,2012,5,1880,943,937,43,37,6,46,24,22,26,22,4,62,39,23,61,46,15,16,14,2,15,13,2,14,5,9,108,103,5,52,52,0,208,148,60,35,32,3,1,1,0,14,7,7,214,177,37,17,15,2,9,5,4,23,16,7,9,7,2,100,76,24,0.6436152002738789,0.3228346456692913,0.3207805546045875,0.0147209859637109,0.0126668948990071,0.0020540910647038,0.0157480314960629,0.0082163642588154,0.0075316672372475,0.0089010612803834,0.0075316672372475,0.0013693940431359,0.0212256076686065,0.0133515919205751,0.0078740157480314,0.020883259157822503,0.0157480314960629,0.0051352276617596,0.0054775761725435,0.0047928791509756,0.0006846970215679,0.0051352276617596,0.0044505306401917,0.0006846970215679,0.0047928791509756,0.0017117425539198,0.0030811365970558,0.0369736391646695,0.0352618966107497,0.0017117425539198,0.0178021225607668,0.0178021225607668,0.0,0.0712084902430673,0.0506675795960287,0.0205409106470386,0.011982197877439099,0.0109551523450872,0.0010270455323519,0.0003423485107839,0.0003423485107839,0.0,0.0047928791509756,0.0023964395754878,0.0023964395754878,0.0732625813077712,0.0605956864087641,0.0126668948990071,0.0058199246833275,0.0051352276617596,0.0006846970215679,0.0030811365970557,0.0017117425539198,0.0013693940431359,0.007874015748031399,0.0054775761725436,0.0023964395754878,0.0030811365970557,0.0023964395754878,0.0006846970215679,0.0342348510783977,0.0260184868195823,0.0082163642588154,1750
2012-06-01,2012,6,1857,812,1045,35,25,10,10,3,7,12,10,2,43,29,14,132,103,29,6,6,0,14,12,2,33,7,26,118,117,1,44,43,1,180,111,69,78,43,35,2,0,2,8,4,4,56,45,11,19,16,3,3,1,2,25,20,5,6,2,4,29,15,14,0.6952452265069262,0.304005990265818,0.3912392362411082,0.013103706476974801,0.0093597903406963,0.0037439161362785,0.0037439161362784,0.0011231748408835,0.0026207412953949,0.0044926993635342,0.0037439161362785,0.0007487832272557,0.0160988393859976,0.0108573567952077,0.0052414825907899,0.049419692998876705,0.038562336203669,0.0108573567952077,0.0022463496817671,0.0022463496817671,0.0,0.0052414825907899,0.0044926993635342,0.0007487832272557,0.0123549232497191,0.0026207412953949,0.0097341819543242,0.0441782104080868,0.043803818794459,0.0003743916136278,0.0164732309996255,0.0160988393859977,0.0003743916136278,0.06739049045301371,0.0415574691126918,0.0258330213403219,0.0292025458629726,0.0160988393859977,0.0131037064769749,0.0007487832272557,0.0,0.0007487832272557,0.0029951329090228,0.0014975664545114,0.0014975664545114,0.020965930363159798,0.0168476226132534,0.0041183077499064,0.0071134406589291,0.0059902658180456,0.0011231748408835,0.0011231748408835,0.0003743916136278,0.0007487832272557,0.0093597903406962,0.007487832272557,0.0018719580681392,0.0022463496817671,0.0007487832272557,0.0014975664545114,0.0108573567952077,0.0056158742044178,0.0052414825907899,1384
2012-07-01,2012,7,1889,743,1146,30,17,13,35,16,19,8,7,1,62,33,29,75,41,34,12,7,5,16,10,6,24,7,17,90,82,8,25,25,0,144,76,68,82,44,38,0,0,0,11,7,4,53,33,20,22,20,2,11,5,6,21,18,3,13,3,10,48,30,18,0.7139077853363567,0.2808012093726379,0.4331065759637188,0.0113378684807255,0.0064247921390778,0.0049130763416477,0.0132275132275131,0.0060468631897203,0.0071806500377928,0.0030234315948600996,0.0026455026455026,0.0003779289493575,0.023431594860166202,0.0124716553287981,0.0109599395313681,0.028344671201814,0.0154950869236583,0.0128495842781557,0.0045351473922902,0.0026455026455026,0.0018896447467876,0.0060468631897203,0.0037792894935752,0.0022675736961451,0.0090702947845804,0.0026455026455026,0.0064247921390778,0.0340136054421768,0.0309901738473167,0.0030234315948601,0.009448223733938,0.009448223733938,0.0,0.0544217687074829,0.0287226001511715,0.0256991685563114,0.0309901738473166,0.0166288737717309,0.0143613000755857,0.0,0.0,0.0,0.004157218442932599,0.0026455026455026,0.00151171579743,0.0200302343159485,0.0124716553287981,0.0075585789871504,0.0083144368858654,0.0075585789871504,0.000755857898715,0.0041572184429327,0.0018896447467876,0.0022675736961451,0.0079365079365078,0.0068027210884353,0.0011337868480725,0.0049130763416477,0.0011337868480725,0.0037792894935752,0.018140589569160898,0.0113378684807256,0.0068027210884353,1202
2012-08-01,2012,8,1851,735,1116,25,21,4,28,11,17,13,12,1,51,33,18,64,50,14,6,5,1,9,5,4,28,3,25,54,53,1,6,6,0,138,89,49,85,59,26,3,3,0,7,5,2,44,29,15,16,15,1,4,4,0,28,17,11,12,4,8,22,10,12,0.7503040129712202,0.2979327117957033,0.4523713011755168,0.010133765707336699,0.0085123631941629,0.0016214025131738,0.0113498175922172,0.0044588569112282,0.006890960680989,0.005269558167815,0.0048642075395216,0.0004053506282934,0.0206728820429671,0.0133765707336846,0.0072963113092825,0.0259424402107822,0.0202675314146736,0.0056749087961086,0.0024321037697607,0.0020267531414673,0.0004053506282934,0.0036481556546411,0.0020267531414673,0.0016214025131738,0.0113498175922172,0.0012160518848804,0.0101337657073368,0.0218889339278475,0.0214835832995541,0.0004053506282934,0.0024321037697608,0.0024321037697608,0.0,0.0559383867044993,0.0360762059181191,0.0198621807863802,0.0344548034049452,0.0239156870693149,0.0105391163356303,0.0012160518848804,0.0012160518848804,0.0,0.0028374543980542004,0.0020267531414673,0.0008107012565869,0.017835427644912798,0.0117551682205107,0.0060802594244021,0.0064856100526955,0.0060802594244021,0.0004053506282934,0.0016214025131738,0.0016214025131738,0.0,0.0113498175922172,0.006890960680989,0.0044588569112282,0.0048642075395215,0.0016214025131738,0.0032428050263477,0.0089177138224563,0.0040535062829347,0.0048642075395216,1146
2012-09-01,2012,9,1830,775,1055,37,30,7,43,15,28,8,6,2,42,26,16,93,74,19,9,6,3,12,8,4,6,2,4,106,101,5,20,19,1,173,101,72,70,37,33,2,0,2,12,9,3,69,55,14,10,9,1,7,5,2,30,17,13,10,1,9,69,45,24,0.694760820045558,0.2942293090356871,0.4005315110098709,0.0140470766894456,0.0113895216400911,0.0026575550493545,0.0163249810174638,0.0056947608200455,0.0106302201974183,0.0030372057706909003,0.0022779043280182,0.0007593014426727,0.0159453302961275,0.0098709187547456,0.0060744115413819,0.035307517084282404,0.0280941533788914,0.007213363705391,0.0034168564920273,0.0022779043280182,0.0011389521640091,0.0045558086560363,0.0030372057706909,0.0015186028853454,0.0022779043280181,0.0007593014426727,0.0015186028853454,0.0402429764616552,0.0383447228549734,0.0018982536066818,0.0075930144267273006,0.007213363705391,0.0003796507213363,0.065679574791192,0.0383447228549734,0.0273348519362186,0.026575550493545902,0.0140470766894457,0.0125284738041002,0.0007593014426727,0.0,0.0007593014426727,0.0045558086560364,0.0034168564920273,0.0011389521640091,0.026195899772209402,0.0208807896735003,0.0053151100987091,0.0037965072133636004,0.0034168564920273,0.0003796507213363,0.0026575550493545,0.0018982536066818,0.0007593014426727,0.011389521640091,0.0064540622627182,0.0049354593773728,0.0037965072133636004,0.0003796507213363,0.0034168564920273,0.026195899772209402,0.0170842824601366,0.0091116173120728,1323
2012-10-01,2012,10,1951,779,1172,29,23,6,28,5,23,12,9,3,54,37,17,137,110,27,9,6,3,14,11,3,22,6,16,76,73,3,11,11,0,159,95,64,75,39,36,3,2,1,5,3,2,37,26,11,13,10,3,5,3,2,9,8,1,12,6,6,37,19,18,0.7345632530120481,0.2932981927710843,0.4412650602409638,0.0109186746987951,0.0086596385542168,0.0022590361445783,0.0105421686746987,0.0018825301204819,0.0086596385542168,0.0045180722891565005,0.0033885542168674,0.0011295180722891,0.0203313253012047,0.0139307228915662,0.0064006024096385,0.051581325301204795,0.0414156626506024,0.0101656626506024,0.0033885542168674,0.0022590361445783,0.0011295180722891,0.0052710843373493,0.0041415662650602,0.0011295180722891,0.0082831325301204,0.0022590361445783,0.0060240963855421,0.028614457831325203,0.0274849397590361,0.0011295180722891,0.0041415662650602,0.0041415662650602,0.0,0.0598644578313252,0.0357680722891566,0.0240963855421686,0.028237951807228802,0.014683734939759,0.0135542168674698,0.001129518072289,0.0007530120481927,0.0003765060240963,0.0018825301204818,0.0011295180722891,0.0007530120481927,0.013930722891566199,0.009789156626506,0.0041415662650602,0.0048945783132528994,0.0037650602409638,0.0011295180722891,0.0018825301204818,0.0011295180722891,0.0007530120481927,0.0033885542168673,0.003012048192771,0.0003765060240963,0.0045180722891566,0.0022590361445783,0.0022590361445783,0.013930722891566199,0.0071536144578313,0.0067771084337349,1243
