date,year,month,-999,cr_-999,nr_-999,activism,cr_activism,nr_activism,arrest,cr_arrest,nr_arrest,censor,cr_censor,nr_censor,cooperate,cr_cooperate,nr_cooperate,corruption,cr_corruption,nr_corruption,coup,cr_coup,nr_coup,defamationcase,cr_defamationcase,nr_defamationcase,disaster,cr_disaster,nr_disaster,electionactivity,cr_electionactivity,nr_electionactivity,electionirregularities,cr_electionirregularities,nr_electionirregularities,legalaction,cr_legalaction,nr_legalaction,legalchange,cr_legalchange,nr_legalchange,martiallaw,cr_martiallaw,nr_martiallaw,mobilizesecurity,cr_mobilizesecurity,nr_mobilizesecurity,protest,cr_protest,nr_protest,purge,cr_purge,nr_purge,raid,cr_raid,nr_raid,threaten,cr_threaten,nr_threaten,violencelethal,cr_violencelethal,nr_violencelethal,violencenonlethal,cr_violencenonlethal,nr_violencenonlethal,-999Norm,cr_-999Norm,nr_-999Norm,activismNorm,cr_activismNorm,nr_activismNorm,arrestNorm,cr_arrestNorm,nr_arrestNorm,censorNorm,cr_censorNorm,nr_censorNorm,cooperateNorm,cr_cooperateNorm,nr_cooperateNorm,corruptionNorm,cr_corruptionNorm,nr_corruptionNorm,coupNorm,cr_coupNorm,nr_coupNorm,defamationcaseNorm,cr_defamationcaseNorm,nr_defamationcaseNorm,disasterNorm,cr_disasterNorm,nr_disasterNorm,electionactivityNorm,cr_electionactivityNorm,nr_electionactivityNorm,electionirregularitiesNorm,cr_electionirregularitiesNorm,nr_electionirregularitiesNorm,legalactionNorm,cr_legalactionNorm,nr_legalactionNorm,legalchangeNorm,cr_legalchangeNorm,nr_legalchangeNorm,martiallawNorm,cr_martiallawNorm,nr_martiallawNorm,mobilizesecurityNorm,cr_mobilizesecurityNorm,nr_mobilizesecurityNorm,protestNorm,cr_protestNorm,nr_protestNorm,purgeNorm,cr_purgeNorm,nr_purgeNorm,raidNorm,cr_raidNorm,nr_raidNorm,threatenNorm,cr_threatenNorm,nr_threatenNorm,violencelethalNorm,cr_violencelethalNorm,nr_violencelethalNorm,violencenonlethalNorm,cr_violencenonlethalNorm,nr_violencenonlethalNorm,total_articles
2012-01-01,2012,1,133,50,83,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,0,0,0,0,3,1,2,11,11,0,0,0,0,1,1,0,1,0,1,0,0,0,2,2,0,1,1,0,1,0,1,0,0,0,2,2,0,5,5,0,13,13,0,0.7430167597765363,0.2793296089385474,0.4636871508379888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0111731843575419,0.0111731843575419,0.0,0.0111731843575419,0.0111731843575419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0167597765363128,0.0055865921787709,0.0111731843575419,0.0614525139664804,0.0614525139664804,0.0,0.0,0.0,0.0,0.0055865921787709,0.0055865921787709,0.0,0.0055865921787709,0.0,0.0055865921787709,0.0,0.0,0.0,0.0111731843575419,0.0111731843575419,0.0,0.0055865921787709,0.0055865921787709,0.0,0.0055865921787709,0.0,0.0055865921787709,0.0,0.0,0.0,0.0111731843575419,0.0111731843575419,0.0,0.0279329608938547,0.0279329608938547,0.0,0.0726256983240223,0.0726256983240223,0.0,90
2012-02-01,2012,2,199,73,126,0,0,0,1,0,1,0,0,0,7,5,2,2,2,0,2,2,0,0,0,0,3,2,1,8,8,0,2,2,0,2,1,1,2,0,2,0,0,0,3,3,0,2,2,0,0,0,0,0,0,0,0,0,0,8,8,0,19,19,0,0.7653846153846153,0.2807692307692307,0.4846153846153846,0.0,0.0,0.0,0.0038461538461538,0.0,0.0038461538461538,0.0,0.0,0.0,0.0269230769230768,0.0192307692307692,0.0076923076923076,0.0076923076923076,0.0076923076923076,0.0,0.0076923076923076,0.0076923076923076,0.0,0.0,0.0,0.0,0.0115384615384614,0.0076923076923076,0.0038461538461538,0.0307692307692307,0.0307692307692307,0.0,0.0076923076923076,0.0076923076923076,0.0,0.0076923076923076,0.0038461538461538,0.0038461538461538,0.0076923076923076,0.0,0.0076923076923076,0.0,0.0,0.0,0.0115384615384615,0.0115384615384615,0.0,0.0076923076923076,0.0076923076923076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0307692307692307,0.0307692307692307,0.0,0.073076923076923,0.073076923076923,0.0,127
2012-03-01,2012,3,381,218,163,0,0,0,5,4,1,1,1,0,14,14,0,2,1,1,93,93,0,0,0,0,1,1,0,31,29,2,3,3,0,4,1,3,6,6,0,1,0,1,3,3,0,18,15,3,5,5,0,1,0,1,6,5,1,4,4,0,48,45,3,0.6038034865293185,0.3454833597464342,0.2583201267828843,0.0,0.0,0.0,0.0079239302694136,0.0063391442155309,0.0015847860538827,0.0015847860538827,0.0015847860538827,0.0,0.0221870047543581,0.0221870047543581,0.0,0.0031695721077654,0.0015847860538827,0.0015847860538827,0.1473851030110935,0.1473851030110935,0.0,0.0,0.0,0.0,0.0015847860538827,0.0015847860538827,0.0,0.0491283676703644,0.045958795562599,0.0031695721077654,0.0047543581616481,0.0047543581616481,0.0,0.0063391442155307995,0.0015847860538827,0.0047543581616481,0.0095087163232963,0.0095087163232963,0.0,0.0015847860538827,0.0,0.0015847860538827,0.0047543581616481,0.0047543581616481,0.0,0.0285261489698889,0.0237717908082408,0.0047543581616481,0.0079239302694136,0.0079239302694136,0.0,0.0015847860538827,0.0,0.0015847860538827,0.0095087163232963,0.0079239302694136,0.0015847860538827,0.0063391442155309,0.0063391442155309,0.0,0.0760697305863707,0.0713153724247226,0.0047543581616481,448
2012-04-01,2012,4,1288,903,385,2,2,0,38,29,9,0,0,0,72,71,1,10,8,2,36,35,1,1,1,0,3,3,0,20,18,2,2,2,0,15,14,1,7,6,1,1,1,0,26,24,2,13,12,1,21,20,1,1,0,1,16,16,0,11,9,2,94,84,10,0.7662105889351576,0.537180249851279,0.2290303390838786,0.0011897679952409,0.0011897679952409,0.0,0.0226055919095775,0.0172516359309934,0.0053539559785841,0.0,0.0,0.0,0.0428316478286733,0.0422367638310529,0.0005948839976204,0.005948839976204601,0.0047590719809637,0.0011897679952409,0.0214158239143366,0.0208209399167162,0.0005948839976204,0.0005948839976204,0.0005948839976204,0.0,0.0017846519928613,0.0017846519928613,0.0,0.0118976799524092,0.0107079119571683,0.0011897679952409,0.0011897679952409,0.0011897679952409,0.0,0.0089232599643068,0.0083283759666864,0.0005948839976204,0.004164187983343099,0.0035693039857227,0.0005948839976204,0.0005948839976204,0.0005948839976204,0.0,0.015466983938132,0.0142772159428911,0.0011897679952409,0.007733491969065901,0.0071386079714455,0.0005948839976204,0.0124925639500296,0.0118976799524092,0.0005948839976204,0.0005948839976204,0.0,0.0005948839976204,0.0095181439619274,0.0095181439619274,0.0,0.006543723973824999,0.0053539559785841,0.0011897679952409,0.0559190957763235,0.0499702558001189,0.0059488399762046,1257
2012-05-01,2012,5,1213,722,491,7,7,0,16,11,5,3,3,0,50,46,4,3,1,2,37,37,0,1,1,0,5,5,0,8,8,0,3,1,2,14,11,3,10,8,2,1,1,0,24,24,0,21,19,2,8,7,1,3,3,0,10,9,1,37,37,0,92,74,18,0.7735969387755102,0.4604591836734694,0.3131377551020408,0.0044642857142857,0.0044642857142857,0.0,0.010204081632652899,0.0070153061224489,0.003188775510204,0.0019132653061224,0.0019132653061224,0.0,0.0318877551020407,0.0293367346938775,0.0025510204081632,0.0019132653061224,0.0006377551020408,0.0012755102040816,0.0235969387755102,0.0235969387755102,0.0,0.0006377551020408,0.0006377551020408,0.0,0.003188775510204,0.003188775510204,0.0,0.0051020408163265,0.0051020408163265,0.0,0.0019132653061224,0.0006377551020408,0.0012755102040816,0.0089285714285713,0.0070153061224489,0.0019132653061224,0.0063775510204081,0.0051020408163265,0.0012755102040816,0.0006377551020408,0.0006377551020408,0.0,0.0153061224489795,0.0153061224489795,0.0,0.013392857142857099,0.0121173469387755,0.0012755102040816,0.0051020408163265,0.0044642857142857,0.0006377551020408,0.0019132653061224,0.0019132653061224,0.0,0.0063775510204081,0.0057397959183673,0.0006377551020408,0.0235969387755102,0.0235969387755102,0.0,0.058673469387755,0.0471938775510204,0.0114795918367346,1034
2012-06-01,2012,6,868,478,390,4,4,0,11,10,1,5,4,1,50,40,10,6,6,0,4,4,0,0,0,0,12,10,2,9,7,2,0,0,0,18,12,6,6,5,1,1,1,0,26,26,0,13,13,0,7,7,0,1,1,0,3,3,0,25,24,1,59,55,4,0.7681415929203539,0.4230088495575221,0.3451327433628318,0.0035398230088495,0.0035398230088495,0.0,0.0097345132743361,0.0088495575221238,0.0008849557522123,0.004424778761061799,0.0035398230088495,0.0008849557522123,0.0442477876106193,0.0353982300884955,0.0088495575221238,0.0053097345132743,0.0053097345132743,0.0,0.0035398230088495,0.0035398230088495,0.0,0.0,0.0,0.0,0.0106194690265485,0.0088495575221238,0.0017699115044247,0.0079646017699114,0.0061946902654867,0.0017699115044247,0.0,0.0,0.0,0.015929203539822898,0.0106194690265486,0.0053097345132743,0.0053097345132742,0.0044247787610619,0.0008849557522123,0.0008849557522123,0.0008849557522123,0.0,0.0230088495575221,0.0230088495575221,0.0,0.011504424778761,0.011504424778761,0.0,0.0061946902654867,0.0061946902654867,0.0,0.0008849557522123,0.0008849557522123,0.0,0.0026548672566371,0.0026548672566371,0.0,0.0221238938053096,0.0212389380530973,0.0008849557522123,0.0522123893805309,0.0486725663716814,0.0035398230088495,709
2012-07-01,2012,7,1121,675,446,4,4,0,11,11,0,3,2,1,49,44,5,4,3,1,4,4,0,0,0,0,15,6,9,7,5,2,0,0,0,17,14,3,3,2,1,0,0,0,18,16,2,22,21,1,16,16,0,0,0,0,4,4,0,6,5,1,100,84,16,0.797864768683274,0.4804270462633452,0.3174377224199288,0.0028469750889679,0.0028469750889679,0.0,0.0078291814946619,0.0078291814946619,0.0,0.0021352313167258,0.0014234875444839,0.0007117437722419,0.034875444839857495,0.0313167259786476,0.0035587188612099,0.0028469750889678,0.0021352313167259,0.0007117437722419,0.0028469750889679,0.0028469750889679,0.0,0.0,0.0,0.0,0.0106761565836298,0.0042704626334519,0.0064056939501779,0.0049822064056938,0.0035587188612099,0.0014234875444839,0.0,0.0,0.0,0.0120996441281138,0.0099644128113879,0.0021352313167259,0.0021352313167258,0.0014234875444839,0.0007117437722419,0.0,0.0,0.0,0.0128113879003557,0.0113879003558718,0.0014234875444839,0.0156583629893237,0.0149466192170818,0.0007117437722419,0.0113879003558718,0.0113879003558718,0.0,0.0,0.0,0.0,0.0028469750889679,0.0028469750889679,0.0,0.0042704626334518,0.0035587188612099,0.0007117437722419,0.0711743772241992,0.0597864768683274,0.0113879003558718,916
2012-08-01,2012,8,732,396,336,1,1,0,13,10,3,3,2,1,52,48,4,2,2,0,1,1,0,0,0,0,15,6,9,4,4,0,0,0,0,14,12,2,10,10,0,0,0,0,8,8,0,13,12,1,5,3,2,1,1,0,8,6,2,7,6,1,33,28,5,0.7922077922077921,0.4285714285714285,0.3636363636363636,0.001082251082251,0.001082251082251,0.0,0.014069264069263999,0.0108225108225108,0.0032467532467532,0.0032467532467531,0.0021645021645021,0.001082251082251,0.0562770562770562,0.0519480519480519,0.0043290043290043,0.0021645021645021,0.0021645021645021,0.0,0.001082251082251,0.001082251082251,0.0,0.0,0.0,0.0,0.0162337662337661,0.0064935064935064,0.0097402597402597,0.0043290043290043,0.0043290043290043,0.0,0.0,0.0,0.0,0.015151515151515,0.0129870129870129,0.0021645021645021,0.0108225108225108,0.0108225108225108,0.0,0.0,0.0,0.0,0.0086580086580086,0.0086580086580086,0.0,0.0140692640692639,0.0129870129870129,0.001082251082251,0.0054112554112553,0.0032467532467532,0.0021645021645021,0.001082251082251,0.001082251082251,0.0,0.0086580086580085,0.0064935064935064,0.0021645021645021,0.007575757575757401,0.0064935064935064,0.001082251082251,0.0357142857142857,0.0303030303030303,0.0054112554112554,556
2012-09-01,2012,9,1070,612,458,0,0,0,14,11,3,2,2,0,46,37,9,4,3,1,4,4,0,0,0,0,14,6,8,11,10,1,0,0,0,15,7,8,2,1,1,1,1,0,26,23,3,8,8,0,5,5,0,0,0,0,9,9,0,34,31,3,43,36,7,0.8174178762414056,0.4675324675324675,0.3498854087089381,0.0,0.0,0.0,0.010695187165775298,0.0084033613445378,0.0022918258212375,0.001527883880825,0.001527883880825,0.0,0.0351413292589762,0.0282658517952635,0.0068754774637127,0.00305576776165,0.0022918258212375,0.0007639419404125,0.0030557677616501,0.0030557677616501,0.0,0.0,0.0,0.0,0.0106951871657753,0.0045836516424751,0.0061115355233002,0.0084033613445377,0.0076394194041252,0.0007639419404125,0.0,0.0,0.0,0.0114591291061879,0.0053475935828877,0.0061115355233002,0.001527883880825,0.0007639419404125,0.0007639419404125,0.0007639419404125,0.0007639419404125,0.0,0.0198624904507256,0.0175706646294881,0.0022918258212375,0.0061115355233002,0.0061115355233002,0.0,0.0038197097020626,0.0038197097020626,0.0,0.0,0.0,0.0,0.0068754774637127,0.0068754774637127,0.0,0.0259740259740258,0.0236822001527883,0.0022918258212375,0.0328495034377387,0.027501909854851,0.0053475935828877,805
2012-10-01,2012,10,1464,834,630,2,1,1,10,4,6,2,2,0,80,73,7,9,7,2,4,4,0,0,0,0,5,4,1,20,20,0,8,8,0,14,9,5,15,10,5,0,0,0,37,37,0,37,33,4,7,6,1,1,1,0,10,9,1,15,13,2,31,29,2,0.8271186440677967,0.4711864406779661,0.3559322033898305,0.0011299435028248,0.0005649717514124,0.0005649717514124,0.0056497175141242,0.0022598870056497,0.0033898305084745,0.0011299435028248,0.0011299435028248,0.0,0.0451977401129943,0.0412429378531073,0.003954802259887,0.0050847457627118,0.003954802259887,0.0011299435028248,0.0022598870056497,0.0022598870056497,0.0,0.0,0.0,0.0,0.0028248587570621,0.0022598870056497,0.0005649717514124,0.0112994350282485,0.0112994350282485,0.0,0.0045197740112994,0.0045197740112994,0.0,0.0079096045197739,0.0050847457627118,0.0028248587570621,0.0084745762711863,0.0056497175141242,0.0028248587570621,0.0,0.0,0.0,0.0209039548022598,0.0209039548022598,0.0,0.020903954802259803,0.0186440677966101,0.0022598870056497,0.0039548022598869,0.0033898305084745,0.0005649717514124,0.0005649717514124,0.0005649717514124,0.0,0.0056497175141242,0.0050847457627118,0.0005649717514124,0.0084745762711863,0.0073446327683615,0.0011299435028248,0.0175141242937852,0.0163841807909604,0.0011299435028248,1102
