date,year,month,-999,cr_-999,nr_-999,activism,cr_activism,nr_activism,arrest,cr_arrest,nr_arrest,censor,cr_censor,nr_censor,cooperate,cr_cooperate,nr_cooperate,corruption,cr_corruption,nr_corruption,coup,cr_coup,nr_coup,defamationcase,cr_defamationcase,nr_defamationcase,disaster,cr_disaster,nr_disaster,electionactivity,cr_electionactivity,nr_electionactivity,electionirregularities,cr_electionirregularities,nr_electionirregularities,legalaction,cr_legalaction,nr_legalaction,legalchange,cr_legalchange,nr_legalchange,martiallaw,cr_martiallaw,nr_martiallaw,mobilizesecurity,cr_mobilizesecurity,nr_mobilizesecurity,protest,cr_protest,nr_protest,purge,cr_purge,nr_purge,raid,cr_raid,nr_raid,threaten,cr_threaten,nr_threaten,violencelethal,cr_violencelethal,nr_violencelethal,violencenonlethal,cr_violencenonlethal,nr_violencenonlethal,-999Norm,cr_-999Norm,nr_-999Norm,activismNorm,cr_activismNorm,nr_activismNorm,arrestNorm,cr_arrestNorm,nr_arrestNorm,censorNorm,cr_censorNorm,nr_censorNorm,cooperateNorm,cr_cooperateNorm,nr_cooperateNorm,corruptionNorm,cr_corruptionNorm,nr_corruptionNorm,coupNorm,cr_coupNorm,nr_coupNorm,defamationcaseNorm,cr_defamationcaseNorm,nr_defamationcaseNorm,disasterNorm,cr_disasterNorm,nr_disasterNorm,electionactivityNorm,cr_electionactivityNorm,nr_electionactivityNorm,electionirregularitiesNorm,cr_electionirregularitiesNorm,nr_electionirregularitiesNorm,legalactionNorm,cr_legalactionNorm,nr_legalactionNorm,legalchangeNorm,cr_legalchangeNorm,nr_legalchangeNorm,martiallawNorm,cr_martiallawNorm,nr_martiallawNorm,mobilizesecurityNorm,cr_mobilizesecurityNorm,nr_mobilizesecurityNorm,protestNorm,cr_protestNorm,nr_protestNorm,purgeNorm,cr_purgeNorm,nr_purgeNorm,raidNorm,cr_raidNorm,nr_raidNorm,threatenNorm,cr_threatenNorm,nr_threatenNorm,violencelethalNorm,cr_violencelethalNorm,nr_violencelethalNorm,violencenonlethalNorm,cr_violencenonlethalNorm,nr_violencenonlethalNorm,total_articles
2012-01-01,2012,1,1648,301,1347,1,0,1,44,10,34,1,0,1,32,15,17,31,24,7,0,0,0,1,0,1,6,0,6,19,15,4,1,1,0,37,12,25,24,10,14,1,1,0,2,0,2,34,19,15,5,5,0,0,0,0,4,3,1,3,2,1,15,4,11,0.8696569920844327,0.1588390501319261,0.7108179419525066,0.0005277044854881,0.0,0.0005277044854881,0.0232189973614775,0.0052770448548812,0.0179419525065963,0.0005277044854881,0.0,0.0005277044854881,0.01688654353562,0.0079155672823219,0.0089709762532981,0.016358839050131798,0.012664907651715,0.0036939313984168,0.0,0.0,0.0,0.0005277044854881,0.0,0.0005277044854881,0.0031662269129287,0.0,0.0031662269129287,0.0100263852242744,0.0079155672823219,0.0021108179419525,0.0005277044854881,0.0005277044854881,0.0,0.0195250659630606,0.0063324538258575,0.0131926121372031,0.0126649076517149,0.0052770448548812,0.0073878627968337,0.0005277044854881,0.0005277044854881,0.0,0.0010554089709762,0.0,0.0010554089709762,0.0179419525065963,0.0100263852242744,0.0079155672823219,0.0026385224274406,0.0026385224274406,0.0,0.0,0.0,0.0,0.0021108179419524,0.0015831134564643,0.0005277044854881,0.0015831134564642999,0.0010554089709762,0.0005277044854881,0.0079155672823218,0.0021108179419525,0.0058047493403693,413
2012-02-01,2012,2,1494,290,1204,3,1,2,49,10,39,0,0,0,13,10,3,44,25,19,1,1,0,0,0,0,6,0,6,22,20,2,1,1,0,46,18,28,33,17,16,0,0,0,1,0,1,22,14,8,6,5,1,2,1,1,1,1,0,7,0,7,18,8,10,0.8546910755148741,0.165903890160183,0.6887871853546911,0.0017162471395881,0.0005720823798627,0.0011441647597254,0.0280320366132723,0.005720823798627,0.0223112128146453,0.0,0.0,0.0,0.0074370709382151,0.005720823798627,0.0017162471395881,0.0251716247139588,0.0143020594965675,0.0108695652173913,0.0005720823798627,0.0005720823798627,0.0,0.0,0.0,0.0,0.0034324942791762,0.0,0.0034324942791762,0.012585812356979401,0.011441647597254,0.0011441647597254,0.0005720823798627,0.0005720823798627,0.0,0.026315789473684202,0.0102974828375286,0.0160183066361556,0.018878718535469102,0.0097254004576659,0.0091533180778032,0.0,0.0,0.0,0.0005720823798627,0.0,0.0005720823798627,0.0125858123569794,0.0080091533180778,0.0045766590389016,0.0034324942791762003,0.0028604118993135,0.0005720823798627,0.0011441647597254,0.0005720823798627,0.0005720823798627,0.0005720823798627,0.0005720823798627,0.0,0.0040045766590389,0.0,0.0040045766590389,0.0102974828375286,0.0045766590389016,0.005720823798627,411
2012-03-01,2012,3,1542,286,1256,4,2,2,45,10,35,0,0,0,23,7,16,24,20,4,0,0,0,2,0,2,8,2,6,15,13,2,2,2,0,43,19,24,60,19,41,0,0,0,3,2,1,40,22,18,8,6,2,1,0,1,4,2,2,8,2,6,19,8,11,0.838955386289445,0.1556039173014145,0.6833514689880305,0.002176278563656,0.001088139281828,0.001088139281828,0.0244831338411315,0.0054406964091403,0.0190424374319912,0.0,0.0,0.0,0.0125136017410227,0.0038084874863982,0.0087051142546245,0.0130576713819368,0.0108813928182807,0.0021762785636561,0.0,0.0,0.0,0.001088139281828,0.0,0.001088139281828,0.0043525571273122,0.001088139281828,0.0032644178454842,0.0081610446137104,0.0070729053318824,0.001088139281828,0.001088139281828,0.001088139281828,0.0,0.0233949945593035,0.0103373231773667,0.0130576713819368,0.0326441784548422,0.0103373231773667,0.0223068552774755,0.0,0.0,0.0,0.001632208922742,0.001088139281828,0.000544069640914,0.0217627856365614,0.0119695321001088,0.0097932535364526,0.0043525571273122,0.0032644178454842,0.001088139281828,0.000544069640914,0.0,0.000544069640914,0.002176278563656,0.001088139281828,0.001088139281828,0.0043525571273122,0.001088139281828,0.0032644178454842,0.0103373231773666,0.0043525571273122,0.0059847660500544,411
2012-04-01,2012,4,1559,307,1252,3,1,2,49,6,43,0,0,0,16,9,7,27,11,16,3,3,0,2,0,2,8,2,6,17,12,5,1,1,0,43,11,32,41,20,21,0,0,0,1,1,0,18,11,7,6,2,4,3,1,2,5,1,4,10,6,4,17,7,10,0.8589531680440771,0.1691460055096418,0.6898071625344353,0.0016528925619834,0.0005509641873278,0.0011019283746556,0.026997245179063302,0.0033057851239669,0.0236914600550964,0.0,0.0,0.0,0.0088154269972451,0.0049586776859504,0.0038567493112947,0.0148760330578511,0.006060606060606,0.0088154269972451,0.0016528925619834,0.0016528925619834,0.0,0.0011019283746556,0.0,0.0011019283746556,0.0044077134986225,0.0011019283746556,0.0033057851239669,0.0093663911845729,0.0066115702479338,0.0027548209366391,0.0005509641873278,0.0005509641873278,0.0,0.0236914600550963,0.006060606060606,0.0176308539944903,0.0225895316804406,0.0110192837465564,0.0115702479338842,0.0,0.0,0.0,0.0005509641873278,0.0005509641873278,0.0,0.0099173553719007,0.006060606060606,0.0038567493112947,0.0033057851239668,0.0011019283746556,0.0022038567493112,0.0016528925619834,0.0005509641873278,0.0011019283746556,0.002754820936639,0.0005509641873278,0.0022038567493112,0.0055096418732781,0.0033057851239669,0.0022038567493112,0.0093663911845729,0.0038567493112947,0.0055096418732782,410
2012-05-01,2012,5,1556,304,1252,2,0,2,28,4,24,0,0,0,31,12,19,22,11,11,0,0,0,1,0,1,7,1,6,28,26,2,1,1,0,49,11,38,38,19,19,0,0,0,5,3,2,39,18,21,3,2,1,1,0,1,5,2,3,10,4,6,16,8,8,0.8498088476242489,0.1660294920808301,0.6837793555434188,0.0010922992900054,0.0,0.0010922992900054,0.0152921900600764,0.0021845985800109,0.0131075914800655,0.0,0.0,0.0,0.0169306389950845,0.0065537957400327,0.0103768432550518,0.01201529219006,0.00600764609503,0.00600764609503,0.0,0.0,0.0,0.0005461496450027,0.0,0.0005461496450027,0.003823047515019,0.0005461496450027,0.0032768978700163,0.0152921900600764,0.014199890770071,0.0010922992900054,0.0005461496450027,0.0005461496450027,0.0,0.0267613326051337,0.00600764609503,0.0207536865101037,0.0207536865101036,0.0103768432550518,0.0103768432550518,0.0,0.0,0.0,0.0027307482250135,0.0016384489350081,0.0010922992900054,0.0212998361551064,0.0098306936100491,0.0114691425450573,0.0016384489350081,0.0010922992900054,0.0005461496450027,0.0005461496450027,0.0,0.0005461496450027,0.0027307482250135,0.0010922992900054,0.0016384489350081,0.005461496450027199,0.0021845985800109,0.0032768978700163,0.0087383943200436,0.0043691971600218,0.0043691971600218,421
2012-06-01,2012,6,1422,239,1183,1,0,1,40,8,32,1,0,1,22,13,9,36,24,12,0,0,0,0,0,0,7,0,7,27,23,4,1,1,0,44,19,25,19,4,15,1,0,1,0,0,0,14,7,7,3,2,1,3,0,3,5,2,3,5,2,3,15,9,6,0.860774818401937,0.1446731234866828,0.7161016949152542,0.0006053268765133,0.0,0.0006053268765133,0.0242130750605326,0.0048426150121065,0.0193704600484261,0.0006053268765133,0.0,0.0006053268765133,0.013317191283292899,0.0078692493946731,0.0054479418886198,0.0217917675544794,0.0145278450363196,0.0072639225181598,0.0,0.0,0.0,0.0,0.0,0.0,0.0042372881355932,0.0,0.0042372881355932,0.016343825665859398,0.0139225181598062,0.0024213075060532,0.0006053268765133,0.0006053268765133,0.0,0.0266343825665859,0.011501210653753,0.0151331719128329,0.0115012106537529,0.0024213075060532,0.0090799031476997,0.0006053268765133,0.0,0.0006053268765133,0.0,0.0,0.0,0.0084745762711864,0.0042372881355932,0.0042372881355932,0.0018159806295398998,0.0012106537530266,0.0006053268765133,0.0018159806295399,0.0,0.0018159806295399,0.0030266343825665,0.0012106537530266,0.0018159806295399,0.0030266343825665,0.0012106537530266,0.0018159806295399,0.0090799031476997,0.0054479418886198,0.0036319612590799,345
2012-07-01,2012,7,1406,271,1135,2,1,1,32,7,25,1,1,0,22,14,8,38,28,10,1,1,0,0,0,0,6,1,5,8,8,0,0,0,0,36,11,25,24,11,13,0,0,0,3,0,3,13,7,6,8,8,0,0,0,0,2,1,1,11,3,8,13,3,10,0.8711276332094176,0.167905824039653,0.7032218091697645,0.0012391573729862,0.0006195786864931,0.0006195786864931,0.0198265179677818,0.0043370508054522,0.0154894671623296,0.0006195786864931,0.0006195786864931,0.0,0.0136307311028499,0.0086741016109045,0.0049566294919454,0.0235439900867409,0.0173482032218091,0.0061957868649318,0.0006195786864931,0.0006195786864931,0.0,0.0,0.0,0.0,0.003717472118959,0.0006195786864931,0.0030978934324659,0.0049566294919454,0.0049566294919454,0.0,0.0,0.0,0.0,0.0223048327137546,0.006815365551425,0.0154894671623296,0.0148698884758364,0.006815365551425,0.0080545229244114,0.0,0.0,0.0,0.0018587360594795,0.0,0.0018587360594795,0.008054522924411299,0.0043370508054522,0.0037174721189591,0.0049566294919454,0.0049566294919454,0.0,0.0,0.0,0.0,0.0012391573729862,0.0006195786864931,0.0006195786864931,0.0068153655514249,0.0018587360594795,0.0049566294919454,0.008054522924411299,0.0018587360594795,0.0061957868649318,368
2012-08-01,2012,8,1333,232,1101,3,3,0,31,3,28,0,0,0,8,5,3,26,14,12,1,0,1,1,0,1,15,0,15,11,10,1,0,0,0,52,12,40,27,9,18,0,0,0,1,1,0,17,9,8,9,4,5,3,1,2,4,2,2,7,4,3,13,3,10,0.8611111111111112,0.1498708010335917,0.7112403100775194,0.001937984496124,0.001937984496124,0.0,0.0200258397932816,0.001937984496124,0.0180878552971576,0.0,0.0,0.0,0.0051679586563307,0.0032299741602067,0.001937984496124,0.016795865633074898,0.0090439276485788,0.0077519379844961,0.0006459948320413,0.0,0.0006459948320413,0.0006459948320413,0.0,0.0006459948320413,0.0096899224806201,0.0,0.0096899224806201,0.0071059431524547,0.0064599483204134,0.0006459948320413,0.0,0.0,0.0,0.033591731266149796,0.0077519379844961,0.0258397932816537,0.0174418604651161,0.005813953488372,0.0116279069767441,0.0,0.0,0.0,0.0006459948320413,0.0006459948320413,0.0,0.010981912144702701,0.005813953488372,0.0051679586563307,0.005813953488372,0.0025839793281653,0.0032299741602067,0.0019379844961239,0.0006459948320413,0.0012919896640826,0.0025839793281652,0.0012919896640826,0.0012919896640826,0.0045219638242893,0.0025839793281653,0.001937984496124,0.0083979328165374,0.001937984496124,0.0064599483204134,308
2012-09-01,2012,9,1293,215,1078,1,1,0,34,3,31,0,0,0,22,9,13,18,5,13,0,0,0,0,0,0,14,4,10,27,23,4,0,0,0,53,9,44,30,14,16,1,1,0,7,6,1,25,16,9,4,2,2,0,0,0,4,1,3,6,1,5,15,2,13,0.8374352331606217,0.1392487046632124,0.6981865284974094,0.0006476683937823,0.0006476683937823,0.0,0.0220207253886009,0.0019430051813471,0.0200777202072538,0.0,0.0,0.0,0.0142487046632123,0.0058290155440414,0.0084196891191709,0.0116580310880828,0.0032383419689119,0.0084196891191709,0.0,0.0,0.0,0.0,0.0,0.0,0.0090673575129533,0.0025906735751295,0.0064766839378238,0.0174870466321243,0.0148963730569948,0.0025906735751295,0.0,0.0,0.0,0.0343264248704662,0.0058290155440414,0.0284974093264248,0.019430051813471398,0.0090673575129533,0.0103626943005181,0.0006476683937823,0.0006476683937823,0.0,0.0045336787564766,0.0038860103626943,0.0006476683937823,0.0161917098445595,0.0103626943005181,0.0058290155440414,0.0025906735751294,0.0012953367875647,0.0012953367875647,0.0,0.0,0.0,0.0025906735751293998,0.0006476683937823,0.0019430051813471,0.0038860103626942,0.0006476683937823,0.0032383419689119,0.0097150259067356,0.0012953367875647,0.0084196891191709,310
2012-10-01,2012,10,1365,242,1123,2,0,2,27,7,20,2,1,1,23,10,13,25,12,13,2,1,1,0,0,0,5,1,4,25,20,5,1,1,0,29,10,19,50,8,42,1,0,1,1,0,1,21,13,8,4,3,1,1,0,1,11,3,8,9,1,8,19,8,11,0.8457249070631969,0.1499380421313506,0.6957868649318464,0.0012391573729863,0.0,0.0012391573729863,0.0167286245353158,0.0043370508054522,0.0123915737298636,0.0012391573729862,0.0006195786864931,0.0006195786864931,0.0142503097893432,0.0061957868649318,0.0080545229244114,0.0154894671623296,0.0074349442379182,0.0080545229244114,0.0012391573729862,0.0006195786864931,0.0006195786864931,0.0,0.0,0.0,0.0030978934324658,0.0006195786864931,0.0024783147459727,0.0154894671623295,0.0123915737298636,0.0030978934324659,0.0006195786864931,0.0006195786864931,0.0,0.0179677819083023,0.0061957868649318,0.0117719950433705,0.030978934324659098,0.0049566294919454,0.0260223048327137,0.0006195786864931,0.0,0.0006195786864931,0.0006195786864931,0.0,0.0006195786864931,0.0130111524163568,0.0080545229244114,0.0049566294919454,0.0024783147459726002,0.0018587360594795,0.0006195786864931,0.0006195786864931,0.0,0.0006195786864931,0.0068153655514249,0.0018587360594795,0.0049566294919454,0.0055762081784385,0.0006195786864931,0.0049566294919454,0.0117719950433704,0.0049566294919454,0.006815365551425,338
