date,year,month,-999,cr_-999,nr_-999,activism,cr_activism,nr_activism,arrest,cr_arrest,nr_arrest,censor,cr_censor,nr_censor,cooperate,cr_cooperate,nr_cooperate,corruption,cr_corruption,nr_corruption,coup,cr_coup,nr_coup,defamationcase,cr_defamationcase,nr_defamationcase,disaster,cr_disaster,nr_disaster,electionactivity,cr_electionactivity,nr_electionactivity,electionirregularities,cr_electionirregularities,nr_electionirregularities,legalaction,cr_legalaction,nr_legalaction,legalchange,cr_legalchange,nr_legalchange,martiallaw,cr_martiallaw,nr_martiallaw,mobilizesecurity,cr_mobilizesecurity,nr_mobilizesecurity,protest,cr_protest,nr_protest,purge,cr_purge,nr_purge,raid,cr_raid,nr_raid,threaten,cr_threaten,nr_threaten,violencelethal,cr_violencelethal,nr_violencelethal,violencenonlethal,cr_violencenonlethal,nr_violencenonlethal,-999Norm,cr_-999Norm,nr_-999Norm,activismNorm,cr_activismNorm,nr_activismNorm,arrestNorm,cr_arrestNorm,nr_arrestNorm,censorNorm,cr_censorNorm,nr_censorNorm,cooperateNorm,cr_cooperateNorm,nr_cooperateNorm,corruptionNorm,cr_corruptionNorm,nr_corruptionNorm,coupNorm,cr_coupNorm,nr_coupNorm,defamationcaseNorm,cr_defamationcaseNorm,nr_defamationcaseNorm,disasterNorm,cr_disasterNorm,nr_disasterNorm,electionactivityNorm,cr_electionactivityNorm,nr_electionactivityNorm,electionirregularitiesNorm,cr_electionirregularitiesNorm,nr_electionirregularitiesNorm,legalactionNorm,cr_legalactionNorm,nr_legalactionNorm,legalchangeNorm,cr_legalchangeNorm,nr_legalchangeNorm,martiallawNorm,cr_martiallawNorm,nr_martiallawNorm,mobilizesecurityNorm,cr_mobilizesecurityNorm,nr_mobilizesecurityNorm,protestNorm,cr_protestNorm,nr_protestNorm,purgeNorm,cr_purgeNorm,nr_purgeNorm,raidNorm,cr_raidNorm,nr_raidNorm,threatenNorm,cr_threatenNorm,nr_threatenNorm,violencelethalNorm,cr_violencelethalNorm,nr_violencelethalNorm,violencenonlethalNorm,cr_violencenonlethalNorm,nr_violencenonlethalNorm,total_articles
2012-01-01,2012,1,2539,598,1941,16,8,8,67,11,56,3,1,2,54,25,29,151,102,49,11,9,2,9,6,3,147,58,89,20,15,5,4,4,0,337,222,115,63,30,33,1,0,1,11,7,4,16,9,7,27,23,4,9,6,3,5,4,1,109,38,71,71,33,38,0.7148085585585585,0.1683558558558558,0.5464527027027027,0.0045045045045044,0.0022522522522522,0.0022522522522522,0.0188626126126125,0.0030968468468468,0.0157657657657657,0.0008445945945944999,0.0002815315315315,0.000563063063063,0.0152027027027026,0.0070382882882882,0.0081644144144144,0.0425112612612612,0.0287162162162162,0.013795045045045,0.0030968468468467,0.0025337837837837,0.000563063063063,0.0025337837837836,0.0016891891891891,0.0008445945945945,0.0413851351351351,0.0163288288288288,0.0250563063063063,0.0056306306306305,0.0042229729729729,0.0014076576576576,0.0011261261261261,0.0011261261261261,0.0,0.0948761261261261,0.0625,0.0323761261261261,0.0177364864864864,0.0084459459459459,0.0092905405405405,0.0002815315315315,0.0,0.0002815315315315,0.0030968468468468005,0.0019707207207207,0.0011261261261261,0.0045045045045043995,0.0025337837837837,0.0019707207207207,0.0076013513513513,0.0064752252252252,0.0011261261261261,0.0025337837837836,0.0016891891891891,0.0008445945945945,0.0014076576576576001,0.0011261261261261,0.0002815315315315,0.0306869369369368,0.0106981981981981,0.0199887387387387,0.019988738738738597,0.0092905405405405,0.0106981981981981,1117
2012-02-01,2012,2,2538,636,1902,13,11,2,70,9,61,2,2,0,36,18,18,162,119,43,5,3,2,10,6,4,151,84,67,20,19,1,4,4,0,394,256,138,71,22,49,2,1,1,14,11,3,15,12,3,29,28,1,1,0,1,9,5,4,107,53,54,60,27,33,0.7077523703290575,0.177356385945343,0.5303959843837145,0.0036252091466814,0.0030674846625766,0.0005577244841048,0.0195203569436697,0.0025097601784718,0.0170105967651979,0.0005577244841048,0.0005577244841048,0.0,0.0100390407138872,0.0050195203569436,0.0050195203569436,0.045175683212493004,0.0331846068042387,0.0119910764082543,0.001394311210262,0.0008365867261572,0.0005577244841048,0.0027886224205242,0.0016731734523145,0.0011154489682097,0.042108198549916195,0.0234244283324037,0.0186837702175125,0.0055772448410484005,0.005298382598996,0.0002788622420524,0.0011154489682097,0.0011154489682097,0.0,0.1098717233686558,0.071388733965421,0.0384829894032348,0.0197992191857221,0.0061349693251533,0.0136642498605688,0.0005577244841048,0.0002788622420524,0.0002788622420524,0.0039040713887337998,0.0030674846625766,0.0008365867261572,0.0041829336307863,0.0033463469046291,0.0008365867261572,0.0080870050195203,0.0078081427774679,0.0002788622420524,0.0002788622420524,0.0,0.0002788622420524,0.0025097601784717996,0.0013943112102621,0.0011154489682097,0.0298382598996095,0.0147796988287785,0.015058561070831,0.0167317345231455,0.0075292805354155,0.00920245398773,1231
2012-03-01,2012,3,2867,651,2216,22,13,9,83,20,63,1,1,0,62,33,29,128,88,40,11,9,2,6,3,3,133,38,95,35,29,6,4,4,0,353,200,153,88,34,54,2,0,2,15,11,4,23,15,8,23,16,7,3,1,2,15,12,3,83,37,46,60,31,29,0.7349397590361446,0.1668802871058703,0.5680594719302743,0.0056395795949756005,0.0033324788515765,0.0023071007433991,0.0212765957446808,0.0051268905408869,0.0161497052037939,0.0002563445270443,0.0002563445270443,0.0,0.015893360676749402,0.0084593693924634,0.007433991284286,0.0328120994616764,0.0225583183799025,0.0102537810817739,0.0028197897974877,0.0023071007433991,0.0005126890540886,0.001538067162266,0.000769033581133,0.000769033581133,0.0340938220968982,0.0097410920276852,0.024352730069213,0.008972058446552,0.007433991284286,0.001538067162266,0.0010253781081773,0.0010253781081773,0.0,0.09048961804665459,0.0512689054088695,0.0392207126377851,0.0225583183799025,0.0087157139195078,0.0138426044603947,0.0005126890540886,0.0,0.0005126890540886,0.0038451679056651,0.0028197897974878,0.0010253781081773,0.0058959241220199,0.0038451679056652,0.0020507562163547,0.0058959241220199,0.0041015124327095,0.0017944116893104,0.0007690335811329,0.0002563445270443,0.0005126890540886,0.0038451679056651,0.0030761343245321,0.000769033581133,0.0212765957446807,0.0094847475006408,0.0117918482440399,0.0153806716226607,0.0079466803383747,0.007433991284286,1165
2012-04-01,2012,4,2671,630,2041,12,6,6,74,22,52,3,2,1,79,46,33,73,46,27,4,4,0,8,4,4,91,25,66,37,36,1,5,5,0,194,101,93,51,18,33,2,0,2,22,16,6,30,26,4,16,12,4,9,3,6,20,18,2,99,53,46,57,31,26,0.7648911798396334,0.1804123711340206,0.5844788087056129,0.0034364261168384,0.0017182130584192,0.0017182130584192,0.0211912943871706,0.0063001145475372,0.0148911798396334,0.0008591065292095,0.0005727376861397,0.0002863688430698,0.02262313860252,0.0131729667812142,0.0094501718213058,0.0209049255441007,0.0131729667812142,0.0077319587628865,0.0011454753722794,0.0011454753722794,0.0,0.0022909507445588,0.0011454753722794,0.0011454753722794,0.0260595647193584,0.0071592210767468,0.0189003436426116,0.0105956471935852,0.0103092783505154,0.0002863688430698,0.0014318442153493,0.0014318442153493,0.0,0.0555555555555554,0.0289232531500572,0.0266323024054982,0.0146048109965635,0.0051546391752577,0.0094501718213058,0.0005727376861397,0.0,0.0005727376861397,0.0063001145475371,0.0045819014891179,0.0017182130584192,0.0085910652920961,0.0074455899198167,0.0011454753722794,0.004581901489117799,0.0034364261168384,0.0011454753722794,0.0025773195876288,0.0008591065292096,0.0017182130584192,0.0057273768613974,0.0051546391752577,0.0005727376861397,0.0283505154639175,0.0151775486827033,0.0131729667812142,0.0163230240549827,0.008877434135166,0.0074455899198167,1060
2012-05-01,2012,5,3115,796,2319,16,6,10,61,8,53,3,2,1,66,33,33,148,111,37,4,2,2,8,7,1,123,23,100,69,60,9,7,7,0,333,224,109,76,31,45,2,2,0,14,10,4,46,39,7,24,21,3,6,1,5,17,14,3,91,41,50,40,21,19,0.7502408477842003,0.1917148362235067,0.5585260115606936,0.0038535645472061,0.0014450867052023,0.0024084778420038,0.0146917148362234,0.001926782273603,0.0127649325626204,0.000722543352601,0.0004816955684007,0.0002408477842003,0.0158959537572254,0.0079479768786127,0.0079479768786127,0.0356454720616569,0.0267341040462427,0.0089113680154142,0.0009633911368014,0.0004816955684007,0.0004816955684007,0.0019267822736029,0.0016859344894026,0.0002408477842003,0.0296242774566473,0.0055394990366088,0.0240847784200385,0.0166184971098265,0.0144508670520231,0.0021676300578034,0.0016859344894026,0.0016859344894026,0.0,0.0802023121387283,0.0539499036608863,0.026252408477842,0.0183044315992292,0.0074662813102119,0.0108381502890173,0.0004816955684007,0.0004816955684007,0.0,0.0033718689788053,0.0024084778420038,0.0009633911368015,0.0110789980732176,0.009393063583815,0.0016859344894026,0.0057803468208091,0.005057803468208,0.0007225433526011,0.0014450867052022,0.0002408477842003,0.0012042389210019,0.0040944123314064,0.0033718689788053,0.0007225433526011,0.021917148362235,0.0098747591522158,0.0120423892100192,0.0096339113680153,0.005057803468208,0.0045761078998073,1359
2012-06-01,2012,6,2636,662,1974,11,5,6,51,7,44,3,2,1,63,36,27,75,57,18,3,1,2,6,1,5,170,49,121,40,38,2,7,5,2,154,77,77,128,63,65,3,2,1,17,8,9,21,14,7,26,19,7,9,3,6,10,8,2,75,38,37,55,24,31,0.7501422879908934,0.1883892999430848,0.5617529880478087,0.0031303357996584,0.0014228799089356,0.0017074558907228,0.0145133750711439,0.0019920318725099,0.012521343198634,0.0008537279453613,0.0005691519635742,0.0002845759817871,0.0179282868525896,0.0102447353443369,0.0076835515082527,0.0213431986340352,0.0162208309618668,0.0051223676721684,0.0008537279453613,0.0002845759817871,0.0005691519635742,0.0017074558907227,0.0002845759817871,0.0014228799089356,0.0483779169038133,0.0139442231075697,0.0344336937962436,0.0113830392714854,0.0108138873079112,0.0005691519635742,0.0019920318725097997,0.0014228799089356,0.0005691519635742,0.043824701195219,0.0219123505976095,0.0219123505976095,0.0364257256687535,0.0179282868525896,0.0184974388161639,0.0008537279453613,0.0005691519635742,0.0002845759817871,0.004837791690381199,0.002276607854297,0.0025611838360842,0.005976095617529801,0.0039840637450199,0.0019920318725099,0.0073989755264655,0.0054069436539556,0.0019920318725099,0.0025611838360842,0.0008537279453614,0.0017074558907228,0.0028457598178712,0.002276607854297,0.0005691519635742,0.0213431986340352,0.0108138873079112,0.010529311326124,0.0156516789982924,0.0068298235628912,0.0088218554354012,1078
2012-07-01,2012,7,2919,769,2150,16,8,8,50,8,42,1,0,1,86,53,33,96,70,26,2,2,0,6,2,4,160,51,109,59,53,6,9,8,1,192,117,75,152,76,76,3,2,1,14,9,5,26,24,2,26,18,8,6,2,4,9,5,4,78,35,43,62,32,30,0.7461656441717791,0.1965746421267893,0.5495910020449898,0.0040899795501022,0.0020449897750511,0.0020449897750511,0.0127811860940695,0.0020449897750511,0.0107361963190184,0.0002556237218813,0.0,0.0002556237218813,0.0219836400817995,0.0135480572597137,0.0084355828220858,0.0245398773006134,0.0178936605316973,0.0066462167689161,0.0005112474437627,0.0005112474437627,0.0,0.0015337423312882,0.0005112474437627,0.0010224948875255,0.0408997955010224,0.0130368098159509,0.0278629856850715,0.015081799591002,0.0135480572597137,0.0015337423312883,0.0023006134969323997,0.0020449897750511,0.0002556237218813,0.049079754601226905,0.0299079754601227,0.0191717791411042,0.0388548057259712,0.0194274028629856,0.0194274028629856,0.000766871165644,0.0005112474437627,0.0002556237218813,0.0035787321063394,0.0023006134969325,0.0012781186094069,0.006646216768916,0.0061349693251533,0.0005112474437627,0.006646216768916099,0.004601226993865,0.0020449897750511,0.0015337423312882,0.0005112474437627,0.0010224948875255,0.0023006134969323997,0.0012781186094069,0.0010224948875255,0.0199386503067483,0.0089468302658486,0.0109918200408997,0.0158486707566462,0.0081799591002045,0.0076687116564417,1287
2012-08-01,2012,8,3180,769,2411,21,10,11,58,12,46,2,0,2,54,32,22,65,48,17,9,2,7,8,2,6,395,177,218,32,30,2,4,4,0,153,83,70,152,69,83,13,10,3,14,7,7,20,16,4,23,13,10,2,0,2,8,3,5,113,55,58,61,36,25,0.7301951779563719,0.1765786452353616,0.5536165327210103,0.0048220436280137,0.0022962112514351,0.0025258323765786,0.0133180252583237,0.0027554535017221,0.0105625717566016,0.000459242250287,0.0,0.000459242250287,0.0123995407577496,0.0073478760045924,0.0050516647531572,0.0149253731343283,0.0110218140068886,0.0039035591274397,0.0020665901262915,0.000459242250287,0.0016073478760045,0.001836969001148,0.000459242250287,0.001377726750861,0.09070034443168759,0.0406429391504018,0.0500574052812858,0.0073478760045923,0.0068886337543053,0.000459242250287,0.000918484500574,0.000918484500574,0.0,0.0351320321469574,0.0190585533869115,0.0160734787600459,0.0349024110218139,0.0158438576349024,0.0190585533869115,0.0029850746268656,0.0022962112514351,0.0006888633754305,0.003214695752009,0.0016073478760045,0.0016073478760045,0.0045924225028702,0.0036739380022962,0.000918484500574,0.0052812858783007,0.0029850746268656,0.0022962112514351,0.000459242250287,0.0,0.000459242250287,0.001836969001148,0.0006888633754305,0.0011481056257175,0.0259471871412169,0.0126291618828932,0.0133180252583237,0.0140068886337542,0.0082663605051664,0.0057405281285878,1344
2012-09-01,2012,9,2841,785,2056,12,2,10,79,14,65,12,12,0,78,39,39,98,78,20,12,8,4,7,4,3,202,97,105,77,73,4,6,6,0,203,110,93,152,61,91,15,8,7,22,21,1,8,7,1,34,25,9,2,1,1,17,14,3,82,38,44,49,33,16,0.7185128983308042,0.1985331310065756,0.5199797673242287,0.0030349013657055,0.0005058168942842,0.0025290844714213,0.019979767324228497,0.0035407182599898,0.0164390490642387,0.0030349013657056,0.0030349013657056,0.0,0.0197268588770864,0.0098634294385432,0.0098634294385432,0.024785027819929,0.0197268588770864,0.0050581689428426,0.0030349013657055,0.002023267577137,0.0010116337885685,0.0017703591299949,0.0010116337885685,0.0007587253414264,0.0510875063227111,0.024532119372787,0.0265553869499241,0.0194739504299443,0.0184623166413758,0.0010116337885685,0.0015174506828528,0.0015174506828528,0.0,0.0513404147698533,0.0278199291856348,0.0235204855842185,0.0384420839656044,0.0154274152756702,0.0230146686899342,0.0037936267071319004,0.002023267577137,0.0017703591299949,0.0055639858371268995,0.0053110773899848,0.0002529084471421,0.002023267577137,0.0017703591299949,0.0002529084471421,0.0085988872028325,0.0063227111785533,0.0022761760242792,0.0005058168942842,0.0002529084471421,0.0002529084471421,0.0042994436014162,0.0035407182599898,0.0007587253414264,0.020738492665655,0.0096105209914011,0.0111279716742539,0.0123925139099645,0.0083459787556904,0.0040465351542741,1387
2012-10-01,2012,10,3046,860,2186,27,18,9,79,17,62,3,1,2,137,94,43,95,68,27,4,4,0,5,4,1,147,65,82,137,132,5,7,7,0,186,116,70,202,102,100,5,1,4,14,9,5,26,23,3,35,28,7,8,2,6,14,9,5,92,45,47,56,19,37,0.7163687676387582,0.2022577610536218,0.5141110065851364,0.0063499529633112995,0.0042333019755409,0.0021166509877704,0.0185794920037629,0.0039981185324553,0.0145813734713076,0.0007055503292568,0.0002351834430856,0.0004703668861712,0.032220131702728,0.022107243650047,0.010112888052681,0.0223424270931325,0.0159924741298212,0.0063499529633113,0.0009407337723424,0.0009407337723424,0.0,0.001175917215428,0.0009407337723424,0.0002351834430856,0.0345719661335841,0.0152869238005644,0.0192850423330197,0.032220131702728,0.0310442144873,0.001175917215428,0.0016462841015992,0.0016462841015992,0.0,0.0437441204139227,0.0272812793979303,0.0164628410159924,0.0475070555032924,0.0239887111947318,0.0235183443085606,0.001175917215428,0.0002351834430856,0.0009407337723424,0.0032925682031984,0.0021166509877704,0.001175917215428,0.0061147695202257,0.0054092191909689,0.0007055503292568,0.0082314205079961,0.0065851364063969,0.0016462841015992,0.0018814675446848,0.0004703668861712,0.0014111006585136,0.0032925682031984,0.0021166509877704,0.001175917215428,0.021636876763875802,0.0105832549388523,0.0110536218250235,0.013170272812793902,0.0044684854186265,0.0087017873941674,1561
