date,year,month,-999,cr_-999,nr_-999,activism,cr_activism,nr_activism,arrest,cr_arrest,nr_arrest,censor,cr_censor,nr_censor,cooperate,cr_cooperate,nr_cooperate,corruption,cr_corruption,nr_corruption,coup,cr_coup,nr_coup,defamationcase,cr_defamationcase,nr_defamationcase,disaster,cr_disaster,nr_disaster,electionactivity,cr_electionactivity,nr_electionactivity,electionirregularities,cr_electionirregularities,nr_electionirregularities,legalaction,cr_legalaction,nr_legalaction,legalchange,cr_legalchange,nr_legalchange,martiallaw,cr_martiallaw,nr_martiallaw,mobilizesecurity,cr_mobilizesecurity,nr_mobilizesecurity,protest,cr_protest,nr_protest,purge,cr_purge,nr_purge,raid,cr_raid,nr_raid,threaten,cr_threaten,nr_threaten,violencelethal,cr_violencelethal,nr_violencelethal,violencenonlethal,cr_violencenonlethal,nr_violencenonlethal,-999Norm,cr_-999Norm,nr_-999Norm,activismNorm,cr_activismNorm,nr_activismNorm,arrestNorm,cr_arrestNorm,nr_arrestNorm,censorNorm,cr_censorNorm,nr_censorNorm,cooperateNorm,cr_cooperateNorm,nr_cooperateNorm,corruptionNorm,cr_corruptionNorm,nr_corruptionNorm,coupNorm,cr_coupNorm,nr_coupNorm,defamationcaseNorm,cr_defamationcaseNorm,nr_defamationcaseNorm,disasterNorm,cr_disasterNorm,nr_disasterNorm,electionactivityNorm,cr_electionactivityNorm,nr_electionactivityNorm,electionirregularitiesNorm,cr_electionirregularitiesNorm,nr_electionirregularitiesNorm,legalactionNorm,cr_legalactionNorm,nr_legalactionNorm,legalchangeNorm,cr_legalchangeNorm,nr_legalchangeNorm,martiallawNorm,cr_martiallawNorm,nr_martiallawNorm,mobilizesecurityNorm,cr_mobilizesecurityNorm,nr_mobilizesecurityNorm,protestNorm,cr_protestNorm,nr_protestNorm,purgeNorm,cr_purgeNorm,nr_purgeNorm,raidNorm,cr_raidNorm,nr_raidNorm,threatenNorm,cr_threatenNorm,nr_threatenNorm,violencelethalNorm,cr_violencelethalNorm,nr_violencelethalNorm,violencenonlethalNorm,cr_violencenonlethalNorm,nr_violencenonlethalNorm,total_articles
2012-01-01,2012,1,971,193,778,2,1,1,32,10,22,0,0,0,28,17,11,21,15,6,0,0,0,1,1,0,6,1,5,0,0,0,0,0,0,28,17,11,16,6,10,0,0,0,1,0,1,4,4,0,12,8,4,0,0,0,0,0,0,15,2,13,10,5,5,0.8555066079295155,0.1700440528634361,0.6854625550660793,0.0017621145374448,0.0008810572687224,0.0008810572687224,0.028193832599118798,0.0088105726872246,0.0193832599118942,0.0,0.0,0.0,0.024669603524229,0.0149779735682819,0.0096916299559471,0.0185022026431718,0.013215859030837,0.0052863436123348,0.0,0.0,0.0,0.0008810572687224,0.0008810572687224,0.0,0.005286343612334699,0.0008810572687224,0.0044052863436123,0.0,0.0,0.0,0.0,0.0,0.0,0.024669603524229,0.0149779735682819,0.0096916299559471,0.014096916299559399,0.0052863436123348,0.0088105726872246,0.0,0.0,0.0,0.0008810572687224,0.0,0.0008810572687224,0.0035242290748898,0.0035242290748898,0.0,0.0105726872246695,0.0070484581497797,0.0035242290748898,0.0,0.0,0.0,0.0,0.0,0.0,0.013215859030836899,0.0017621145374449,0.011453744493392,0.0088105726872246,0.0044052863436123,0.0044052863436123,270
2012-02-01,2012,2,1024,194,830,9,4,5,21,2,19,0,0,0,44,20,24,9,6,3,1,1,0,0,0,0,17,1,16,4,3,1,1,1,0,25,14,11,20,7,13,0,0,0,0,0,0,0,0,0,8,8,0,1,0,1,3,2,1,7,0,7,8,4,4,0.8533333333333333,0.1616666666666666,0.6916666666666667,0.0074999999999999,0.0033333333333333,0.0041666666666666,0.0174999999999999,0.0016666666666666,0.0158333333333333,0.0,0.0,0.0,0.0366666666666666,0.0166666666666666,0.02,0.0075,0.005,0.0025,0.0008333333333333,0.0008333333333333,0.0,0.0,0.0,0.0,0.0141666666666666,0.0008333333333333,0.0133333333333333,0.0033333333333333,0.0025,0.0008333333333333,0.0008333333333333,0.0008333333333333,0.0,0.0208333333333332,0.0116666666666666,0.0091666666666666,0.0166666666666666,0.0058333333333333,0.0108333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066666666666666,0.0066666666666666,0.0,0.0008333333333333,0.0,0.0008333333333333,0.0024999999999999,0.0016666666666666,0.0008333333333333,0.0058333333333333,0.0,0.0058333333333333,0.0066666666666666,0.0033333333333333,0.0033333333333333,266
2012-03-01,2012,3,1105,180,925,6,2,4,36,10,26,1,0,1,28,5,23,14,11,3,1,0,1,1,1,0,17,4,13,8,7,1,0,0,0,29,20,9,20,11,9,0,0,0,2,2,0,3,0,3,9,6,3,0,0,0,2,2,0,10,2,8,9,1,8,0.8532818532818534,0.138996138996139,0.7142857142857143,0.004633204633204499,0.0015444015444015,0.003088803088803,0.0277992277992277,0.0077220077220077,0.02007722007722,0.0007722007722007,0.0,0.0007722007722007,0.0216216216216215,0.0038610038610038,0.0177606177606177,0.0108108108108107,0.0084942084942084,0.0023166023166023,0.0007722007722007,0.0,0.0007722007722007,0.0007722007722007,0.0007722007722007,0.0,0.013127413127413001,0.003088803088803,0.01003861003861,0.0061776061776060995,0.0054054054054054,0.0007722007722007,0.0,0.0,0.0,0.0223938223938223,0.0154440154440154,0.0069498069498069,0.015444015444015299,0.0084942084942084,0.0069498069498069,0.0,0.0,0.0,0.0015444015444015,0.0015444015444015,0.0,0.0023166023166023,0.0,0.0023166023166023,0.0069498069498069,0.0046332046332046,0.0023166023166023,0.0,0.0,0.0,0.0015444015444015,0.0015444015444015,0.0,0.007722007722007601,0.0015444015444015,0.0061776061776061,0.0069498069498068,0.0007722007722007,0.0061776061776061,256
2012-04-01,2012,4,1090,276,814,6,4,2,33,9,24,1,1,0,27,11,16,12,7,5,1,1,0,2,2,0,22,3,19,4,4,0,2,2,0,43,23,20,15,4,11,0,0,0,6,6,0,2,0,2,2,1,1,1,0,1,3,1,2,17,4,13,9,2,7,0.8449612403100775,0.213953488372093,0.6310077519379845,0.0046511627906976,0.0031007751937984,0.0015503875968992,0.0255813953488371,0.0069767441860465,0.0186046511627906,0.0007751937984496,0.0007751937984496,0.0,0.0209302325581394,0.0085271317829457,0.0124031007751937,0.0093023255813952,0.0054263565891472,0.003875968992248,0.0007751937984496,0.0007751937984496,0.0,0.0015503875968992,0.0015503875968992,0.0,0.0170542635658914,0.0023255813953488,0.0147286821705426,0.0031007751937984,0.0031007751937984,0.0,0.0015503875968992,0.0015503875968992,0.0,0.0333333333333332,0.017829457364341,0.0155038759689922,0.0116279069767441,0.0031007751937984,0.0085271317829457,0.0,0.0,0.0,0.0046511627906976,0.0046511627906976,0.0,0.0015503875968992,0.0,0.0015503875968992,0.0015503875968992,0.0007751937984496,0.0007751937984496,0.0007751937984496,0.0,0.0007751937984496,0.0023255813953488,0.0007751937984496,0.0015503875968992,0.0131782945736433,0.0031007751937984,0.0100775193798449,0.0069767441860464005,0.0015503875968992,0.0054263565891472,354
2012-05-01,2012,5,1129,222,907,5,5,0,29,2,27,0,0,0,32,18,14,9,5,4,1,0,1,0,0,0,21,4,17,5,4,1,0,0,0,42,29,13,21,5,16,0,0,0,2,2,0,4,1,3,1,1,0,1,0,1,2,2,0,13,5,8,16,6,10,0.8450598802395209,0.1661676646706587,0.6788922155688623,0.0037425149700598,0.0037425149700598,0.0,0.021706586826347202,0.0014970059880239,0.0202095808383233,0.0,0.0,0.0,0.0239520958083831,0.0134730538922155,0.0104790419161676,0.0067365269461077005,0.0037425149700598,0.0029940119760479,0.0007485029940119,0.0,0.0007485029940119,0.0,0.0,0.0,0.0157185628742514,0.0029940119760479,0.0127245508982035,0.0037425149700598,0.0029940119760479,0.0007485029940119,0.0,0.0,0.0,0.0314371257485029,0.0217065868263473,0.0097305389221556,0.0157185628742514,0.0037425149700598,0.0119760479041916,0.0,0.0,0.0,0.0014970059880239,0.0014970059880239,0.0,0.0029940119760478,0.0007485029940119,0.0022455089820359,0.0007485029940119,0.0007485029940119,0.0,0.0007485029940119,0.0,0.0007485029940119,0.0014970059880239,0.0014970059880239,0.0,0.0097305389221556,0.0037425149700598,0.0059880239520958,0.0119760479041915,0.0044910179640718,0.0074850299401197,310
2012-06-01,2012,6,1151,257,894,5,3,2,38,6,32,1,0,1,37,19,18,12,12,0,4,4,0,1,0,1,9,0,9,3,3,0,0,0,0,32,18,14,15,6,9,0,0,0,1,0,1,1,1,0,4,3,1,1,0,1,2,2,0,10,5,5,14,10,4,0.858955223880597,0.1917910447761194,0.6671641791044776,0.003731343283582,0.0022388059701492,0.0014925373134328,0.0283582089552238,0.0044776119402985,0.0238805970149253,0.0007462686567164,0.0,0.0007462686567164,0.0276119402985074,0.0141791044776119,0.0134328358208955,0.008955223880597,0.008955223880597,0.0,0.0029850746268656,0.0029850746268656,0.0,0.0007462686567164,0.0,0.0007462686567164,0.0067164179104477,0.0,0.0067164179104477,0.0022388059701492,0.0022388059701492,0.0,0.0,0.0,0.0,0.0238805970149253,0.0134328358208955,0.0104477611940298,0.0111940298507462,0.0044776119402985,0.0067164179104477,0.0,0.0,0.0,0.0007462686567164,0.0,0.0007462686567164,0.0007462686567164,0.0007462686567164,0.0,0.0029850746268656,0.0022388059701492,0.0007462686567164,0.0007462686567164,0.0,0.0007462686567164,0.0014925373134328,0.0014925373134328,0.0,0.007462686567164,0.003731343283582,0.003731343283582,0.0104477611940297,0.0074626865671641,0.0029850746268656,342
2012-07-01,2012,7,1214,279,935,4,3,1,32,5,27,0,0,0,58,39,19,15,11,4,2,2,0,0,0,0,10,2,8,4,3,1,0,0,0,40,23,17,27,14,13,0,0,0,9,8,1,2,2,0,9,6,3,0,0,0,1,1,0,16,3,13,38,26,12,0.8147651006711409,0.187248322147651,0.62751677852349,0.0026845637583892,0.0020134228187919,0.0006711409395973,0.021476510067114,0.0033557046979865,0.0181208053691275,0.0,0.0,0.0,0.0389261744966442,0.0261744966442953,0.0127516778523489,0.0100671140939596,0.0073825503355704,0.0026845637583892,0.0013422818791946,0.0013422818791946,0.0,0.0,0.0,0.0,0.0067114093959731,0.0013422818791946,0.0053691275167785,0.0026845637583892,0.0020134228187919,0.0006711409395973,0.0,0.0,0.0,0.0268456375838925,0.0154362416107382,0.0114093959731543,0.0181208053691275,0.0093959731543624,0.0087248322147651,0.0,0.0,0.0,0.0060402684563758,0.0053691275167785,0.0006711409395973,0.0013422818791946,0.0013422818791946,0.0,0.006040268456375701,0.0040268456375838,0.0020134228187919,0.0,0.0,0.0,0.0006711409395973,0.0006711409395973,0.0,0.010738255033557,0.0020134228187919,0.0087248322147651,0.0255033557046979,0.0174496644295302,0.0080536912751677,420
2012-08-01,2012,8,1225,274,951,8,5,3,38,9,29,3,2,1,51,30,21,21,15,6,2,2,0,0,0,0,12,1,11,6,4,2,0,0,0,36,22,14,24,13,11,0,0,0,3,3,0,6,6,0,3,2,1,2,0,2,3,3,0,20,3,17,24,15,9,0.8310719131614653,0.185888738127544,0.6451831750339213,0.0054274084124829,0.0033921302578018,0.0020352781546811,0.025780189959294403,0.0061058344640434,0.019674355495251,0.002035278154681,0.0013568521031207,0.0006784260515603,0.0345997286295793,0.0203527815468114,0.0142469470827679,0.0142469470827679,0.0101763907734057,0.0040705563093622,0.0013568521031207,0.0013568521031207,0.0,0.0,0.0,0.0,0.0081411126187244,0.0006784260515603,0.0074626865671641,0.0040705563093622,0.0027137042062415,0.0013568521031207,0.0,0.0,0.0,0.0244233378561736,0.0149253731343283,0.0094979647218453,0.016282225237449002,0.0088195386702849,0.0074626865671641,0.0,0.0,0.0,0.0020352781546811,0.0020352781546811,0.0,0.0040705563093622,0.0040705563093622,0.0,0.002035278154681,0.0013568521031207,0.0006784260515603,0.0013568521031207,0.0,0.0013568521031207,0.0020352781546811,0.0020352781546811,0.0,0.013568521031207498,0.0020352781546811,0.0115332428765264,0.0162822252374491,0.0101763907734057,0.0061058344640434,398
2012-09-01,2012,9,1233,238,995,5,4,1,28,5,23,2,2,0,31,19,12,20,17,3,2,2,0,0,0,0,14,4,10,8,6,2,0,0,0,40,28,12,19,9,10,0,0,0,6,5,1,5,5,0,3,3,0,1,0,1,2,2,0,7,0,7,14,8,6,0.8634453781512604,0.1666666666666666,0.6967787114845938,0.003501400560224,0.0028011204481792,0.0007002801120448,0.0196078431372548,0.003501400560224,0.0161064425770308,0.0014005602240896,0.0014005602240896,0.0,0.0217086834733893,0.0133053221288515,0.0084033613445378,0.0140056022408963,0.0119047619047619,0.0021008403361344,0.0014005602240896,0.0014005602240896,0.0,0.0,0.0,0.0,0.0098039215686273,0.0028011204481792,0.0070028011204481,0.005602240896358499,0.0042016806722689,0.0014005602240896,0.0,0.0,0.0,0.0280112044817927,0.0196078431372549,0.0084033613445378,0.0133053221288514,0.0063025210084033,0.0070028011204481,0.0,0.0,0.0,0.0042016806722688,0.003501400560224,0.0007002801120448,0.003501400560224,0.003501400560224,0.0,0.0021008403361344,0.0021008403361344,0.0,0.0007002801120448,0.0,0.0007002801120448,0.0014005602240896,0.0014005602240896,0.0,0.0049019607843137,0.0,0.0049019607843137,0.009803921568627399,0.0056022408963585,0.0042016806722689,346
2012-10-01,2012,10,1247,276,971,6,4,2,43,7,36,1,1,0,47,26,21,21,17,4,0,0,0,1,1,0,28,5,23,22,20,2,0,0,0,54,38,16,27,11,16,2,1,1,6,5,1,2,1,1,5,2,3,0,0,0,8,7,1,8,6,2,14,4,10,0.8129074315514994,0.1799217731421121,0.6329856584093873,0.0039113428943937,0.0026075619295958,0.0013037809647979,0.028031290743155,0.0045632333767926,0.0234680573663624,0.0006518904823989,0.0006518904823989,0.0,0.0306388526727508,0.0169491525423728,0.013689700130378,0.013689700130378,0.0110821382007822,0.0026075619295958,0.0,0.0,0.0,0.0006518904823989,0.0006518904823989,0.0,0.0182529335071707,0.0032594524119947,0.014993481095176,0.014341590612777,0.0130378096479791,0.0013037809647979,0.0,0.0,0.0,0.0352020860495436,0.0247718383311603,0.0104302477183833,0.0176010430247718,0.0071707953063885,0.0104302477183833,0.0013037809647978,0.0006518904823989,0.0006518904823989,0.0039113428943936,0.0032594524119947,0.0006518904823989,0.0013037809647978,0.0006518904823989,0.0006518904823989,0.0032594524119947,0.0013037809647979,0.0019556714471968,0.0,0.0,0.0,0.0052151238591914995,0.0045632333767926,0.0006518904823989,0.0052151238591916,0.0039113428943937,0.0013037809647979,0.0091264667535853,0.0026075619295958,0.0065189048239895,422
