date,year,month,-999,cr_-999,nr_-999,activism,cr_activism,nr_activism,arrest,cr_arrest,nr_arrest,censor,cr_censor,nr_censor,cooperate,cr_cooperate,nr_cooperate,corruption,cr_corruption,nr_corruption,coup,cr_coup,nr_coup,defamationcase,cr_defamationcase,nr_defamationcase,disaster,cr_disaster,nr_disaster,electionactivity,cr_electionactivity,nr_electionactivity,electionirregularities,cr_electionirregularities,nr_electionirregularities,legalaction,cr_legalaction,nr_legalaction,legalchange,cr_legalchange,nr_legalchange,martiallaw,cr_martiallaw,nr_martiallaw,mobilizesecurity,cr_mobilizesecurity,nr_mobilizesecurity,protest,cr_protest,nr_protest,purge,cr_purge,nr_purge,raid,cr_raid,nr_raid,threaten,cr_threaten,nr_threaten,violencelethal,cr_violencelethal,nr_violencelethal,violencenonlethal,cr_violencenonlethal,nr_violencenonlethal,-999Norm,cr_-999Norm,nr_-999Norm,activismNorm,cr_activismNorm,nr_activismNorm,arrestNorm,cr_arrestNorm,nr_arrestNorm,censorNorm,cr_censorNorm,nr_censorNorm,cooperateNorm,cr_cooperateNorm,nr_cooperateNorm,corruptionNorm,cr_corruptionNorm,nr_corruptionNorm,coupNorm,cr_coupNorm,nr_coupNorm,defamationcaseNorm,cr_defamationcaseNorm,nr_defamationcaseNorm,disasterNorm,cr_disasterNorm,nr_disasterNorm,electionactivityNorm,cr_electionactivityNorm,nr_electionactivityNorm,electionirregularitiesNorm,cr_electionirregularitiesNorm,nr_electionirregularitiesNorm,legalactionNorm,cr_legalactionNorm,nr_legalactionNorm,legalchangeNorm,cr_legalchangeNorm,nr_legalchangeNorm,martiallawNorm,cr_martiallawNorm,nr_martiallawNorm,mobilizesecurityNorm,cr_mobilizesecurityNorm,nr_mobilizesecurityNorm,protestNorm,cr_protestNorm,nr_protestNorm,purgeNorm,cr_purgeNorm,nr_purgeNorm,raidNorm,cr_raidNorm,nr_raidNorm,threatenNorm,cr_threatenNorm,nr_threatenNorm,violencelethalNorm,cr_violencelethalNorm,nr_violencelethalNorm,violencenonlethalNorm,cr_violencenonlethalNorm,nr_violencenonlethalNorm,total_articles
2012-01-01,2012,1,1252,213,1039,2,1,1,17,5,12,2,2,0,16,14,2,15,10,5,1,1,0,2,1,1,16,0,16,28,24,4,0,0,0,28,11,17,10,6,4,2,2,0,7,4,3,14,12,2,5,2,3,1,0,1,5,3,2,5,1,4,19,5,14,0.8700486448922863,0.1480194579569145,0.7220291869353718,0.001389854065323,0.0006949270326615,0.0006949270326615,0.0118137595552466,0.0034746351633078,0.0083391243919388,0.0013898540653231,0.0013898540653231,0.0,0.011118832522585,0.0097289784572619,0.0013898540653231,0.0104239054899235,0.0069492703266157,0.0034746351633078,0.0006949270326615,0.0006949270326615,0.0,0.001389854065323,0.0006949270326615,0.0006949270326615,0.0111188325225851,0.0,0.0111188325225851,0.019457956914523802,0.0166782487838776,0.0027797081306462,0.0,0.0,0.0,0.0194579569145239,0.0076441973592772,0.0118137595552467,0.0069492703266156005,0.0041695621959694,0.0027797081306462,0.0013898540653231,0.0013898540653231,0.0,0.0048644892286309,0.0027797081306462,0.0020847810979847,0.009728978457261901,0.0083391243919388,0.0013898540653231,0.0034746351633078002,0.0013898540653231,0.0020847810979847,0.0006949270326615,0.0,0.0006949270326615,0.0034746351633078002,0.0020847810979847,0.0013898540653231,0.0034746351633077,0.0006949270326615,0.0027797081306462,0.0132036136205697,0.0034746351633078,0.0097289784572619,314
2012-02-01,2012,2,1304,229,1075,6,5,1,21,8,13,2,1,1,23,18,5,9,6,3,0,0,0,0,0,0,33,7,26,34,32,2,0,0,0,43,18,25,15,7,8,9,5,4,3,2,1,10,10,0,4,2,2,1,0,1,1,1,0,1,0,1,27,5,22,0.8456549935149156,0.1485084306095979,0.6971465629053177,0.0038910505836574003,0.0032425421530479,0.0006485084306095,0.0136186770428014,0.0051880674448767,0.0084306095979247,0.001297016861219,0.0006485084306095,0.0006485084306095,0.0149156939040206,0.0116731517509727,0.0032425421530479,0.0058365758754862,0.0038910505836575,0.0019455252918287,0.0,0.0,0.0,0.0,0.0,0.0,0.0214007782101166,0.0045395590142671,0.0168612191958495,0.022049286640726203,0.0207522697795071,0.0012970168612191,0.0,0.0,0.0,0.0278858625162126,0.0116731517509727,0.0162127107652399,0.009727626459143799,0.0045395590142671,0.0051880674448767,0.0058365758754862,0.0032425421530479,0.0025940337224383,0.0019455252918286,0.0012970168612191,0.0006485084306095,0.0064850843060959,0.0064850843060959,0.0,0.0025940337224382,0.0012970168612191,0.0012970168612191,0.0006485084306095,0.0,0.0006485084306095,0.0006485084306095,0.0006485084306095,0.0,0.0006485084306095,0.0,0.0006485084306095,0.017509727626459,0.0032425421530479,0.0142671854734111,355
2012-03-01,2012,3,1613,280,1333,6,5,1,22,5,17,3,1,2,38,26,12,16,13,3,0,0,0,1,0,1,24,2,22,95,88,7,4,4,0,49,23,26,12,2,10,1,1,0,2,0,2,32,21,11,4,3,1,0,0,0,3,2,1,4,0,4,19,6,13,0.8314432989690721,0.1443298969072164,0.6871134020618557,0.0030927835051545,0.0025773195876288,0.0005154639175257,0.011340206185566899,0.0025773195876288,0.0087628865979381,0.0015463917525772,0.0005154639175257,0.0010309278350515,0.0195876288659793,0.0134020618556701,0.0061855670103092,0.0082474226804123,0.006701030927835,0.0015463917525773,0.0,0.0,0.0,0.0005154639175257,0.0,0.0005154639175257,0.012371134020618499,0.0010309278350515,0.011340206185567,0.0489690721649484,0.045360824742268,0.0036082474226804,0.002061855670103,0.002061855670103,0.0,0.0252577319587628,0.0118556701030927,0.0134020618556701,0.0061855670103092,0.0010309278350515,0.0051546391752577,0.0005154639175257,0.0005154639175257,0.0,0.0010309278350515,0.0,0.0010309278350515,0.0164948453608247,0.0108247422680412,0.0056701030927835,0.002061855670103,0.0015463917525773,0.0005154639175257,0.0,0.0,0.0,0.0015463917525772,0.0010309278350515,0.0005154639175257,0.002061855670103,0.0,0.002061855670103,0.0097938144329896,0.0030927835051546,0.006701030927835,477
2012-04-01,2012,4,1497,289,1208,2,1,1,31,11,20,1,1,0,21,13,8,14,12,2,2,2,0,2,2,0,8,1,7,93,86,7,5,4,1,42,17,25,15,10,5,2,1,1,1,1,0,33,22,11,6,6,0,1,0,1,4,4,0,10,3,7,18,5,13,0.8312048861743475,0.1604664075513603,0.6707384786229872,0.0011104941699056,0.0005552470849528,0.0005552470849528,0.0172126596335368,0.0061077179344808,0.011104941699056,0.0005552470849528,0.0005552470849528,0.0,0.0116601887840088,0.0072182121043864,0.0044419766796224,0.0077734591893392005,0.0066629650194336,0.0011104941699056,0.0011104941699056,0.0011104941699056,0.0,0.0011104941699056,0.0011104941699056,0.0,0.0044419766796224,0.0005552470849528,0.0038867295946696,0.0516379789006107,0.0477512493059411,0.0038867295946696,0.002776235424764,0.0022209883398112,0.0005552470849528,0.0233203775680177,0.0094392004441976,0.0138811771238201,0.008328706274292,0.005552470849528,0.002776235424764,0.0011104941699056,0.0005552470849528,0.0005552470849528,0.0005552470849528,0.0005552470849528,0.0,0.0183231538034424,0.0122154358689616,0.0061077179344808,0.0033314825097168,0.0033314825097168,0.0,0.0005552470849528,0.0,0.0005552470849528,0.0022209883398112,0.0022209883398112,0.0,0.005552470849528,0.0016657412548584,0.0038867295946696,0.0099944475291504,0.002776235424764,0.0072182121043864,485
2012-05-01,2012,5,1606,389,1217,4,3,1,17,6,11,2,1,1,50,37,13,20,13,7,0,0,0,0,0,0,20,2,18,186,172,14,20,20,0,51,24,27,6,4,2,0,0,0,1,1,0,22,15,7,3,3,0,1,0,1,3,3,0,3,1,2,16,7,9,0.7946561108362197,0.1924789708065314,0.6021771400296883,0.0019792182088074,0.0014844136566056,0.0004948045522018,0.0084116773874318,0.0029688273132112,0.0054428500742206,0.0009896091044036,0.0004948045522018,0.0004948045522018,0.024740227610093903,0.0183077684314695,0.0064324591786244,0.0098960910440375,0.0064324591786244,0.0034636318654131,0.0,0.0,0.0,0.0,0.0,0.0,0.0098960910440375,0.0009896091044037,0.0089064819396338,0.09203364670954971,0.0851063829787234,0.0069272637308263,0.0098960910440376,0.0098960910440376,0.0,0.0252350321622958,0.0118753092528451,0.0133597229094507,0.0029688273132112,0.0019792182088075,0.0009896091044037,0.0,0.0,0.0,0.0004948045522018,0.0004948045522018,0.0,0.0108857001484413,0.0074220682830282,0.0034636318654131,0.0014844136566056,0.0014844136566056,0.0,0.0004948045522018,0.0,0.0004948045522018,0.0014844136566056,0.0014844136566056,0.0,0.0014844136566055,0.0004948045522018,0.0009896091044037,0.00791687283523,0.0034636318654131,0.0044532409698169,694
2012-06-01,2012,6,1445,297,1148,2,1,1,10,3,7,1,1,0,43,31,12,17,12,5,0,0,0,0,0,0,12,1,11,20,19,1,3,3,0,54,32,22,8,2,6,0,0,0,1,1,0,12,10,2,10,10,0,0,0,0,2,0,2,6,3,3,26,12,14,0.8710066305003012,0.1790235081374321,0.6919831223628692,0.0012055455093428,0.0006027727546714,0.0006027727546714,0.0060277275467148,0.0018083182640144,0.0042194092827004,0.0006027727546714,0.0006027727546714,0.0,0.0259192284508739,0.0186859553948161,0.0072332730560578,0.0102471368294152,0.0072332730560578,0.0030138637733574,0.0,0.0,0.0,0.0,0.0,0.0,0.007233273056057699,0.0006027727546714,0.0066305003013863,0.0120554550934296,0.0114526823387582,0.0006027727546714,0.0018083182640144,0.0018083182640144,0.0,0.0325497287522603,0.0192887281494876,0.0132610006027727,0.0048221820373718,0.0012055455093429,0.0036166365280289,0.0,0.0,0.0,0.0006027727546714,0.0006027727546714,0.0,0.0072332730560577,0.0060277275467148,0.0012055455093429,0.0060277275467148,0.0060277275467148,0.0,0.0,0.0,0.0,0.0012055455093429,0.0,0.0012055455093429,0.0036166365280288,0.0018083182640144,0.0018083182640144,0.0156720916214586,0.0072332730560578,0.0084388185654008,429
2012-07-01,2012,7,1402,264,1138,4,3,1,17,6,11,2,2,0,32,23,9,9,6,3,1,1,0,0,0,0,19,3,16,20,17,3,1,1,0,23,10,13,12,3,9,2,1,1,2,2,0,9,9,0,11,11,0,1,0,1,3,1,2,5,0,5,19,4,15,0.8817610062893081,0.1660377358490566,0.7157232704402515,0.0025157232704401,0.0018867924528301,0.00062893081761,0.0106918238993709,0.0037735849056603,0.0069182389937106,0.0012578616352201,0.0012578616352201,0.0,0.0201257861635219,0.0144654088050314,0.0056603773584905,0.0056603773584904,0.0037735849056603,0.0018867924528301,0.00062893081761,0.00062893081761,0.0,0.0,0.0,0.0,0.0119496855345911,0.0018867924528301,0.010062893081761,0.012578616352201099,0.010691823899371,0.0018867924528301,0.00062893081761,0.00062893081761,0.0,0.0144654088050314,0.0062893081761006,0.0081761006289308,0.0075471698113205995,0.0018867924528301,0.0056603773584905,0.00125786163522,0.00062893081761,0.00062893081761,0.0012578616352201,0.0012578616352201,0.0,0.0056603773584905,0.0056603773584905,0.0,0.0069182389937106,0.0069182389937106,0.0,0.00062893081761,0.0,0.00062893081761,0.0018867924528300998,0.00062893081761,0.0012578616352201,0.0031446540880503,0.0,0.0031446540880503,0.011949685534591099,0.0025157232704402,0.0094339622641509,365
2012-08-01,2012,8,1366,199,1167,3,1,2,21,6,15,0,0,0,17,11,6,24,14,10,3,2,1,2,0,2,31,5,26,10,9,1,1,1,0,31,13,18,16,4,12,2,2,0,3,2,1,5,3,2,11,10,1,2,1,1,4,3,1,7,4,3,19,5,14,0.8750800768737987,0.1274823830877642,0.7475976937860346,0.0019218449711721998,0.0006406149903907,0.0012812299807815,0.013452914798206199,0.0038436899423446,0.0096092248558616,0.0,0.0,0.0,0.0108904548366431,0.0070467648942985,0.0038436899423446,0.0153747597693785,0.0089686098654708,0.0064061499039077,0.0019218449711721998,0.0012812299807815,0.0006406149903907,0.0012812299807815,0.0,0.0012812299807815,0.0198590647021139,0.0032030749519538,0.0166559897501601,0.0064061499039076005,0.0057655349135169,0.0006406149903907,0.0006406149903907,0.0006406149903907,0.0,0.019859064702113897,0.00832799487508,0.0115310698270339,0.0102498398462524,0.0025624599615631,0.0076873798846893,0.0012812299807815,0.0012812299807815,0.0,0.0019218449711721998,0.0012812299807815,0.0006406149903907,0.0032030749519538,0.0019218449711723,0.0012812299807815,0.007046764894298401,0.0064061499039077,0.0006406149903907,0.0012812299807814,0.0006406149903907,0.0006406149903907,0.002562459961563,0.0019218449711723,0.0006406149903907,0.0044843049327354,0.0025624599615631,0.0019218449711723,0.012171684817424599,0.0032030749519538,0.0089686098654708,288
2012-09-01,2012,9,1114,237,877,3,0,3,8,0,8,0,0,0,18,11,7,18,13,5,3,3,0,1,0,1,29,2,27,16,13,3,1,1,0,26,10,16,16,7,9,0,0,0,2,2,0,15,10,5,20,18,2,0,0,0,0,0,0,4,1,3,10,2,8,0.8595679012345678,0.1828703703703703,0.6766975308641975,0.0023148148148148,0.0,0.0023148148148148,0.0061728395061728,0.0,0.0061728395061728,0.0,0.0,0.0,0.0138888888888888,0.0084876543209876,0.0054012345679012,0.0138888888888888,0.0100308641975308,0.003858024691358,0.0023148148148148,0.0023148148148148,0.0,0.0007716049382716,0.0,0.0007716049382716,0.0223765432098765,0.0015432098765432,0.0208333333333333,0.012345679012345599,0.0100308641975308,0.0023148148148148,0.0007716049382716,0.0007716049382716,0.0,0.020061728395061602,0.007716049382716,0.0123456790123456,0.012345679012345599,0.0054012345679012,0.0069444444444444,0.0,0.0,0.0,0.0015432098765432,0.0015432098765432,0.0,0.011574074074074,0.007716049382716,0.003858024691358,0.015432098765431999,0.0138888888888888,0.0015432098765432,0.0,0.0,0.0,0.0,0.0,0.0,0.0030864197530864,0.0007716049382716,0.0023148148148148,0.007716049382716,0.0015432098765432,0.0061728395061728,327
2012-10-01,2012,10,1332,284,1048,3,2,1,19,4,15,1,0,1,36,26,10,18,11,7,1,1,0,1,1,0,23,1,22,22,20,2,1,1,0,59,28,31,23,10,13,2,1,1,1,1,0,15,14,1,13,11,2,1,0,1,4,3,1,3,0,3,12,4,8,0.8457142857142858,0.1803174603174603,0.6653968253968254,0.0019047619047618,0.0012698412698412,0.0006349206349206,0.012063492063492,0.0025396825396825,0.0095238095238095,0.0006349206349206,0.0,0.0006349206349206,0.022857142857142798,0.0165079365079365,0.0063492063492063,0.0114285714285713,0.0069841269841269,0.0044444444444444,0.0006349206349206,0.0006349206349206,0.0,0.0006349206349206,0.0006349206349206,0.0,0.0146031746031745,0.0006349206349206,0.0139682539682539,0.0139682539682538,0.0126984126984126,0.0012698412698412,0.0006349206349206,0.0006349206349206,0.0,0.037460317460317305,0.0177777777777777,0.0196825396825396,0.0146031746031745,0.0063492063492063,0.0082539682539682,0.0012698412698412,0.0006349206349206,0.0006349206349206,0.0006349206349206,0.0006349206349206,0.0,0.0095238095238094,0.0088888888888888,0.0006349206349206,0.0082539682539681,0.0069841269841269,0.0012698412698412,0.0006349206349206,0.0,0.0006349206349206,0.0025396825396824998,0.0019047619047619,0.0006349206349206,0.0019047619047619,0.0,0.0019047619047619,0.007619047619047501,0.0025396825396825,0.005079365079365,415
