date,year,month,-999,cr_-999,nr_-999,activism,cr_activism,nr_activism,arrest,cr_arrest,nr_arrest,censor,cr_censor,nr_censor,cooperate,cr_cooperate,nr_cooperate,corruption,cr_corruption,nr_corruption,coup,cr_coup,nr_coup,defamationcase,cr_defamationcase,nr_defamationcase,disaster,cr_disaster,nr_disaster,electionactivity,cr_electionactivity,nr_electionactivity,electionirregularities,cr_electionirregularities,nr_electionirregularities,legalaction,cr_legalaction,nr_legalaction,legalchange,cr_legalchange,nr_legalchange,martiallaw,cr_martiallaw,nr_martiallaw,mobilizesecurity,cr_mobilizesecurity,nr_mobilizesecurity,protest,cr_protest,nr_protest,purge,cr_purge,nr_purge,raid,cr_raid,nr_raid,threaten,cr_threaten,nr_threaten,violencelethal,cr_violencelethal,nr_violencelethal,violencenonlethal,cr_violencenonlethal,nr_violencenonlethal,-999Norm,cr_-999Norm,nr_-999Norm,activismNorm,cr_activismNorm,nr_activismNorm,arrestNorm,cr_arrestNorm,nr_arrestNorm,censorNorm,cr_censorNorm,nr_censorNorm,cooperateNorm,cr_cooperateNorm,nr_cooperateNorm,corruptionNorm,cr_corruptionNorm,nr_corruptionNorm,coupNorm,cr_coupNorm,nr_coupNorm,defamationcaseNorm,cr_defamationcaseNorm,nr_defamationcaseNorm,disasterNorm,cr_disasterNorm,nr_disasterNorm,electionactivityNorm,cr_electionactivityNorm,nr_electionactivityNorm,electionirregularitiesNorm,cr_electionirregularitiesNorm,nr_electionirregularitiesNorm,legalactionNorm,cr_legalactionNorm,nr_legalactionNorm,legalchangeNorm,cr_legalchangeNorm,nr_legalchangeNorm,martiallawNorm,cr_martiallawNorm,nr_martiallawNorm,mobilizesecurityNorm,cr_mobilizesecurityNorm,nr_mobilizesecurityNorm,protestNorm,cr_protestNorm,nr_protestNorm,purgeNorm,cr_purgeNorm,nr_purgeNorm,raidNorm,cr_raidNorm,nr_raidNorm,threatenNorm,cr_threatenNorm,nr_threatenNorm,violencelethalNorm,cr_violencelethalNorm,nr_violencelethalNorm,violencenonlethalNorm,cr_violencenonlethalNorm,nr_violencenonlethalNorm,total_articles
2012-01-01,2012,1,23,5,18,1,0,1,1,0,1,0,0,0,2,0,2,1,1,0,3,3,0,0,0,0,4,4,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.575,0.125,0.45,0.025,0.0,0.025,0.025,0.0,0.025,0.0,0.0,0.0,0.05,0.0,0.05,0.025,0.025,0.0,0.075,0.075,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.025,0.025,0.025,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.025,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15
2012-02-01,2012,2,18,6,12,1,0,1,0,0,0,0,0,0,7,4,3,1,1,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5625,0.1875,0.375,0.03125,0.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.21875,0.125,0.09375,0.03125,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09375,0.0625,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14
2012-03-01,2012,3,26,5,21,0,0,0,2,0,2,0,0,0,5,1,4,2,2,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,4,3,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6046511627906976,0.1162790697674418,0.4883720930232558,0.0,0.0,0.0,0.0465116279069767,0.0,0.0465116279069767,0.0,0.0,0.0,0.1162790697674417,0.0232558139534883,0.0930232558139534,0.0465116279069767,0.0465116279069767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0697674418604651,0.0697674418604651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0930232558139534,0.0697674418604651,0.0232558139534883,0.0465116279069766,0.0232558139534883,0.0232558139534883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14
2012-04-01,2012,4,36,6,30,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,2,0,0,0,0.7659574468085106,0.1276595744680851,0.6382978723404256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1063829787234042,0.0,0.1063829787234042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0212765957446808,0.0,0.0212765957446808,0.0,0.0,0.0,0.0212765957446808,0.0,0.0212765957446808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0212765957446808,0.0,0.0212765957446808,0.0638297872340425,0.0212765957446808,0.0425531914893617,0.0,0.0,0.0,7
2012-05-01,2012,5,24,5,19,1,0,1,0,0,0,1,1,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6857142857142856,0.1428571428571428,0.5428571428571428,0.0285714285714285,0.0,0.0285714285714285,0.0,0.0,0.0,0.0285714285714285,0.0285714285714285,0.0,0.0571428571428571,0.0,0.0571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0571428571428571,0.0,0.0571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0857142857142856,0.0285714285714285,0.0571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0285714285714285,0.0,0.0285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
2012-06-01,2012,6,30,5,25,0,0,0,0,0,0,0,0,0,6,0,6,1,1,0,0,0,0,0,0,0,3,2,1,1,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6976744186046512,0.1162790697674418,0.5813953488372093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1395348837209302,0.0,0.1395348837209302,0.0232558139534883,0.0232558139534883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.069767441860465,0.0465116279069767,0.0232558139534883,0.0232558139534883,0.0232558139534883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0465116279069767,0.0,0.0465116279069767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
2012-07-01,2012,7,68,5,63,1,0,1,0,0,0,0,0,0,4,2,2,1,1,0,0,0,0,0,0,0,3,3,0,2,2,0,0,0,0,1,0,1,3,2,1,0,0,0,0,0,0,2,0,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7472527472527472,0.0549450549450549,0.6923076923076923,0.0109890109890109,0.0,0.0109890109890109,0.0,0.0,0.0,0.0,0.0,0.0,0.0439560439560438,0.0219780219780219,0.0219780219780219,0.0109890109890109,0.0109890109890109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0329670329670329,0.0329670329670329,0.0,0.0219780219780219,0.0219780219780219,0.0,0.0,0.0,0.0,0.0109890109890109,0.0,0.0109890109890109,0.0329670329670328,0.0219780219780219,0.0109890109890109,0.0,0.0,0.0,0.0,0.0,0.0,0.0219780219780219,0.0,0.0219780219780219,0.0329670329670329,0.0329670329670329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18
2012-08-01,2012,8,51,15,36,1,0,1,0,0,0,0,0,0,10,2,8,2,1,1,0,0,0,0,0,0,5,3,2,6,6,0,0,0,0,1,0,1,3,1,2,0,0,0,1,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.607142857142857,0.1785714285714285,0.4285714285714285,0.0119047619047619,0.0,0.0119047619047619,0.0,0.0,0.0,0.0,0.0,0.0,0.11904761904761901,0.0238095238095238,0.0952380952380952,0.0238095238095238,0.0119047619047619,0.0119047619047619,0.0,0.0,0.0,0.0,0.0,0.0,0.0595238095238095,0.0357142857142857,0.0238095238095238,0.0714285714285714,0.0714285714285714,0.0,0.0,0.0,0.0,0.0119047619047619,0.0,0.0119047619047619,0.0357142857142857,0.0119047619047619,0.0238095238095238,0.0,0.0,0.0,0.0119047619047619,0.0119047619047619,0.0,0.0,0.0,0.0,0.0238095238095238,0.0119047619047619,0.0119047619047619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
2012-09-01,2012,9,54,13,41,0,0,0,1,0,1,1,0,1,8,4,4,1,1,0,1,0,1,0,0,0,1,0,1,3,3,0,0,0,0,3,1,2,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.72,0.1733333333333333,0.5466666666666666,0.0,0.0,0.0,0.0133333333333333,0.0,0.0133333333333333,0.0133333333333333,0.0,0.0133333333333333,0.1066666666666666,0.0533333333333333,0.0533333333333333,0.0133333333333333,0.0133333333333333,0.0,0.0133333333333333,0.0,0.0133333333333333,0.0,0.0,0.0,0.0133333333333333,0.0,0.0133333333333333,0.04,0.04,0.0,0.0,0.0,0.0,0.0399999999999999,0.0133333333333333,0.0266666666666666,0.0133333333333333,0.0,0.0133333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0133333333333333,0.0133333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22
2012-10-01,2012,10,37,8,29,1,0,1,4,2,2,0,0,0,6,1,5,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,3,2,1,1,0,1,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0.6379310344827586,0.1379310344827586,0.5,0.0172413793103448,0.0,0.0172413793103448,0.0689655172413792,0.0344827586206896,0.0344827586206896,0.0,0.0,0.0,0.1034482758620689,0.0172413793103448,0.0862068965517241,0.0172413793103448,0.0,0.0172413793103448,0.0,0.0,0.0,0.0,0.0,0.0,0.0172413793103448,0.0172413793103448,0.0,0.0,0.0,0.0,0.0172413793103448,0.0172413793103448,0.0,0.0517241379310344,0.0344827586206896,0.0172413793103448,0.0172413793103448,0.0,0.0172413793103448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0517241379310344,0.0517241379310344,0.0,0.0,0.0,0.0,0.0172413793103448,0.0,0.0172413793103448,0.0,0.0,0.0,0.0,0.0,0.0,18
