date,year,month,-999,cr_-999,nr_-999,activism,cr_activism,nr_activism,arrest,cr_arrest,nr_arrest,censor,cr_censor,nr_censor,cooperate,cr_cooperate,nr_cooperate,corruption,cr_corruption,nr_corruption,coup,cr_coup,nr_coup,defamationcase,cr_defamationcase,nr_defamationcase,disaster,cr_disaster,nr_disaster,electionactivity,cr_electionactivity,nr_electionactivity,electionirregularities,cr_electionirregularities,nr_electionirregularities,legalaction,cr_legalaction,nr_legalaction,legalchange,cr_legalchange,nr_legalchange,martiallaw,cr_martiallaw,nr_martiallaw,mobilizesecurity,cr_mobilizesecurity,nr_mobilizesecurity,protest,cr_protest,nr_protest,purge,cr_purge,nr_purge,raid,cr_raid,nr_raid,threaten,cr_threaten,nr_threaten,violencelethal,cr_violencelethal,nr_violencelethal,violencenonlethal,cr_violencenonlethal,nr_violencenonlethal,-999Norm,cr_-999Norm,nr_-999Norm,activismNorm,cr_activismNorm,nr_activismNorm,arrestNorm,cr_arrestNorm,nr_arrestNorm,censorNorm,cr_censorNorm,nr_censorNorm,cooperateNorm,cr_cooperateNorm,nr_cooperateNorm,corruptionNorm,cr_corruptionNorm,nr_corruptionNorm,coupNorm,cr_coupNorm,nr_coupNorm,defamationcaseNorm,cr_defamationcaseNorm,nr_defamationcaseNorm,disasterNorm,cr_disasterNorm,nr_disasterNorm,electionactivityNorm,cr_electionactivityNorm,nr_electionactivityNorm,electionirregularitiesNorm,cr_electionirregularitiesNorm,nr_electionirregularitiesNorm,legalactionNorm,cr_legalactionNorm,nr_legalactionNorm,legalchangeNorm,cr_legalchangeNorm,nr_legalchangeNorm,martiallawNorm,cr_martiallawNorm,nr_martiallawNorm,mobilizesecurityNorm,cr_mobilizesecurityNorm,nr_mobilizesecurityNorm,protestNorm,cr_protestNorm,nr_protestNorm,purgeNorm,cr_purgeNorm,nr_purgeNorm,raidNorm,cr_raidNorm,nr_raidNorm,threatenNorm,cr_threatenNorm,nr_threatenNorm,violencelethalNorm,cr_violencelethalNorm,nr_violencelethalNorm,violencenonlethalNorm,cr_violencenonlethalNorm,nr_violencenonlethalNorm,total_articles
2012-01-01,2012,1,512,106,406,7,4,3,5,1,4,0,0,0,11,6,5,12,6,6,0,0,0,0,0,0,7,1,6,4,4,0,0,0,0,32,14,18,23,9,14,0,0,0,0,0,0,7,2,5,5,2,3,1,0,1,4,2,2,10,3,7,7,0,7,0.7962674961119751,0.1648522550544323,0.6314152410575428,0.0108864696734059,0.0062208398133748,0.0046656298600311,0.0077760497667185005,0.0015552099533437,0.0062208398133748,0.0,0.0,0.0,0.0171073094867807,0.0093312597200622,0.0077760497667185,0.0186625194401244,0.0093312597200622,0.0093312597200622,0.0,0.0,0.0,0.0,0.0,0.0,0.0108864696734059,0.0015552099533437,0.0093312597200622,0.0062208398133748,0.0062208398133748,0.0,0.0,0.0,0.0,0.0497667185069984,0.0217729393468118,0.0279937791601866,0.0357698289269051,0.0139968895800933,0.0217729393468118,0.0,0.0,0.0,0.0,0.0,0.0,0.0108864696734059,0.0031104199066874,0.0077760497667185,0.0077760497667185005,0.0031104199066874,0.0046656298600311,0.0015552099533437,0.0,0.0015552099533437,0.0062208398133748,0.0031104199066874,0.0031104199066874,0.015552099533437,0.0046656298600311,0.0108864696734059,0.0108864696734059,0.0,0.0108864696734059,160
2012-02-01,2012,2,551,82,469,8,6,2,5,1,4,0,0,0,14,6,8,6,5,1,0,0,0,0,0,0,10,0,10,11,10,1,0,0,0,23,7,16,14,4,10,0,0,0,1,0,1,7,2,5,2,2,0,2,0,2,1,0,1,12,6,6,0,0,0,0.8273273273273273,0.1231231231231231,0.7042042042042042,0.012012012012012,0.009009009009009,0.003003003003003,0.0075075075075075,0.0015015015015015,0.006006006006006,0.0,0.0,0.0,0.021021021021021,0.009009009009009,0.012012012012012,0.009009009009009,0.0075075075075075,0.0015015015015015,0.0,0.0,0.0,0.0,0.0,0.0,0.015015015015015,0.0,0.015015015015015,0.016516516516516498,0.015015015015015,0.0015015015015015,0.0,0.0,0.0,0.0345345345345345,0.0105105105105105,0.024024024024024,0.021021021021021,0.006006006006006,0.015015015015015,0.0,0.0,0.0,0.0015015015015015,0.0,0.0015015015015015,0.0105105105105105,0.003003003003003,0.0075075075075075,0.003003003003003,0.003003003003003,0.0,0.003003003003003,0.0,0.003003003003003,0.0015015015015015,0.0,0.0015015015015015,0.018018018018018,0.009009009009009,0.009009009009009,0.0,0.0,0.0,130
2012-03-01,2012,3,801,131,670,11,8,3,15,5,10,1,1,0,23,9,14,17,13,4,1,1,0,0,0,0,17,0,17,12,11,1,1,1,0,37,13,24,21,8,13,1,0,1,4,4,0,11,4,7,2,2,0,1,0,1,2,1,1,11,6,5,3,0,3,0.8165137614678899,0.1335372069317023,0.6829765545361876,0.0112130479102955,0.0081549439347604,0.0030581039755351,0.0152905198776757,0.0050968399592252,0.0101936799184505,0.001019367991845,0.001019367991845,0.0,0.0234454638124362,0.0091743119266055,0.0142711518858307,0.0173292558613659,0.0132517838939857,0.0040774719673802,0.001019367991845,0.001019367991845,0.0,0.0,0.0,0.0,0.0173292558613659,0.0,0.0173292558613659,0.0122324159021406,0.0112130479102956,0.001019367991845,0.001019367991845,0.001019367991845,0.0,0.037716615698267,0.0132517838939857,0.0244648318042813,0.0214067278287461,0.0081549439347604,0.0132517838939857,0.001019367991845,0.0,0.001019367991845,0.0040774719673802,0.0040774719673802,0.0,0.0112130479102955,0.0040774719673802,0.0071355759429153,0.0020387359836901,0.0020387359836901,0.0,0.001019367991845,0.0,0.001019367991845,0.00203873598369,0.001019367991845,0.001019367991845,0.011213047910295499,0.0061162079510703,0.0050968399592252,0.0030581039755351,0.0,0.0030581039755351,209
2012-04-01,2012,4,702,154,548,6,4,2,17,2,15,0,0,0,14,4,10,10,8,2,0,0,0,0,0,0,17,11,6,16,16,0,5,5,0,33,15,18,25,5,20,0,0,0,2,1,1,4,1,3,5,5,0,0,0,0,3,3,0,12,4,8,5,3,2,0.8059701492537312,0.1768082663605051,0.6291618828932262,0.0068886337543053,0.0045924225028702,0.0022962112514351,0.0195177956371985,0.0022962112514351,0.0172215843857634,0.0,0.0,0.0,0.0160734787600458,0.0045924225028702,0.0114810562571756,0.0114810562571756,0.0091848450057405,0.0022962112514351,0.0,0.0,0.0,0.0,0.0,0.0,0.0195177956371985,0.0126291618828932,0.0068886337543053,0.018369690011481,0.018369690011481,0.0,0.0057405281285878,0.0057405281285878,0.0,0.0378874856486795,0.0172215843857634,0.0206659012629161,0.0287026406429391,0.0057405281285878,0.0229621125143513,0.0,0.0,0.0,0.002296211251435,0.0011481056257175,0.0011481056257175,0.0045924225028701,0.0011481056257175,0.0034443168771526,0.0057405281285878,0.0057405281285878,0.0,0.0,0.0,0.0,0.0034443168771526,0.0034443168771526,0.0,0.013777267508610701,0.0045924225028702,0.0091848450057405,0.0057405281285876995,0.0034443168771526,0.0022962112514351,238
2012-05-01,2012,5,774,162,612,6,4,2,9,1,8,0,0,0,22,6,16,19,11,8,0,0,0,0,0,0,15,2,13,6,5,1,0,0,0,39,11,28,28,6,22,0,0,0,3,1,2,5,2,3,12,9,3,1,0,1,2,1,1,3,0,3,8,4,4,0.8251599147121534,0.1727078891257995,0.652452025586354,0.0063965884861407005,0.0042643923240938,0.0021321961620469,0.009594882729211,0.0010660980810234,0.0085287846481876,0.0,0.0,0.0,0.0234541577825159,0.0063965884861407,0.0170575692963752,0.0202558635394455,0.0117270788912579,0.0085287846481876,0.0,0.0,0.0,0.0,0.0,0.0,0.0159914712153518,0.0021321961620469,0.0138592750533049,0.0063965884861406,0.0053304904051172,0.0010660980810234,0.0,0.0,0.0,0.041577825159914594,0.0117270788912579,0.0298507462686567,0.029850746268656598,0.0063965884861407,0.0234541577825159,0.0,0.0,0.0,0.0031982942430703,0.0010660980810234,0.0021321961620469,0.0053304904051172,0.0021321961620469,0.0031982942430703,0.0127931769722813,0.009594882729211,0.0031982942430703,0.0010660980810234,0.0,0.0010660980810234,0.0021321961620468,0.0010660980810234,0.0010660980810234,0.0031982942430703,0.0,0.0031982942430703,0.0085287846481876,0.0042643923240938,0.0042643923240938,217
2012-06-01,2012,6,892,172,720,9,6,3,21,4,17,1,1,0,15,6,9,29,13,16,0,0,0,0,0,0,9,2,7,8,7,1,1,1,0,45,22,23,30,9,21,1,1,0,0,0,0,14,9,5,13,7,6,2,0,2,3,2,1,10,2,8,9,4,5,0.8153564899451553,0.1572212065813528,0.6581352833638026,0.0082266910420474,0.0054844606946983,0.0027422303473491,0.0191956124314442,0.0036563071297989,0.0155393053016453,0.0009140767824497,0.0009140767824497,0.0,0.013711151736745801,0.0054844606946983,0.0082266910420475,0.026508226691042,0.0118829981718464,0.0146252285191956,0.0,0.0,0.0,0.0,0.0,0.0,0.0082266910420474,0.0018281535648994,0.006398537477148,0.0073126142595977,0.006398537477148,0.0009140767824497,0.0009140767824497,0.0009140767824497,0.0,0.0411334552102375,0.0201096892138939,0.0210237659963436,0.0274223034734917,0.0082266910420475,0.0191956124314442,0.0009140767824497,0.0009140767824497,0.0,0.0,0.0,0.0,0.0127970749542961,0.0082266910420475,0.0045703839122486,0.0118829981718463,0.006398537477148,0.0054844606946983,0.0018281535648994,0.0,0.0018281535648994,0.0027422303473491,0.0018281535648994,0.0009140767824497,0.0091407678244972,0.0018281535648994,0.0073126142595978,0.0082266910420475,0.0036563071297989,0.0045703839122486,258
2012-07-01,2012,7,773,137,636,7,3,4,16,5,11,2,1,1,18,5,13,21,15,6,0,0,0,1,0,1,32,8,24,1,1,0,1,0,1,39,16,23,35,9,26,0,0,0,1,0,1,15,6,9,8,5,3,0,0,0,3,1,2,8,3,5,10,6,4,0.7911975435005117,0.1402251791197543,0.6509723643807575,0.0071647901740019004,0.0030706243602865,0.0040941658137154,0.0163766632548618,0.0051177072671443,0.0112589559877175,0.0020470829068576,0.0010235414534288,0.0010235414534288,0.0184237461617195,0.0051177072671443,0.0133060388945752,0.021494370522006,0.0153531218014329,0.0061412487205731,0.0,0.0,0.0,0.0010235414534288,0.0,0.0010235414534288,0.0327533265097236,0.0081883316274309,0.0245649948822927,0.0010235414534288,0.0010235414534288,0.0,0.0010235414534288,0.0,0.0010235414534288,0.0399181166837256,0.0163766632548618,0.0235414534288638,0.0358239508700101,0.0092118730808597,0.0266120777891504,0.0,0.0,0.0,0.0010235414534288,0.0,0.0010235414534288,0.0153531218014328,0.0061412487205731,0.0092118730808597,0.0081883316274308,0.0051177072671443,0.0030706243602865,0.0,0.0,0.0,0.0030706243602865,0.0010235414534288,0.0020470829068577,0.0081883316274308,0.0030706243602865,0.0051177072671443,0.0102354145342885,0.0061412487205731,0.0040941658137154,211
2012-08-01,2012,8,791,152,639,8,6,2,7,0,7,0,0,0,21,11,10,19,11,8,1,1,0,2,2,0,17,3,14,8,7,1,1,1,0,39,21,18,26,6,20,1,0,1,1,1,0,10,8,2,8,2,6,0,0,0,5,4,1,12,2,10,11,2,9,0.8087934560327199,0.1554192229038855,0.6533742331288344,0.0081799591002044,0.0061349693251533,0.0020449897750511,0.0071574642126789,0.0,0.0071574642126789,0.0,0.0,0.0,0.0214723926380367,0.0112474437627811,0.0102249488752556,0.0194274028629856,0.0112474437627811,0.0081799591002045,0.0010224948875255,0.0010224948875255,0.0,0.0020449897750511,0.0020449897750511,0.0,0.017382413087934402,0.0030674846625766,0.0143149284253578,0.008179959100204401,0.0071574642126789,0.0010224948875255,0.0010224948875255,0.0010224948875255,0.0,0.0398773006134969,0.0214723926380368,0.0184049079754601,0.0265848670756645,0.0061349693251533,0.0204498977505112,0.0010224948875255,0.0,0.0010224948875255,0.0010224948875255,0.0010224948875255,0.0,0.0102249488752556,0.0081799591002045,0.0020449897750511,0.0081799591002044,0.0020449897750511,0.0061349693251533,0.0,0.0,0.0,0.005112474437627699,0.0040899795501022,0.0010224948875255,0.0122699386503067,0.0020449897750511,0.0102249488752556,0.0112474437627811,0.0020449897750511,0.00920245398773,230
2012-09-01,2012,9,810,157,653,9,5,4,7,0,7,2,1,1,38,14,24,13,8,5,0,0,0,1,0,1,7,2,5,11,9,2,0,0,0,28,14,14,32,15,17,0,0,0,0,0,0,0,0,0,8,4,4,1,0,1,2,2,0,5,3,2,4,2,2,0.8316221765913757,0.1611909650924024,0.6704312114989733,0.009240246406570701,0.0051334702258726,0.0041067761806981,0.0071868583162217,0.0,0.0071868583162217,0.002053388090349,0.0010266940451745,0.0010266940451745,0.0390143737166324,0.0143737166324435,0.0246406570841889,0.0133470225872689,0.0082135523613963,0.0051334702258726,0.0,0.0,0.0,0.0010266940451745,0.0,0.0010266940451745,0.0071868583162216,0.002053388090349,0.0051334702258726,0.0112936344969198,0.0092402464065708,0.002053388090349,0.0,0.0,0.0,0.028747433264887,0.0143737166324435,0.0143737166324435,0.0328542094455851,0.015400410677618,0.0174537987679671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0082135523613962,0.0041067761806981,0.0041067761806981,0.0010266940451745,0.0,0.0010266940451745,0.002053388090349,0.002053388090349,0.0,0.0051334702258726,0.0030800821355236,0.002053388090349,0.004106776180698,0.002053388090349,0.002053388090349,234
2012-10-01,2012,10,814,171,643,4,1,3,9,4,5,0,0,0,34,16,18,21,14,7,0,0,0,0,0,0,14,2,12,9,9,0,0,0,0,31,16,15,31,15,16,0,0,0,1,0,1,13,12,1,9,6,3,0,0,0,5,1,4,4,2,2,13,11,2,0.8091451292246521,0.1699801192842942,0.6391650099403579,0.0039761431411530004,0.0009940357852882,0.0029821073558648,0.0089463220675943,0.003976143141153,0.0049701789264413,0.0,0.0,0.0,0.0337972166998011,0.0159045725646123,0.0178926441351888,0.0208747514910535,0.0139165009940357,0.0069582504970178,0.0,0.0,0.0,0.0,0.0,0.0,0.013916500994035701,0.0019880715705765,0.0119284294234592,0.0089463220675944,0.0089463220675944,0.0,0.0,0.0,0.0,0.0308151093439363,0.0159045725646123,0.014910536779324,0.0308151093439363,0.014910536779324,0.0159045725646123,0.0,0.0,0.0,0.0009940357852882,0.0,0.0009940357852882,0.0129224652087474,0.0119284294234592,0.0009940357852882,0.0089463220675944,0.0059642147117296,0.0029821073558648,0.0,0.0,0.0,0.004970178926441199,0.0009940357852882,0.003976143141153,0.003976143141153,0.0019880715705765,0.0019880715705765,0.0129224652087474,0.0109343936381709,0.0019880715705765,275
