date,year,month,-999,cr_-999,nr_-999,activism,cr_activism,nr_activism,arrest,cr_arrest,nr_arrest,censor,cr_censor,nr_censor,cooperate,cr_cooperate,nr_cooperate,corruption,cr_corruption,nr_corruption,coup,cr_coup,nr_coup,defamationcase,cr_defamationcase,nr_defamationcase,disaster,cr_disaster,nr_disaster,electionactivity,cr_electionactivity,nr_electionactivity,electionirregularities,cr_electionirregularities,nr_electionirregularities,legalaction,cr_legalaction,nr_legalaction,legalchange,cr_legalchange,nr_legalchange,martiallaw,cr_martiallaw,nr_martiallaw,mobilizesecurity,cr_mobilizesecurity,nr_mobilizesecurity,protest,cr_protest,nr_protest,purge,cr_purge,nr_purge,raid,cr_raid,nr_raid,threaten,cr_threaten,nr_threaten,violencelethal,cr_violencelethal,nr_violencelethal,violencenonlethal,cr_violencenonlethal,nr_violencenonlethal,-999Norm,cr_-999Norm,nr_-999Norm,activismNorm,cr_activismNorm,nr_activismNorm,arrestNorm,cr_arrestNorm,nr_arrestNorm,censorNorm,cr_censorNorm,nr_censorNorm,cooperateNorm,cr_cooperateNorm,nr_cooperateNorm,corruptionNorm,cr_corruptionNorm,nr_corruptionNorm,coupNorm,cr_coupNorm,nr_coupNorm,defamationcaseNorm,cr_defamationcaseNorm,nr_defamationcaseNorm,disasterNorm,cr_disasterNorm,nr_disasterNorm,electionactivityNorm,cr_electionactivityNorm,nr_electionactivityNorm,electionirregularitiesNorm,cr_electionirregularitiesNorm,nr_electionirregularitiesNorm,legalactionNorm,cr_legalactionNorm,nr_legalactionNorm,legalchangeNorm,cr_legalchangeNorm,nr_legalchangeNorm,martiallawNorm,cr_martiallawNorm,nr_martiallawNorm,mobilizesecurityNorm,cr_mobilizesecurityNorm,nr_mobilizesecurityNorm,protestNorm,cr_protestNorm,nr_protestNorm,purgeNorm,cr_purgeNorm,nr_purgeNorm,raidNorm,cr_raidNorm,nr_raidNorm,threatenNorm,cr_threatenNorm,nr_threatenNorm,violencelethalNorm,cr_violencelethalNorm,nr_violencelethalNorm,violencenonlethalNorm,cr_violencenonlethalNorm,nr_violencenonlethalNorm,total_articles
2012-01-01,2012,1,154,29,125,0,0,0,2,1,1,0,0,0,10,6,4,1,0,1,0,0,0,0,0,0,2,0,2,4,4,0,0,0,0,1,1,0,7,1,6,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.8415300546448087,0.1584699453551912,0.6830601092896175,0.0,0.0,0.0,0.0109289617486338,0.0054644808743169,0.0054644808743169,0.0,0.0,0.0,0.0546448087431693,0.0327868852459016,0.0218579234972677,0.0054644808743169,0.0,0.0054644808743169,0.0,0.0,0.0,0.0,0.0,0.0,0.0109289617486338,0.0,0.0109289617486338,0.0218579234972677,0.0218579234972677,0.0,0.0,0.0,0.0,0.0054644808743169,0.0054644808743169,0.0,0.0382513661202185,0.0054644808743169,0.0327868852459016,0.0,0.0,0.0,0.0,0.0,0.0,0.0054644808743169,0.0054644808743169,0.0,0.0054644808743169,0.0,0.0054644808743169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43
2012-02-01,2012,2,148,27,121,0,0,0,1,1,0,0,0,0,13,8,5,0,0,0,0,0,0,0,0,0,3,2,1,1,1,0,1,0,1,0,0,0,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1,1,0.8457142857142856,0.1542857142857142,0.6914285714285714,0.0,0.0,0.0,0.0057142857142857,0.0057142857142857,0.0,0.0,0.0,0.0,0.0742857142857142,0.0457142857142857,0.0285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017142857142857102,0.0114285714285714,0.0057142857142857,0.0057142857142857,0.0057142857142857,0.0,0.0057142857142857,0.0,0.0057142857142857,0.0,0.0,0.0,0.0285714285714285,0.0057142857142857,0.0228571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0057142857142857,0.0057142857142857,0.0,0.0,0.0,0.0,0.0114285714285714,0.0057142857142857,0.0057142857142857,42
2012-03-01,2012,3,174,32,142,0,0,0,2,1,1,1,1,0,13,6,7,1,1,0,0,0,0,0,0,0,1,1,0,2,2,0,1,1,0,2,1,1,7,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0.8405797101449275,0.1545893719806763,0.6859903381642513,0.0,0.0,0.0,0.0096618357487922,0.0048309178743961,0.0048309178743961,0.0048309178743961,0.0048309178743961,0.0,0.0628019323671497,0.0289855072463768,0.0338164251207729,0.0048309178743961,0.0048309178743961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048309178743961,0.0048309178743961,0.0,0.0096618357487922,0.0096618357487922,0.0,0.0048309178743961,0.0048309178743961,0.0,0.0096618357487922,0.0048309178743961,0.0048309178743961,0.0338164251207728,0.0096618357487922,0.0241545893719806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0144927536231884,0.0144927536231884,0.0,0.0,0.0,0.0,51
2012-04-01,2012,4,193,34,159,0,0,0,2,2,0,0,0,0,12,4,8,1,1,0,0,0,0,0,0,0,4,0,4,0,0,0,1,1,0,2,2,0,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8812785388127854,0.1552511415525114,0.726027397260274,0.0,0.0,0.0,0.0091324200913242,0.0091324200913242,0.0,0.0,0.0,0.0,0.0547945205479452,0.0182648401826484,0.0365296803652968,0.0045662100456621,0.0045662100456621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0182648401826484,0.0,0.0182648401826484,0.0,0.0,0.0,0.0045662100456621,0.0045662100456621,0.0,0.0091324200913242,0.0091324200913242,0.0,0.0228310502283105,0.0045662100456621,0.0182648401826484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44
2012-05-01,2012,5,200,37,163,0,0,0,1,0,1,0,0,0,16,8,8,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,0,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0.8849557522123894,0.163716814159292,0.7212389380530974,0.0,0.0,0.0,0.0044247787610619,0.0,0.0044247787610619,0.0,0.0,0.0,0.070796460176991,0.0353982300884955,0.0353982300884955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0044247787610619,0.0044247787610619,0.0,0.0044247787610619,0.0,0.0044247787610619,0.0,0.0,0.0,0.0044247787610619,0.0044247787610619,0.0,0.0176991150442477,0.0044247787610619,0.0132743362831858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0044247787610619,0.0044247787610619,0.0,0.0,0.0,0.0,0.0044247787610619,0.0,0.0044247787610619,49
2012-06-01,2012,6,193,42,151,0,0,0,2,0,2,0,0,0,18,11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,3,1,2,0,0,0,2,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0.865470852017937,0.1883408071748878,0.6771300448430493,0.0,0.0,0.0,0.0089686098654708,0.0,0.0089686098654708,0.0,0.0,0.0,0.0807174887892375,0.0493273542600896,0.0313901345291479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0089686098654708,0.0089686098654708,0.0,0.013452914798206199,0.0044843049327354,0.0089686098654708,0.0,0.0,0.0,0.0089686098654708,0.0044843049327354,0.0044843049327354,0.0,0.0,0.0,0.0044843049327354,0.0,0.0044843049327354,0.0,0.0,0.0,0.0044843049327354,0.0,0.0044843049327354,0.0,0.0,0.0,0.0,0.0,0.0,57
2012-07-01,2012,7,393,88,305,1,1,0,7,3,4,1,1,0,24,19,5,4,2,2,0,0,0,1,1,0,10,6,4,0,0,0,0,0,0,5,3,2,14,2,12,0,0,0,0,0,0,0,0,0,4,3,1,3,2,1,0,0,0,1,1,0,4,4,0,0.8361702127659574,0.1872340425531914,0.648936170212766,0.002127659574468,0.002127659574468,0.0,0.014893617021276501,0.0063829787234042,0.0085106382978723,0.002127659574468,0.002127659574468,0.0,0.051063829787234,0.0404255319148936,0.0106382978723404,0.0085106382978722,0.0042553191489361,0.0042553191489361,0.0,0.0,0.0,0.002127659574468,0.002127659574468,0.0,0.0212765957446808,0.0127659574468085,0.0085106382978723,0.0,0.0,0.0,0.0,0.0,0.0,0.0106382978723403,0.0063829787234042,0.0042553191489361,0.0297872340425531,0.0042553191489361,0.025531914893617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0085106382978722,0.0063829787234042,0.002127659574468,0.0063829787234041,0.0042553191489361,0.002127659574468,0.0,0.0,0.0,0.002127659574468,0.002127659574468,0.0,0.0085106382978723,0.0085106382978723,0.0,134
2012-08-01,2012,8,382,80,302,1,0,1,1,1,0,0,0,0,17,15,2,5,1,4,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,9,4,5,16,12,4,0,0,0,3,2,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0.8701594533029612,0.1822323462414578,0.6879271070615034,0.0022779043280182,0.0,0.0022779043280182,0.0022779043280182,0.0022779043280182,0.0,0.0,0.0,0.0,0.0387243735763097,0.0341685649202733,0.0045558086560364,0.011389521640091,0.0022779043280182,0.0091116173120728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068337129840546,0.0068337129840546,0.0,0.0,0.0,0.0,0.0205011389521639,0.0091116173120728,0.0113895216400911,0.0364464692482914,0.0273348519362186,0.0091116173120728,0.0,0.0,0.0,0.0068337129840546,0.0045558086560364,0.0022779043280182,0.0022779043280182,0.0022779043280182,0.0,0.0022779043280182,0.0022779043280182,0.0,0.0,0.0,0.0,0.0022779043280182,0.0022779043280182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120
2012-09-01,2012,9,264,46,218,0,0,0,1,0,1,0,0,0,33,28,5,7,2,5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,8,3,5,13,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.8224299065420559,0.1433021806853582,0.6791277258566978,0.0,0.0,0.0,0.0031152647975077,0.0,0.0031152647975077,0.0,0.0,0.0,0.1028037383177569,0.087227414330218,0.0155763239875389,0.021806853582554398,0.0062305295950155,0.0155763239875389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031152647975077,0.0031152647975077,0.0,0.0,0.0,0.0,0.024922118380062197,0.0093457943925233,0.0155763239875389,0.0404984423676011,0.0093457943925233,0.0311526479750778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031152647975077,0.0031152647975077,0.0,82
2012-10-01,2012,10,277,57,220,1,1,0,5,0,5,0,0,0,32,20,12,8,5,3,0,0,0,0,0,0,1,1,0,2,2,0,0,0,0,8,5,3,10,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.8195266272189348,0.1686390532544378,0.650887573964497,0.0029585798816568,0.0029585798816568,0.0,0.014792899408284,0.0,0.014792899408284,0.0,0.0,0.0,0.0946745562130176,0.059171597633136,0.0355029585798816,0.0236686390532544,0.014792899408284,0.0088757396449704,0.0,0.0,0.0,0.0,0.0,0.0,0.0029585798816568,0.0029585798816568,0.0,0.0059171597633136,0.0059171597633136,0.0,0.0,0.0,0.0,0.0236686390532544,0.014792899408284,0.0088757396449704,0.029585798816568,0.0029585798816568,0.0266272189349112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029585798816568,0.0,0.0029585798816568,88
