date,year,month,-999,cr_-999,nr_-999,activism,cr_activism,nr_activism,arrest,cr_arrest,nr_arrest,censor,cr_censor,nr_censor,cooperate,cr_cooperate,nr_cooperate,corruption,cr_corruption,nr_corruption,coup,cr_coup,nr_coup,defamationcase,cr_defamationcase,nr_defamationcase,disaster,cr_disaster,nr_disaster,electionactivity,cr_electionactivity,nr_electionactivity,electionirregularities,cr_electionirregularities,nr_electionirregularities,legalaction,cr_legalaction,nr_legalaction,legalchange,cr_legalchange,nr_legalchange,martiallaw,cr_martiallaw,nr_martiallaw,mobilizesecurity,cr_mobilizesecurity,nr_mobilizesecurity,protest,cr_protest,nr_protest,purge,cr_purge,nr_purge,raid,cr_raid,nr_raid,threaten,cr_threaten,nr_threaten,violencelethal,cr_violencelethal,nr_violencelethal,violencenonlethal,cr_violencenonlethal,nr_violencenonlethal,-999Norm,cr_-999Norm,nr_-999Norm,activismNorm,cr_activismNorm,nr_activismNorm,arrestNorm,cr_arrestNorm,nr_arrestNorm,censorNorm,cr_censorNorm,nr_censorNorm,cooperateNorm,cr_cooperateNorm,nr_cooperateNorm,corruptionNorm,cr_corruptionNorm,nr_corruptionNorm,coupNorm,cr_coupNorm,nr_coupNorm,defamationcaseNorm,cr_defamationcaseNorm,nr_defamationcaseNorm,disasterNorm,cr_disasterNorm,nr_disasterNorm,electionactivityNorm,cr_electionactivityNorm,nr_electionactivityNorm,electionirregularitiesNorm,cr_electionirregularitiesNorm,nr_electionirregularitiesNorm,legalactionNorm,cr_legalactionNorm,nr_legalactionNorm,legalchangeNorm,cr_legalchangeNorm,nr_legalchangeNorm,martiallawNorm,cr_martiallawNorm,nr_martiallawNorm,mobilizesecurityNorm,cr_mobilizesecurityNorm,nr_mobilizesecurityNorm,protestNorm,cr_protestNorm,nr_protestNorm,purgeNorm,cr_purgeNorm,nr_purgeNorm,raidNorm,cr_raidNorm,nr_raidNorm,threatenNorm,cr_threatenNorm,nr_threatenNorm,violencelethalNorm,cr_violencelethalNorm,nr_violencelethalNorm,violencenonlethalNorm,cr_violencenonlethalNorm,nr_violencenonlethalNorm,total_articles
2012-01-01,2012,1,1182,264,918,15,9,6,48,19,29,2,1,1,38,24,14,52,32,20,4,4,0,4,3,1,41,2,39,30,29,1,1,1,0,125,62,63,35,13,22,0,0,0,6,4,2,38,35,3,19,14,5,11,2,9,17,12,5,11,3,8,33,12,21,0.7060931899641576,0.1577060931899641,0.5483870967741935,0.0089605734767025,0.0053763440860215,0.003584229390681,0.028673835125448,0.0113500597371565,0.0173237753882915,0.001194743130227,0.0005973715651135,0.0005973715651135,0.022700119474313,0.014336917562724,0.008363201911589,0.031063321385902003,0.019115890083632,0.01194743130227,0.002389486260454,0.002389486260454,0.0,0.002389486260454,0.0017921146953405,0.0005973715651135,0.0244922341696535,0.001194743130227,0.0232974910394265,0.017921146953405,0.0173237753882915,0.0005973715651135,0.0005973715651135,0.0005973715651135,0.0,0.0746714456391875,0.037037037037037,0.0376344086021505,0.0209080047789725,0.0077658303464755,0.013142174432497,0.0,0.0,0.0,0.003584229390681,0.002389486260454,0.001194743130227,0.022700119474313,0.0209080047789725,0.0017921146953405,0.0113500597371565,0.008363201911589,0.0029868578255675,0.0065710872162485,0.001194743130227,0.0053763440860215,0.0101553166069295,0.007168458781362,0.0029868578255675,0.0065710872162485,0.0017921146953405,0.004778972520908,0.0197132616487455,0.007168458781362,0.0125448028673835,521
2012-02-01,2012,2,1504,365,1139,17,9,8,72,29,43,18,17,1,63,30,33,104,69,35,7,5,2,4,1,3,34,4,30,21,20,1,7,7,0,137,62,75,69,46,23,2,2,0,2,1,1,20,16,4,26,21,5,7,3,4,19,15,4,14,5,9,29,8,21,0.7127962085308056,0.1729857819905213,0.5398104265402843,0.008056872037914501,0.0042654028436018,0.0037914691943127,0.034123222748815,0.0137440758293838,0.0203791469194312,0.0085308056872036,0.0080568720379146,0.000473933649289,0.0298578199052131,0.0142180094786729,0.0156398104265402,0.04928909952606621,0.0327014218009478,0.0165876777251184,0.0033175355450235,0.0023696682464454,0.0009478672985781,0.0018957345971562,0.000473933649289,0.0014218009478672,0.0161137440758292,0.0018957345971563,0.0142180094786729,0.0099526066350709,0.0094786729857819,0.000473933649289,0.0033175355450236,0.0033175355450236,0.0,0.0649289099526065,0.0293838862559241,0.0355450236966824,0.032701421800947705,0.0218009478672985,0.0109004739336492,0.0009478672985781,0.0009478672985781,0.0,0.000947867298578,0.000473933649289,0.000473933649289,0.0094786729857818,0.0075829383886255,0.0018957345971563,0.0123222748815164,0.009952606635071,0.0023696682464454,0.0033175355450235002,0.0014218009478672,0.0018957345971563,0.0090047393364927,0.0071090047393364,0.0018957345971563,0.0066350710900472,0.0023696682464454,0.0042654028436018,0.0137440758293837,0.0037914691943127,0.009952606635071,695
2012-03-01,2012,3,1805,438,1367,18,12,6,86,29,57,4,4,0,64,27,37,96,63,33,12,12,0,5,3,2,22,5,17,27,25,2,9,9,0,190,113,77,75,49,26,1,1,0,4,2,2,18,13,5,30,22,8,19,11,8,18,14,4,22,3,19,33,14,19,0.72373696872494,0.1756214915797915,0.5481154771451484,0.0072173215717721995,0.0048115477145148,0.0024057738572574,0.0344827586206895,0.0116279069767441,0.0228548516439454,0.0016038492381716,0.0016038492381716,0.0,0.0256615878107457,0.0108259823576583,0.0148356054530874,0.038492381716118504,0.0252606255012028,0.0132317562149157,0.0048115477145148,0.0048115477145148,0.0,0.0020048115477145,0.0012028869286287,0.0008019246190858,0.0088211708099438,0.0020048115477145,0.0068163592622293,0.0108259823576583,0.0100240577385725,0.0008019246190858,0.0036086607858861,0.0036086607858861,0.0,0.0761828388131515,0.045308740978348,0.0308740978348035,0.0300721732157176,0.0196471531676022,0.0104250200481154,0.0004009623095429,0.0004009623095429,0.0,0.0016038492381716,0.0008019246190858,0.0008019246190858,0.0072173215717722,0.0052125100240577,0.0020048115477145,0.012028869286286999,0.0088211708099438,0.0032076984763432,0.007618283881315099,0.0044105854049719,0.0032076984763432,0.0072173215717721995,0.0056134723336006,0.0016038492381716,0.0088211708099438,0.0012028869286287,0.0076182838813151,0.0132317562149157,0.0056134723336006,0.0076182838813151,830
2012-04-01,2012,4,1523,396,1127,12,8,4,58,21,37,4,3,1,36,18,18,62,36,26,4,3,1,1,0,1,26,4,22,22,20,2,5,5,0,135,56,79,61,35,26,0,0,0,4,0,4,20,13,7,24,16,8,3,0,3,13,8,5,10,4,6,36,17,19,0.7550818046603867,0.196331184928111,0.5587506197322757,0.0059494298463063,0.0039662865642042,0.0019831432821021,0.0287555775904808,0.0104115022310361,0.0183440753594447,0.001983143282102,0.0014873574615765,0.0004957858205255,0.017848289538919,0.0089241447694595,0.0089241447694595,0.0307387208725829,0.0178482895389191,0.0128904313336638,0.001983143282102,0.0014873574615765,0.0004957858205255,0.0004957858205255,0.0,0.0004957858205255,0.0128904313336638,0.0019831432821021,0.0109072880515617,0.0109072880515616,0.0099157164105106,0.000991571641051,0.0024789291026276,0.0024789291026276,0.0,0.06693108577094689,0.0277640059494298,0.0391670798215171,0.0302429350520574,0.0173525037183936,0.0128904313336638,0.0,0.0,0.0,0.0019831432821021,0.0,0.0019831432821021,0.0099157164105106,0.0064452156668319,0.0034705007436787,0.0118988596926127,0.0079325731284085,0.0039662865642042,0.0014873574615765,0.0,0.0014873574615765,0.0064452156668318005,0.0039662865642042,0.0024789291026276,0.0049578582052552,0.0019831432821021,0.0029747149231531,0.0178482895389191,0.008428358948934,0.0094199305899851,643
2012-05-01,2012,5,1488,390,1098,13,9,4,56,18,38,6,6,0,61,35,26,50,23,27,3,3,0,0,0,0,28,3,25,27,25,2,13,13,0,128,57,71,83,53,30,0,0,0,3,1,2,13,13,0,13,8,5,5,3,2,20,15,5,19,6,13,38,15,23,0.7312039312039311,0.1916461916461916,0.5395577395577396,0.006388206388206301,0.0044226044226044,0.0019656019656019,0.027518427518427403,0.0088452088452088,0.0186732186732186,0.0029484029484029,0.0029484029484029,0.0,0.0299754299754299,0.0171990171990172,0.0127764127764127,0.024570024570024503,0.0113022113022113,0.0132678132678132,0.0014742014742014,0.0014742014742014,0.0,0.0,0.0,0.0,0.0137592137592136,0.0014742014742014,0.0122850122850122,0.0132678132678131,0.0122850122850122,0.0009828009828009,0.0063882063882063,0.0063882063882063,0.0,0.0628992628992628,0.028009828009828,0.0348894348894348,0.0407862407862407,0.026044226044226,0.0147420147420147,0.0,0.0,0.0,0.0014742014742012998,0.0004914004914004,0.0009828009828009,0.0063882063882063,0.0063882063882063,0.0,0.0063882063882063,0.0039312039312039,0.0024570024570024,0.0024570024570023,0.0014742014742014,0.0009828009828009,0.009828009828009701,0.0073710073710073,0.0024570024570024,0.0093366093366092,0.0029484029484029,0.0063882063882063,0.0186732186732186,0.0073710073710073,0.0113022113022113,683
2012-06-01,2012,6,1375,341,1034,20,15,5,38,11,27,2,1,1,50,27,23,51,33,18,5,5,0,5,4,1,18,0,18,26,24,2,9,9,0,132,70,62,36,17,19,0,0,0,5,3,2,18,15,3,24,19,5,3,1,2,13,9,4,28,7,21,24,9,15,0.7456616052060737,0.1849240780911062,0.5607375271149675,0.010845986984815599,0.0081344902386117,0.0027114967462039,0.0206073752711495,0.0059652928416485,0.014642082429501,0.0010845986984814,0.0005422993492407,0.0005422993492407,0.0271149674620389,0.014642082429501,0.0124728850325379,0.027657266811279696,0.0178958785249457,0.009761388286334,0.0027114967462039,0.0027114967462039,0.0,0.0027114967462038,0.0021691973969631,0.0005422993492407,0.009761388286334,0.0,0.009761388286334,0.014099783080260199,0.0130151843817787,0.0010845986984815,0.004880694143167,0.004880694143167,0.0,0.071583514099783,0.0379609544468546,0.0336225596529284,0.019522776572668002,0.0092190889370932,0.0103036876355748,0.0,0.0,0.0,0.0027114967462038,0.0016268980477223,0.0010845986984815,0.009761388286334,0.0081344902386117,0.0016268980477223,0.0130151843817787,0.0103036876355748,0.0027114967462039,0.0016268980477222002,0.0005422993492407,0.0010845986984815,0.0070498915401300995,0.004880694143167,0.0021691973969631,0.0151843817787418,0.0037960954446854,0.0113882863340564,0.013015184381778698,0.004880694143167,0.0081344902386117,596
2012-07-01,2012,7,1568,388,1180,13,9,4,55,19,36,2,2,0,36,21,15,63,28,35,3,3,0,1,1,0,21,5,16,26,25,1,14,14,0,125,55,70,82,52,30,5,3,2,3,1,2,20,17,3,29,22,7,2,1,1,27,21,6,21,3,18,30,11,19,0.7427759355755565,0.1837991473235433,0.5589767882520132,0.0061582188536238,0.004263382283278,0.0018948365703458,0.0260540028422547,0.0090004737091425,0.0170535291331122,0.0009474182851729,0.0009474182851729,0.0,0.0170535291331121,0.0099478919943154,0.0071056371387967,0.029843675982946398,0.0132638559924206,0.0165798199905258,0.0014211274277593,0.0014211274277593,0.0,0.0004737091425864,0.0004737091425864,0.0,0.009947891994315401,0.0023685457129322,0.0075793462813832,0.0123164377072476,0.0118427285646612,0.0004737091425864,0.0066319279962103,0.0066319279962103,0.0,0.0592136428233064,0.0260540028422548,0.0331596399810516,0.038844149692089,0.0246328754144955,0.0142112742775935,0.0023685457129322,0.0014211274277593,0.0009474182851729,0.0014211274277593,0.0004737091425864,0.0009474182851729,0.0094741828517289,0.0080530554239696,0.0014211274277593,0.013737565135007,0.0104216011369019,0.0033159639981051,0.0009474182851728,0.0004737091425864,0.0004737091425864,0.0127901468498341,0.0099478919943154,0.0028422548555187,0.0099478919943154,0.0014211274277593,0.0085267645665561,0.014211274277593399,0.0052108005684509,0.0090004737091425,686
2012-08-01,2012,8,2038,446,1592,19,13,6,61,9,52,3,3,0,54,23,31,77,43,34,7,6,1,5,4,1,24,2,22,15,14,1,17,16,1,138,49,89,120,81,39,1,0,1,7,4,3,13,13,0,26,20,6,7,5,2,29,23,6,20,2,18,42,13,29,0.7641544806899138,0.1672290963629546,0.5969253843269592,0.0071241094863141,0.0048743907011623,0.0022497187851518,0.0228721409823771,0.0033745781777277,0.0194975628046494,0.0011248593925759,0.0011248593925759,0.0,0.020247469066366597,0.0086239220097487,0.0116235470566179,0.028871391076115402,0.0161229846269216,0.0127484064491938,0.0026246719160103998,0.0022497187851518,0.0003749531308586,0.0018747656542931002,0.0014998125234345,0.0003749531308586,0.0089988751406073,0.0007499062617172,0.0082489688788901,0.0056242969628795,0.0052493438320209,0.0003749531308586,0.0063742032245968,0.0059992500937382,0.0003749531308586,0.0517435320584925,0.0183727034120734,0.0333708286464191,0.044994375703037,0.03037120359955,0.014623172103487,0.0003749531308586,0.0,0.0003749531308586,0.0026246719160103998,0.0014998125234345,0.0011248593925759,0.0048743907011623,0.0048743907011623,0.0,0.009748781402324599,0.0074990626171728,0.0022497187851518,0.0026246719160103998,0.0018747656542932,0.0007499062617172,0.0108736407949005,0.0086239220097487,0.0022497187851518,0.0074990626171727,0.0007499062617172,0.0067491563554555,0.0157480314960629,0.0048743907011623,0.0108736407949006,757
2012-09-01,2012,9,1461,322,1139,14,8,6,40,9,31,6,5,1,56,23,33,56,33,23,7,3,4,4,4,0,20,1,19,34,33,1,12,12,0,132,60,72,65,47,18,0,0,0,4,1,3,21,16,5,14,8,6,13,7,6,12,7,5,6,0,6,44,21,23,0.7356495468277946,0.162134944612286,0.5735146022155085,0.0070493454179254,0.0040281973816717,0.0030211480362537,0.0201409869083584,0.0045317220543806,0.0156092648539778,0.0030211480362536997,0.0025176233635448,0.0005035246727089,0.0281973816717018,0.0115810674723061,0.0166163141993957,0.0281973816717018,0.0166163141993957,0.0115810674723061,0.0035246727089626,0.0015105740181268,0.0020140986908358,0.0020140986908358,0.0020140986908358,0.0,0.0100704934541791,0.0005035246727089,0.0095669687814702,0.017119838872104602,0.0166163141993957,0.0005035246727089,0.0060422960725075,0.0060422960725075,0.0,0.066465256797583,0.0302114803625377,0.0362537764350453,0.0327291037260825,0.0236656596173212,0.0090634441087613,0.0,0.0,0.0,0.0020140986908357,0.0005035246727089,0.0015105740181268,0.0105740181268882,0.0080563947633434,0.0025176233635448,0.0070493454179254,0.0040281973816717,0.0030211480362537,0.0065458207452164,0.0035246727089627,0.0030211480362537,0.0060422960725075,0.0035246727089627,0.0025176233635448,0.0030211480362537,0.0,0.0030211480362537,0.0221550855991943,0.0105740181268882,0.0115810674723061,599
2012-10-01,2012,10,1919,460,1459,17,14,3,62,24,38,5,3,2,59,30,29,81,53,28,11,11,0,8,6,2,23,2,21,57,52,5,15,15,0,131,61,70,81,54,27,1,0,1,7,3,4,22,16,6,10,9,1,11,9,2,19,17,2,18,2,16,37,12,25,0.7546205269366889,0.1808887141171844,0.5737318128195045,0.006685017695635001,0.005505308690523,0.001179709005112,0.024380652772316,0.0094376720408965,0.0149429807314195,0.0019661816751867,0.001179709005112,0.0007864726700747,0.023200943767204,0.0117970900511207,0.0114038537160833,0.031852143138025896,0.0208415257569799,0.011010617381046,0.0043255996854109,0.0043255996854109,0.0,0.0031458906802988,0.0023594180102241,0.0007864726700747,0.009044435705859201,0.0007864726700747,0.0082579630357845,0.0224144710971292,0.0204482894219425,0.0019661816751867,0.0058985450255603,0.0058985450255603,0.0,0.0515139598898938,0.0239874164372788,0.027526543452615,0.0318521431380259,0.0212347620920173,0.0106173810460086,0.0003932363350373,0.0,0.0003932363350373,0.0027526543452614,0.001179709005112,0.0015729453401494,0.0086511993708218,0.0062917813605977,0.0023594180102241,0.0039323633503735005,0.0035391270153362,0.0003932363350373,0.0043255996854109,0.0035391270153362,0.0007864726700747,0.007471490365709699,0.006685017695635,0.0007864726700747,0.0070782540306723995,0.0007864726700747,0.0062917813605977,0.0145497443963821,0.0047188360204482,0.0098309083759339,824
