date,year,month,sudden-onset environmental disaster,environmental cooperation,environmental government initiatives,environmental security,environmental -999,environmental arrest,human-induced disaster,displacement,-999,environmental legal action,environmental opinion,slow-onset environmental disaster,environmental corruption,environmental crime,environmental legal change,environmental activism,environmental corporate initiatives,lethal environmental violence,environmental protests,nonlethal environmental violence,total_articles,total_from_source,total_label_events,total_local_docs,sudden-onset environmental disasterNorm,environmental cooperationNorm,environmental government initiativesNorm,environmental securityNorm,environmental -999Norm,environmental arrestNorm,human-induced disasterNorm,displacementNorm,-999Norm,environmental legal actionNorm,environmental opinionNorm,slow-onset environmental disasterNorm,environmental corruptionNorm,environmental crimeNorm,environmental legal changeNorm,environmental activismNorm,environmental corporate initiativesNorm,lethal environmental violenceNorm,environmental protestsNorm,nonlethal environmental violenceNorm
2012-01-01,2012,1,3,0,1,0,4,0,1,0,5,0,1,0,0,0,2,0,0,0,1,0,17,17,18,1132,0.0026501766784452,0.0,0.0008833922261484,0.0,0.0035335689045936,0.0,0.0008833922261484,0.0,0.004416961130742,0.0,0.0008833922261484,0.0,0.0,0.0,0.0017667844522968,0.0,0.0,0.0,0.0008833922261484,0.0
2012-02-01,2012,2,2,0,0,0,2,0,1,1,7,3,1,0,0,0,0,0,0,0,0,0,16,16,17,1133,0.0017652250661959,0.0,0.0,0.0,0.0017652250661959,0.0,0.0008826125330979,0.0008826125330979,0.0061782877316857,0.0026478375992939,0.0008826125330979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-01,2012,3,1,0,0,0,0,0,0,0,2,1,1,1,1,3,0,0,0,0,0,0,10,10,10,1327,0.0007535795026375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001507159005275,0.0007535795026375,0.0007535795026375,0.0007535795026375,0.0007535795026375,0.0022607385079125,0.0,0.0,0.0,0.0,0.0,0.0
2012-04-01,2012,4,1,0,1,0,0,1,4,0,3,1,0,0,1,1,0,0,0,0,1,0,14,14,14,1319,0.0007581501137225,0.0,0.0007581501137225,0.0,0.0,0.0007581501137225,0.00303260045489,0.0,0.0022744503411675,0.0007581501137225,0.0,0.0,0.0007581501137225,0.0007581501137225,0.0,0.0,0.0,0.0,0.0007581501137225,0.0
2012-05-01,2012,5,4,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,8,8,9,1270,0.0031496062992125,0.0,0.0,0.0,0.0015748031496062,0.0,0.0015748031496062,0.0,0.0007874015748031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-06-01,2012,6,3,0,0,0,3,0,3,0,0,0,0,1,0,0,2,1,0,0,3,0,14,14,16,1155,0.0025974025974025,0.0,0.0,0.0,0.0025974025974025,0.0,0.0025974025974025,0.0,0.0,0.0,0.0,0.0008658008658008,0.0,0.0,0.0017316017316017,0.0008658008658008,0.0,0.0,0.0025974025974025,0.0
2012-07-01,2012,7,0,0,1,0,3,0,1,0,3,0,2,1,0,1,0,0,0,1,0,0,11,11,13,1354,0.0,0.0,0.000738552437223,0.0,0.0022156573116691,0.0,0.000738552437223,0.0,0.0022156573116691,0.0,0.001477104874446,0.000738552437223,0.0,0.000738552437223,0.0,0.0,0.0,0.000738552437223,0.0,0.0
2012-08-01,2012,8,2,0,0,0,2,0,8,0,2,0,2,0,1,0,0,0,0,0,0,0,15,15,17,1413,0.0014154281670205,0.0,0.0,0.0,0.0014154281670205,0.0,0.005661712668082,0.0,0.0014154281670205,0.0,0.0014154281670205,0.0,0.0007077140835102,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-09-01,2012,9,1,1,0,0,3,0,4,0,2,0,2,1,0,0,1,0,0,0,1,0,13,13,16,1758,0.0005688282138794,0.0005688282138794,0.0,0.0,0.0017064846416382,0.0,0.0022753128555176,0.0,0.0011376564277588,0.0,0.0011376564277588,0.0005688282138794,0.0,0.0,0.0005688282138794,0.0,0.0,0.0,0.0005688282138794,0.0
2012-10-01,2012,10,4,0,2,0,0,0,3,0,1,0,3,0,0,0,0,0,0,0,0,0,12,12,13,1804,0.0022172949002217,0.0,0.0011086474501108,0.0,0.0,0.0,0.0016629711751662,0.0,0.0005543237250554,0.0,0.0016629711751662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
