date,year,month,sudden-onset environmental disaster,environmental cooperation,environmental government initiatives,environmental security,environmental -999,environmental arrest,human-induced disaster,displacement,-999,environmental legal action,environmental opinion,slow-onset environmental disaster,environmental corruption,environmental crime,environmental legal change,environmental activism,environmental corporate initiatives,lethal environmental violence,environmental protests,nonlethal environmental violence,total_articles,total_from_source,total_label_events,total_local_docs,sudden-onset environmental disasterNorm,environmental cooperationNorm,environmental government initiativesNorm,environmental securityNorm,environmental -999Norm,environmental arrestNorm,human-induced disasterNorm,displacementNorm,-999Norm,environmental legal actionNorm,environmental opinionNorm,slow-onset environmental disasterNorm,environmental corruptionNorm,environmental crimeNorm,environmental legal changeNorm,environmental activismNorm,environmental corporate initiativesNorm,lethal environmental violenceNorm,environmental protestsNorm,nonlethal environmental violenceNorm
2012-01-01,2012,1,0,0,1,0,1,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,10,10,10,1443,0.0,0.0,0.0006930006930006,0.0,0.0006930006930006,0.0,0.002079002079002,0.0,0.0034650034650034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-01,2012,2,10,0,0,0,4,1,6,1,12,0,1,0,0,0,0,0,0,0,0,1,30,30,36,1210,0.0082644628099173,0.0,0.0,0.0,0.0033057851239669,0.0008264462809917,0.0049586776859504,0.0008264462809917,0.0099173553719008,0.0,0.0008264462809917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008264462809917
2012-03-01,2012,3,2,2,1,0,2,0,1,1,3,0,1,1,0,0,0,0,0,0,0,0,12,12,14,1466,0.0013642564802182,0.0013642564802182,0.0006821282401091,0.0,0.0013642564802182,0.0,0.0006821282401091,0.0006821282401091,0.0020463847203274,0.0,0.0006821282401091,0.0006821282401091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-04-01,2012,4,2,0,1,0,2,0,4,1,4,0,2,3,0,0,0,0,0,0,0,0,15,15,19,1520,0.0013157894736842,0.0,0.0006578947368421,0.0,0.0013157894736842,0.0,0.0026315789473684,0.0006578947368421,0.0026315789473684,0.0,0.0013157894736842,0.0019736842105263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-05-01,2012,5,1,0,0,0,4,0,3,0,1,0,0,1,0,0,0,1,0,0,0,1,12,12,12,1717,0.0005824111822947,0.0,0.0,0.0,0.0023296447291788,0.0,0.0017472335468841,0.0,0.0005824111822947,0.0,0.0,0.0005824111822947,0.0,0.0,0.0,0.0005824111822947,0.0,0.0,0.0,0.0005824111822947
2012-06-01,2012,6,2,0,3,0,6,0,6,0,7,0,3,1,0,1,0,1,1,0,1,0,25,25,32,1764,0.0011337868480725,0.0,0.0017006802721088,0.0,0.0034013605442176,0.0,0.0034013605442176,0.0,0.0039682539682539,0.0,0.0017006802721088,0.0005668934240362,0.0,0.0005668934240362,0.0,0.0005668934240362,0.0005668934240362,0.0,0.0005668934240362,0.0
2012-07-01,2012,7,1,0,1,0,2,0,5,1,4,0,1,2,0,0,0,0,0,0,1,0,15,15,18,1809,0.0005527915975677,0.0,0.0005527915975677,0.0,0.0011055831951354,0.0,0.0027639579878385,0.0005527915975677,0.0022111663902708,0.0,0.0005527915975677,0.0011055831951354,0.0,0.0,0.0,0.0,0.0,0.0,0.0005527915975677,0.0
2012-08-01,2012,8,8,0,0,0,3,0,8,0,4,0,1,3,0,0,1,0,0,0,0,0,25,25,28,1378,0.0058055152394775,0.0,0.0,0.0,0.002177068214804,0.0,0.0058055152394775,0.0,0.0029027576197387,0.0,0.0007256894049346,0.002177068214804,0.0,0.0,0.0007256894049346,0.0,0.0,0.0,0.0,0.0
2012-09-01,2012,9,2,0,1,0,1,0,4,0,3,0,3,1,0,0,0,0,0,0,0,0,13,13,15,1487,0.0013449899125756,0.0,0.0006724949562878,0.0,0.0006724949562878,0.0,0.0026899798251513,0.0,0.0020174848688634,0.0,0.0020174848688634,0.0006724949562878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-10-01,2012,10,4,1,0,0,2,0,3,0,2,0,1,1,0,0,0,0,0,0,0,0,13,13,14,1557,0.0025690430314707,0.0006422607578676,0.0,0.0,0.0012845215157353,0.0,0.001926782273603,0.0,0.0012845215157353,0.0,0.0006422607578676,0.0006422607578676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
