date,year,month,sudden-onset environmental disaster,environmental cooperation,environmental government initiatives,environmental security,environmental -999,environmental arrest,human-induced disaster,displacement,-999,environmental legal action,environmental opinion,slow-onset environmental disaster,environmental corruption,environmental crime,environmental legal change,environmental activism,environmental corporate initiatives,lethal environmental violence,environmental protests,nonlethal environmental violence,total_articles,total_from_source,total_label_events,total_local_docs,sudden-onset environmental disasterNorm,environmental cooperationNorm,environmental government initiativesNorm,environmental securityNorm,environmental -999Norm,environmental arrestNorm,human-induced disasterNorm,displacementNorm,-999Norm,environmental legal actionNorm,environmental opinionNorm,slow-onset environmental disasterNorm,environmental corruptionNorm,environmental crimeNorm,environmental legal changeNorm,environmental activismNorm,environmental corporate initiativesNorm,lethal environmental violenceNorm,environmental protestsNorm,nonlethal environmental violenceNorm
2012-01-01,2012,1,5,2,1,0,5,0,4,0,4,2,6,4,0,0,0,1,0,0,0,0,27,27,34,4418,0.0011317338162064,0.0004526935264825,0.0002263467632412,0.0,0.0011317338162064,0.0,0.0009053870529651,0.0,0.0009053870529651,0.0004526935264825,0.0013580805794477,0.0009053870529651,0.0,0.0,0.0,0.0002263467632412,0.0,0.0,0.0,0.0
2012-02-01,2012,2,9,1,1,0,7,0,1,0,6,1,8,6,0,0,0,0,0,0,0,1,34,34,41,4939,0.0018222312208949,0.0002024701356549,0.0002024701356549,0.0,0.0014172909495849,0.0,0.0002024701356549,0.0,0.0012148208139299,0.0002024701356549,0.0016197610852399,0.0012148208139299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002024701356549
2012-03-01,2012,3,4,1,3,0,9,0,8,0,8,0,12,4,0,1,5,0,1,0,0,0,48,48,56,4973,0.0008043434546551,0.0002010858636637,0.0006032575909913,0.0,0.001809772772974,0.0,0.0016086869093102,0.0,0.0016086869093102,0.0,0.0024130303639654,0.0008043434546551,0.0,0.0002010858636637,0.0010054293183189,0.0,0.0002010858636637,0.0,0.0,0.0
2012-04-01,2012,4,6,1,3,0,2,0,5,0,6,0,6,3,0,1,0,2,0,0,0,0,31,31,35,4320,0.0013888888888888,0.0002314814814814,0.0006944444444444,0.0,0.0004629629629629,0.0,0.0011574074074074,0.0,0.0013888888888888,0.0,0.0013888888888888,0.0006944444444444,0.0,0.0002314814814814,0.0,0.0004629629629629,0.0,0.0,0.0,0.0
2012-05-01,2012,5,0,1,2,0,7,0,7,0,5,0,6,5,0,2,1,0,0,0,0,1,33,33,37,4696,0.0,0.0002129471890971,0.0004258943781942,0.0,0.0014906303236797,0.0,0.0014906303236797,0.0,0.0010647359454855,0.0,0.0012776831345826,0.0010647359454855,0.0,0.0004258943781942,0.0002129471890971,0.0,0.0,0.0,0.0,0.0002129471890971
2012-06-01,2012,6,6,0,1,0,8,0,2,0,10,2,8,4,0,1,0,1,0,0,0,0,39,39,43,4926,0.0012180267965895,0.0,0.0002030044660982,0.0,0.001624035728786,0.0,0.0004060089321965,0.0,0.0020300446609825,0.0004060089321965,0.001624035728786,0.000812017864393,0.0,0.0002030044660982,0.0,0.0002030044660982,0.0,0.0,0.0,0.0
2012-07-01,2012,7,19,0,4,0,6,0,9,0,5,0,12,6,0,0,1,0,0,0,0,0,57,57,62,4907,0.0038720195638883,0.0,0.0008151620134501,0.0,0.0012227430201752,0.0,0.0018341145302628,0.0,0.0010189525168127,0.0,0.0024454860403505,0.0012227430201752,0.0,0.0,0.0002037905033625,0.0,0.0,0.0,0.0,0.0
2012-08-01,2012,8,16,1,1,0,15,0,6,0,8,1,14,5,0,2,2,2,0,0,0,0,63,63,73,5579,0.0028678974726653,0.0001792435920415,0.0001792435920415,0.0,0.0026886538806237,0.0,0.0010754615522495,0.0,0.0014339487363326,0.0001792435920415,0.0025094102885821,0.0008962179602079,0.0,0.0003584871840831,0.0003584871840831,0.0003584871840831,0.0,0.0,0.0,0.0
2012-09-01,2012,9,4,1,3,0,10,0,10,0,4,0,9,0,0,1,1,2,0,0,0,2,44,44,47,5018,0.000797130330809,0.0001992825827022,0.0005978477481068,0.0,0.0019928258270227,0.0,0.0019928258270227,0.0,0.000797130330809,0.0,0.0017935432443204,0.0,0.0,0.0001992825827022,0.0001992825827022,0.0003985651654045,0.0,0.0,0.0,0.0003985651654045
2012-10-01,2012,10,5,0,4,1,11,0,4,0,9,0,9,3,0,0,2,3,0,0,0,1,46,46,52,5762,0.0008677542519958,0.0,0.0006942034015966,0.0001735508503991,0.0019090593543908,0.0,0.0006942034015966,0.0,0.0015619576535925,0.0,0.0015619576535925,0.0005206525511975,0.0,0.0,0.0003471017007983,0.0005206525511975,0.0,0.0,0.0,0.0001735508503991
2012-11-01,2012,11,2,5,1,0,5,0,5,0,12,0,8,2,2,2,0,0,0,0,0,1,41,41,45,6068,0.0003295978905735,0.0008239947264337,0.0001647989452867,0.0,0.0008239947264337,0.0,0.0008239947264337,0.0,0.001977587343441,0.0,0.001318391562294,0.0003295978905735,0.0003295978905735,0.0003295978905735,0.0,0.0,0.0,0.0,0.0,0.0001647989452867
2012-12-01,2012,12,6,1,0,0,7,0,2,0,6,0,6,1,0,2,0,1,0,0,0,0,32,32,32,5678,0.0010567101091933,0.0001761183515322,0.0,0.0,0.0012328284607256,0.0,0.0003522367030644,0.0,0.0010567101091933,0.0,0.0010567101091933,0.0001761183515322,0.0,0.0003522367030644,0.0,0.0001761183515322,0.0,0.0,0.0,0.0
2013-01-01,2013,1,8,1,8,3,17,0,8,0,9,2,11,2,0,0,3,1,2,0,0,1,68,68,76,5876,0.001361470388019,0.0001701837985023,0.001361470388019,0.0005105513955071,0.0028931245745405,0.0,0.001361470388019,0.0,0.0015316541865214,0.0003403675970047,0.0018720217835262,0.0003403675970047,0.0,0.0,0.0005105513955071,0.0001701837985023,0.0003403675970047,0.0,0.0,0.0001701837985023
2013-02-01,2013,2,9,1,6,2,10,0,2,0,13,2,3,3,2,0,2,1,1,0,0,1,52,52,58,5525,0.001628959276018,0.0001809954751131,0.0010859728506787,0.0003619909502262,0.0018099547511312,0.0,0.0003619909502262,0.0,0.0023529411764705,0.0003619909502262,0.0005429864253393,0.0005429864253393,0.0003619909502262,0.0,0.0003619909502262,0.0001809954751131,0.0001809954751131,0.0,0.0,0.0001809954751131
2013-03-01,2013,3,18,0,5,0,12,0,6,0,8,0,10,7,0,1,2,2,0,0,0,0,68,68,71,5814,0.0030959752321981,0.0,0.000859993120055,0.0,0.002063983488132,0.0,0.001031991744066,0.0,0.001375988992088,0.0,0.00171998624011,0.001203990368077,0.0,0.000171998624011,0.000343997248022,0.000343997248022,0.0,0.0,0.0,0.0
2013-04-01,2013,4,27,0,4,1,12,0,11,0,19,3,8,9,0,0,1,0,0,0,0,0,87,87,95,6120,0.0044117647058823,0.0,0.0006535947712418,0.0001633986928104,0.0019607843137254,0.0,0.001797385620915,0.0,0.0031045751633986,0.0004901960784313,0.0013071895424836,0.0014705882352941,0.0,0.0,0.0001633986928104,0.0,0.0,0.0,0.0,0.0
2013-05-01,2013,5,17,1,4,1,10,1,7,0,16,1,8,2,0,0,0,2,0,0,0,2,66,66,72,5174,0.0032856590645535,0.0001932740626207,0.0007730962504831,0.0001932740626207,0.0019327406262079,0.0001932740626207,0.0013529184383455,0.0,0.0030923850019327,0.0001932740626207,0.0015461925009663,0.0003865481252415,0.0,0.0,0.0,0.0003865481252415,0.0,0.0,0.0,0.0003865481252415
2013-06-01,2013,6,9,3,1,0,17,0,6,0,12,0,3,5,0,4,0,2,1,0,1,0,56,56,64,5363,0.0016781652060413,0.0005593884020137,0.0001864628006712,0.0,0.0031698676114115,0.0,0.0011187768040275,0.0,0.0022375536080551,0.0,0.0005593884020137,0.0009323140033563,0.0,0.000745851202685,0.0,0.0003729256013425,0.0001864628006712,0.0,0.0001864628006712,0.0
2013-07-01,2013,7,11,0,1,0,8,0,8,1,8,1,13,3,0,1,2,0,0,0,2,0,52,52,59,6406,0.0017171401810802,0.0,0.0001561036528254,0.0,0.0012488292226038,0.0,0.0012488292226038,0.0001561036528254,0.0012488292226038,0.0001561036528254,0.0020293474867311,0.0004683109584764,0.0,0.0001561036528254,0.0003122073056509,0.0,0.0,0.0,0.0003122073056509,0.0
2013-08-01,2013,8,7,1,4,0,17,1,14,0,8,2,10,4,0,3,2,0,0,0,1,0,69,69,74,6583,0.0010633449794926,0.0001519064256418,0.0006076257025672,0.0,0.0025824092359106,0.0001519064256418,0.0021266899589852,0.0,0.0012152514051344,0.0003038128512836,0.001519064256418,0.0006076257025672,0.0,0.0004557192769254,0.0003038128512836,0.0,0.0,0.0,0.0001519064256418,0.0
2013-09-01,2013,9,5,0,3,0,11,0,6,0,9,3,12,4,0,4,1,0,0,0,0,0,49,49,58,6949,0.0007195279896387,0.0,0.0004317167937832,0.0,0.0015829615772053,0.0,0.0008634335875665,0.0,0.0012951503813498,0.0004317167937832,0.0017268671751331,0.000575622391711,0.0,0.000575622391711,0.0001439055979277,0.0,0.0,0.0,0.0,0.0
2013-10-01,2013,10,4,1,10,1,17,0,14,0,8,5,13,7,0,2,3,3,0,0,0,0,80,80,88,6959,0.0005747952291995,0.0001436988072998,0.0014369880729989,0.0001436988072998,0.0024428797240982,0.0,0.0020117833021985,0.0,0.0011495904583991,0.0007184940364994,0.0018680844948986,0.0010058916510992,0.0,0.0002873976145997,0.0004310964218996,0.0004310964218996,0.0,0.0,0.0,0.0
2013-11-01,2013,11,6,1,4,0,11,0,7,0,11,0,7,3,0,3,1,0,2,0,1,2,51,51,59,6702,0.000895255147717,0.0001492091912861,0.0005968367651447,0.0,0.001641301104148,0.0,0.0010444643390032,0.0,0.001641301104148,0.0,0.0010444643390032,0.0004476275738585,0.0,0.0004476275738585,0.0001492091912861,0.0,0.0002984183825723,0.0,0.0001492091912861,0.0002984183825723
2013-12-01,2013,12,9,0,2,0,7,0,3,1,11,0,7,1,0,1,2,1,0,1,0,2,48,48,48,6341,0.0014193344898281,0.0,0.0003154076644062,0.0,0.0011039268254218,0.0,0.0004731114966093,0.0001577038322031,0.0017347421542343,0.0,0.0011039268254218,0.0001577038322031,0.0,0.0001577038322031,0.0003154076644062,0.0001577038322031,0.0,0.0001577038322031,0.0,0.0003154076644062
2014-01-01,2014,1,5,1,0,0,6,0,8,0,6,0,4,5,0,1,1,0,0,0,0,0,34,34,37,5946,0.0008409014463504,0.00016818028927,0.0,0.0,0.0010090817356205,0.0,0.0013454423141607,0.0,0.0010090817356205,0.0,0.0006727211570803,0.0008409014463504,0.0,0.00016818028927,0.00016818028927,0.0,0.0,0.0,0.0,0.0
2014-02-01,2014,2,4,0,2,0,5,0,8,0,7,0,6,4,0,0,3,1,1,0,0,1,35,35,42,5691,0.0007028641714988,0.0,0.0003514320857494,0.0,0.0008785802143735,0.0,0.0014057283429977,0.0,0.001230012300123,0.0,0.0010542962572482,0.0007028641714988,0.0,0.0,0.0005271481286241,0.0001757160428747,0.0001757160428747,0.0,0.0,0.0001757160428747
2014-03-01,2014,3,5,0,0,2,15,0,6,0,7,1,4,3,0,2,0,2,0,0,0,1,47,47,48,5817,0.0008595495960116,0.0,0.0,0.0003438198384046,0.002578648788035,0.0,0.001031459515214,0.0,0.0012033694344163,0.0001719099192023,0.0006876396768093,0.000515729757607,0.0,0.0003438198384046,0.0,0.0003438198384046,0.0,0.0,0.0,0.0001719099192023
2014-04-01,2014,4,0,1,1,0,11,0,7,0,10,0,6,1,3,1,0,1,1,0,0,1,40,40,44,6234,0.0,0.0001604106512672,0.0001604106512672,0.0,0.0017645171639396,0.0,0.0011228745588707,0.0,0.0016041065126724,0.0,0.0009624639076034,0.0001604106512672,0.0004812319538017,0.0001604106512672,0.0,0.0001604106512672,0.0001604106512672,0.0,0.0,0.0001604106512672
2014-05-01,2014,5,10,1,2,0,10,0,12,0,9,1,7,3,0,3,0,0,0,0,0,0,52,52,58,6515,0.0015349194167306,0.000153491941673,0.0003069838833461,0.0,0.0015349194167306,0.0,0.0018419033000767,0.0,0.0013814274750575,0.000153491941673,0.0010744435917114,0.0004604758250191,0.0,0.0004604758250191,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-01,2014,6,3,1,2,0,7,1,6,0,6,5,6,5,0,3,1,1,0,0,0,0,43,43,47,6022,0.0004981733643307,0.0001660577881102,0.0003321155762205,0.0,0.0011624045167718,0.0001660577881102,0.0009963467286615,0.0,0.0009963467286615,0.0008302889405513,0.0009963467286615,0.0008302889405513,0.0,0.0004981733643307,0.0001660577881102,0.0001660577881102,0.0,0.0,0.0,0.0
2014-07-01,2014,7,10,0,6,0,10,0,9,0,8,0,4,6,0,3,2,3,2,0,0,1,58,58,64,5290,0.0018903591682419,0.0,0.0011342155009451,0.0,0.0018903591682419,0.0,0.0017013232514177,0.0,0.0015122873345935,0.0,0.0007561436672967,0.0011342155009451,0.0,0.0005671077504725,0.0003780718336483,0.0005671077504725,0.0003780718336483,0.0,0.0,0.0001890359168241
2014-08-01,2014,8,15,0,5,1,7,0,8,0,11,0,3,7,0,1,4,0,0,0,0,0,60,60,62,5226,0.0028702640642939,0.0,0.0009567546880979,0.0001913509376195,0.0013394565633371,0.0,0.0015308075009567,0.0,0.0021048603138155,0.0,0.0005740528128587,0.0013394565633371,0.0,0.0001913509376195,0.0007654037504783,0.0,0.0,0.0,0.0,0.0
2014-09-01,2014,9,3,0,3,1,9,0,6,0,6,0,9,7,1,4,0,1,0,0,1,1,44,44,52,5245,0.0005719733079122,0.0,0.0005719733079122,0.000190657769304,0.0017159199237368,0.0,0.0011439466158245,0.0,0.0011439466158245,0.0,0.0017159199237368,0.0013346043851286,0.000190657769304,0.0007626310772163,0.0,0.000190657769304,0.0,0.0,0.000190657769304,0.000190657769304
2014-10-01,2014,10,2,0,1,0,9,0,10,0,6,1,5,1,1,2,0,1,0,0,0,1,38,38,40,5469,0.0003656975681111,0.0,0.0001828487840555,0.0,0.0016456390565002,0.0,0.0018284878405558,0.0,0.0010970927043335,0.0001828487840555,0.0009142439202779,0.0001828487840555,0.0001828487840555,0.0003656975681111,0.0,0.0001828487840555,0.0,0.0,0.0,0.0001828487840555
