date,year,month,sudden-onset environmental disaster,environmental cooperation,environmental government initiatives,environmental security,environmental -999,environmental arrest,human-induced disaster,displacement,-999,environmental legal action,environmental opinion,slow-onset environmental disaster,environmental corruption,environmental crime,environmental legal change,environmental activism,environmental corporate initiatives,lethal environmental violence,environmental protests,nonlethal environmental violence,total_articles,total_from_source,total_label_events,total_local_docs,sudden-onset environmental disasterNorm,environmental cooperationNorm,environmental government initiativesNorm,environmental securityNorm,environmental -999Norm,environmental arrestNorm,human-induced disasterNorm,displacementNorm,-999Norm,environmental legal actionNorm,environmental opinionNorm,slow-onset environmental disasterNorm,environmental corruptionNorm,environmental crimeNorm,environmental legal changeNorm,environmental activismNorm,environmental corporate initiativesNorm,lethal environmental violenceNorm,environmental protestsNorm,nonlethal environmental violenceNorm
2012-01-01,2012,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,2,132,0.0,0.0,0.0,0.0,0.0075757575757575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0075757575757575,0.0
2012-02-01,2012,2,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,1,0,0,0,0,5,5,5,230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008695652173913,0.0,0.0043478260869565,0.0,0.0,0.0043478260869565,0.0,0.0043478260869565,0.0,0.0,0.0,0.0
2012-03-01,2012,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,3,3,3,224,0.0,0.0,0.0,0.0,0.0,0.0,0.0044642857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0089285714285714,0.0,0.0,0.0,0.0
2012-04-01,2012,4,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4,4,4,229,0.0043668122270742,0.0,0.0,0.0,0.0043668122270742,0.0,0.0043668122270742,0.0,0.0,0.0,0.0,0.0,0.0,0.0043668122270742,0.0,0.0,0.0,0.0,0.0,0.0
2012-05-01,2012,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036231884057971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-06-01,2012,6,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,4,4,4,312,0.0,0.0,0.0,0.0,0.0,0.0,0.0032051282051282,0.0032051282051282,0.0032051282051282,0.0,0.0,0.0,0.0,0.0032051282051282,0.0,0.0,0.0,0.0,0.0,0.0
2012-07-01,2012,7,0,0,0,0,3,0,0,0,3,0,2,1,3,0,0,1,0,0,0,0,9,9,13,320,0.0,0.0,0.0,0.0,0.009375,0.0,0.0,0.0,0.009375,0.0,0.00625,0.003125,0.009375,0.0,0.0,0.003125,0.0,0.0,0.0,0.0
2012-08-01,2012,8,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,308,0.0032467532467532,0.0,0.0,0.0,0.0,0.0,0.0032467532467532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-09-01,2012,9,0,0,0,0,5,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,7,7,8,262,0.0,0.0,0.0,0.0,0.0190839694656488,0.0,0.0038167938931297,0.0,0.0038167938931297,0.0,0.0,0.0,0.0,0.0,0.0,0.0038167938931297,0.0,0.0,0.0,0.0
2012-10-01,2012,10,0,2,0,0,3,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,9,9,10,283,0.0,0.0070671378091872,0.0,0.0,0.0106007067137809,0.0,0.0035335689045936,0.0,0.0106007067137809,0.0,0.0,0.0,0.0,0.0035335689045936,0.0,0.0,0.0,0.0,0.0,0.0
2012-11-01,2012,11,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,2,2,185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0054054054054054,0.0,0.0054054054054054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-12-01,2012,12,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,2,227,0.0,0.0,0.0044052863436123,0.0,0.0,0.0,0.0,0.0,0.0044052863436123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-01,2013,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,3,3,3,281,0.0,0.0,0.0,0.0,0.0,0.0,0.0035587188612099,0.0,0.0035587188612099,0.0,0.0,0.0,0.0035587188612099,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-01,2013,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,3,3,3,689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014513788098693,0.0,0.0,0.0,0.0,0.0,0.0014513788098693,0.0014513788098693,0.0,0.0,0.0
2013-03-01,2013,3,0,1,2,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,8,8,8,642,0.0,0.0015576323987538,0.0031152647975077,0.0,0.0,0.0,0.0015576323987538,0.0,0.0046728971962616,0.0,0.0015576323987538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
