date,year,month,sudden-onset environmental disaster,environmental cooperation,environmental government initiatives,environmental security,environmental -999,environmental arrest,human-induced disaster,displacement,-999,environmental legal action,environmental opinion,slow-onset environmental disaster,environmental corruption,environmental crime,environmental legal change,environmental activism,environmental corporate initiatives,lethal environmental violence,environmental protests,nonlethal environmental violence,total_articles,total_from_source,total_label_events,total_local_docs,sudden-onset environmental disasterNorm,environmental cooperationNorm,environmental government initiativesNorm,environmental securityNorm,environmental -999Norm,environmental arrestNorm,human-induced disasterNorm,displacementNorm,-999Norm,environmental legal actionNorm,environmental opinionNorm,slow-onset environmental disasterNorm,environmental corruptionNorm,environmental crimeNorm,environmental legal changeNorm,environmental activismNorm,environmental corporate initiativesNorm,lethal environmental violenceNorm,environmental protestsNorm,nonlethal environmental violenceNorm
2012-01-01,2012,1,3,0,1,0,0,0,3,0,4,1,1,3,1,3,0,0,1,0,1,2,19,19,24,813,0.003690036900369,0.0,0.001230012300123,0.0,0.0,0.0,0.003690036900369,0.0,0.004920049200492,0.001230012300123,0.001230012300123,0.003690036900369,0.001230012300123,0.003690036900369,0.0,0.0,0.001230012300123,0.0,0.001230012300123,0.002460024600246
2012-02-01,2012,2,3,0,1,0,6,1,3,0,2,1,1,0,0,4,0,1,0,0,0,0,21,21,23,777,0.0038610038610038,0.0,0.0012870012870012,0.0,0.0077220077220077,0.0012870012870012,0.0038610038610038,0.0,0.0025740025740025,0.0012870012870012,0.0012870012870012,0.0,0.0,0.0051480051480051,0.0,0.0012870012870012,0.0,0.0,0.0,0.0
2012-03-01,2012,3,4,3,2,1,1,0,5,1,9,3,2,1,1,6,0,0,0,0,3,3,39,39,45,860,0.0046511627906976,0.0034883720930232,0.0023255813953488,0.0011627906976744,0.0011627906976744,0.0,0.005813953488372,0.0011627906976744,0.0104651162790697,0.0034883720930232,0.0023255813953488,0.0011627906976744,0.0011627906976744,0.0069767441860465,0.0,0.0,0.0,0.0,0.0034883720930232,0.0034883720930232
2012-04-01,2012,4,14,0,1,0,0,0,3,0,3,0,1,1,1,2,1,0,0,1,1,2,29,29,31,801,0.0174781523096129,0.0,0.0012484394506866,0.0,0.0,0.0,0.0037453183520599,0.0,0.0037453183520599,0.0,0.0012484394506866,0.0012484394506866,0.0012484394506866,0.0024968789013732,0.0012484394506866,0.0,0.0,0.0012484394506866,0.0012484394506866,0.0024968789013732
2012-05-01,2012,5,8,0,0,1,3,0,4,0,1,0,1,4,0,5,0,0,0,0,0,1,27,27,28,1093,0.0073193046660567,0.0,0.0,0.000914913083257,0.0027447392497712,0.0,0.0036596523330283,0.0,0.000914913083257,0.0,0.000914913083257,0.0036596523330283,0.0,0.0045745654162854,0.0,0.0,0.0,0.0,0.0,0.000914913083257
2012-06-01,2012,6,4,1,0,0,3,0,2,0,3,0,4,2,0,0,0,2,1,1,1,1,21,21,25,1017,0.0039331366764995,0.0009832841691248,0.0,0.0,0.0029498525073746,0.0,0.0019665683382497,0.0,0.0029498525073746,0.0,0.0039331366764995,0.0019665683382497,0.0,0.0,0.0,0.0019665683382497,0.0009832841691248,0.0009832841691248,0.0009832841691248,0.0009832841691248
2012-07-01,2012,7,4,0,1,0,3,0,2,0,5,0,1,0,1,1,0,2,0,0,0,1,19,19,21,1046,0.0038240917782026,0.0,0.0009560229445506,0.0,0.002868068833652,0.0,0.0019120458891013,0.0,0.0047801147227533,0.0,0.0009560229445506,0.0,0.0009560229445506,0.0009560229445506,0.0,0.0019120458891013,0.0,0.0,0.0,0.0009560229445506
2012-08-01,2012,8,4,0,1,1,5,0,2,2,9,1,2,1,4,7,0,2,0,0,1,2,40,40,44,991,0.0040363269424823,0.0,0.0010090817356205,0.0010090817356205,0.0050454086781029,0.0,0.0020181634712411,0.0020181634712411,0.0090817356205852,0.0010090817356205,0.0020181634712411,0.0010090817356205,0.0040363269424823,0.007063572149344,0.0,0.0020181634712411,0.0,0.0,0.0010090817356205,0.0020181634712411
2012-09-01,2012,9,23,0,1,1,7,0,6,1,7,0,5,4,4,7,0,0,0,1,0,1,60,60,68,977,0.0235414534288638,0.0,0.0010235414534288,0.0010235414534288,0.007164790174002,0.0,0.0061412487205731,0.0010235414534288,0.007164790174002,0.0,0.0051177072671443,0.0040941658137154,0.0040941658137154,0.007164790174002,0.0,0.0,0.0,0.0010235414534288,0.0,0.0010235414534288
2012-10-01,2012,10,6,0,0,0,7,1,5,0,8,2,4,0,3,2,0,0,0,0,0,1,35,35,39,1002,0.0059880239520958,0.0,0.0,0.0,0.0069860279441117,0.0009980039920159,0.0049900199600798,0.0,0.0079840319361277,0.0019960079840319,0.0039920159680638,0.0,0.0029940119760479,0.0019960079840319,0.0,0.0,0.0,0.0,0.0,0.0009980039920159
