date,year,month,sudden-onset environmental disaster,environmental cooperation,environmental government initiatives,environmental security,environmental -999,environmental arrest,human-induced disaster,displacement,-999,environmental legal action,environmental opinion,slow-onset environmental disaster,environmental corruption,environmental crime,environmental legal change,environmental activism,environmental corporate initiatives,lethal environmental violence,environmental protests,nonlethal environmental violence,total_articles,total_from_source,total_label_events,total_local_docs,sudden-onset environmental disasterNorm,environmental cooperationNorm,environmental government initiativesNorm,environmental securityNorm,environmental -999Norm,environmental arrestNorm,human-induced disasterNorm,displacementNorm,-999Norm,environmental legal actionNorm,environmental opinionNorm,slow-onset environmental disasterNorm,environmental corruptionNorm,environmental crimeNorm,environmental legal changeNorm,environmental activismNorm,environmental corporate initiativesNorm,lethal environmental violenceNorm,environmental protestsNorm,nonlethal environmental violenceNorm
2012-01-01,2012,1,4,0,2,1,1,0,4,1,2,2,4,1,2,1,0,3,0,0,0,0,26,26,28,559,0.0071556350626118,0.0,0.0035778175313059,0.0017889087656529,0.0017889087656529,0.0,0.0071556350626118,0.0017889087656529,0.0035778175313059,0.0035778175313059,0.0071556350626118,0.0017889087656529,0.0035778175313059,0.0017889087656529,0.0,0.0053667262969588,0.0,0.0,0.0,0.0
2012-02-01,2012,2,3,0,4,0,2,0,5,1,2,1,6,0,0,2,0,2,0,0,0,2,28,28,30,575,0.0052173913043478,0.0,0.0069565217391304,0.0,0.0034782608695652,0.0,0.008695652173913,0.0017391304347826,0.0034782608695652,0.0017391304347826,0.0104347826086956,0.0,0.0,0.0034782608695652,0.0,0.0034782608695652,0.0,0.0,0.0,0.0034782608695652
2012-03-01,2012,3,7,0,1,1,2,1,12,3,6,2,2,2,2,4,0,2,0,0,2,1,43,43,50,725,0.0096551724137931,0.0,0.0013793103448275,0.0013793103448275,0.0027586206896551,0.0013793103448275,0.016551724137931,0.0041379310344827,0.0082758620689655,0.0027586206896551,0.0027586206896551,0.0027586206896551,0.0027586206896551,0.0055172413793103,0.0,0.0027586206896551,0.0,0.0,0.0027586206896551,0.0013793103448275
2012-04-01,2012,4,2,0,2,0,2,1,6,2,5,2,2,0,3,6,0,1,1,2,1,0,34,34,38,717,0.00278940027894,0.0,0.00278940027894,0.0,0.00278940027894,0.00139470013947,0.00836820083682,0.00278940027894,0.00697350069735,0.00278940027894,0.00278940027894,0.0,0.00418410041841,0.00836820083682,0.0,0.00139470013947,0.00139470013947,0.00278940027894,0.00139470013947,0.0
2012-05-01,2012,5,0,0,1,0,3,0,7,5,13,0,3,1,1,5,0,2,0,0,1,3,38,38,45,950,0.0,0.0,0.0010526315789473,0.0,0.0031578947368421,0.0,0.0073684210526315,0.0052631578947368,0.0136842105263157,0.0,0.0031578947368421,0.0010526315789473,0.0010526315789473,0.0052631578947368,0.0,0.0021052631578947,0.0,0.0,0.0010526315789473,0.0031578947368421
2012-06-01,2012,6,0,0,3,0,10,0,7,2,8,1,4,3,0,4,1,1,0,1,0,1,41,41,46,915,0.0,0.0,0.0032786885245901,0.0,0.0109289617486338,0.0,0.0076502732240437,0.0021857923497267,0.0087431693989071,0.0010928961748633,0.0043715846994535,0.0032786885245901,0.0,0.0043715846994535,0.0010928961748633,0.0010928961748633,0.0,0.0010928961748633,0.0,0.0010928961748633
2012-07-01,2012,7,2,0,2,0,6,1,2,2,7,1,1,0,0,2,4,2,0,0,1,2,33,33,35,1106,0.0018083182640144,0.0,0.0018083182640144,0.0,0.0054249547920434,0.0009041591320072,0.0018083182640144,0.0018083182640144,0.0063291139240506,0.0009041591320072,0.0009041591320072,0.0,0.0,0.0018083182640144,0.0036166365280289,0.0018083182640144,0.0,0.0,0.0009041591320072,0.0018083182640144
2012-08-01,2012,8,5,1,3,0,5,0,2,4,6,0,2,0,1,3,0,1,0,2,0,2,34,34,37,957,0.0052246603970741,0.0010449320794148,0.0031347962382445,0.0,0.0052246603970741,0.0,0.0020898641588296,0.0041797283176593,0.006269592476489,0.0,0.0020898641588296,0.0,0.0010449320794148,0.0031347962382445,0.0,0.0010449320794148,0.0,0.0020898641588296,0.0,0.0020898641588296
2012-09-01,2012,9,1,2,0,1,4,0,4,3,4,2,1,1,0,4,0,1,1,0,1,4,29,29,34,770,0.0012987012987012,0.0025974025974025,0.0,0.0012987012987012,0.0051948051948051,0.0,0.0051948051948051,0.0038961038961038,0.0051948051948051,0.0025974025974025,0.0012987012987012,0.0012987012987012,0.0,0.0051948051948051,0.0,0.0012987012987012,0.0012987012987012,0.0,0.0012987012987012,0.0051948051948051
2012-10-01,2012,10,3,0,0,1,4,0,6,2,8,2,3,0,0,4,0,0,1,3,1,3,39,39,41,999,0.003003003003003,0.0,0.0,0.001001001001001,0.004004004004004,0.0,0.006006006006006,0.002002002002002,0.008008008008008,0.002002002002002,0.003003003003003,0.0,0.0,0.004004004004004,0.0,0.0,0.001001001001001,0.003003003003003,0.001001001001001,0.003003003003003
