date,year,month,sudden-onset environmental disaster,environmental cooperation,environmental government initiatives,environmental security,environmental -999,environmental arrest,human-induced disaster,displacement,-999,environmental legal action,environmental opinion,slow-onset environmental disaster,environmental corruption,environmental crime,environmental legal change,environmental activism,environmental corporate initiatives,lethal environmental violence,environmental protests,nonlethal environmental violence,total_articles,total_from_source,total_label_events,total_local_docs,sudden-onset environmental disasterNorm,environmental cooperationNorm,environmental government initiativesNorm,environmental securityNorm,environmental -999Norm,environmental arrestNorm,human-induced disasterNorm,displacementNorm,-999Norm,environmental legal actionNorm,environmental opinionNorm,slow-onset environmental disasterNorm,environmental corruptionNorm,environmental crimeNorm,environmental legal changeNorm,environmental activismNorm,environmental corporate initiativesNorm,lethal environmental violenceNorm,environmental protestsNorm,nonlethal environmental violenceNorm
2012-01-01,2012,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0138888888888888,0.0
2012-02-01,2012,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,2,77,0.0129870129870129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0129870129870129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-01,2012,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,120,0.0083333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-04-01,2012,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,107,0.0093457943925233,0.0,0.0,0.0,0.0,0.0,0.0093457943925233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-05-01,2012,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0121951219512195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-06-01,2012,6,11,0,0,0,2,0,4,0,1,0,2,0,2,0,1,0,2,0,0,0,25,25,25,1171,0.009393680614859,0.0,0.0,0.0,0.0017079419299743,0.0,0.0034158838599487,0.0,0.0008539709649871,0.0,0.0017079419299743,0.0,0.0017079419299743,0.0,0.0008539709649871,0.0,0.0017079419299743,0.0,0.0,0.0
2012-07-01,2012,7,14,0,1,0,2,0,6,0,6,2,2,2,0,1,0,0,1,0,0,0,36,36,37,1230,0.0113821138211382,0.0,0.0008130081300813,0.0,0.0016260162601626,0.0,0.0048780487804878,0.0,0.0048780487804878,0.0016260162601626,0.0016260162601626,0.0016260162601626,0.0,0.0008130081300813,0.0,0.0,0.0008130081300813,0.0,0.0,0.0
2012-08-01,2012,8,19,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,23,23,23,222,0.0855855855855855,0.0,0.0,0.0,0.0045045045045045,0.0,0.0,0.0,0.0,0.0,0.0045045045045045,0.009009009009009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-09-01,2012,9,34,1,2,2,5,0,7,0,10,0,3,4,0,0,0,0,0,0,1,0,65,65,69,1727,0.0196873190503763,0.0005790387955993,0.0011580775911986,0.0011580775911986,0.0028951939779965,0.0,0.0040532715691951,0.0,0.005790387955993,0.0,0.0017371163867979,0.0023161551823972,0.0,0.0,0.0,0.0,0.0,0.0,0.0005790387955993,0.0
2012-10-01,2012,10,26,0,2,0,5,0,2,1,4,2,1,4,0,0,4,1,2,0,0,0,51,51,54,1571,0.0165499681731381,0.0,0.0012730744748567,0.0,0.0031826861871419,0.0,0.0012730744748567,0.0006365372374283,0.0025461489497135,0.0012730744748567,0.0006365372374283,0.0025461489497135,0.0,0.0,0.0025461489497135,0.0006365372374283,0.0012730744748567,0.0,0.0,0.0
2012-11-01,2012,11,20,0,4,0,4,0,4,1,8,1,3,6,0,0,1,1,0,0,0,1,51,51,54,1558,0.0128369704749679,0.0,0.0025673940949935,0.0,0.0025673940949935,0.0,0.0025673940949935,0.0006418485237483,0.0051347881899871,0.0006418485237483,0.0019255455712451,0.0038510911424903,0.0,0.0,0.0006418485237483,0.0006418485237483,0.0,0.0,0.0,0.0006418485237483
2012-12-01,2012,12,21,0,1,0,3,0,5,0,4,0,2,2,1,0,0,0,0,0,0,0,37,37,39,1481,0.0141796083727211,0.0,0.00067521944632,0.0,0.0020256583389601,0.0,0.0033760972316002,0.0,0.0027008777852802,0.0,0.0013504388926401,0.0013504388926401,0.00067521944632,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-01,2013,1,23,0,2,1,7,3,8,0,9,2,2,1,0,1,0,0,1,0,1,0,57,57,61,3096,0.0074289405684754,0.0,0.0006459948320413,0.0003229974160206,0.0022609819121447,0.000968992248062,0.0025839793281653,0.0,0.002906976744186,0.0006459948320413,0.0006459948320413,0.0003229974160206,0.0,0.0003229974160206,0.0,0.0,0.0003229974160206,0.0,0.0003229974160206,0.0
2013-02-01,2013,2,20,0,2,0,6,1,9,0,8,0,3,2,0,0,0,0,0,0,1,0,47,47,52,2937,0.006809669731018,0.0,0.0006809669731018,0.0,0.0020429009193054,0.0003404834865509,0.0030643513789581,0.0,0.0027238678924072,0.0,0.0010214504596527,0.0006809669731018,0.0,0.0,0.0,0.0,0.0,0.0,0.0003404834865509,0.0
2013-03-01,2013,3,38,1,0,0,4,0,7,0,6,0,2,7,0,0,1,1,0,1,0,0,62,62,68,2829,0.0134323082361258,0.0003534817956875,0.0,0.0,0.00141392718275,0.0,0.0024743725698126,0.0,0.0021208907741251,0.0,0.000706963591375,0.0024743725698126,0.0,0.0,0.0003534817956875,0.0003534817956875,0.0,0.0003534817956875,0.0,0.0
2013-04-01,2013,4,26,0,2,0,10,0,10,0,10,0,3,3,0,1,3,1,2,0,0,0,67,67,71,2982,0.0087189805499664,0.0,0.0006706908115358,0.0,0.0033534540576794,0.0,0.0033534540576794,0.0,0.0033534540576794,0.0,0.0010060362173038,0.0010060362173038,0.0,0.0003353454057679,0.0010060362173038,0.0003353454057679,0.0006706908115358,0.0,0.0,0.0
2013-05-01,2013,5,15,0,3,0,5,0,0,0,8,0,1,2,1,0,0,2,0,0,0,0,37,37,37,3130,0.0047923322683706,0.0,0.0009584664536741,0.0,0.0015974440894568,0.0,0.0,0.0,0.0025559105431309,0.0,0.0003194888178913,0.0006389776357827,0.0003194888178913,0.0,0.0,0.0006389776357827,0.0,0.0,0.0,0.0
2013-06-01,2013,6,47,2,11,0,10,0,5,2,8,2,2,0,0,0,2,0,1,0,1,0,90,90,93,2886,0.0162855162855162,0.0006930006930006,0.0038115038115038,0.0,0.0034650034650034,0.0,0.0017325017325017,0.0006930006930006,0.0027720027720027,0.0006930006930006,0.0006930006930006,0.0,0.0,0.0,0.0006930006930006,0.0,0.0003465003465003,0.0,0.0003465003465003,0.0
2013-07-01,2013,7,24,1,2,2,9,0,10,0,16,3,4,3,0,1,0,3,4,0,1,0,74,74,83,3125,0.00768,0.00032,0.00064,0.00064,0.00288,0.0,0.0032,0.0,0.00512,0.00096,0.00128,0.00096,0.0,0.00032,0.0,0.00096,0.00128,0.0,0.00032,0.0
2013-08-01,2013,8,40,2,6,0,5,1,17,0,10,3,2,2,0,1,2,1,1,0,0,0,87,87,93,3098,0.012911555842479,0.0006455777921239,0.0019367333763718,0.0,0.0016139444803098,0.0003227888960619,0.0054874112330535,0.0,0.0032278889606197,0.0009683666881859,0.0006455777921239,0.0006455777921239,0.0,0.0003227888960619,0.0006455777921239,0.0003227888960619,0.0003227888960619,0.0,0.0,0.0
2013-09-01,2013,9,24,0,4,0,12,0,7,0,3,2,3,0,0,0,0,2,0,0,0,0,54,54,57,2968,0.0080862533692722,0.0,0.0013477088948787,0.0,0.0040431266846361,0.0,0.0023584905660377,0.0,0.001010781671159,0.0006738544474393,0.001010781671159,0.0,0.0,0.0,0.0,0.0006738544474393,0.0,0.0,0.0,0.0
2013-10-01,2013,10,30,0,2,0,12,0,4,3,11,0,3,1,0,0,0,2,5,0,3,0,68,68,76,3260,0.00920245398773,0.0,0.0006134969325153,0.0,0.003680981595092,0.0,0.0012269938650306,0.000920245398773,0.0033742331288343,0.0,0.000920245398773,0.0003067484662576,0.0,0.0,0.0,0.0006134969325153,0.0015337423312883,0.0,0.000920245398773,0.0
2013-11-01,2013,11,18,2,1,0,11,0,0,0,8,1,3,4,0,0,0,0,0,0,2,0,46,46,50,3152,0.0057106598984771,0.0006345177664974,0.0003172588832487,0.0,0.003489847715736,0.0,0.0,0.0,0.0025380710659898,0.0003172588832487,0.0009517766497461,0.0012690355329949,0.0,0.0,0.0,0.0,0.0,0.0,0.0006345177664974,0.0
2013-12-01,2013,12,34,0,2,1,10,0,12,2,15,0,2,2,0,3,0,0,2,0,0,0,78,78,85,3021,0.0112545514730221,0.0,0.0006620324395895,0.0003310162197947,0.0033101621979476,0.0,0.0039721946375372,0.0006620324395895,0.0049652432969215,0.0,0.0006620324395895,0.0006620324395895,0.0,0.0009930486593843,0.0,0.0,0.0006620324395895,0.0,0.0,0.0
2014-01-01,2014,1,38,1,1,0,6,1,21,2,8,0,0,4,0,0,0,2,0,0,1,0,77,77,85,2918,0.0130226182316655,0.0003427004797806,0.0003427004797806,0.0,0.002056202878684,0.0003427004797806,0.0071967100753941,0.0006854009595613,0.0027416038382453,0.0,0.0,0.0013708019191226,0.0,0.0,0.0,0.0006854009595613,0.0,0.0,0.0003427004797806,0.0
2014-02-01,2014,2,21,0,4,2,6,1,14,2,15,0,7,0,0,1,0,1,2,0,0,1,69,69,77,3038,0.0069124423963133,0.0,0.0013166556945358,0.0006583278472679,0.0019749835418038,0.0003291639236339,0.0046082949308755,0.0006583278472679,0.0049374588545095,0.0,0.0023041474654377,0.0,0.0,0.0003291639236339,0.0,0.0003291639236339,0.0006583278472679,0.0,0.0,0.0003291639236339
2014-03-01,2014,3,24,0,1,1,6,1,3,0,5,0,10,9,0,0,1,0,1,0,0,0,59,59,62,3056,0.0078534031413612,0.0,0.00032722513089,0.00032722513089,0.0019633507853403,0.00032722513089,0.0009816753926701,0.0,0.0016361256544502,0.0,0.0032722513089005,0.0029450261780104,0.0,0.0,0.00032722513089,0.0,0.00032722513089,0.0,0.0,0.0
