date,year,month,sudden-onset environmental disaster,environmental cooperation,environmental government initiatives,environmental security,environmental -999,environmental arrest,human-induced disaster,displacement,-999,environmental legal action,environmental opinion,slow-onset environmental disaster,environmental corruption,environmental crime,environmental legal change,environmental activism,environmental corporate initiatives,lethal environmental violence,environmental protests,nonlethal environmental violence,total_articles,total_from_source,total_label_events,total_local_docs,sudden-onset environmental disasterNorm,environmental cooperationNorm,environmental government initiativesNorm,environmental securityNorm,environmental -999Norm,environmental arrestNorm,human-induced disasterNorm,displacementNorm,-999Norm,environmental legal actionNorm,environmental opinionNorm,slow-onset environmental disasterNorm,environmental corruptionNorm,environmental crimeNorm,environmental legal changeNorm,environmental activismNorm,environmental corporate initiativesNorm,lethal environmental violenceNorm,environmental protestsNorm,nonlethal environmental violenceNorm
2012-01-01,2012,1,1,0,3,0,0,1,4,0,6,2,2,0,0,1,0,2,0,0,1,0,18,18,23,797,0.001254705144291,0.0,0.0037641154328732,0.0,0.0,0.001254705144291,0.0050188205771643,0.0,0.0075282308657465,0.0025094102885821,0.0025094102885821,0.0,0.0,0.001254705144291,0.0,0.0025094102885821,0.0,0.0,0.001254705144291,0.0
2012-02-01,2012,2,1,0,0,1,1,0,3,0,2,0,4,1,0,0,0,0,0,0,1,0,11,11,14,722,0.0013850415512465,0.0,0.0,0.0013850415512465,0.0013850415512465,0.0,0.0041551246537396,0.0,0.002770083102493,0.0,0.0055401662049861,0.0013850415512465,0.0,0.0,0.0,0.0,0.0,0.0,0.0013850415512465,0.0
2012-03-01,2012,3,0,1,3,0,3,0,0,0,3,1,2,1,0,0,0,0,0,0,0,0,12,12,14,925,0.0,0.001081081081081,0.0032432432432432,0.0,0.0032432432432432,0.0,0.0,0.0,0.0032432432432432,0.001081081081081,0.0021621621621621,0.001081081081081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-04-01,2012,4,2,0,1,0,2,0,1,0,2,0,0,1,1,0,0,0,0,0,0,0,10,10,10,780,0.0025641025641025,0.0,0.0012820512820512,0.0,0.0025641025641025,0.0,0.0012820512820512,0.0,0.0025641025641025,0.0,0.0,0.0012820512820512,0.0012820512820512,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-05-01,2012,5,1,0,1,0,3,1,0,1,4,0,2,1,2,0,0,0,0,0,0,0,14,14,16,687,0.0014556040756914,0.0,0.0014556040756914,0.0,0.0043668122270742,0.0014556040756914,0.0,0.0014556040756914,0.0058224163027656,0.0,0.0029112081513828,0.0014556040756914,0.0029112081513828,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-06-01,2012,6,1,0,1,0,2,1,3,0,0,0,1,1,0,2,0,0,0,0,0,0,11,11,12,506,0.0019762845849802,0.0,0.0019762845849802,0.0,0.0039525691699604,0.0019762845849802,0.0059288537549407,0.0,0.0,0.0,0.0019762845849802,0.0019762845849802,0.0,0.0039525691699604,0.0,0.0,0.0,0.0,0.0,0.0
2012-07-01,2012,7,0,0,0,0,3,0,2,0,1,0,1,0,0,0,0,1,0,0,1,0,8,8,9,779,0.0,0.0,0.0,0.0,0.0038510911424903,0.0,0.0025673940949935,0.0,0.0012836970474967,0.0,0.0012836970474967,0.0,0.0,0.0,0.0,0.0012836970474967,0.0,0.0,0.0012836970474967,0.0
2012-08-01,2012,8,0,0,1,1,2,0,1,0,4,1,1,0,0,0,0,0,0,0,0,0,11,11,11,846,0.0,0.0,0.0011820330969267,0.0011820330969267,0.0023640661938534,0.0,0.0011820330969267,0.0,0.0047281323877068,0.0011820330969267,0.0011820330969267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-09-01,2012,9,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,6,6,7,585,0.0017094017094017,0.0,0.0,0.0,0.0017094017094017,0.0017094017094017,0.0017094017094017,0.0,0.0017094017094017,0.0,0.0,0.0017094017094017,0.0,0.0,0.0,0.0,0.0017094017094017,0.0,0.0,0.0
2012-10-01,2012,10,3,0,1,1,3,0,1,0,3,1,3,0,0,1,0,1,0,0,0,0,15,15,18,1036,0.0028957528957528,0.0,0.0009652509652509,0.0009652509652509,0.0028957528957528,0.0,0.0009652509652509,0.0,0.0028957528957528,0.0009652509652509,0.0028957528957528,0.0,0.0,0.0009652509652509,0.0,0.0009652509652509,0.0,0.0,0.0,0.0
2012-11-01,2012,11,0,1,3,1,7,0,2,0,2,3,1,0,0,2,0,0,0,0,0,0,20,20,22,1157,0.0,0.0008643042350907,0.0025929127052722,0.0008643042350907,0.0060501296456352,0.0,0.0017286084701815,0.0,0.0017286084701815,0.0025929127052722,0.0008643042350907,0.0,0.0,0.0017286084701815,0.0,0.0,0.0,0.0,0.0,0.0
2012-12-01,2012,12,2,0,3,0,3,0,1,0,6,0,2,0,1,0,0,2,0,0,0,0,19,19,20,1151,0.0017376194613379,0.0,0.0026064291920069,0.0,0.0026064291920069,0.0,0.0008688097306689,0.0,0.0052128583840139,0.0,0.0017376194613379,0.0,0.0008688097306689,0.0,0.0,0.0017376194613379,0.0,0.0,0.0,0.0
2013-01-01,2013,1,2,0,2,0,4,0,6,0,3,1,2,0,0,2,0,0,0,0,0,0,20,20,22,1054,0.0018975332068311,0.0,0.0018975332068311,0.0,0.0037950664136622,0.0,0.0056925996204933,0.0,0.0028462998102466,0.0009487666034155,0.0018975332068311,0.0,0.0,0.0018975332068311,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-01,2013,2,0,0,2,0,4,1,3,0,9,1,2,2,1,2,3,0,0,0,1,0,27,27,31,1119,0.0,0.0,0.001787310098302,0.0,0.0035746201966041,0.000893655049151,0.002680965147453,0.0,0.0080428954423592,0.000893655049151,0.001787310098302,0.001787310098302,0.000893655049151,0.001787310098302,0.002680965147453,0.0,0.0,0.0,0.000893655049151,0.0
2013-03-01,2013,3,1,0,1,0,5,2,1,0,6,0,3,3,1,1,0,1,2,0,1,0,23,23,28,978,0.0010224948875255,0.0,0.0010224948875255,0.0,0.0051124744376278,0.0020449897750511,0.0010224948875255,0.0,0.0061349693251533,0.0,0.0030674846625766,0.0030674846625766,0.0010224948875255,0.0010224948875255,0.0,0.0010224948875255,0.0020449897750511,0.0,0.0010224948875255,0.0
2013-04-01,2013,4,0,0,0,0,1,0,2,0,3,0,3,0,0,2,1,0,0,0,0,0,12,12,12,701,0.0,0.0,0.0,0.0,0.0014265335235378,0.0,0.0028530670470756,0.0,0.0042796005706134,0.0,0.0042796005706134,0.0,0.0,0.0028530670470756,0.0014265335235378,0.0,0.0,0.0,0.0,0.0
2013-05-01,2013,5,2,0,1,1,7,0,2,0,2,0,3,0,0,1,0,0,1,0,0,0,18,18,20,840,0.0023809523809523,0.0,0.0011904761904761,0.0011904761904761,0.0083333333333333,0.0,0.0023809523809523,0.0,0.0023809523809523,0.0,0.0035714285714285,0.0,0.0,0.0011904761904761,0.0,0.0,0.0011904761904761,0.0,0.0,0.0
