date,year,month,sudden-onset environmental disaster,environmental cooperation,environmental government initiatives,environmental security,environmental -999,environmental arrest,human-induced disaster,displacement,-999,environmental legal action,environmental opinion,slow-onset environmental disaster,environmental corruption,environmental crime,environmental legal change,environmental activism,environmental corporate initiatives,lethal environmental violence,environmental protests,nonlethal environmental violence,total_articles,total_from_source,total_label_events,total_local_docs,sudden-onset environmental disasterNorm,environmental cooperationNorm,environmental government initiativesNorm,environmental securityNorm,environmental -999Norm,environmental arrestNorm,human-induced disasterNorm,displacementNorm,-999Norm,environmental legal actionNorm,environmental opinionNorm,slow-onset environmental disasterNorm,environmental corruptionNorm,environmental crimeNorm,environmental legal changeNorm,environmental activismNorm,environmental corporate initiativesNorm,lethal environmental violenceNorm,environmental protestsNorm,nonlethal environmental violenceNorm
2012-01-01,2012,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0094339622641509,0.0
2012-02-01,2012,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,3,3,84,0.0119047619047619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0119047619047619,0.0,0.0,0.0119047619047619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-01,2012,3,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,4,4,4,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0091743119266055,0.0,0.0,0.0,0.0091743119266055,0.018348623853211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-04-01,2012,4,1,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,4,4,5,92,0.0108695652173913,0.0,0.0108695652173913,0.0,0.0,0.0,0.0108695652173913,0.0,0.0217391304347826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-05-01,2012,5,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,7,7,7,124,0.032258064516129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0080645161290322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0161290322580645,0.0
2012-06-01,2012,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010752688172043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-07-01,2012,7,2,0,0,0,1,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,6,6,7,124,0.0161290322580645,0.0,0.0,0.0,0.0080645161290322,0.0,0.0,0.0,0.0161290322580645,0.0,0.0,0.0080645161290322,0.0,0.0,0.0080645161290322,0.0,0.0,0.0,0.0,0.0
2012-08-01,2012,8,17,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,20,20,21,154,0.1103896103896103,0.0,0.0,0.0,0.0,0.0,0.0129870129870129,0.0,0.0129870129870129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-09-01,2012,9,12,0,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17,17,18,164,0.073170731707317,0.0,0.0060975609756097,0.0,0.024390243902439,0.0,0.0,0.0060975609756097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-10-01,2012,10,4,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,7,7,8,136,0.0294117647058823,0.0,0.0,0.0,0.0073529411764705,0.0,0.0,0.0,0.0073529411764705,0.0,0.0073529411764705,0.0,0.0,0.0073529411764705,0.0,0.0,0.0,0.0,0.0,0.0
2012-11-01,2012,11,40,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,43,43,44,171,0.2339181286549707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0175438596491228,0.0,0.0058479532163742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-12-01,2012,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,2,208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0096153846153846,0.0
