date,year,month,sudden-onset environmental disaster,environmental cooperation,environmental government initiatives,environmental security,environmental -999,environmental arrest,human-induced disaster,displacement,-999,environmental legal action,environmental opinion,slow-onset environmental disaster,environmental corruption,environmental crime,environmental legal change,environmental activism,environmental corporate initiatives,lethal environmental violence,environmental protests,nonlethal environmental violence,total_articles,total_from_source,total_label_events,total_local_docs,sudden-onset environmental disasterNorm,environmental cooperationNorm,environmental government initiativesNorm,environmental securityNorm,environmental -999Norm,environmental arrestNorm,human-induced disasterNorm,displacementNorm,-999Norm,environmental legal actionNorm,environmental opinionNorm,slow-onset environmental disasterNorm,environmental corruptionNorm,environmental crimeNorm,environmental legal changeNorm,environmental activismNorm,environmental corporate initiativesNorm,lethal environmental violenceNorm,environmental protestsNorm,nonlethal environmental violenceNorm
2012-01-01,2012,1,7,2,3,1,3,0,4,2,6,0,0,0,0,0,0,1,0,0,0,0,23,23,29,878,0.0079726651480637,0.0022779043280182,0.0034168564920273,0.0011389521640091,0.0034168564920273,0.0,0.0045558086560364,0.0022779043280182,0.0068337129840546,0.0,0.0,0.0,0.0,0.0,0.0,0.0011389521640091,0.0,0.0,0.0,0.0
2012-02-01,2012,2,4,0,1,0,5,0,2,0,4,0,1,0,1,0,0,1,1,0,0,0,20,20,20,971,0.0041194644696189,0.0,0.0010298661174047,0.0,0.0051493305870236,0.0,0.0020597322348094,0.0,0.0041194644696189,0.0,0.0010298661174047,0.0,0.0010298661174047,0.0,0.0,0.0010298661174047,0.0010298661174047,0.0,0.0,0.0
2012-03-01,2012,3,3,0,1,0,2,0,1,0,3,0,1,1,1,0,1,0,0,0,1,0,15,15,15,959,0.0031282586027111,0.0,0.0010427528675703,0.0,0.0020855057351407,0.0,0.0010427528675703,0.0,0.0031282586027111,0.0,0.0010427528675703,0.0010427528675703,0.0010427528675703,0.0,0.0010427528675703,0.0,0.0,0.0,0.0010427528675703,0.0
2012-04-01,2012,4,7,1,4,0,7,1,2,0,8,0,1,0,0,0,0,1,1,0,1,1,32,32,35,833,0.0084033613445378,0.0012004801920768,0.0048019207683073,0.0,0.0084033613445378,0.0012004801920768,0.0024009603841536,0.0,0.0096038415366146,0.0,0.0012004801920768,0.0,0.0,0.0,0.0,0.0012004801920768,0.0012004801920768,0.0,0.0012004801920768,0.0012004801920768
2012-05-01,2012,5,21,1,2,0,3,0,2,0,9,2,1,1,0,1,0,0,0,0,1,1,41,41,45,1140,0.0184210526315789,0.0008771929824561,0.0017543859649122,0.0,0.0026315789473684,0.0,0.0017543859649122,0.0,0.0078947368421052,0.0017543859649122,0.0008771929824561,0.0008771929824561,0.0,0.0008771929824561,0.0,0.0,0.0,0.0,0.0008771929824561,0.0008771929824561
2012-06-01,2012,6,9,1,1,0,11,0,4,0,7,1,1,0,1,0,0,0,1,0,1,1,37,37,39,893,0.0100783874580067,0.0011198208286674,0.0011198208286674,0.0,0.0123180291153415,0.0,0.0044792833146696,0.0,0.0078387458006718,0.0011198208286674,0.0011198208286674,0.0,0.0011198208286674,0.0,0.0,0.0,0.0011198208286674,0.0,0.0011198208286674,0.0011198208286674
2012-07-01,2012,7,8,0,4,0,7,0,2,2,9,0,3,1,1,1,0,0,0,0,0,1,36,36,39,955,0.0083769633507853,0.0,0.0041884816753926,0.0,0.0073298429319371,0.0,0.0020942408376963,0.0020942408376963,0.0094240837696335,0.0,0.0031413612565445,0.0010471204188481,0.0010471204188481,0.0010471204188481,0.0,0.0,0.0,0.0,0.0,0.0010471204188481
2012-08-01,2012,8,30,1,0,1,4,0,7,0,11,0,1,0,0,0,1,1,1,0,0,0,54,54,58,1020,0.0294117647058823,0.0009803921568627,0.0,0.0009803921568627,0.0039215686274509,0.0,0.0068627450980392,0.0,0.0107843137254901,0.0,0.0009803921568627,0.0,0.0,0.0,0.0009803921568627,0.0009803921568627,0.0009803921568627,0.0,0.0,0.0
2012-09-01,2012,9,6,0,1,0,1,0,3,0,4,0,2,0,0,0,0,0,0,0,0,0,16,16,17,790,0.0075949367088607,0.0,0.0012658227848101,0.0,0.0012658227848101,0.0,0.0037974683544303,0.0,0.0050632911392405,0.0,0.0025316455696202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-10-01,2012,10,5,0,0,0,2,0,2,0,7,0,0,2,0,1,0,0,1,0,0,0,16,16,20,940,0.0053191489361702,0.0,0.0,0.0,0.002127659574468,0.0,0.002127659574468,0.0,0.0074468085106382,0.0,0.0,0.002127659574468,0.0,0.001063829787234,0.0,0.0,0.001063829787234,0.0,0.0,0.0
2012-11-01,2012,11,6,1,1,0,0,0,0,0,2,0,1,1,0,0,0,0,0,1,0,0,13,13,13,1010,0.0059405940594059,0.0009900990099009,0.0009900990099009,0.0,0.0,0.0,0.0,0.0,0.0019801980198019,0.0,0.0009900990099009,0.0009900990099009,0.0,0.0,0.0,0.0,0.0,0.0009900990099009,0.0,0.0
2012-12-01,2012,12,2,0,0,0,2,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,9,9,10,955,0.0020942408376963,0.0,0.0,0.0,0.0020942408376963,0.0,0.0010471204188481,0.0010471204188481,0.0010471204188481,0.0010471204188481,0.0,0.0,0.0,0.0010471204188481,0.0,0.0,0.0010471204188481,0.0,0.0,0.0
2013-01-01,2013,1,1,0,1,0,0,0,1,0,5,1,0,0,0,0,0,0,1,0,0,0,10,10,10,1057,0.0009460737937559,0.0,0.0009460737937559,0.0,0.0,0.0,0.0009460737937559,0.0,0.0047303689687795,0.0009460737937559,0.0,0.0,0.0,0.0,0.0,0.0,0.0009460737937559,0.0,0.0,0.0
2013-02-01,2013,2,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,6,6,7,766,0.0013054830287206,0.0,0.0,0.0,0.0013054830287206,0.0,0.0013054830287206,0.0,0.0013054830287206,0.0013054830287206,0.0013054830287206,0.0,0.0,0.0,0.0,0.0,0.0,0.0013054830287206,0.0,0.0
2013-03-01,2013,3,7,0,2,0,2,1,2,0,1,0,1,0,1,0,0,0,1,0,0,0,16,16,18,719,0.0097357440890125,0.0,0.0027816411682892,0.0,0.0027816411682892,0.0013908205841446,0.0027816411682892,0.0,0.0013908205841446,0.0,0.0013908205841446,0.0,0.0013908205841446,0.0,0.0,0.0,0.0013908205841446,0.0,0.0,0.0
2013-04-01,2013,4,5,0,1,0,0,0,2,0,6,0,0,1,0,0,0,0,1,0,2,0,17,17,18,933,0.0053590568060021,0.0,0.0010718113612004,0.0,0.0,0.0,0.0021436227224008,0.0,0.0064308681672025,0.0,0.0,0.0010718113612004,0.0,0.0,0.0,0.0,0.0010718113612004,0.0,0.0021436227224008,0.0
2013-05-01,2013,5,4,1,0,0,2,0,2,0,4,0,0,0,0,0,0,0,1,0,0,0,14,14,14,849,0.0047114252061248,0.0011778563015312,0.0,0.0,0.0023557126030624,0.0,0.0023557126030624,0.0,0.0047114252061248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011778563015312,0.0,0.0,0.0
2013-06-01,2013,6,2,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,6,6,6,752,0.0026595744680851,0.0,0.0013297872340425,0.0,0.0,0.0,0.0013297872340425,0.0,0.0026595744680851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-01,2013,7,1,0,0,0,0,0,0,0,3,1,0,0,0,1,1,0,0,0,1,1,7,7,9,860,0.0011627906976744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034883720930232,0.0011627906976744,0.0,0.0,0.0,0.0011627906976744,0.0011627906976744,0.0,0.0,0.0,0.0011627906976744,0.0011627906976744
2013-08-01,2013,8,7,1,1,1,5,0,2,0,5,1,1,1,0,1,0,0,0,0,0,0,24,24,26,1098,0.006375227686703,0.0009107468123861,0.0009107468123861,0.0009107468123861,0.0045537340619307,0.0,0.0018214936247723,0.0,0.0045537340619307,0.0009107468123861,0.0009107468123861,0.0009107468123861,0.0,0.0009107468123861,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-01,2013,9,22,0,1,0,2,0,4,0,6,1,1,1,1,1,0,0,3,0,0,0,40,40,43,1180,0.0186440677966101,0.0,0.0008474576271186,0.0,0.0016949152542372,0.0,0.0033898305084745,0.0,0.0050847457627118,0.0008474576271186,0.0008474576271186,0.0008474576271186,0.0008474576271186,0.0008474576271186,0.0,0.0,0.0025423728813559,0.0,0.0,0.0
