date,year,month,sudden-onset environmental disaster,environmental cooperation,environmental government initiatives,environmental security,environmental -999,environmental arrest,human-induced disaster,displacement,-999,environmental legal action,environmental opinion,slow-onset environmental disaster,environmental corruption,environmental crime,environmental legal change,environmental activism,environmental corporate initiatives,lethal environmental violence,environmental protests,nonlethal environmental violence,total_articles,total_from_source,total_label_events,total_local_docs,sudden-onset environmental disasterNorm,environmental cooperationNorm,environmental government initiativesNorm,environmental securityNorm,environmental -999Norm,environmental arrestNorm,human-induced disasterNorm,displacementNorm,-999Norm,environmental legal actionNorm,environmental opinionNorm,slow-onset environmental disasterNorm,environmental corruptionNorm,environmental crimeNorm,environmental legal changeNorm,environmental activismNorm,environmental corporate initiativesNorm,lethal environmental violenceNorm,environmental protestsNorm,nonlethal environmental violenceNorm
2012-01-01,2012,1,39,0,14,4,65,1,35,1,70,17,28,17,10,18,3,2,5,0,7,0,292,292,336,17097,0.0022811019477101,0.0,0.0008188571094344,0.0002339591741241,0.0038018365795168,5.848979353102884e-05,0.002047142773586,5.848979353102884e-05,0.004094285547172,0.0009943264900274,0.0016377142188688,0.0009943264900274,0.0005848979353102,0.0010528162835585,0.000175469380593,0.000116979587062,0.0002924489676551,0.0,0.0004094285547172,0.0
2012-02-01,2012,2,33,0,14,5,95,1,60,2,86,29,46,24,24,16,5,2,5,0,9,5,402,402,461,20440,0.0016144814090019,0.0,0.0006849315068493,0.0002446183953033,0.0046477495107632,4.892367906066536e-05,0.0029354207436399,9.784735812133073e-05,0.0042074363992172,0.0014187866927592,0.0022504892367906,0.0011741682974559,0.0011741682974559,0.0007827788649706,0.0002446183953033,9.784735812133073e-05,0.0002446183953033,0.0,0.0004403131115459,0.0002446183953033
2012-03-01,2012,3,50,1,21,5,80,4,78,1,86,29,45,39,25,24,5,3,7,1,24,8,466,466,536,23932,0.0020892528831689,4.178505766337958e-05,0.0008774862109309,0.0002089252883168,0.0033428046130703,0.0001671402306535,0.0032592344977436,4.178505766337958e-05,0.0035935149590506,0.001211766672238,0.001880327594852,0.0016296172488718,0.0010446264415844,0.0010028413839211,0.0002089252883168,0.0001253551729901,0.0002924954036436,4.178505766337958e-05,0.0010028413839211,0.000334280461307
2012-04-01,2012,4,100,1,24,5,113,2,80,3,130,37,48,71,14,27,15,6,5,0,11,5,628,628,697,24186,0.0041346233358141,4.134623335814107e-05,0.0009923096005953,0.0002067311667907,0.0046721243694699,8.269246671628214e-05,0.0033076986686512,0.0001240387000744,0.0053750103365583,0.0015298106342512,0.0019846192011907,0.002935582568428,0.0005788472670139,0.0011163483006698,0.0006201935003721,0.0002480774001488,0.0002067311667907,0.0,0.0004548085669395,0.0002067311667907
2012-05-01,2012,5,45,4,25,10,109,3,96,2,162,37,49,91,24,28,14,3,9,5,9,10,645,645,735,36499,0.0012329104906983,0.0001095920436176,0.0006849502726102,0.000273980109044,0.0029863831885805,8.219403271322503e-05,0.0026302090468232,5.479602180881668e-05,0.0044384777665141,0.0010137264034631,0.001342502534316,0.0024932189923011,0.0006575522617058,0.0007671443053234,0.0003835721526617,8.219403271322503e-05,0.0002465820981396,0.000136990054522,0.0002465820981396,0.000273980109044
2012-06-01,2012,6,129,3,30,9,147,3,118,5,192,24,83,96,22,29,8,8,9,3,15,6,845,845,939,35860,0.0035973229224762,8.365867261572784e-05,0.0008365867261572,0.0002509760178471,0.0040992749581706,8.365867261572784e-05,0.0032905744562186,0.0001394311210262,0.0053541550474065,0.0006692693809258,0.0023145566090351,0.0026770775237032,0.0006134969325153,0.000808700501952,0.0002230897936419,0.0002230897936419,0.0002509760178471,8.365867261572784e-05,0.0004182933630786,0.0001673173452314
2012-07-01,2012,7,159,3,32,8,120,2,141,8,239,34,78,139,17,32,11,6,8,3,22,9,963,963,1071,40805,0.0038965813013111,7.352040191153045e-05,0.0007842176203896,0.0001960544050974,0.0029408160764612,4.901360127435363e-05,0.0034554588898419,0.0001960544050974,0.0058571253522852,0.000833231221664,0.0019115304496997,0.0034064452885675,0.000416615610832,0.0007842176203896,0.0002695748070089,0.000147040803823,0.0001960544050974,7.352040191153045e-05,0.0005391496140178,0.0002205612057345
2012-08-01,2012,8,201,1,37,3,132,1,116,7,212,49,87,134,25,29,11,12,6,3,21,7,968,968,1094,48408,0.0041522062469013,2.0657742521897208e-05,0.0007643364733101,6.197322756569162e-05,0.0027268220128904,2.0657742521897208e-05,0.00239629813254,0.0001446041976532,0.0043794414146422,0.0010122293835729,0.001797223599405,0.0027681374979342,0.0005164435630474,0.000599074533135,0.0002272351677408,0.0002478929102627,0.0001239464551313,6.197322756569162e-05,0.0004338125929598,0.0001446041976532
2012-09-01,2012,9,124,2,26,7,114,5,105,5,193,33,61,41,41,27,17,7,12,0,15,6,771,771,841,42083,0.0029465579925385,4.7525128911912174e-05,0.0006178266758548,0.0001663379511916,0.0027089323479789,0.0001188128222797,0.0024950692678753,0.0001188128222797,0.0045861749399995,0.0007841646270465,0.0014495164318133,0.0009742651426941,0.0009742651426941,0.0006415892403108,0.0004039635957512,0.0001663379511916,0.0002851507734714,0.0,0.0003564384668393,0.0001425753867357
2012-10-01,2012,10,86,5,38,5,123,4,115,2,164,46,74,40,24,23,9,5,13,8,19,8,715,715,811,54756,0.0015706041347066,9.131419387829643e-05,0.000693987873475,9.131419387829643e-05,0.002246329169406,7.305135510263716e-05,0.0021002264592008,3.652567755131858e-05,0.0029951055592081,0.0008400905836803,0.0013514500693987,0.0007305135510263,0.0004383081306158,0.0004200452918401,0.0001643655489809,9.131419387829643e-05,0.0002374169040835,0.0001461027102052,0.0003469939367375,0.0001461027102052
