date,year,month,sudden-onset environmental disaster,environmental cooperation,environmental government initiatives,environmental security,environmental -999,environmental arrest,human-induced disaster,displacement,-999,environmental legal action,environmental opinion,slow-onset environmental disaster,environmental corruption,environmental crime,environmental legal change,environmental activism,environmental corporate initiatives,lethal environmental violence,environmental protests,nonlethal environmental violence,total_articles,total_from_source,total_label_events,total_local_docs,sudden-onset environmental disasterNorm,environmental cooperationNorm,environmental government initiativesNorm,environmental securityNorm,environmental -999Norm,environmental arrestNorm,human-induced disasterNorm,displacementNorm,-999Norm,environmental legal actionNorm,environmental opinionNorm,slow-onset environmental disasterNorm,environmental corruptionNorm,environmental crimeNorm,environmental legal changeNorm,environmental activismNorm,environmental corporate initiativesNorm,lethal environmental violenceNorm,environmental protestsNorm,nonlethal environmental violenceNorm
2012-01-01,2012,1,39,0,1,0,15,1,12,2,15,1,6,6,0,1,1,1,1,0,3,0,95,95,105,3210,0.0121495327102803,0.0,0.0003115264797507,0.0,0.0046728971962616,0.0003115264797507,0.0037383177570093,0.0006230529595015,0.0046728971962616,0.0003115264797507,0.0018691588785046,0.0018691588785046,0.0,0.0003115264797507,0.0003115264797507,0.0003115264797507,0.0003115264797507,0.0,0.0009345794392523,0.0
2012-02-01,2012,2,22,0,1,0,16,0,16,2,13,1,7,2,2,10,0,0,1,0,1,2,86,86,96,3858,0.0057024364955935,0.0,0.0002592016588906,0.0,0.0041472265422498,0.0,0.0041472265422498,0.0005184033177812,0.003369621565578,0.0002592016588906,0.0018144116122343,0.0005184033177812,0.0005184033177812,0.0025920165889061,0.0,0.0,0.0002592016588906,0.0,0.0002592016588906,0.0005184033177812
2012-03-01,2012,3,10,0,1,1,14,0,16,0,25,2,12,4,3,9,5,1,1,0,6,0,94,94,110,4296,0.0023277467411545,0.0,0.0002327746741154,0.0002327746741154,0.0032588454376163,0.0,0.0037243947858473,0.0,0.0058193668528864,0.0004655493482309,0.0027932960893854,0.0009310986964618,0.0006983240223463,0.0020949720670391,0.0011638733705772,0.0002327746741154,0.0002327746741154,0.0,0.0013966480446927,0.0
2012-04-01,2012,4,100,0,0,3,17,0,15,0,40,4,6,4,0,2,2,0,1,0,2,1,183,183,197,4241,0.023579344494223,0.0,0.0,0.0007073803348266,0.0040084885640179,0.0,0.0035369016741334,0.0,0.0094317377976892,0.0009431737797689,0.0014147606696533,0.0009431737797689,0.0,0.0004715868898844,0.0004715868898844,0.0,0.0002357934449422,0.0,0.0004715868898844,0.0002357934449422
2012-05-01,2012,5,16,0,0,1,10,0,22,0,20,3,7,5,2,4,2,0,2,0,2,0,86,86,96,3919,0.0040826741515692,0.0,0.0,0.000255167134473,0.0025516713447307,0.0,0.0056136769584077,0.0,0.0051033426894615,0.0007655014034192,0.0017861699413115,0.0012758356723653,0.0005103342689461,0.0010206685378923,0.0005103342689461,0.0,0.0005103342689461,0.0,0.0005103342689461,0.0
2012-06-01,2012,6,20,2,0,0,8,0,14,0,25,1,8,5,0,6,0,1,2,0,0,0,82,82,92,3393,0.0058944886531093,0.0005894488653109,0.0,0.0,0.0023577954612437,0.0,0.0041261420571765,0.0,0.0073681108163866,0.0002947244326554,0.0023577954612437,0.0014736221632773,0.0,0.0017683465959328,0.0,0.0002947244326554,0.0005894488653109,0.0,0.0,0.0
2012-07-01,2012,7,15,0,1,0,14,0,11,1,16,1,8,10,2,6,0,0,1,0,1,1,80,80,88,3741,0.004009623095429,0.0,0.0002673082063619,0.0,0.003742314889067,0.0,0.0029403902699812,0.0002673082063619,0.0042769313017909,0.0002673082063619,0.0021384656508954,0.0026730820636193,0.0005346164127238,0.0016038492381716,0.0,0.0,0.0002673082063619,0.0,0.0002673082063619,0.0002673082063619
2012-08-01,2012,8,28,1,1,0,8,1,6,0,10,1,6,5,1,1,0,0,0,0,1,1,68,68,71,4136,0.006769825918762,0.0002417794970986,0.0002417794970986,0.0,0.0019342359767891,0.0002417794970986,0.0014506769825918,0.0,0.0024177949709864,0.0002417794970986,0.0014506769825918,0.0012088974854932,0.0002417794970986,0.0002417794970986,0.0,0.0,0.0,0.0,0.0002417794970986,0.0002417794970986
2012-09-01,2012,9,34,0,2,1,8,0,18,3,12,2,3,18,0,6,2,1,0,0,5,0,105,105,115,4417,0.007697532261716,0.0,0.000452796015395,0.0002263980076975,0.0018111840615802,0.0,0.0040751641385555,0.0006791940230925,0.0027167760923703,0.000452796015395,0.0006791940230925,0.0040751641385555,0.0,0.0013583880461851,0.000452796015395,0.0002263980076975,0.0,0.0,0.0011319900384876,0.0
2012-10-01,2012,10,30,2,1,0,16,0,18,1,14,3,3,5,1,6,2,0,1,0,5,0,97,97,108,5949,0.005042864346949,0.0003361909564632,0.0001680954782316,0.0,0.0026895276517061,0.0,0.0030257186081694,0.0001680954782316,0.0023533366952428,0.0005042864346949,0.0005042864346949,0.0008404773911581,0.0001680954782316,0.0010085728693898,0.0003361909564632,0.0,0.0001680954782316,0.0,0.0008404773911581,0.0
