date,year,month,sudden-onset environmental disaster,environmental cooperation,environmental government initiatives,environmental security,environmental -999,environmental arrest,human-induced disaster,displacement,-999,environmental legal action,environmental opinion,slow-onset environmental disaster,environmental corruption,environmental crime,environmental legal change,environmental activism,environmental corporate initiatives,lethal environmental violence,environmental protests,nonlethal environmental violence,total_articles,total_from_source,total_label_events,total_local_docs,sudden-onset environmental disasterNorm,environmental cooperationNorm,environmental government initiativesNorm,environmental securityNorm,environmental -999Norm,environmental arrestNorm,human-induced disasterNorm,displacementNorm,-999Norm,environmental legal actionNorm,environmental opinionNorm,slow-onset environmental disasterNorm,environmental corruptionNorm,environmental crimeNorm,environmental legal changeNorm,environmental activismNorm,environmental corporate initiativesNorm,lethal environmental violenceNorm,environmental protestsNorm,nonlethal environmental violenceNorm
2012-01-01,2012,1,4,0,4,0,5,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,16,16,19,1242,0.003220611916264,0.0,0.003220611916264,0.0,0.0040257648953301,0.0,0.001610305958132,0.0,0.000805152979066,0.0,0.002415458937198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-01,2012,2,2,2,9,1,6,0,6,0,3,3,5,1,0,0,0,2,0,0,0,0,36,36,40,1221,0.0016380016380016,0.0016380016380016,0.0073710073710073,0.0008190008190008,0.0049140049140049,0.0,0.0049140049140049,0.0,0.0024570024570024,0.0024570024570024,0.004095004095004,0.0008190008190008,0.0,0.0,0.0,0.0016380016380016,0.0,0.0,0.0,0.0
2012-03-01,2012,3,3,0,0,0,9,0,7,0,2,0,3,5,0,1,0,0,2,0,0,0,30,30,32,1329,0.0022573363431151,0.0,0.0,0.0,0.0067720090293453,0.0,0.0052671181339352,0.0,0.00150489089541,0.0,0.0022573363431151,0.0037622272385252,0.0,0.000752445447705,0.0,0.0,0.00150489089541,0.0,0.0,0.0
2012-04-01,2012,4,11,0,4,0,9,0,5,1,3,0,6,1,0,0,0,1,0,0,0,0,35,35,41,1165,0.0094420600858369,0.0,0.0034334763948497,0.0,0.007725321888412,0.0,0.0042918454935622,0.0008583690987124,0.0025751072961373,0.0,0.0051502145922746,0.0008583690987124,0.0,0.0,0.0,0.0008583690987124,0.0,0.0,0.0,0.0
2012-05-01,2012,5,2,3,4,0,12,0,3,1,13,2,3,2,0,1,0,0,0,0,0,1,39,39,47,1276,0.0015673981191222,0.0023510971786833,0.0031347962382445,0.0,0.0094043887147335,0.0,0.0023510971786833,0.0007836990595611,0.0101880877742946,0.0015673981191222,0.0023510971786833,0.0015673981191222,0.0,0.0007836990595611,0.0,0.0,0.0,0.0,0.0,0.0007836990595611
2012-06-01,2012,6,5,0,1,0,6,0,3,0,8,0,4,3,0,0,0,0,0,0,0,0,28,28,30,1230,0.0040650406504065,0.0,0.0008130081300813,0.0,0.0048780487804878,0.0,0.0024390243902439,0.0,0.0065040650406504,0.0,0.0032520325203252,0.0024390243902439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-07-01,2012,7,5,0,3,1,10,0,4,0,9,0,1,0,0,2,2,0,2,0,0,0,38,38,39,1355,0.003690036900369,0.0,0.0022140221402214,0.0007380073800738,0.007380073800738,0.0,0.0029520295202952,0.0,0.0066420664206642,0.0,0.0007380073800738,0.0,0.0,0.0014760147601476,0.0014760147601476,0.0,0.0014760147601476,0.0,0.0,0.0
2012-08-01,2012,8,42,0,0,0,2,0,5,0,11,0,3,1,0,1,1,0,2,0,0,1,64,64,69,1460,0.0287671232876712,0.0,0.0,0.0,0.0013698630136986,0.0,0.0034246575342465,0.0,0.0075342465753424,0.0,0.0020547945205479,0.0006849315068493,0.0,0.0006849315068493,0.0006849315068493,0.0,0.0013698630136986,0.0,0.0,0.0006849315068493
2012-09-01,2012,9,5,1,3,0,7,0,4,0,7,0,2,0,0,0,2,0,0,0,0,0,28,28,31,1202,0.0041597337770382,0.0008319467554076,0.0024958402662229,0.0,0.0058236272878535,0.0,0.0033277870216306,0.0,0.0058236272878535,0.0,0.0016638935108153,0.0,0.0,0.0,0.0016638935108153,0.0,0.0,0.0,0.0,0.0
2012-10-01,2012,10,85,0,2,0,11,0,9,6,32,0,13,3,0,0,0,1,2,0,0,0,147,147,164,1424,0.059691011235955,0.0,0.0014044943820224,0.0,0.0077247191011235,0.0,0.0063202247191011,0.0042134831460674,0.0224719101123595,0.0,0.009129213483146,0.0021067415730337,0.0,0.0,0.0,0.0007022471910112,0.0014044943820224,0.0,0.0,0.0
2012-11-01,2012,11,27,0,2,0,8,0,8,1,18,0,8,1,0,0,1,0,1,0,0,0,68,68,75,1320,0.0204545454545454,0.0,0.0015151515151515,0.0,0.006060606060606,0.0,0.006060606060606,0.0007575757575757,0.0136363636363636,0.0,0.006060606060606,0.0007575757575757,0.0,0.0,0.0007575757575757,0.0,0.0007575757575757,0.0,0.0,0.0
2012-12-01,2012,12,4,3,0,0,7,0,10,0,6,0,2,2,0,3,0,1,1,0,0,0,35,35,39,1149,0.0034812880765883,0.0026109660574412,0.0,0.0,0.0060922541340295,0.0,0.0087032201914708,0.0,0.0052219321148825,0.0,0.0017406440382941,0.0017406440382941,0.0,0.0026109660574412,0.0,0.000870322019147,0.000870322019147,0.0,0.0,0.0
2013-01-01,2013,1,3,0,2,0,8,0,9,0,16,1,2,7,0,2,1,2,0,0,0,1,50,50,54,1259,0.0023828435266084,0.0,0.0015885623510722,0.0,0.0063542494042891,0.0,0.0071485305798252,0.0,0.0127084988085782,0.0007942811755361,0.0015885623510722,0.0055599682287529,0.0,0.0015885623510722,0.0007942811755361,0.0015885623510722,0.0,0.0,0.0,0.0007942811755361
2013-02-01,2013,2,1,1,3,0,10,0,5,0,6,0,3,2,0,0,0,1,1,0,0,0,30,30,33,1211,0.0008257638315441,0.0008257638315441,0.0024772914946325,0.0,0.0082576383154417,0.0,0.0041288191577208,0.0,0.004954582989265,0.0,0.0024772914946325,0.0016515276630883,0.0,0.0,0.0,0.0008257638315441,0.0008257638315441,0.0,0.0,0.0
2013-03-01,2013,3,5,0,4,1,9,0,9,0,6,1,4,5,0,1,1,0,0,0,0,0,40,40,46,1321,0.003785011355034,0.0,0.0030280090840272,0.0007570022710068,0.0068130204390613,0.0,0.0068130204390613,0.0,0.0045420136260408,0.0007570022710068,0.0030280090840272,0.003785011355034,0.0,0.0007570022710068,0.0007570022710068,0.0,0.0,0.0,0.0,0.0
2013-04-01,2013,4,5,0,5,0,23,0,7,1,14,0,6,3,2,1,2,1,2,0,2,0,56,56,74,1441,0.0034698126301179,0.0,0.0034698126301179,0.0,0.0159611380985426,0.0,0.0048577376821651,0.0006939625260235,0.0097154753643303,0.0,0.0041637751561415,0.0020818875780707,0.0013879250520471,0.0006939625260235,0.0013879250520471,0.0006939625260235,0.0013879250520471,0.0,0.0013879250520471,0.0
2013-05-01,2013,5,9,1,1,0,2,1,5,0,6,0,1,2,2,1,0,1,0,0,1,0,27,27,33,1456,0.0061813186813186,0.0006868131868131,0.0006868131868131,0.0,0.0013736263736263,0.0006868131868131,0.0034340659340659,0.0,0.0041208791208791,0.0,0.0006868131868131,0.0013736263736263,0.0013736263736263,0.0006868131868131,0.0,0.0006868131868131,0.0,0.0,0.0006868131868131,0.0
2013-06-01,2013,6,3,2,3,0,9,0,4,0,10,0,2,1,0,0,2,0,2,0,0,0,30,30,38,1357,0.002210759027266,0.0014738393515106,0.002210759027266,0.0,0.006632277081798,0.0,0.0029476787030213,0.0,0.0073691967575534,0.0,0.0014738393515106,0.0007369196757553,0.0,0.0,0.0014738393515106,0.0,0.0014738393515106,0.0,0.0,0.0
2013-07-01,2013,7,30,0,2,1,6,0,2,1,7,0,1,1,0,1,1,0,0,0,1,0,51,51,54,1387,0.0216294160057678,0.0,0.0014419610670511,0.0007209805335255,0.0043258832011535,0.0,0.0014419610670511,0.0007209805335255,0.0050468637346791,0.0,0.0007209805335255,0.0007209805335255,0.0,0.0007209805335255,0.0007209805335255,0.0,0.0,0.0,0.0007209805335255,0.0
2013-08-01,2013,8,6,1,3,0,5,0,5,1,3,0,8,2,0,1,0,0,1,0,0,0,30,30,36,1313,0.0045696877380045,0.0007616146230007,0.0022848438690022,0.0,0.0038080731150038,0.0,0.0038080731150038,0.0007616146230007,0.0022848438690022,0.0,0.006092916984006,0.0015232292460015,0.0,0.0007616146230007,0.0,0.0,0.0007616146230007,0.0,0.0,0.0
