date,year,month,sudden-onset environmental disaster,environmental cooperation,environmental government initiatives,environmental security,environmental -999,environmental arrest,human-induced disaster,displacement,-999,environmental legal action,environmental opinion,slow-onset environmental disaster,environmental corruption,environmental crime,environmental legal change,environmental activism,environmental corporate initiatives,lethal environmental violence,environmental protests,nonlethal environmental violence,total_articles,total_from_source,total_label_events,total_local_docs,sudden-onset environmental disasterNorm,environmental cooperationNorm,environmental government initiativesNorm,environmental securityNorm,environmental -999Norm,environmental arrestNorm,human-induced disasterNorm,displacementNorm,-999Norm,environmental legal actionNorm,environmental opinionNorm,slow-onset environmental disasterNorm,environmental corruptionNorm,environmental crimeNorm,environmental legal changeNorm,environmental activismNorm,environmental corporate initiativesNorm,lethal environmental violenceNorm,environmental protestsNorm,nonlethal environmental violenceNorm
2012-01-01,2012,1,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,404,0.0024752475247524,0.0,0.0049504950495049,0.0,0.0024752475247524,0.0,0.0024752475247524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-01,2012,2,4,0,1,0,2,0,1,1,3,0,3,0,0,0,0,0,0,0,0,0,13,13,15,378,0.0105820105820105,0.0,0.0026455026455026,0.0,0.0052910052910052,0.0,0.0026455026455026,0.0026455026455026,0.0079365079365079,0.0,0.0079365079365079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-01,2012,3,2,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,5,5,7,353,0.0056657223796034,0.0,0.0,0.0,0.0028328611898017,0.0028328611898017,0.0028328611898017,0.0,0.0028328611898017,0.0,0.0028328611898017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-04-01,2012,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,301,0.0099667774086378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-05-01,2012,5,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5,5,5,316,0.0094936708860759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031645569620253,0.0,0.0,0.0,0.0,0.0,0.0,0.0031645569620253,0.0,0.0,0.0,0.0
2012-06-01,2012,6,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5,5,5,268,0.003731343283582,0.0,0.003731343283582,0.0,0.003731343283582,0.0,0.003731343283582,0.0,0.003731343283582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-07-01,2012,7,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,5,5,293,0.0034129692832764,0.0034129692832764,0.0,0.0,0.0,0.0,0.0,0.0,0.0102389078498293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-08-01,2012,8,4,0,0,0,4,0,0,0,1,0,0,2,0,1,0,0,1,0,0,1,12,12,14,222,0.018018018018018,0.0,0.0,0.0,0.018018018018018,0.0,0.0,0.0,0.0045045045045045,0.0,0.0,0.009009009009009,0.0,0.0045045045045045,0.0,0.0,0.0045045045045045,0.0,0.0,0.0045045045045045
2012-09-01,2012,9,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,5,5,263,0.0114068441064638,0.0,0.0,0.0,0.0038022813688212,0.0,0.0,0.0,0.0,0.0,0.0,0.0038022813688212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-10-01,2012,10,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,5,5,5,361,0.002770083102493,0.002770083102493,0.0,0.0,0.002770083102493,0.0,0.0,0.0,0.002770083102493,0.0,0.0,0.002770083102493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
