date,year,month,sudden-onset environmental disaster,environmental cooperation,environmental government initiatives,environmental security,environmental -999,environmental arrest,human-induced disaster,displacement,-999,environmental legal action,environmental opinion,slow-onset environmental disaster,environmental corruption,environmental crime,environmental legal change,environmental activism,environmental corporate initiatives,lethal environmental violence,environmental protests,nonlethal environmental violence,total_articles,total_from_source,total_label_events,total_local_docs,sudden-onset environmental disasterNorm,environmental cooperationNorm,environmental government initiativesNorm,environmental securityNorm,environmental -999Norm,environmental arrestNorm,human-induced disasterNorm,displacementNorm,-999Norm,environmental legal actionNorm,environmental opinionNorm,slow-onset environmental disasterNorm,environmental corruptionNorm,environmental crimeNorm,environmental legal changeNorm,environmental activismNorm,environmental corporate initiativesNorm,lethal environmental violenceNorm,environmental protestsNorm,nonlethal environmental violenceNorm
2012-01-01,2012,1,2,1,0,0,5,1,2,1,46,0,1,0,0,0,0,3,0,0,0,0,59,59,62,597,0.0033500837520938,0.0016750418760469,0.0,0.0,0.0083752093802345,0.0016750418760469,0.0033500837520938,0.0016750418760469,0.0770519262981574,0.0,0.0016750418760469,0.0,0.0,0.0,0.0,0.0050251256281407,0.0,0.0,0.0,0.0
2012-02-01,2012,2,1,0,0,0,1,0,2,1,37,0,1,2,2,0,0,0,0,0,0,1,48,48,48,538,0.0018587360594795,0.0,0.0,0.0,0.0018587360594795,0.0,0.0037174721189591,0.0018587360594795,0.0687732342007435,0.0,0.0018587360594795,0.0037174721189591,0.0037174721189591,0.0,0.0,0.0,0.0,0.0,0.0,0.0018587360594795
2012-03-01,2012,3,0,0,0,0,3,0,2,0,17,0,5,0,0,0,0,0,0,0,0,0,23,23,27,580,0.0,0.0,0.0,0.0,0.0051724137931034,0.0,0.0034482758620689,0.0,0.0293103448275862,0.0,0.0086206896551724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-04-01,2012,4,0,0,1,0,3,0,0,0,7,0,1,0,0,0,0,0,0,0,1,0,12,12,13,890,0.0,0.0,0.0011235955056179,0.0,0.0033707865168539,0.0,0.0,0.0,0.0078651685393258,0.0,0.0011235955056179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011235955056179,0.0
2012-05-01,2012,5,1,0,0,0,2,0,1,0,8,4,2,0,0,0,0,0,0,0,0,0,18,18,18,868,0.0011520737327188,0.0,0.0,0.0,0.0023041474654377,0.0,0.0011520737327188,0.0,0.0092165898617511,0.0046082949308755,0.0023041474654377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-06-01,2012,6,0,0,1,0,5,0,2,0,13,2,3,1,0,0,0,1,2,0,1,0,25,25,31,873,0.0,0.0,0.0011454753722794,0.0,0.0057273768613974,0.0,0.0022909507445589,0.0,0.0148911798396334,0.0022909507445589,0.0034364261168384,0.0011454753722794,0.0,0.0,0.0,0.0011454753722794,0.0022909507445589,0.0,0.0011454753722794,0.0
2012-07-01,2012,7,0,0,0,0,3,0,3,0,15,0,4,0,0,0,1,0,0,0,1,1,26,26,28,882,0.0,0.0,0.0,0.0,0.0034013605442176,0.0,0.0034013605442176,0.0,0.0170068027210884,0.0,0.0045351473922902,0.0,0.0,0.0,0.0011337868480725,0.0,0.0,0.0,0.0011337868480725,0.0011337868480725
2012-08-01,2012,8,0,0,0,0,3,0,5,0,15,1,4,2,2,0,1,0,0,0,1,0,30,30,34,892,0.0,0.0,0.0,0.0,0.0033632286995515,0.0,0.0056053811659192,0.0,0.0168161434977578,0.0011210762331838,0.0044843049327354,0.0022421524663677,0.0022421524663677,0.0,0.0011210762331838,0.0,0.0,0.0,0.0011210762331838,0.0
2012-09-01,2012,9,0,0,1,0,5,1,2,0,20,1,4,5,0,0,1,0,0,0,0,2,40,40,42,984,0.0,0.0,0.0010162601626016,0.0,0.0050813008130081,0.0010162601626016,0.0020325203252032,0.0,0.0203252032520325,0.0010162601626016,0.0040650406504065,0.0050813008130081,0.0,0.0,0.0010162601626016,0.0,0.0,0.0,0.0,0.0020325203252032
2012-10-01,2012,10,1,0,1,1,4,0,2,1,14,0,4,1,0,3,0,0,0,0,2,0,32,32,34,1090,0.0009174311926605,0.0,0.0009174311926605,0.0009174311926605,0.0036697247706422,0.0,0.0018348623853211,0.0009174311926605,0.0128440366972477,0.0,0.0036697247706422,0.0009174311926605,0.0,0.0027522935779816,0.0,0.0,0.0,0.0,0.0018348623853211,0.0
