date,year,month,sudden-onset environmental disaster,environmental cooperation,environmental government initiatives,environmental security,environmental -999,environmental arrest,human-induced disaster,displacement,-999,environmental legal action,environmental opinion,slow-onset environmental disaster,environmental corruption,environmental crime,environmental legal change,environmental activism,environmental corporate initiatives,lethal environmental violence,environmental protests,nonlethal environmental violence,total_articles,total_from_source,total_label_events,total_local_docs,sudden-onset environmental disasterNorm,environmental cooperationNorm,environmental government initiativesNorm,environmental securityNorm,environmental -999Norm,environmental arrestNorm,human-induced disasterNorm,displacementNorm,-999Norm,environmental legal actionNorm,environmental opinionNorm,slow-onset environmental disasterNorm,environmental corruptionNorm,environmental crimeNorm,environmental legal changeNorm,environmental activismNorm,environmental corporate initiativesNorm,lethal environmental violenceNorm,environmental protestsNorm,nonlethal environmental violenceNorm
2012-01-01,2012,1,4,0,1,1,6,0,2,0,9,3,2,2,0,1,0,2,0,0,2,0,32,32,35,2294,0.001743679163034,0.0,0.0004359197907585,0.0004359197907585,0.002615518744551,0.0,0.000871839581517,0.0,0.0039232781168265,0.0013077593722755,0.000871839581517,0.000871839581517,0.0,0.0004359197907585,0.0,0.000871839581517,0.0,0.0,0.000871839581517,0.0
2012-02-01,2012,2,3,0,0,0,7,1,6,1,17,0,6,0,0,3,0,0,0,0,3,0,43,43,47,2419,0.0012401818933443,0.0,0.0,0.0,0.0028937577511368,0.0004133939644481,0.0024803637866887,0.0004133939644481,0.007027697395618,0.0,0.0024803637866887,0.0,0.0,0.0012401818933443,0.0,0.0,0.0,0.0,0.0012401818933443,0.0
2012-03-01,2012,3,6,0,0,0,9,0,15,1,26,3,4,2,0,3,1,2,0,0,2,0,61,61,74,2815,0.0021314387211367,0.0,0.0,0.0,0.0031971580817051,0.0,0.0053285968028419,0.0003552397868561,0.0092362344582593,0.0010657193605683,0.0014209591474245,0.0007104795737122,0.0,0.0010657193605683,0.0003552397868561,0.0007104795737122,0.0,0.0,0.0007104795737122,0.0
2012-04-01,2012,4,10,0,2,0,4,0,7,2,16,5,4,0,4,0,1,0,2,0,2,0,53,53,59,2655,0.0037664783427495,0.0,0.0007532956685499,0.0,0.0015065913370998,0.0,0.0026365348399246,0.0007532956685499,0.0060263653483992,0.0018832391713747,0.0015065913370998,0.0,0.0015065913370998,0.0,0.0003766478342749,0.0,0.0007532956685499,0.0,0.0007532956685499,0.0
2012-05-01,2012,5,6,0,0,0,4,1,7,0,7,0,1,1,0,0,0,0,0,0,4,0,29,29,31,2925,0.002051282051282,0.0,0.0,0.0,0.0013675213675213,0.0003418803418803,0.0023931623931623,0.0,0.0023931623931623,0.0,0.0003418803418803,0.0003418803418803,0.0,0.0,0.0,0.0,0.0,0.0,0.0013675213675213,0.0
2012-06-01,2012,6,5,0,2,0,10,0,14,0,14,1,3,4,0,2,0,1,0,0,3,1,51,51,60,2677,0.00186776242062,0.0,0.000747104968248,0.0,0.0037355248412401,0.0,0.0052297347777362,0.0,0.0052297347777362,0.000373552484124,0.001120657452372,0.001494209936496,0.0,0.000747104968248,0.0,0.000373552484124,0.0,0.0,0.001120657452372,0.000373552484124
2012-07-01,2012,7,4,0,0,0,8,0,10,0,9,2,4,6,1,4,0,4,0,0,4,0,46,46,56,2661,0.0015031942878617,0.0,0.0,0.0,0.0030063885757234,0.0,0.0037579857196542,0.0,0.0033821871476888,0.0007515971439308,0.0015031942878617,0.0022547914317925,0.0003757985719654,0.0015031942878617,0.0,0.0015031942878617,0.0,0.0,0.0015031942878617,0.0
2012-08-01,2012,8,4,0,2,0,6,0,8,0,1,1,4,8,0,1,0,0,0,0,1,0,35,35,36,2472,0.0016181229773462,0.0,0.0008090614886731,0.0,0.0024271844660194,0.0,0.0032362459546925,0.0,0.0004045307443365,0.0004045307443365,0.0016181229773462,0.0032362459546925,0.0,0.0004045307443365,0.0,0.0,0.0,0.0,0.0004045307443365,0.0
2012-09-01,2012,9,2,1,0,0,6,0,6,0,15,2,4,0,3,4,1,2,0,0,4,0,46,46,50,2642,0.0007570022710068,0.0003785011355034,0.0,0.0,0.0022710068130204,0.0,0.0022710068130204,0.0,0.005677517032551,0.0007570022710068,0.0015140045420136,0.0,0.0011355034065102,0.0015140045420136,0.0003785011355034,0.0007570022710068,0.0,0.0,0.0015140045420136,0.0
2012-10-01,2012,10,2,2,1,0,5,0,3,0,8,1,6,1,0,1,2,0,0,0,1,0,32,32,33,2660,0.0007518796992481,0.0007518796992481,0.000375939849624,0.0,0.0018796992481203,0.0,0.0011278195488721,0.0,0.0030075187969924,0.000375939849624,0.0022556390977443,0.000375939849624,0.0,0.000375939849624,0.0007518796992481,0.0,0.0,0.0,0.000375939849624,0.0
