date,year,month,sudden-onset environmental disaster,environmental cooperation,environmental government initiatives,environmental security,environmental -999,environmental arrest,human-induced disaster,displacement,-999,environmental legal action,environmental opinion,slow-onset environmental disaster,environmental corruption,environmental crime,environmental legal change,environmental activism,environmental corporate initiatives,lethal environmental violence,environmental protests,nonlethal environmental violence,total_articles,total_from_source,total_label_events,total_local_docs,sudden-onset environmental disasterNorm,environmental cooperationNorm,environmental government initiativesNorm,environmental securityNorm,environmental -999Norm,environmental arrestNorm,human-induced disasterNorm,displacementNorm,-999Norm,environmental legal actionNorm,environmental opinionNorm,slow-onset environmental disasterNorm,environmental corruptionNorm,environmental crimeNorm,environmental legal changeNorm,environmental activismNorm,environmental corporate initiativesNorm,lethal environmental violenceNorm,environmental protestsNorm,nonlethal environmental violenceNorm
2012-01-01,2012,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,4,4,4,179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0055865921787709,0.0,0.0,0.0055865921787709,0.0,0.0,0.0111731843575419,0.0,0.0,0.0,0.0,0.0
2012-02-01,2012,2,0,1,1,0,1,0,0,4,4,0,2,2,0,0,0,0,0,0,0,0,14,14,15,260,0.0,0.0038461538461538,0.0038461538461538,0.0,0.0038461538461538,0.0,0.0,0.0153846153846153,0.0153846153846153,0.0,0.0076923076923076,0.0076923076923076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-01,2012,3,0,1,0,0,3,0,0,3,4,0,0,1,0,0,0,0,0,0,0,0,10,10,12,631,0.0,0.0015847860538827,0.0,0.0,0.0047543581616481,0.0,0.0,0.0047543581616481,0.0063391442155309,0.0,0.0,0.0015847860538827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-04-01,2012,4,0,0,0,0,1,0,2,2,4,0,0,1,0,0,0,0,0,0,0,0,9,9,10,1681,0.0,0.0,0.0,0.0,0.0005948839976204,0.0,0.0011897679952409,0.0011897679952409,0.0023795359904818,0.0,0.0,0.0005948839976204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-05-01,2012,5,2,0,0,0,0,0,1,3,5,0,0,1,2,0,0,0,0,0,0,2,14,14,16,1568,0.0012755102040816,0.0,0.0,0.0,0.0,0.0,0.0006377551020408,0.0019132653061224,0.003188775510204,0.0,0.0,0.0006377551020408,0.0012755102040816,0.0,0.0,0.0,0.0,0.0,0.0,0.0012755102040816
2012-06-01,2012,6,0,0,1,0,1,0,0,3,5,0,1,2,0,0,0,0,1,0,0,0,12,12,14,1130,0.0,0.0,0.0008849557522123,0.0,0.0008849557522123,0.0,0.0,0.0026548672566371,0.0044247787610619,0.0,0.0008849557522123,0.0017699115044247,0.0,0.0,0.0,0.0,0.0008849557522123,0.0,0.0,0.0
2012-07-01,2012,7,0,0,0,0,2,0,4,3,4,0,0,3,0,1,0,0,0,0,0,0,17,17,17,1405,0.0,0.0,0.0,0.0,0.0014234875444839,0.0,0.0028469750889679,0.0021352313167259,0.0028469750889679,0.0,0.0,0.0021352313167259,0.0,0.0007117437722419,0.0,0.0,0.0,0.0,0.0,0.0
2012-08-01,2012,8,0,0,0,0,2,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1,7,7,9,924,0.0,0.0,0.0,0.0,0.0021645021645021,0.0,0.0,0.0032467532467532,0.0032467532467532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001082251082251
2012-09-01,2012,9,2,0,0,0,4,0,1,0,5,0,1,0,1,0,1,0,1,0,0,0,12,12,16,1309,0.001527883880825,0.0,0.0,0.0,0.0030557677616501,0.0,0.0007639419404125,0.0,0.0038197097020626,0.0,0.0007639419404125,0.0,0.0007639419404125,0.0,0.0007639419404125,0.0,0.0007639419404125,0.0,0.0,0.0
2012-10-01,2012,10,0,0,1,0,2,0,0,2,5,0,0,1,1,0,0,1,0,0,0,0,13,13,13,1770,0.0,0.0,0.0005649717514124,0.0,0.0011299435028248,0.0,0.0,0.0011299435028248,0.0028248587570621,0.0,0.0,0.0005649717514124,0.0005649717514124,0.0,0.0,0.0005649717514124,0.0,0.0,0.0,0.0
