date,year,month,sudden-onset environmental disaster,environmental cooperation,environmental government initiatives,environmental security,environmental -999,environmental arrest,human-induced disaster,displacement,-999,environmental legal action,environmental opinion,slow-onset environmental disaster,environmental corruption,environmental crime,environmental legal change,environmental activism,environmental corporate initiatives,lethal environmental violence,environmental protests,nonlethal environmental violence,total_articles,total_from_source,total_label_events,total_local_docs,sudden-onset environmental disasterNorm,environmental cooperationNorm,environmental government initiativesNorm,environmental securityNorm,environmental -999Norm,environmental arrestNorm,human-induced disasterNorm,displacementNorm,-999Norm,environmental legal actionNorm,environmental opinionNorm,slow-onset environmental disasterNorm,environmental corruptionNorm,environmental crimeNorm,environmental legal changeNorm,environmental activismNorm,environmental corporate initiativesNorm,lethal environmental violenceNorm,environmental protestsNorm,nonlethal environmental violenceNorm
2012-01-01,2012,1,0,0,2,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,6,6,6,304,0.0,0.0,0.006578947368421,0.0,0.0,0.0,0.0,0.0032894736842105,0.0,0.0,0.0,0.0098684210526315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-01,2012,2,1,0,0,0,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,6,6,6,372,0.0026881720430107,0.0,0.0,0.0,0.0,0.0,0.0026881720430107,0.0026881720430107,0.0026881720430107,0.0,0.0,0.0053763440860215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-01,2012,3,0,0,0,0,0,0,0,3,1,0,0,3,0,0,0,0,0,0,0,0,6,6,7,305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0098360655737704,0.0032786885245901,0.0,0.0,0.0098360655737704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-04-01,2012,4,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,2,0,6,6,6,316,0.0,0.0,0.0031645569620253,0.0,0.0,0.0,0.0,0.0031645569620253,0.0031645569620253,0.0,0.0,0.0031645569620253,0.0,0.0,0.0,0.0,0.0,0.0,0.0063291139240506,0.0
2012-05-01,2012,5,0,0,0,0,1,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,5,5,5,325,0.0,0.0,0.0,0.0,0.003076923076923,0.0,0.003076923076923,0.0,0.0061538461538461,0.0,0.0,0.003076923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-06-01,2012,6,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,2,0,6,6,6,157,0.0,0.0,0.0,0.0,0.0063694267515923,0.0,0.0063694267515923,0.0,0.0,0.0,0.0,0.0,0.0063694267515923,0.0063694267515923,0.0,0.0,0.0,0.0,0.0127388535031847,0.0
2012-07-01,2012,7,5,0,0,0,2,0,1,0,2,0,0,3,0,0,0,0,0,0,0,0,13,13,13,337,0.0148367952522255,0.0,0.0,0.0,0.0059347181008902,0.0,0.0029673590504451,0.0,0.0059347181008902,0.0,0.0,0.0089020771513353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-08-01,2012,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,4,4,204,0.0147058823529411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0049019607843137,0.0,0.0,0.0,0.0
2012-09-01,2012,9,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,222,0.0,0.0,0.0045045045045045,0.0,0.0045045045045045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-10-01,2012,10,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,3,109,0.0,0.0,0.0,0.0,0.0091743119266055,0.0,0.0,0.0,0.018348623853211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-11-01,2012,11,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,2,2,3,270,0.0,0.0,0.0,0.0,0.0,0.0,0.0037037037037037,0.0,0.0037037037037037,0.0,0.0,0.0,0.0,0.0037037037037037,0.0,0.0,0.0,0.0,0.0,0.0
2012-12-01,2012,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039682539682539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-01,2013,1,1,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,5,5,5,286,0.0034965034965034,0.0,0.0,0.0,0.0,0.0,0.0,0.0034965034965034,0.0069930069930069,0.0,0.0,0.0,0.0,0.0,0.0034965034965034,0.0,0.0,0.0,0.0,0.0
2013-02-01,2013,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0149253731343283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-01,2013,3,0,0,0,0,1,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,4,4,5,266,0.0,0.0,0.0,0.0,0.0037593984962406,0.0,0.0037593984962406,0.0,0.0075187969924812,0.0,0.0,0.0037593984962406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-04-01,2013,4,0,1,0,0,2,0,2,0,1,0,0,1,0,0,0,1,0,0,0,0,8,8,8,307,0.0,0.003257328990228,0.0,0.0,0.006514657980456,0.0,0.006514657980456,0.0,0.003257328990228,0.0,0.0,0.003257328990228,0.0,0.0,0.0,0.003257328990228,0.0,0.0,0.0,0.0
2013-05-01,2013,5,0,0,1,0,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,6,6,7,295,0.0,0.0,0.0033898305084745,0.0,0.0101694915254237,0.0,0.0033898305084745,0.0033898305084745,0.0,0.0,0.0,0.0033898305084745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-01,2013,6,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,2,274,0.0,0.0,0.0036496350364963,0.0,0.0,0.0,0.0,0.0,0.0036496350364963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-01,2013,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0136986301369863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-01,2013,8,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,3,3,79,0.0126582278481012,0.0,0.0126582278481012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0126582278481012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-01,2013,9,3,0,1,0,0,0,3,0,2,0,3,1,0,1,0,0,0,0,0,0,13,13,14,179,0.0167597765363128,0.0,0.0055865921787709,0.0,0.0,0.0,0.0167597765363128,0.0,0.0111731843575419,0.0,0.0167597765363128,0.0055865921787709,0.0,0.0055865921787709,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-01,2013,10,0,0,1,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,5,5,5,228,0.0,0.0,0.0043859649122807,0.0,0.0043859649122807,0.0,0.0087719298245614,0.0,0.0043859649122807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-01,2013,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,282,0.0,0.0,0.0035460992907801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-01,2013,12,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,3,3,4,253,0.0,0.0,0.0,0.0,0.0039525691699604,0.0,0.0,0.0,0.0079051383399209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039525691699604,0.0,0.0,0.0
2014-01-01,2014,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,5,5,5,295,0.0033898305084745,0.0,0.0033898305084745,0.0,0.0,0.0,0.0,0.0,0.0033898305084745,0.0,0.0033898305084745,0.0033898305084745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-02-01,2014,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,2,2,304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032894736842105,0.0,0.0,0.0032894736842105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-01,2014,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,102,0.0,0.0,0.0,0.0,0.0196078431372549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-01,2014,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,291,0.0,0.0,0.0,0.0,0.0,0.0,0.0034364261168384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-01,2014,5,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,4,4,256,0.0,0.0,0.00390625,0.0,0.0078125,0.0,0.0,0.0,0.00390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-01,2014,6,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,3,3,3,230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0043478260869565,0.008695652173913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-01,2014,7,1,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,5,5,5,243,0.0041152263374485,0.0,0.0,0.0,0.0,0.0,0.0041152263374485,0.0,0.0,0.0,0.0041152263374485,0.0082304526748971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-08-01,2014,8,1,1,0,1,0,0,1,0,3,0,0,2,0,1,0,0,0,0,1,0,10,10,11,325,0.003076923076923,0.003076923076923,0.0,0.003076923076923,0.0,0.0,0.003076923076923,0.0,0.0092307692307692,0.0,0.0,0.0061538461538461,0.0,0.003076923076923,0.0,0.0,0.0,0.0,0.003076923076923,0.0
2014-09-01,2014,9,1,0,2,0,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,7,7,9,370,0.0027027027027027,0.0,0.0054054054054054,0.0,0.0081081081081081,0.0,0.0027027027027027,0.0,0.0027027027027027,0.0027027027027027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-01,2014,10,0,0,1,0,4,0,2,0,3,0,2,1,0,0,0,0,0,0,0,0,11,11,13,374,0.0,0.0,0.0026737967914438,0.0,0.0106951871657754,0.0,0.0053475935828877,0.0,0.0080213903743315,0.0,0.0053475935828877,0.0026737967914438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-01,2014,11,1,0,4,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,10,10,11,411,0.0024330900243309,0.0,0.0097323600973236,0.0,0.0024330900243309,0.0,0.0,0.0,0.0024330900243309,0.0,0.0024330900243309,0.0024330900243309,0.0,0.0024330900243309,0.0,0.0,0.0024330900243309,0.0,0.0,0.0
2014-12-01,2014,12,0,0,1,0,2,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,7,7,7,522,0.0,0.0,0.0019157088122605,0.0,0.003831417624521,0.0,0.0057471264367816,0.0,0.0,0.0,0.0,0.0019157088122605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01,2015,1,0,0,0,0,4,0,1,0,6,0,1,0,0,0,1,0,0,0,0,0,12,12,13,463,0.0,0.0,0.0,0.0,0.0086393088552915,0.0,0.0021598272138228,0.0,0.0129589632829373,0.0,0.0021598272138228,0.0,0.0,0.0,0.0021598272138228,0.0,0.0,0.0,0.0,0.0
2015-02-01,2015,2,0,1,0,0,1,0,2,0,2,0,1,1,0,0,0,0,0,0,0,0,8,8,8,389,0.0,0.0025706940874035,0.0,0.0,0.0025706940874035,0.0,0.0051413881748071,0.0,0.0051413881748071,0.0,0.0025706940874035,0.0025706940874035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
