date,year,month,sudden-onset environmental disaster,environmental cooperation,environmental government initiatives,environmental security,environmental -999,environmental arrest,human-induced disaster,displacement,-999,environmental legal action,environmental opinion,slow-onset environmental disaster,environmental corruption,environmental crime,environmental legal change,environmental activism,environmental corporate initiatives,lethal environmental violence,environmental protests,nonlethal environmental violence,total_articles,total_from_source,total_label_events,total_local_docs,sudden-onset environmental disasterNorm,environmental cooperationNorm,environmental government initiativesNorm,environmental securityNorm,environmental -999Norm,environmental arrestNorm,human-induced disasterNorm,displacementNorm,-999Norm,environmental legal actionNorm,environmental opinionNorm,slow-onset environmental disasterNorm,environmental corruptionNorm,environmental crimeNorm,environmental legal changeNorm,environmental activismNorm,environmental corporate initiativesNorm,lethal environmental violenceNorm,environmental protestsNorm,nonlethal environmental violenceNorm
2012-01-01,2012,1,2,0,1,0,4,0,3,0,3,1,6,6,0,0,0,0,0,0,0,0,23,23,26,1184,0.0016891891891891,0.0,0.0008445945945945,0.0,0.0033783783783783,0.0,0.0025337837837837,0.0,0.0025337837837837,0.0008445945945945,0.0050675675675675,0.0050675675675675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-01,2012,2,1,0,0,0,1,0,8,0,3,7,4,5,0,0,0,1,0,0,3,0,32,32,33,1363,0.0007336757153338,0.0,0.0,0.0,0.0007336757153338,0.0,0.0058694057226705,0.0,0.0022010271460014,0.0051357300073367,0.0029347028613352,0.0036683785766691,0.0,0.0,0.0,0.0007336757153338,0.0,0.0,0.0022010271460014,0.0
2012-03-01,2012,3,34,0,0,0,1,0,7,1,13,1,1,3,0,1,0,0,0,0,3,0,62,62,65,1617,0.0210265924551638,0.0,0.0,0.0,0.0006184291898577,0.0,0.0043290043290043,0.0006184291898577,0.0080395794681508,0.0006184291898577,0.0006184291898577,0.0018552875695732,0.0,0.0006184291898577,0.0,0.0,0.0,0.0,0.0018552875695732,0.0
2012-04-01,2012,4,35,0,0,0,4,1,8,1,11,1,2,2,1,0,1,0,0,1,2,1,64,64,71,1538,0.0227568270481144,0.0,0.0,0.0,0.0026007802340702,0.0006501950585175,0.0052015604681404,0.0006501950585175,0.0071521456436931,0.0006501950585175,0.0013003901170351,0.0013003901170351,0.0006501950585175,0.0,0.0006501950585175,0.0,0.0,0.0006501950585175,0.0013003901170351,0.0006501950585175
2012-05-01,2012,5,40,0,0,0,5,0,3,0,11,2,2,3,1,1,0,2,0,0,2,0,65,65,72,1824,0.0219298245614035,0.0,0.0,0.0,0.0027412280701754,0.0,0.0016447368421052,0.0,0.0060307017543859,0.0010964912280701,0.0010964912280701,0.0016447368421052,0.000548245614035,0.000548245614035,0.0,0.0010964912280701,0.0,0.0,0.0010964912280701,0.0
2012-06-01,2012,6,18,0,0,0,4,0,5,0,10,3,1,2,0,1,1,1,0,1,1,0,44,44,48,2205,0.0081632653061224,0.0,0.0,0.0,0.001814058956916,0.0,0.0022675736961451,0.0,0.0045351473922902,0.001360544217687,0.000453514739229,0.000907029478458,0.0,0.000453514739229,0.000453514739229,0.000453514739229,0.0,0.000453514739229,0.000453514739229,0.0
2012-07-01,2012,7,4,0,0,0,0,0,12,0,4,0,2,3,0,1,1,0,0,0,2,0,28,28,29,1825,0.0021917808219178,0.0,0.0,0.0,0.0,0.0,0.0065753424657534,0.0,0.0021917808219178,0.0,0.0010958904109589,0.0016438356164383,0.0,0.0005479452054794,0.0005479452054794,0.0,0.0,0.0,0.0010958904109589,0.0
2012-08-01,2012,8,36,0,1,0,6,0,9,0,4,1,2,1,1,0,1,3,0,1,1,1,64,64,68,1721,0.020918070889018,0.0,0.0005810575246949,0.0,0.0034863451481696,0.0,0.0052295177222545,0.0,0.0023242300987797,0.0005810575246949,0.0011621150493898,0.0005810575246949,0.0005810575246949,0.0,0.0005810575246949,0.0017431725740848,0.0,0.0005810575246949,0.0005810575246949,0.0005810575246949
2012-09-01,2012,9,23,0,0,0,1,0,13,1,7,0,1,0,0,0,0,0,0,0,3,1,49,49,50,1517,0.015161502966381,0.0,0.0,0.0,0.000659195781147,0.0,0.008569545154911,0.000659195781147,0.004614370468029,0.0,0.000659195781147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001977587343441,0.000659195781147
2012-10-01,2012,10,38,0,1,1,10,1,21,0,22,5,4,11,1,1,0,1,0,1,5,1,112,112,124,2794,0.0136005726556907,0.0,0.0003579098067287,0.0003579098067287,0.003579098067287,0.0003579098067287,0.0075161059413027,0.0,0.0078740157480314,0.0017895490336435,0.0014316392269148,0.0039370078740157,0.0003579098067287,0.0003579098067287,0.0,0.0003579098067287,0.0,0.0003579098067287,0.0017895490336435,0.0003579098067287
