date,year,month,sudden-onset environmental disaster,environmental cooperation,environmental government initiatives,environmental security,environmental -999,environmental arrest,human-induced disaster,displacement,-999,environmental legal action,environmental opinion,slow-onset environmental disaster,environmental corruption,environmental crime,environmental legal change,environmental activism,environmental corporate initiatives,lethal environmental violence,environmental protests,nonlethal environmental violence,total_articles,total_from_source,total_label_events,total_local_docs,sudden-onset environmental disasterNorm,environmental cooperationNorm,environmental government initiativesNorm,environmental securityNorm,environmental -999Norm,environmental arrestNorm,human-induced disasterNorm,displacementNorm,-999Norm,environmental legal actionNorm,environmental opinionNorm,slow-onset environmental disasterNorm,environmental corruptionNorm,environmental crimeNorm,environmental legal changeNorm,environmental activismNorm,environmental corporate initiativesNorm,lethal environmental violenceNorm,environmental protestsNorm,nonlethal environmental violenceNorm
2012-01-01,2012,1,11,1,0,0,4,1,9,0,17,0,4,2,2,2,0,0,1,0,1,1,50,50,56,3591,0.0030632135895293,0.0002784739626844,0.0,0.0,0.0011138958507379,0.0002784739626844,0.0025062656641604,0.0,0.0047340573656363,0.0,0.0011138958507379,0.0005569479253689,0.0005569479253689,0.0005569479253689,0.0,0.0,0.0002784739626844,0.0,0.0002784739626844,0.0002784739626844
2012-02-01,2012,2,10,1,1,2,12,1,14,1,22,3,9,3,3,3,0,0,2,0,3,0,80,80,90,4820,0.0020746887966804,0.000207468879668,0.000207468879668,0.000414937759336,0.0024896265560165,0.000207468879668,0.0029045643153526,0.000207468879668,0.004564315352697,0.0006224066390041,0.0018672199170124,0.0006224066390041,0.0006224066390041,0.0006224066390041,0.0,0.0,0.000414937759336,0.0,0.0006224066390041,0.0
2012-03-01,2012,3,11,1,1,0,21,1,17,2,10,2,9,10,1,2,3,2,2,2,3,0,88,88,100,4968,0.0022141706924315,0.0002012882447665,0.0002012882447665,0.0,0.0042270531400966,0.0002012882447665,0.0034219001610305,0.000402576489533,0.002012882447665,0.000402576489533,0.0018115942028985,0.002012882447665,0.0002012882447665,0.000402576489533,0.0006038647342995,0.000402576489533,0.000402576489533,0.000402576489533,0.0006038647342995,0.0
2012-04-01,2012,4,28,0,4,0,14,1,20,2,18,2,15,10,1,3,0,1,1,3,3,2,116,116,128,5120,0.00546875,0.0,0.00078125,0.0,0.002734375,0.0001953125,0.00390625,0.000390625,0.003515625,0.000390625,0.0029296875,0.001953125,0.0001953125,0.0005859375,0.0,0.0001953125,0.0001953125,0.0005859375,0.0005859375,0.000390625
2012-05-01,2012,5,23,0,5,1,20,0,14,1,17,6,11,12,1,5,2,3,1,0,1,0,111,111,123,5683,0.0040471581910962,0.0,0.0008798169980644,0.0001759633996128,0.0035192679922576,0.0,0.0024634875945803,0.0001759633996128,0.0029913777934189,0.0010557803976772,0.0019355973957416,0.0021115607953545,0.0001759633996128,0.0008798169980644,0.0003519267992257,0.0005278901988386,0.0001759633996128,0.0,0.0001759633996128,0.0
2012-06-01,2012,6,25,1,2,0,26,0,19,2,25,4,23,16,2,2,0,1,5,1,4,1,139,139,159,5584,0.0044770773638968,0.0001790830945558,0.0003581661891117,0.0,0.0046561604584527,0.0,0.0034025787965616,0.0003581661891117,0.0044770773638968,0.0007163323782234,0.0041189111747851,0.0028653295128939,0.0003581661891117,0.0003581661891117,0.0,0.0001790830945558,0.0008954154727793,0.0001790830945558,0.0007163323782234,0.0001790830945558
2012-07-01,2012,7,30,0,5,0,12,1,14,3,32,3,4,18,2,5,1,0,2,1,2,2,125,125,137,5441,0.0055136923359676,0.0,0.0009189487226612,0.0,0.002205476934387,0.0001837897445322,0.0025730564234515,0.0005513692335967,0.0058812718250321,0.0005513692335967,0.000735158978129,0.0033082154015805,0.0003675794890645,0.0009189487226612,0.0001837897445322,0.0,0.0003675794890645,0.0001837897445322,0.0003675794890645,0.0003675794890645
2012-08-01,2012,8,40,0,8,1,15,1,25,2,18,2,7,12,0,1,1,0,0,3,2,2,130,130,140,5043,0.0079317866349395,0.0,0.0015863573269879,0.0001982946658734,0.0029744199881023,0.0001982946658734,0.0049573666468372,0.0003965893317469,0.0035693039857227,0.0003965893317469,0.0013880626611144,0.0023795359904818,0.0,0.0001982946658734,0.0001982946658734,0.0,0.0,0.0005948839976204,0.0003965893317469,0.0003965893317469
2012-09-01,2012,9,79,0,3,2,11,0,19,3,40,1,14,12,2,1,2,2,3,1,2,0,182,182,197,5403,0.0146215065704238,0.0,0.0005552470849528,0.0003701647233018,0.0020359059781602,0.0,0.0035165648713677,0.0005552470849528,0.0074032944660373,0.0001850823616509,0.002591153063113,0.0022209883398112,0.0003701647233018,0.0001850823616509,0.0003701647233018,0.0003701647233018,0.0005552470849528,0.0001850823616509,0.0003701647233018,0.0
2012-10-01,2012,10,35,0,6,2,8,1,6,0,21,1,8,4,2,3,0,1,1,0,3,2,98,98,104,5179,0.006758061401815,0.0,0.0011585248117397,0.0003861749372465,0.0015446997489862,0.0001930874686232,0.0011585248117397,0.0,0.004054836841089,0.0001930874686232,0.0015446997489862,0.0007723498744931,0.0003861749372465,0.0005792624058698,0.0,0.0001930874686232,0.0001930874686232,0.0,0.0005792624058698,0.0003861749372465
2012-11-01,2012,11,21,0,2,1,15,0,15,0,21,2,12,3,0,4,2,1,2,2,1,2,97,97,106,5022,0.0041816009557945,0.0,0.0003982477100756,0.0001991238550378,0.0029868578255675,0.0,0.0029868578255675,0.0,0.0041816009557945,0.0003982477100756,0.002389486260454,0.0005973715651135,0.0,0.0007964954201513,0.0003982477100756,0.0001991238550378,0.0003982477100756,0.0003982477100756,0.0001991238550378,0.0003982477100756
2012-12-01,2012,12,18,0,4,0,16,1,15,1,13,0,16,6,2,2,0,1,1,3,1,1,90,90,101,5363,0.0033563304120827,0.0,0.000745851202685,0.0,0.0029834048107402,0.0001864628006712,0.0027969420100689,0.0001864628006712,0.0024240164087264,0.0,0.0029834048107402,0.0011187768040275,0.0003729256013425,0.0003729256013425,0.0,0.0001864628006712,0.0001864628006712,0.0005593884020137,0.0001864628006712,0.0001864628006712
2013-01-01,2013,1,3,0,0,0,17,1,22,0,20,1,11,6,3,2,1,2,0,2,4,0,89,89,95,5242,0.0005723006486074,0.0,0.0,0.0,0.0032430370087752,0.0001907668828691,0.0041968714231209,0.0,0.0038153376573826,0.0001907668828691,0.0020984357115604,0.0011446012972148,0.0005723006486074,0.0003815337657382,0.0001907668828691,0.0003815337657382,0.0,0.0003815337657382,0.0007630675314765,0.0
2013-02-01,2013,2,30,1,3,0,14,0,17,1,19,2,15,6,1,2,2,1,0,2,2,1,109,109,119,5009,0.0059892194050708,0.0001996406468356,0.000598921940507,0.0,0.0027949690556997,0.0,0.0033938909962068,0.0001996406468356,0.0037931722898782,0.0003992812936713,0.0029946097025354,0.0011978438810141,0.0001996406468356,0.0003992812936713,0.0003992812936713,0.0001996406468356,0.0,0.0003992812936713,0.0003992812936713,0.0001996406468356
2013-03-01,2013,3,12,0,3,0,14,0,15,0,24,3,16,8,3,2,0,1,0,1,1,1,96,96,104,5675,0.0021145374449339,0.0,0.0005286343612334,0.0,0.0024669603524229,0.0,0.0026431718061674,0.0,0.0042290748898678,0.0005286343612334,0.0028193832599118,0.0014096916299559,0.0005286343612334,0.0003524229074889,0.0,0.0001762114537444,0.0,0.0001762114537444,0.0001762114537444,0.0001762114537444
2013-04-01,2013,4,57,0,5,1,13,0,10,1,17,1,15,5,1,5,0,2,2,0,2,2,126,126,139,5138,0.0110938108213312,0.0,0.0009731413001167,0.0001946282600233,0.0025301673803036,0.0,0.0019462826002335,0.0001946282600233,0.003308680420397,0.0001946282600233,0.0029194239003503,0.0009731413001167,0.0001946282600233,0.0009731413001167,0.0,0.0003892565200467,0.0003892565200467,0.0,0.0003892565200467,0.0003892565200467
2013-05-01,2013,5,15,0,5,1,16,0,9,1,25,2,9,21,2,2,2,1,1,2,1,1,105,105,116,5600,0.0026785714285714,0.0,0.0008928571428571,0.0001785714285714,0.0028571428571428,0.0,0.0016071428571428,0.0001785714285714,0.0044642857142857,0.0003571428571428,0.0016071428571428,0.00375,0.0003571428571428,0.0003571428571428,0.0003571428571428,0.0001785714285714,0.0001785714285714,0.0003571428571428,0.0001785714285714,0.0001785714285714
2013-06-01,2013,6,39,1,6,1,28,1,11,1,31,2,19,19,1,3,4,0,3,0,3,0,158,158,173,4925,0.0079187817258883,0.0002030456852791,0.0012182741116751,0.0002030456852791,0.0056852791878172,0.0002030456852791,0.002233502538071,0.0002030456852791,0.0062944162436548,0.0004060913705583,0.0038578680203045,0.0038578680203045,0.0002030456852791,0.0006091370558375,0.0008121827411167,0.0,0.0006091370558375,0.0,0.0006091370558375,0.0
2013-07-01,2013,7,28,0,7,2,25,1,12,2,17,4,21,13,4,2,3,2,2,0,6,1,135,135,152,5108,0.0054815974941268,0.0,0.0013703993735317,0.0003915426781519,0.0048942834768989,0.0001957713390759,0.0023492560689115,0.0003915426781519,0.0033281127642913,0.0007830853563038,0.0041111981205951,0.0025450274079874,0.0007830853563038,0.0003915426781519,0.0005873140172278,0.0003915426781519,0.0003915426781519,0.0,0.0011746280344557,0.0001957713390759
2013-08-01,2013,8,143,1,5,1,23,0,13,1,41,1,10,12,1,2,0,3,2,1,3,0,249,249,263,4920,0.0290650406504065,0.0002032520325203,0.0010162601626016,0.0002032520325203,0.0046747967479674,0.0,0.0026422764227642,0.0002032520325203,0.0083333333333333,0.0002032520325203,0.0020325203252032,0.0024390243902439,0.0002032520325203,0.0004065040650406,0.0,0.0006097560975609,0.0004065040650406,0.0002032520325203,0.0006097560975609,0.0
2013-09-01,2013,9,117,0,4,0,19,0,10,1,25,3,9,3,0,3,0,1,2,0,2,3,190,190,202,4762,0.0245695086098278,0.0,0.0008399832003359,0.0,0.0039899202015959,0.0,0.0020999580008399,0.0002099958000839,0.0052498950020999,0.0006299874002519,0.0018899622007559,0.0006299874002519,0.0,0.0006299874002519,0.0,0.0002099958000839,0.0004199916001679,0.0,0.0004199916001679,0.0006299874002519
2013-10-01,2013,10,34,1,2,2,15,2,5,0,12,2,8,5,2,4,0,0,0,2,2,0,94,94,98,4721,0.0072018640118618,0.0002118195297606,0.0004236390595212,0.0004236390595212,0.0031772929464096,0.0004236390595212,0.0010590976488032,0.0,0.0025418343571277,0.0004236390595212,0.0016945562380851,0.0010590976488032,0.0004236390595212,0.0008472781190425,0.0,0.0,0.0,0.0004236390595212,0.0004236390595212,0.0
2013-11-01,2013,11,17,1,1,1,19,3,7,0,16,1,13,6,2,1,0,0,1,3,2,1,87,87,95,4640,0.0036637931034482,0.0002155172413793,0.0002155172413793,0.0002155172413793,0.0040948275862068,0.0006465517241379,0.0015086206896551,0.0,0.0034482758620689,0.0002155172413793,0.002801724137931,0.0012931034482758,0.0004310344827586,0.0002155172413793,0.0,0.0,0.0002155172413793,0.0006465517241379,0.0004310344827586,0.0002155172413793
2013-12-01,2013,12,8,0,2,0,15,2,13,0,20,1,12,6,0,5,0,0,0,1,1,2,79,79,88,4361,0.0018344416418252,0.0,0.0004586104104563,0.0,0.0034395780784223,0.0004586104104563,0.002980967667966,0.0,0.0045861041045631,0.0002293052052281,0.0027516624627379,0.0013758312313689,0.0,0.0011465260261407,0.0,0.0,0.0,0.0002293052052281,0.0002293052052281,0.0004586104104563
