date,year,month,sudden-onset environmental disaster,environmental cooperation,environmental government initiatives,environmental security,environmental -999,environmental arrest,human-induced disaster,displacement,-999,environmental legal action,environmental opinion,slow-onset environmental disaster,environmental corruption,environmental crime,environmental legal change,environmental activism,environmental corporate initiatives,lethal environmental violence,environmental protests,nonlethal environmental violence,total_articles,total_from_source,total_label_events,total_local_docs,sudden-onset environmental disasterNorm,environmental cooperationNorm,environmental government initiativesNorm,environmental securityNorm,environmental -999Norm,environmental arrestNorm,human-induced disasterNorm,displacementNorm,-999Norm,environmental legal actionNorm,environmental opinionNorm,slow-onset environmental disasterNorm,environmental corruptionNorm,environmental crimeNorm,environmental legal changeNorm,environmental activismNorm,environmental corporate initiativesNorm,lethal environmental violenceNorm,environmental protestsNorm,nonlethal environmental violenceNorm
2012-01-01,2012,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,3,3,55,0.0363636363636363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0181818181818181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-01,2012,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,3,3,3,76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0263157894736842,0.0,0.0,0.0,0.0,0.0131578947368421,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-01,2012,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,2,2,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0123456790123456,0.0,0.0,0.0,0.0,0.0,0.0123456790123456,0.0,0.0,0.0,0.0
2012-04-01,2012,4,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,3,3,4,123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008130081300813,0.008130081300813,0.008130081300813,0.0,0.0,0.008130081300813,0.0,0.0,0.0,0.0,0.0,0.0
2012-05-01,2012,5,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,3,3,160,0.0,0.0,0.0,0.0,0.00625,0.0,0.0,0.0,0.00625,0.0,0.0,0.00625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-06-01,2012,6,0,0,0,0,2,0,0,0,3,0,0,0,0,1,0,1,0,1,0,1,9,9,9,287,0.0,0.0,0.0,0.0,0.0069686411149825,0.0,0.0,0.0,0.0104529616724738,0.0,0.0,0.0,0.0,0.0034843205574912,0.0,0.0034843205574912,0.0,0.0034843205574912,0.0,0.0034843205574912
2012-07-01,2012,7,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,140,0.0071428571428571,0.0,0.0,0.0,0.0071428571428571,0.0,0.0071428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-08-01,2012,8,0,0,0,0,0,0,3,0,1,2,0,2,0,0,0,0,0,0,0,0,7,7,8,145,0.0,0.0,0.0,0.0,0.0,0.0,0.0206896551724137,0.0,0.0068965517241379,0.0137931034482758,0.0,0.0137931034482758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-09-01,2012,9,3,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,7,7,7,162,0.0185185185185185,0.0,0.0,0.0,0.0061728395061728,0.0,0.0123456790123456,0.0,0.0,0.0,0.0,0.0,0.0,0.0061728395061728,0.0,0.0,0.0,0.0,0.0,0.0
2012-10-01,2012,10,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,5,5,5,130,0.0153846153846153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0153846153846153,0.0,0.0,0.0,0.0,0.0,0.0,0.0076923076923076,0.0
2012-11-01,2012,11,2,0,0,0,0,0,1,0,1,0,1,2,0,0,0,0,0,0,0,0,6,6,7,117,0.017094017094017,0.0,0.0,0.0,0.0,0.0,0.0085470085470085,0.0,0.0085470085470085,0.0,0.0085470085470085,0.017094017094017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-12-01,2012,12,1,0,0,0,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,6,6,6,155,0.0064516129032258,0.0,0.0,0.0,0.0129032258064516,0.0,0.0064516129032258,0.0,0.0064516129032258,0.0,0.0,0.0,0.0,0.0,0.0,0.0064516129032258,0.0,0.0,0.0,0.0
2013-01-01,2013,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,2,187,0.0053475935828877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0053475935828877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-01,2013,2,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,5,5,6,158,0.0,0.0,0.0,0.0063291139240506,0.0,0.0,0.0063291139240506,0.0,0.0063291139240506,0.0063291139240506,0.0,0.0063291139240506,0.0,0.0,0.0,0.0,0.0,0.0063291139240506,0.0,0.0
2013-03-01,2013,3,0,0,0,0,1,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,4,4,5,147,0.0,0.0,0.0,0.0,0.0068027210884353,0.0,0.0068027210884353,0.0,0.0136054421768707,0.0,0.0,0.0,0.0,0.0068027210884353,0.0,0.0,0.0,0.0,0.0,0.0
2013-04-01,2013,4,2,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,6,6,6,274,0.0072992700729927,0.0,0.0,0.0,0.0036496350364963,0.0,0.0072992700729927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036496350364963,0.0,0.0,0.0,0.0,0.0
2013-05-01,2013,5,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,4,4,4,196,0.0,0.0,0.0,0.0,0.0051020408163265,0.0,0.0051020408163265,0.0,0.0,0.0051020408163265,0.0,0.0051020408163265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-01,2013,6,3,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,6,6,6,211,0.0142180094786729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0047393364928909,0.0047393364928909,0.0047393364928909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
