date,year,month,sudden-onset environmental disaster,environmental cooperation,environmental government initiatives,environmental security,environmental -999,environmental arrest,human-induced disaster,displacement,-999,environmental legal action,environmental opinion,slow-onset environmental disaster,environmental corruption,environmental crime,environmental legal change,environmental activism,environmental corporate initiatives,lethal environmental violence,environmental protests,nonlethal environmental violence,total_articles,total_from_source,total_label_events,total_local_docs,sudden-onset environmental disasterNorm,environmental cooperationNorm,environmental government initiativesNorm,environmental securityNorm,environmental -999Norm,environmental arrestNorm,human-induced disasterNorm,displacementNorm,-999Norm,environmental legal actionNorm,environmental opinionNorm,slow-onset environmental disasterNorm,environmental corruptionNorm,environmental crimeNorm,environmental legal changeNorm,environmental activismNorm,environmental corporate initiativesNorm,lethal environmental violenceNorm,environmental protestsNorm,nonlethal environmental violenceNorm
2012-01-01,2012,1,51,1,10,2,20,1,14,4,28,10,6,3,1,11,5,5,0,0,4,1,166,166,177,3569,0.0142897170075651,0.0002801905295601,0.002801905295601,0.0005603810591202,0.005603810591202,0.0002801905295601,0.0039226674138414,0.0011207621182404,0.0078453348276828,0.002801905295601,0.0016811431773606,0.0008405715886803,0.0002801905295601,0.0030820958251611,0.0014009526478005,0.0014009526478005,0.0,0.0,0.0011207621182404,0.0002801905295601
2012-02-01,2012,2,76,3,3,0,25,0,19,3,47,4,6,3,6,1,4,2,5,0,1,2,192,192,210,3599,0.0211169769380383,0.000833564879133,0.000833564879133,0.0,0.0069463739927757,0.0,0.0052792442345095,0.000833564879133,0.0130591831064184,0.0011114198388441,0.0016671297582661,0.000833564879133,0.0016671297582661,0.000277854959711,0.0011114198388441,0.000555709919422,0.0013892747985551,0.0,0.000277854959711,0.000555709919422
2012-03-01,2012,3,28,0,5,1,27,0,9,2,32,14,9,1,0,6,5,7,2,0,3,3,140,140,154,3984,0.0070281124497991,0.0,0.0012550200803212,0.0002510040160642,0.0067771084337349,0.0,0.0022590361445783,0.0005020080321285,0.0080321285140562,0.0035140562248995,0.0022590361445783,0.0002510040160642,0.0,0.0015060240963855,0.0012550200803212,0.0017570281124497,0.0005020080321285,0.0,0.0007530120481927,0.0007530120481927
2012-04-01,2012,4,14,1,6,1,40,1,8,1,30,8,22,8,0,8,3,4,3,0,5,2,142,142,165,3726,0.0037573805689747,0.0002683843263553,0.001610305958132,0.0002683843263553,0.0107353730542136,0.0002683843263553,0.0021470746108427,0.0002683843263553,0.0080515297906602,0.0021470746108427,0.0059044551798174,0.0021470746108427,0.0,0.0021470746108427,0.000805152979066,0.0010735373054213,0.000805152979066,0.0,0.0013419216317767,0.0005367686527106
2012-05-01,2012,5,22,0,6,0,19,0,18,1,33,5,7,7,3,11,3,0,0,0,2,2,121,121,139,4424,0.0049728752260397,0.0,0.0013562386980108,0.0,0.0042947558770343,0.0,0.0040687160940325,0.0002260397830018,0.0074593128390596,0.001130198915009,0.0015822784810126,0.0015822784810126,0.0006781193490054,0.0024864376130198,0.0006781193490054,0.0,0.0,0.0,0.0004520795660036,0.0004520795660036
2012-06-01,2012,6,42,0,7,2,34,0,10,4,47,6,7,2,8,4,8,4,3,2,3,3,176,176,196,3873,0.010844306738962,0.0,0.0018073844564936,0.0005163955589981,0.0087787245029692,0.0,0.0025819777949909,0.0010327911179963,0.0121352956364575,0.0015491866769945,0.0018073844564936,0.0005163955589981,0.0020655822359927,0.0010327911179963,0.0020655822359927,0.0010327911179963,0.0007745933384972,0.0005163955589981,0.0007745933384972,0.0007745933384972
2012-07-01,2012,7,51,0,6,5,25,0,9,4,56,14,11,2,3,12,7,3,2,1,5,1,193,193,217,4260,0.0119718309859154,0.0,0.0014084507042253,0.0011737089201877,0.0058685446009389,0.0,0.002112676056338,0.0009389671361502,0.0131455399061032,0.0032863849765258,0.0025821596244131,0.0004694835680751,0.0007042253521126,0.0028169014084507,0.0016431924882629,0.0007042253521126,0.0004694835680751,0.0002347417840375,0.0011737089201877,0.0002347417840375
2012-08-01,2012,8,168,0,13,0,26,0,28,13,73,2,14,15,2,6,4,3,4,1,1,4,346,346,377,4674,0.0359435173299101,0.0,0.0027813436029097,0.0,0.0055626872058194,0.0,0.0059905862216516,0.0027813436029097,0.0156183140778776,0.0004278990158322,0.0029952931108258,0.0032092426187419,0.0004278990158322,0.0012836970474967,0.0008557980316645,0.0006418485237483,0.0008557980316645,0.0002139495079161,0.0002139495079161,0.0008557980316645
2012-09-01,2012,9,61,0,5,1,17,0,11,6,42,3,7,2,8,7,4,7,4,0,4,2,176,176,191,4334,0.01407475772958,0.0,0.001153668666359,0.0002307337332718,0.0039224734656206,0.0,0.0025380710659898,0.0013844023996308,0.0096908167974157,0.0006922011998154,0.0016151361329026,0.0004614674665436,0.0018458698661744,0.0016151361329026,0.0009229349330872,0.0016151361329026,0.0009229349330872,0.0,0.0009229349330872,0.0004614674665436
2012-10-01,2012,10,41,0,5,2,19,1,8,2,26,3,5,1,0,11,5,0,2,1,3,2,124,124,137,4710,0.0087048832271762,0.0,0.0010615711252653,0.0004246284501061,0.0040339702760084,0.000212314225053,0.0016985138004246,0.0004246284501061,0.00552016985138,0.0006369426751592,0.0010615711252653,0.000212314225053,0.0,0.0023354564755838,0.0010615711252653,0.0,0.0004246284501061,0.000212314225053,0.0006369426751592,0.0004246284501061
2012-11-01,2012,11,13,0,3,1,19,0,29,1,22,17,9,0,1,4,2,1,1,0,6,2,118,118,131,4180,0.0031100478468899,0.0,0.0007177033492822,0.0002392344497607,0.0045454545454545,0.0,0.0069377990430622,0.0002392344497607,0.0052631578947368,0.004066985645933,0.0021531100478468,0.0,0.0002392344497607,0.000956937799043,0.0004784688995215,0.0002392344497607,0.0002392344497607,0.0,0.0014354066985645,0.0004784688995215
2012-12-01,2012,12,147,0,2,0,24,0,8,5,51,5,13,4,0,11,1,3,2,0,3,4,257,257,283,4160,0.0353365384615384,0.0,0.0004807692307692,0.0,0.0057692307692307,0.0,0.0019230769230769,0.001201923076923,0.0122596153846153,0.001201923076923,0.003125,0.0009615384615384,0.0,0.0026442307692307,0.0002403846153846,0.0007211538461538,0.0004807692307692,0.0,0.0007211538461538,0.0009615384615384
2013-01-01,2013,1,37,1,4,1,12,0,12,5,21,5,5,4,1,1,2,3,2,1,5,2,108,108,124,4349,0.0085077029202115,0.0002299379167624,0.0009197516670498,0.0002299379167624,0.0027592550011496,0.0,0.0027592550011496,0.0011496895838123,0.0048286962520119,0.0011496895838123,0.0011496895838123,0.0009197516670498,0.0002299379167624,0.0002299379167624,0.0004598758335249,0.0006898137502874,0.0004598758335249,0.0002299379167624,0.0011496895838123,0.0004598758335249
2013-02-01,2013,2,37,0,3,0,19,1,24,1,20,6,11,2,3,3,0,0,1,0,5,2,126,126,138,4636,0.0079810181190681,0.0,0.0006471095772217,0.0,0.0040983606557377,0.0002157031924072,0.0051768766177739,0.0002157031924072,0.0043140638481449,0.0012942191544434,0.0023727351164797,0.0004314063848144,0.0006471095772217,0.0006471095772217,0.0,0.0,0.0002157031924072,0.0,0.0010785159620362,0.0004314063848144
