date,year,month,sudden-onset environmental disaster,environmental cooperation,environmental government initiatives,environmental security,environmental -999,environmental arrest,human-induced disaster,displacement,-999,environmental legal action,environmental opinion,slow-onset environmental disaster,environmental corruption,environmental crime,environmental legal change,environmental activism,environmental corporate initiatives,lethal environmental violence,environmental protests,nonlethal environmental violence,total_articles,total_from_source,total_label_events,total_local_docs,sudden-onset environmental disasterNorm,environmental cooperationNorm,environmental government initiativesNorm,environmental securityNorm,environmental -999Norm,environmental arrestNorm,human-induced disasterNorm,displacementNorm,-999Norm,environmental legal actionNorm,environmental opinionNorm,slow-onset environmental disasterNorm,environmental corruptionNorm,environmental crimeNorm,environmental legal changeNorm,environmental activismNorm,environmental corporate initiativesNorm,lethal environmental violenceNorm,environmental protestsNorm,nonlethal environmental violenceNorm
2012-01-01,2012,1,0,0,1,1,2,0,2,0,2,0,5,0,0,0,0,0,0,0,0,0,13,13,13,1117,0.0,0.0,0.000895255147717,0.000895255147717,0.0017905102954341,0.0,0.0017905102954341,0.0,0.0017905102954341,0.0,0.0044762757385854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-01,2012,2,1,1,2,1,2,1,0,0,0,0,4,1,1,2,0,2,0,0,0,0,17,17,18,1162,0.0008605851979345,0.0008605851979345,0.0017211703958691,0.0008605851979345,0.0017211703958691,0.0008605851979345,0.0,0.0,0.0,0.0,0.0034423407917383,0.0008605851979345,0.0008605851979345,0.0017211703958691,0.0,0.0017211703958691,0.0,0.0,0.0,0.0
2012-03-01,2012,3,3,0,3,0,4,0,3,0,7,0,5,2,1,1,0,0,1,0,0,0,23,23,30,1262,0.002377179080824,0.0,0.002377179080824,0.0,0.0031695721077654,0.0,0.002377179080824,0.0,0.0055467511885895,0.0,0.0039619651347068,0.0015847860538827,0.0007923930269413,0.0007923930269413,0.0,0.0,0.0007923930269413,0.0,0.0,0.0
2012-04-01,2012,4,4,0,0,0,3,0,2,0,5,0,2,1,0,1,2,1,0,0,0,0,18,18,21,1228,0.003257328990228,0.0,0.0,0.0,0.002442996742671,0.0,0.001628664495114,0.0,0.004071661237785,0.0,0.001628664495114,0.000814332247557,0.0,0.000814332247557,0.001628664495114,0.000814332247557,0.0,0.0,0.0,0.0
2012-05-01,2012,5,1,1,4,0,3,0,1,1,4,0,4,0,0,1,0,0,0,1,0,0,20,20,21,1299,0.0007698229407236,0.0007698229407236,0.0030792917628945,0.0,0.0023094688221709,0.0,0.0007698229407236,0.0007698229407236,0.0030792917628945,0.0,0.0030792917628945,0.0,0.0,0.0007698229407236,0.0,0.0,0.0,0.0007698229407236,0.0,0.0
2012-06-01,2012,6,0,0,2,0,7,0,4,0,6,0,9,2,1,1,1,0,0,0,0,0,29,29,33,1285,0.0,0.0,0.001556420233463,0.0,0.0054474708171206,0.0,0.003112840466926,0.0,0.0046692607003891,0.0,0.0070038910505836,0.001556420233463,0.0007782101167315,0.0007782101167315,0.0007782101167315,0.0,0.0,0.0,0.0,0.0
2012-07-01,2012,7,0,0,3,1,6,0,3,0,5,0,5,5,0,0,0,1,0,0,0,1,29,29,30,1432,0.0,0.0,0.0020949720670391,0.0006983240223463,0.0041899441340782,0.0,0.0020949720670391,0.0,0.0034916201117318,0.0,0.0034916201117318,0.0034916201117318,0.0,0.0,0.0,0.0006983240223463,0.0,0.0,0.0,0.0006983240223463
2012-08-01,2012,8,4,0,0,0,6,0,3,0,7,0,6,0,0,2,1,0,1,0,0,0,24,24,30,1404,0.0028490028490028,0.0,0.0,0.0,0.0042735042735042,0.0,0.0021367521367521,0.0,0.0049857549857549,0.0,0.0042735042735042,0.0,0.0,0.0014245014245014,0.0007122507122507,0.0,0.0007122507122507,0.0,0.0,0.0
2012-09-01,2012,9,2,0,2,0,2,0,0,0,5,0,13,2,0,1,1,1,1,0,0,2,29,29,32,1406,0.0014224751066856,0.0,0.0014224751066856,0.0,0.0014224751066856,0.0,0.0,0.0,0.003556187766714,0.0,0.0092460881934566,0.0014224751066856,0.0,0.0007112375533428,0.0007112375533428,0.0007112375533428,0.0007112375533428,0.0,0.0,0.0014224751066856
2012-10-01,2012,10,1,0,0,2,1,0,0,0,12,2,3,0,0,2,2,0,1,1,0,2,27,27,29,1498,0.000667556742323,0.0,0.0,0.0013351134846461,0.000667556742323,0.0,0.0,0.0,0.0080106809078771,0.0013351134846461,0.0020026702269692,0.0,0.0,0.0013351134846461,0.0013351134846461,0.0,0.000667556742323,0.000667556742323,0.0,0.0013351134846461
2012-11-01,2012,11,3,1,3,0,3,1,0,1,4,0,4,1,1,1,0,0,0,0,1,0,24,24,24,1489,0.0020147750167897,0.0006715916722632,0.0020147750167897,0.0,0.0020147750167897,0.0006715916722632,0.0,0.0006715916722632,0.002686366689053,0.0,0.002686366689053,0.0006715916722632,0.0006715916722632,0.0006715916722632,0.0,0.0,0.0,0.0,0.0006715916722632,0.0
2012-12-01,2012,12,0,0,3,0,4,0,4,0,5,0,1,2,0,0,0,1,1,0,0,0,20,20,21,1283,0.0,0.0,0.0023382696804364,0.0,0.0031176929072486,0.0,0.0031176929072486,0.0,0.0038971161340607,0.0,0.0007794232268121,0.0015588464536243,0.0,0.0,0.0,0.0007794232268121,0.0007794232268121,0.0,0.0,0.0
2013-01-01,2013,1,0,1,1,0,3,0,0,0,5,0,1,1,0,0,0,0,1,0,1,1,14,14,15,1262,0.0,0.0007923930269413,0.0007923930269413,0.0,0.002377179080824,0.0,0.0,0.0,0.0039619651347068,0.0,0.0007923930269413,0.0007923930269413,0.0,0.0,0.0,0.0,0.0007923930269413,0.0,0.0007923930269413,0.0007923930269413
2013-02-01,2013,2,3,0,5,0,4,1,1,0,6,1,2,2,0,1,1,0,0,0,0,0,26,26,27,1202,0.0024958402662229,0.0,0.0041597337770382,0.0,0.0033277870216306,0.0008319467554076,0.0008319467554076,0.0,0.0049916805324459,0.0008319467554076,0.0016638935108153,0.0016638935108153,0.0,0.0008319467554076,0.0008319467554076,0.0,0.0,0.0,0.0,0.0
2013-03-01,2013,3,0,0,2,0,5,0,1,0,9,0,3,0,1,0,1,0,0,0,0,0,20,20,22,1411,0.0,0.0,0.0014174344436569,0.0,0.0035435861091424,0.0,0.0007087172218284,0.0,0.0063784549964564,0.0,0.0021261516654854,0.0,0.0007087172218284,0.0,0.0007087172218284,0.0,0.0,0.0,0.0,0.0
2013-04-01,2013,4,2,0,0,0,5,0,2,0,4,0,4,1,0,0,0,0,0,0,0,0,15,15,18,1236,0.0016181229773462,0.0,0.0,0.0,0.0040453074433656,0.0,0.0016181229773462,0.0,0.0032362459546925,0.0,0.0032362459546925,0.0008090614886731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-01,2013,5,4,0,0,0,5,1,0,0,1,0,3,0,0,1,0,1,0,0,0,0,15,15,16,1314,0.0030441400304414,0.0,0.0,0.0,0.0038051750380517,0.0007610350076103,0.0,0.0,0.0007610350076103,0.0,0.002283105022831,0.0,0.0,0.0007610350076103,0.0,0.0007610350076103,0.0,0.0,0.0,0.0
2013-06-01,2013,6,0,1,3,0,8,0,2,1,8,1,3,0,0,0,0,2,0,0,0,0,26,26,29,1229,0.0,0.000813669650122,0.0024410089503661,0.0,0.0065093572009764,0.0,0.0016273393002441,0.000813669650122,0.0065093572009764,0.000813669650122,0.0024410089503661,0.0,0.0,0.0,0.0,0.0016273393002441,0.0,0.0,0.0,0.0
