date,year,month,sudden-onset environmental disaster,environmental cooperation,environmental government initiatives,environmental security,environmental -999,environmental arrest,human-induced disaster,displacement,-999,environmental legal action,environmental opinion,slow-onset environmental disaster,environmental corruption,environmental crime,environmental legal change,environmental activism,environmental corporate initiatives,lethal environmental violence,environmental protests,nonlethal environmental violence,total_articles,total_from_source,total_label_events,total_local_docs,sudden-onset environmental disasterNorm,environmental cooperationNorm,environmental government initiativesNorm,environmental securityNorm,environmental -999Norm,environmental arrestNorm,human-induced disasterNorm,displacementNorm,-999Norm,environmental legal actionNorm,environmental opinionNorm,slow-onset environmental disasterNorm,environmental corruptionNorm,environmental crimeNorm,environmental legal changeNorm,environmental activismNorm,environmental corporate initiativesNorm,lethal environmental violenceNorm,environmental protestsNorm,nonlethal environmental violenceNorm
2012-01-01,2012,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1004,0.0009960159362549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009960159362549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-01,2012,2,0,0,0,0,1,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,5,5,6,1228,0.0,0.0,0.0,0.0,0.000814332247557,0.0,0.001628664495114,0.000814332247557,0.001628664495114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-01,2012,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001763668430335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-04-01,2012,4,1,0,0,0,1,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,5,5,6,910,0.001098901098901,0.0,0.0,0.0,0.001098901098901,0.0,0.001098901098901,0.0,0.0021978021978021,0.0,0.0,0.0,0.0,0.0,0.0,0.001098901098901,0.0,0.0,0.0,0.0
2012-05-01,2012,5,0,0,0,0,1,0,4,0,3,0,0,0,1,0,0,0,0,0,0,0,7,7,9,953,0.0,0.0,0.0,0.0,0.0010493179433368,0.0,0.0041972717733473,0.0,0.0031479538300104,0.0,0.0,0.0,0.0010493179433368,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-06-01,2012,6,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,3,3,5,999,0.0,0.0,0.0,0.0,0.001001001001001,0.0,0.001001001001001,0.0,0.0,0.0,0.001001001001001,0.001001001001001,0.0,0.0,0.0,0.001001001001001,0.0,0.0,0.0,0.0
2012-07-01,2012,7,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,3,1155,0.0,0.0,0.0,0.0,0.0017316017316017,0.0,0.0,0.0,0.0008658008658008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-08-01,2012,8,19,0,1,0,2,0,1,1,6,0,0,1,0,0,0,0,0,0,1,0,29,29,32,1160,0.0163793103448275,0.0,0.0008620689655172,0.0,0.0017241379310344,0.0,0.0008620689655172,0.0008620689655172,0.0051724137931034,0.0,0.0,0.0008620689655172,0.0,0.0,0.0,0.0,0.0,0.0,0.0008620689655172,0.0
2012-09-01,2012,9,5,0,0,0,1,0,2,0,10,0,2,3,0,1,1,0,0,0,0,0,22,22,25,1120,0.0044642857142857,0.0,0.0,0.0,0.0008928571428571,0.0,0.0017857142857142,0.0,0.0089285714285714,0.0,0.0017857142857142,0.0026785714285714,0.0,0.0008928571428571,0.0008928571428571,0.0,0.0,0.0,0.0,0.0
2012-10-01,2012,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,2,2,1202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008319467554076,0.0,0.0,0.0,0.0,0.0,0.0,0.0008319467554076,0.0,0.0,0.0,0.0
2012-11-01,2012,11,1,0,1,0,1,0,3,0,3,0,1,0,0,1,0,0,2,0,0,0,10,10,13,1210,0.0008264462809917,0.0,0.0008264462809917,0.0,0.0008264462809917,0.0,0.0024793388429752,0.0,0.0024793388429752,0.0,0.0008264462809917,0.0,0.0,0.0008264462809917,0.0,0.0,0.0016528925619834,0.0,0.0,0.0
