date,year,month,sudden-onset environmental disaster,environmental cooperation,environmental government initiatives,environmental security,environmental -999,environmental arrest,human-induced disaster,displacement,-999,environmental legal action,environmental opinion,slow-onset environmental disaster,environmental corruption,environmental crime,environmental legal change,environmental activism,environmental corporate initiatives,lethal environmental violence,environmental protests,nonlethal environmental violence,total_articles,total_from_source,total_label_events,total_local_docs,sudden-onset environmental disasterNorm,environmental cooperationNorm,environmental government initiativesNorm,environmental securityNorm,environmental -999Norm,environmental arrestNorm,human-induced disasterNorm,displacementNorm,-999Norm,environmental legal actionNorm,environmental opinionNorm,slow-onset environmental disasterNorm,environmental corruptionNorm,environmental crimeNorm,environmental legal changeNorm,environmental activismNorm,environmental corporate initiativesNorm,lethal environmental violenceNorm,environmental protestsNorm,nonlethal environmental violenceNorm
2012-01-01,2012,1,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,4,5,40,0.075,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-01,2012,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,32,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-01,2012,3,1,1,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,5,5,6,43,0.0232558139534883,0.0232558139534883,0.0,0.0,0.0465116279069767,0.0,0.0,0.0232558139534883,0.0,0.0,0.0232558139534883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-04-01,2012,4,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,4,5,47,0.0,0.0,0.0,0.0,0.0638297872340425,0.0,0.0,0.0,0.0,0.0,0.0425531914893617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-05-01,2012,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,35,0.0,0.0,0.0,0.0,0.1142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-06-01,2012,6,1,1,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,6,6,6,43,0.0232558139534883,0.0232558139534883,0.0,0.0,0.0,0.0,0.0,0.0,0.0232558139534883,0.0,0.0465116279069767,0.0232558139534883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-07-01,2012,7,2,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,5,5,6,91,0.0219780219780219,0.0,0.0,0.0,0.0109890109890109,0.0,0.0,0.0,0.0,0.0,0.0109890109890109,0.0,0.0,0.0219780219780219,0.0,0.0,0.0,0.0,0.0,0.0
2012-08-01,2012,8,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,84,0.0238095238095238,0.0119047619047619,0.0,0.0,0.0119047619047619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-09-01,2012,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,75,0.0,0.0,0.0,0.0,0.0133333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-10-01,2012,10,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,5,5,5,58,0.0172413793103448,0.0,0.0,0.0,0.0172413793103448,0.0,0.0,0.0,0.0344827586206896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0172413793103448,0.0,0.0,0.0
2012-11-01,2012,11,0,1,0,0,5,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,9,9,9,70,0.0,0.0142857142857142,0.0,0.0,0.0714285714285714,0.0,0.0,0.0,0.0,0.0,0.0142857142857142,0.0142857142857142,0.0,0.0,0.0142857142857142,0.0,0.0,0.0,0.0,0.0
2012-12-01,2012,12,4,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,8,8,8,38,0.1052631578947368,0.0,0.0,0.0,0.0526315789473684,0.0,0.0,0.0,0.0263157894736842,0.0,0.0263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-01,2013,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,3,30,0.0333333333333333,0.0,0.0,0.0,0.0333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0333333333333333,0.0
2013-02-01,2013,2,42,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,45,45,46,82,0.5121951219512195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0365853658536585,0.0,0.0,0.0121951219512195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-01,2013,3,2,0,1,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,5,5,8,38,0.0526315789473684,0.0,0.0263157894736842,0.0,0.0789473684210526,0.0,0.0,0.0,0.0263157894736842,0.0,0.0263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-04-01,2013,4,2,0,0,0,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,7,7,7,60,0.0333333333333333,0.0,0.0,0.0,0.0333333333333333,0.0,0.0166666666666666,0.0,0.0166666666666666,0.0,0.0,0.0166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-01,2013,5,2,0,0,0,3,0,2,0,0,0,1,1,0,1,0,0,1,0,0,0,9,9,11,61,0.0327868852459016,0.0,0.0,0.0,0.0491803278688524,0.0,0.0327868852459016,0.0,0.0,0.0,0.0163934426229508,0.0163934426229508,0.0,0.0163934426229508,0.0,0.0,0.0163934426229508,0.0,0.0,0.0
2013-06-01,2013,6,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,3,4,44,0.0,0.0,0.0,0.0,0.0454545454545454,0.0,0.0,0.0,0.0227272727272727,0.0,0.0,0.0227272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-01,2013,7,0,1,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,5,5,6,60,0.0,0.0166666666666666,0.0,0.0,0.05,0.0,0.0,0.0,0.0166666666666666,0.0,0.0,0.0166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-01,2013,8,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,3,3,3,67,0.0,0.0,0.0,0.0,0.0,0.0,0.0149253731343283,0.0,0.0149253731343283,0.0,0.0149253731343283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-01,2013,9,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,4,4,4,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0196078431372549,0.0,0.0588235294117647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-01,2013,10,0,0,0,0,1,0,1,4,2,0,1,0,0,0,0,0,0,0,0,0,8,8,9,63,0.0,0.0,0.0,0.0,0.0158730158730158,0.0,0.0158730158730158,0.0634920634920634,0.0317460317460317,0.0,0.0158730158730158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-01,2013,11,2,0,0,0,2,0,2,1,3,0,1,2,0,0,0,0,0,0,0,0,10,10,13,40,0.05,0.0,0.0,0.0,0.05,0.0,0.05,0.025,0.075,0.0,0.025,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-01,2013,12,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,3,3,40,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-01,2014,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,164,0.0,0.0,0.0,0.0,0.0060975609756097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-02-01,2014,2,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,183,0.0109289617486338,0.0,0.0054644808743169,0.0,0.0163934426229508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-01,2014,3,0,0,0,0,1,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,4,4,5,295,0.0,0.0,0.0,0.0,0.0033898305084745,0.0,0.0,0.0,0.0033898305084745,0.0,0.0033898305084745,0.0,0.0,0.0067796610169491,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-01,2014,4,49,1,1,0,2,0,3,2,12,0,2,1,0,0,1,0,0,0,2,0,73,73,76,541,0.0905730129390018,0.0018484288354898,0.0018484288354898,0.0,0.0036968576709796,0.0,0.0055452865064695,0.0036968576709796,0.022181146025878,0.0,0.0036968576709796,0.0018484288354898,0.0,0.0,0.0018484288354898,0.0,0.0,0.0,0.0036968576709796,0.0
2014-05-01,2014,5,11,0,0,0,3,1,0,1,2,1,0,1,1,1,0,1,0,0,1,1,21,21,25,425,0.0258823529411764,0.0,0.0,0.0,0.0070588235294117,0.0023529411764705,0.0,0.0023529411764705,0.0047058823529411,0.0023529411764705,0.0,0.0023529411764705,0.0023529411764705,0.0023529411764705,0.0,0.0023529411764705,0.0,0.0,0.0023529411764705,0.0023529411764705
2014-06-01,2014,6,4,2,3,0,5,0,0,0,7,1,3,0,0,0,0,1,2,0,0,0,27,27,28,532,0.0075187969924812,0.0037593984962406,0.0056390977443609,0.0,0.0093984962406015,0.0,0.0,0.0,0.0131578947368421,0.0018796992481203,0.0056390977443609,0.0,0.0,0.0,0.0,0.0018796992481203,0.0037593984962406,0.0,0.0,0.0
2014-07-01,2014,7,4,1,1,0,8,0,1,0,7,0,1,2,0,0,0,0,1,0,0,0,25,25,26,515,0.0077669902912621,0.0019417475728155,0.0019417475728155,0.0,0.0155339805825242,0.0,0.0019417475728155,0.0,0.0135922330097087,0.0,0.0019417475728155,0.003883495145631,0.0,0.0,0.0,0.0,0.0019417475728155,0.0,0.0,0.0
2014-08-01,2014,8,2,0,0,0,4,0,0,3,8,0,4,1,2,1,0,2,0,0,1,1,26,26,29,553,0.0036166365280289,0.0,0.0,0.0,0.0072332730560578,0.0,0.0,0.0054249547920434,0.0144665461121157,0.0,0.0072332730560578,0.0018083182640144,0.0036166365280289,0.0018083182640144,0.0,0.0036166365280289,0.0,0.0,0.0018083182640144,0.0018083182640144
2014-09-01,2014,9,3,0,1,1,4,0,4,2,4,1,5,3,0,1,1,0,0,0,1,0,27,27,31,565,0.0053097345132743,0.0,0.0017699115044247,0.0017699115044247,0.0070796460176991,0.0,0.0070796460176991,0.0035398230088495,0.0070796460176991,0.0017699115044247,0.0088495575221238,0.0053097345132743,0.0,0.0017699115044247,0.0017699115044247,0.0,0.0,0.0,0.0017699115044247,0.0
2014-10-01,2014,10,1,0,2,0,1,0,0,0,2,0,3,0,0,0,0,1,0,0,0,0,8,8,10,420,0.0023809523809523,0.0,0.0047619047619047,0.0,0.0023809523809523,0.0,0.0,0.0,0.0047619047619047,0.0,0.0071428571428571,0.0,0.0,0.0,0.0,0.0023809523809523,0.0,0.0,0.0,0.0
2014-11-01,2014,11,1,0,0,0,3,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,7,7,9,535,0.0018691588785046,0.0,0.0,0.0,0.005607476635514,0.0,0.0,0.0,0.0037383177570093,0.0018691588785046,0.0037383177570093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-01,2014,12,1,0,0,0,3,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,8,8,9,368,0.0027173913043478,0.0,0.0,0.0,0.0081521739130434,0.0,0.0027173913043478,0.0,0.0027173913043478,0.0,0.0027173913043478,0.0,0.0,0.0027173913043478,0.0027173913043478,0.0,0.0,0.0,0.0,0.0
