date,year,month,sudden-onset environmental disaster,environmental cooperation,environmental government initiatives,environmental security,environmental -999,environmental arrest,human-induced disaster,displacement,-999,environmental legal action,environmental opinion,slow-onset environmental disaster,environmental corruption,environmental crime,environmental legal change,environmental activism,environmental corporate initiatives,lethal environmental violence,environmental protests,nonlethal environmental violence,total_articles,total_from_source,total_label_events,total_local_docs,sudden-onset environmental disasterNorm,environmental cooperationNorm,environmental government initiativesNorm,environmental securityNorm,environmental -999Norm,environmental arrestNorm,human-induced disasterNorm,displacementNorm,-999Norm,environmental legal actionNorm,environmental opinionNorm,slow-onset environmental disasterNorm,environmental corruptionNorm,environmental crimeNorm,environmental legal changeNorm,environmental activismNorm,environmental corporate initiativesNorm,lethal environmental violenceNorm,environmental protestsNorm,nonlethal environmental violenceNorm
2012-01-01,2012,1,13,0,1,2,7,0,5,0,6,3,4,4,0,4,0,0,0,0,0,2,49,49,51,1619,0.0080296479308214,0.0,0.0006176652254478,0.0012353304508956,0.0043236565781346,0.0,0.003088326127239,0.0,0.0037059913526868,0.0018529956763434,0.0024706609017912,0.0024706609017912,0.0,0.0024706609017912,0.0,0.0,0.0,0.0,0.0,0.0012353304508956
2012-02-01,2012,2,2,0,0,0,3,3,11,0,9,5,4,4,1,3,0,1,0,0,1,0,42,42,47,1639,0.0012202562538133,0.0,0.0,0.0,0.0018303843807199,0.0018303843807199,0.0067114093959731,0.0,0.0054911531421598,0.0030506406345332,0.0024405125076266,0.0024405125076266,0.0006101281269066,0.0018303843807199,0.0,0.0006101281269066,0.0,0.0,0.0006101281269066,0.0
2012-03-01,2012,3,8,0,0,3,12,0,7,0,10,3,5,3,0,10,0,0,0,1,1,1,59,59,64,1822,0.0043907793633369,0.0,0.0,0.0016465422612513,0.0065861690450054,0.0,0.0038419319429198,0.0,0.0054884742041712,0.0016465422612513,0.0027442371020856,0.0016465422612513,0.0,0.0054884742041712,0.0,0.0,0.0,0.0005488474204171,0.0005488474204171,0.0005488474204171
2012-04-01,2012,4,4,0,1,1,7,1,6,0,6,2,1,0,2,4,1,0,0,3,1,1,37,37,41,1326,0.0030165912518853,0.0,0.0007541478129713,0.0007541478129713,0.0052790346907993,0.0007541478129713,0.004524886877828,0.0,0.004524886877828,0.0015082956259426,0.0007541478129713,0.0,0.0015082956259426,0.0030165912518853,0.0007541478129713,0.0,0.0,0.002262443438914,0.0007541478129713,0.0007541478129713
2012-05-01,2012,5,4,0,1,0,6,1,4,0,10,0,3,2,0,6,0,2,0,1,1,1,36,36,42,1207,0.0033140016570008,0.0,0.0008285004142502,0.0,0.0049710024855012,0.0008285004142502,0.0033140016570008,0.0,0.008285004142502,0.0,0.0024855012427506,0.0016570008285004,0.0,0.0049710024855012,0.0,0.0016570008285004,0.0,0.0008285004142502,0.0008285004142502,0.0008285004142502
2012-06-01,2012,6,2,0,1,0,12,0,6,0,5,1,3,0,0,2,1,1,0,0,1,1,30,30,36,1139,0.0017559262510974,0.0,0.0008779631255487,0.0,0.0105355575065847,0.0,0.0052677787532923,0.0,0.0043898156277436,0.0008779631255487,0.0026338893766461,0.0,0.0,0.0017559262510974,0.0008779631255487,0.0008779631255487,0.0,0.0,0.0008779631255487,0.0008779631255487
2012-07-01,2012,7,2,1,0,0,0,1,4,0,7,0,5,0,0,5,0,0,0,0,0,0,24,24,25,1365,0.0014652014652014,0.0007326007326007,0.0,0.0,0.0,0.0007326007326007,0.0029304029304029,0.0,0.0051282051282051,0.0,0.0036630036630036,0.0,0.0,0.0036630036630036,0.0,0.0,0.0,0.0,0.0,0.0
2012-08-01,2012,8,7,0,1,0,13,2,5,1,12,3,1,3,7,5,2,2,1,6,6,10,75,75,87,2424,0.0028877887788778,0.0,0.0004125412541254,0.0,0.0053630363036303,0.0008250825082508,0.002062706270627,0.0004125412541254,0.0049504950495049,0.0012376237623762,0.0004125412541254,0.0012376237623762,0.0028877887788778,0.002062706270627,0.0008250825082508,0.0008250825082508,0.0004125412541254,0.0024752475247524,0.0024752475247524,0.0041254125412541
2012-09-01,2012,9,7,0,1,0,11,0,16,0,11,4,2,2,2,0,1,0,0,1,5,6,61,61,69,2165,0.0032332563510392,0.0,0.0004618937644341,0.0,0.0050808314087759,0.0,0.0073903002309468,0.0,0.0050808314087759,0.0018475750577367,0.0009237875288683,0.0009237875288683,0.0009237875288683,0.0,0.0004618937644341,0.0,0.0,0.0004618937644341,0.0023094688221709,0.002771362586605
2012-10-01,2012,10,9,0,2,3,9,1,12,0,18,0,5,0,4,5,0,0,0,3,3,6,68,68,80,2373,0.0037926675094816,0.0,0.000842815002107,0.0012642225031605,0.0037926675094816,0.0004214075010535,0.0050568900126422,0.0,0.0075853350189633,0.0,0.0021070375052675,0.0,0.001685630004214,0.0021070375052675,0.0,0.0,0.0,0.0012642225031605,0.0012642225031605,0.0025284450063211
2012-11-01,2012,11,2,1,0,2,3,2,6,0,12,2,6,2,3,2,1,0,0,2,0,1,42,42,47,1879,0.0010643959552953,0.0005321979776476,0.0,0.0010643959552953,0.001596593932943,0.0010643959552953,0.0031931878658861,0.0,0.0063863757317722,0.0010643959552953,0.0031931878658861,0.0010643959552953,0.001596593932943,0.0010643959552953,0.0005321979776476,0.0,0.0,0.0010643959552953,0.0,0.0005321979776476
2012-12-01,2012,12,5,0,0,3,1,3,0,2,6,0,1,1,0,8,0,0,0,1,1,0,32,32,32,1242,0.0040257648953301,0.0,0.0,0.002415458937198,0.000805152979066,0.002415458937198,0.0,0.001610305958132,0.0048309178743961,0.0,0.000805152979066,0.000805152979066,0.0,0.0064412238325281,0.0,0.0,0.0,0.000805152979066,0.000805152979066,0.0
2013-01-01,2013,1,19,0,1,2,13,1,5,6,16,0,1,2,1,7,0,0,0,0,0,2,66,66,76,1442,0.0131761442441054,0.0,0.0006934812760055,0.001386962552011,0.0090152565880721,0.0006934812760055,0.0034674063800277,0.0041608876560332,0.0110957004160887,0.0,0.0006934812760055,0.001386962552011,0.0006934812760055,0.0048543689320388,0.0,0.0,0.0,0.0,0.0,0.001386962552011
2013-02-01,2013,2,1,0,2,0,13,1,3,0,20,1,7,2,2,6,0,1,1,0,0,3,56,56,63,1888,0.0005296610169491,0.0,0.0010593220338983,0.0,0.0068855932203389,0.0005296610169491,0.0015889830508474,0.0,0.010593220338983,0.0005296610169491,0.003707627118644,0.0010593220338983,0.0010593220338983,0.0031779661016949,0.0,0.0005296610169491,0.0005296610169491,0.0,0.0,0.0015889830508474
2013-03-01,2013,3,2,0,4,0,21,3,13,1,13,0,6,6,0,11,1,1,0,2,0,2,73,73,86,1922,0.0010405827263267,0.0,0.0020811654526534,0.0,0.0109261186264308,0.0015608740894901,0.0067637877211238,0.0005202913631633,0.0067637877211238,0.0,0.0031217481789802,0.0031217481789802,0.0,0.005723204994797,0.0005202913631633,0.0005202913631633,0.0,0.0010405827263267,0.0,0.0010405827263267
2013-04-01,2013,4,4,0,0,0,14,1,9,1,11,2,8,2,0,9,3,2,2,0,0,4,62,62,72,1726,0.0023174971031286,0.0,0.0,0.0,0.0081112398609501,0.0005793742757821,0.0052143684820393,0.0005793742757821,0.0063731170336037,0.0011587485515643,0.0046349942062572,0.0011587485515643,0.0,0.0052143684820393,0.0017381228273464,0.0011587485515643,0.0011587485515643,0.0,0.0,0.0023174971031286
2013-05-01,2013,5,0,0,2,2,17,1,8,0,14,3,5,3,0,8,0,0,1,1,1,3,63,63,69,1867,0.0,0.0,0.0010712372790573,0.0010712372790573,0.0091055168719871,0.0005356186395286,0.0042849491162292,0.0,0.0074986609534011,0.0016068559185859,0.0026780931976432,0.0016068559185859,0.0,0.0042849491162292,0.0,0.0,0.0005356186395286,0.0005356186395286,0.0005356186395286,0.0016068559185859
2013-06-01,2013,6,2,0,1,0,17,3,7,1,15,1,12,7,2,6,0,0,0,0,1,0,69,69,75,1934,0.0010341261633919,0.0,0.0005170630816959,0.0,0.0087900723888314,0.0015511892450879,0.0036194415718717,0.0005170630816959,0.0077559462254395,0.0005170630816959,0.0062047569803516,0.0036194415718717,0.0010341261633919,0.0031023784901758,0.0,0.0,0.0,0.0,0.0005170630816959,0.0
2013-07-01,2013,7,1,0,1,0,8,3,5,0,10,1,2,2,0,5,0,1,2,1,1,0,36,36,43,1843,0.0005425935973955,0.0,0.0005425935973955,0.0,0.0043407487791644,0.0016277807921866,0.0027129679869777,0.0,0.0054259359739555,0.0005425935973955,0.0010851871947911,0.0010851871947911,0.0,0.0027129679869777,0.0,0.0005425935973955,0.0010851871947911,0.0005425935973955,0.0005425935973955,0.0
2013-08-01,2013,8,2,0,1,1,8,2,11,1,7,2,2,1,1,5,0,0,1,0,1,0,37,37,46,1585,0.0012618296529968,0.0,0.0006309148264984,0.0006309148264984,0.0050473186119873,0.0012618296529968,0.0069400630914826,0.0006309148264984,0.0044164037854889,0.0012618296529968,0.0012618296529968,0.0006309148264984,0.0006309148264984,0.0031545741324921,0.0,0.0,0.0006309148264984,0.0,0.0006309148264984,0.0
2013-09-01,2013,9,2,0,2,1,12,2,6,0,9,4,8,1,1,1,0,2,1,2,1,0,48,48,55,1747,0.0011448196908986,0.0,0.0011448196908986,0.0005724098454493,0.0068689181453921,0.0011448196908986,0.003434459072696,0.0,0.005151688609044,0.0022896393817973,0.0045792787635947,0.0005724098454493,0.0005724098454493,0.0005724098454493,0.0,0.0011448196908986,0.0005724098454493,0.0011448196908986,0.0005724098454493,0.0
2013-10-01,2013,10,3,0,2,1,9,1,6,0,10,0,11,1,0,7,4,0,2,1,3,0,55,55,61,2131,0.001407789770061,0.0,0.000938526513374,0.000469263256687,0.004223369310183,0.000469263256687,0.002815579540122,0.0,0.00469263256687,0.0,0.005161895823557,0.000469263256687,0.0,0.003284842796809,0.001877053026748,0.0,0.000938526513374,0.000469263256687,0.001407789770061,0.0
2013-11-01,2013,11,8,0,0,2,13,1,7,1,17,2,3,2,2,6,0,1,0,1,1,3,66,66,70,2062,0.0038797284190106,0.0,0.0,0.0009699321047526,0.0063045586808923,0.0004849660523763,0.0033947623666343,0.0004849660523763,0.0082444228903976,0.0009699321047526,0.001454898157129,0.0009699321047526,0.0009699321047526,0.002909796314258,0.0,0.0004849660523763,0.0,0.0004849660523763,0.0004849660523763,0.001454898157129
2013-12-01,2013,12,4,0,0,0,6,0,2,0,2,2,2,1,2,4,0,0,1,0,0,1,24,24,27,2200,0.0018181818181818,0.0,0.0,0.0,0.0027272727272727,0.0,0.0009090909090909,0.0,0.0009090909090909,0.0009090909090909,0.0009090909090909,0.0004545454545454,0.0009090909090909,0.0018181818181818,0.0,0.0,0.0004545454545454,0.0,0.0,0.0004545454545454
2014-01-01,2014,1,5,0,0,0,7,1,5,1,9,0,1,3,0,5,0,3,0,2,2,2,43,43,46,1487,0.0033624747814391,0.0,0.0,0.0,0.0047074646940147,0.0006724949562878,0.0033624747814391,0.0006724949562878,0.0060524546065904,0.0,0.0006724949562878,0.0020174848688634,0.0,0.0033624747814391,0.0,0.0020174848688634,0.0,0.0013449899125756,0.0013449899125756,0.0013449899125756
2014-02-01,2014,2,7,0,1,2,10,8,15,0,11,4,1,1,4,15,0,0,0,0,1,4,74,74,84,2028,0.0034516765285996,0.0,0.0004930966469428,0.0009861932938856,0.004930966469428,0.0039447731755424,0.007396449704142,0.0,0.0054240631163708,0.0019723865877712,0.0004930966469428,0.0004930966469428,0.0019723865877712,0.007396449704142,0.0,0.0,0.0,0.0,0.0004930966469428,0.0019723865877712
