date,year,month,sudden-onset environmental disaster,environmental cooperation,environmental government initiatives,environmental security,environmental -999,environmental arrest,human-induced disaster,displacement,-999,environmental legal action,environmental opinion,slow-onset environmental disaster,environmental corruption,environmental crime,environmental legal change,environmental activism,environmental corporate initiatives,lethal environmental violence,environmental protests,nonlethal environmental violence,total_articles,total_from_source,total_label_events,total_local_docs,sudden-onset environmental disasterNorm,environmental cooperationNorm,environmental government initiativesNorm,environmental securityNorm,environmental -999Norm,environmental arrestNorm,human-induced disasterNorm,displacementNorm,-999Norm,environmental legal actionNorm,environmental opinionNorm,slow-onset environmental disasterNorm,environmental corruptionNorm,environmental crimeNorm,environmental legal changeNorm,environmental activismNorm,environmental corporate initiativesNorm,lethal environmental violenceNorm,environmental protestsNorm,nonlethal environmental violenceNorm
2012-01-01,2012,1,2,0,0,0,1,2,2,2,3,1,2,2,0,0,0,0,1,0,0,0,15,15,18,1161,0.0017226528854435,0.0,0.0,0.0,0.0008613264427217,0.0017226528854435,0.0017226528854435,0.0017226528854435,0.0025839793281653,0.0008613264427217,0.0017226528854435,0.0017226528854435,0.0,0.0,0.0,0.0,0.0008613264427217,0.0,0.0,0.0
2012-02-01,2012,2,8,0,1,0,2,1,1,0,6,0,1,0,0,0,2,0,0,0,3,1,26,26,26,1391,0.0057512580877066,0.0,0.0007189072609633,0.0,0.0014378145219266,0.0007189072609633,0.0007189072609633,0.0,0.00431344356578,0.0,0.0007189072609633,0.0,0.0,0.0,0.0014378145219266,0.0,0.0,0.0,0.00215672178289,0.0007189072609633
2012-03-01,2012,3,0,0,0,1,2,2,3,0,6,0,0,0,0,0,0,0,0,1,0,0,14,14,15,1231,0.0,0.0,0.0,0.000812347684809,0.0016246953696181,0.0016246953696181,0.0024370430544272,0.0,0.0048740861088545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000812347684809,0.0,0.0
2012-04-01,2012,4,15,0,0,0,0,1,2,2,8,1,0,1,0,1,0,0,0,0,0,0,27,27,31,1137,0.0131926121372031,0.0,0.0,0.0,0.0,0.0008795074758135,0.001759014951627,0.001759014951627,0.0070360598065083,0.0008795074758135,0.0,0.0008795074758135,0.0,0.0008795074758135,0.0,0.0,0.0,0.0,0.0,0.0
2012-05-01,2012,5,5,0,1,2,2,2,1,0,7,0,0,0,1,0,0,1,1,0,0,0,22,22,23,1299,0.0038491147036181,0.0,0.0007698229407236,0.0015396458814472,0.0015396458814472,0.0015396458814472,0.0007698229407236,0.0,0.0053887605850654,0.0,0.0,0.0,0.0007698229407236,0.0,0.0,0.0007698229407236,0.0007698229407236,0.0,0.0,0.0
2012-06-01,2012,6,7,0,0,0,4,0,2,0,5,1,5,0,0,0,0,0,0,0,0,0,21,21,24,1286,0.0054432348367029,0.0,0.0,0.0,0.0031104199066874,0.0,0.0015552099533437,0.0,0.0038880248833592,0.0007776049766718,0.0038880248833592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-07-01,2012,7,5,0,0,0,5,0,4,0,2,0,6,4,0,1,0,0,1,0,0,0,27,27,28,1507,0.0033178500331785,0.0,0.0,0.0,0.0033178500331785,0.0,0.0026542800265428,0.0,0.0013271400132714,0.0,0.0039814200398142,0.0026542800265428,0.0,0.0006635700066357,0.0,0.0,0.0006635700066357,0.0,0.0,0.0
2012-08-01,2012,8,3,0,0,0,4,1,4,0,4,0,2,4,0,1,0,0,0,0,0,0,20,20,23,1420,0.002112676056338,0.0,0.0,0.0,0.0028169014084507,0.0007042253521126,0.0028169014084507,0.0,0.0028169014084507,0.0,0.0014084507042253,0.0028169014084507,0.0,0.0007042253521126,0.0,0.0,0.0,0.0,0.0,0.0
2012-09-01,2012,9,2,0,0,0,2,1,3,1,1,1,2,1,0,0,0,0,0,0,0,0,13,13,14,1474,0.0013568521031207,0.0,0.0,0.0,0.0013568521031207,0.0006784260515603,0.0020352781546811,0.0006784260515603,0.0006784260515603,0.0006784260515603,0.0013568521031207,0.0006784260515603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-10-01,2012,10,13,0,0,0,7,2,7,1,2,0,4,3,0,1,0,0,0,0,0,0,38,38,40,1556,0.0083547557840616,0.0,0.0,0.0,0.0044987146529562,0.0012853470437017,0.0044987146529562,0.0006426735218508,0.0012853470437017,0.0,0.0025706940874035,0.0019280205655526,0.0,0.0006426735218508,0.0,0.0,0.0,0.0,0.0,0.0
2012-11-01,2012,11,16,0,0,0,2,0,3,2,5,0,0,3,0,2,0,0,1,0,0,0,32,32,34,1669,0.0095865787896944,0.0,0.0,0.0,0.0011983223487118,0.0,0.0017974835230677,0.0011983223487118,0.0029958058717795,0.0,0.0,0.0017974835230677,0.0,0.0011983223487118,0.0,0.0,0.0005991611743559,0.0,0.0,0.0
2012-12-01,2012,12,17,0,0,1,1,1,5,2,9,0,0,3,0,0,0,0,0,0,0,0,37,37,39,1542,0.0110246433203631,0.0,0.0,0.0006485084306095,0.0006485084306095,0.0006485084306095,0.0032425421530479,0.0012970168612191,0.0058365758754863,0.0,0.0,0.0019455252918287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
