date,year,month,sudden-onset environmental disaster,environmental cooperation,environmental government initiatives,environmental security,environmental -999,environmental arrest,human-induced disaster,displacement,-999,environmental legal action,environmental opinion,slow-onset environmental disaster,environmental corruption,environmental crime,environmental legal change,environmental activism,environmental corporate initiatives,lethal environmental violence,environmental protests,nonlethal environmental violence,total_articles,total_from_source,total_label_events,total_local_docs,sudden-onset environmental disasterNorm,environmental cooperationNorm,environmental government initiativesNorm,environmental securityNorm,environmental -999Norm,environmental arrestNorm,human-induced disasterNorm,displacementNorm,-999Norm,environmental legal actionNorm,environmental opinionNorm,slow-onset environmental disasterNorm,environmental corruptionNorm,environmental crimeNorm,environmental legal changeNorm,environmental activismNorm,environmental corporate initiativesNorm,lethal environmental violenceNorm,environmental protestsNorm,nonlethal environmental violenceNorm
2012-01-01,2012,1,50,0,2,0,10,1,13,0,24,0,8,3,0,0,0,0,0,0,1,0,100,100,112,11668,0.0042852245457661,0.0,0.0001714089818306,0.0,0.0008570449091532,8.570449091532397e-05,0.0011141583818992,0.0,0.0020569077819677,0.0,0.0006856359273225,0.0002571134727459,0.0,0.0,0.0,0.0,0.0,0.0,8.570449091532397e-05,0.0
2012-02-01,2012,2,43,0,0,0,15,1,10,1,15,1,12,4,0,3,0,0,0,0,3,0,99,99,108,9565,0.0044955567171981,0.0,0.0,0.0,0.0015682174594877,0.0001045478306325,0.0010454783063251,0.0001045478306325,0.0015682174594877,0.0001045478306325,0.0012545739675901,0.00041819132253,0.0,0.0003136434918975,0.0,0.0,0.0,0.0,0.0003136434918975,0.0
2012-03-01,2012,3,38,0,2,0,17,0,19,1,15,1,14,5,0,0,2,0,1,0,2,1,104,104,118,10033,0.0037875012458885,0.0,0.0001993421708362,0.0,0.001694408452108,0.0,0.0018937506229442,9.96710854181202e-05,0.0014950662812718,9.96710854181202e-05,0.0013953951958536,0.0004983554270906,0.0,0.0,0.0001993421708362,0.0,9.96710854181202e-05,0.0,0.0001993421708362,9.96710854181202e-05
2012-04-01,2012,4,41,0,0,0,8,0,13,0,13,0,13,6,1,2,0,1,0,0,1,1,88,88,100,9489,0.0043207924965749,0.0,0.0,0.0,0.0008430814627463,0.0,0.0013700073769627,0.0,0.0013700073769627,0.0,0.0013700073769627,0.0006323110970597,0.0001053851828432,0.0002107703656865,0.0,0.0001053851828432,0.0,0.0,0.0001053851828432,0.0001053851828432
2012-05-01,2012,5,60,0,1,0,12,0,11,0,15,2,9,5,1,1,0,0,0,0,1,1,110,110,119,9958,0.0060253062864028,0.0,0.00010042177144,0.0,0.0012050612572805,0.0,0.0011046394858405,0.0,0.0015063265716007,0.00020084354288,0.0009037959429604,0.0005021088572002,0.00010042177144,0.00010042177144,0.0,0.0,0.0,0.0,0.00010042177144,0.00010042177144
2012-06-01,2012,6,48,0,1,0,13,0,15,0,22,0,20,8,0,0,0,2,1,0,4,0,121,121,134,9668,0.0049648324369052,0.0,0.0001034340091021,0.0,0.0013446421183285,0.0,0.0015515101365328,0.0,0.0022755482002482,0.0,0.0020686801820438,0.0008274720728175,0.0,0.0,0.0,0.0002068680182043,0.0001034340091021,0.0,0.0004137360364087,0.0
2012-07-01,2012,7,44,0,0,0,8,0,10,2,23,3,23,9,0,0,0,1,0,0,4,1,120,120,128,10484,0.0041968714231209,0.0,0.0,0.0,0.0007630675314765,0.0,0.0009538344143456,0.0001907668828691,0.002193819152995,0.0002861503243037,0.002193819152995,0.0008584509729111,0.0,0.0,0.0,9.538344143456696e-05,0.0,0.0,0.0003815337657382,9.538344143456696e-05
2012-08-01,2012,8,54,0,1,0,8,0,27,1,17,2,16,11,0,5,0,0,1,1,0,2,132,132,146,11191,0.004825306049504,0.0,8.935751943526048e-05,0.0,0.000714860155482,0.0,0.002412653024752,8.935751943526048e-05,0.0015190778303994,0.0001787150388705,0.0014297203109641,0.0009829327137878,0.0,0.0004467875971763,0.0,0.0,8.935751943526048e-05,8.935751943526048e-05,0.0,0.0001787150388705
2012-09-01,2012,9,29,0,0,0,7,0,15,0,21,1,11,7,0,0,1,1,0,0,0,0,89,89,93,11219,0.002584900615028,0.0,0.0,0.0,0.0006239415277653,0.0,0.0013370175594972,0.0,0.0018718245832961,8.913450396648542e-05,0.0009804795436313,0.0006239415277653,0.0,0.0,8.913450396648542e-05,8.913450396648542e-05,0.0,0.0,0.0,0.0
2012-10-01,2012,10,71,0,1,0,10,0,5,0,24,0,15,6,1,2,0,3,0,0,1,0,130,130,139,11460,0.0061954624781849,0.0,8.726003490401397e-05,0.0,0.0008726003490401,0.0,0.00043630017452,0.0,0.0020942408376963,0.0,0.0013089005235602,0.000523560209424,8.726003490401397e-05,0.000174520069808,0.0,0.000261780104712,0.0,0.0,8.726003490401397e-05,0.0
