date,year,month,sudden-onset environmental disaster,environmental cooperation,environmental government initiatives,environmental security,environmental -999,environmental arrest,human-induced disaster,displacement,-999,environmental legal action,environmental opinion,slow-onset environmental disaster,environmental corruption,environmental crime,environmental legal change,environmental activism,environmental corporate initiatives,lethal environmental violence,environmental protests,nonlethal environmental violence,total_articles,total_from_source,total_label_events,total_local_docs,sudden-onset environmental disasterNorm,environmental cooperationNorm,environmental government initiativesNorm,environmental securityNorm,environmental -999Norm,environmental arrestNorm,human-induced disasterNorm,displacementNorm,-999Norm,environmental legal actionNorm,environmental opinionNorm,slow-onset environmental disasterNorm,environmental corruptionNorm,environmental crimeNorm,environmental legal changeNorm,environmental activismNorm,environmental corporate initiativesNorm,lethal environmental violenceNorm,environmental protestsNorm,nonlethal environmental violenceNorm
2012-01-01,2012,1,15,0,6,0,8,0,13,0,18,2,1,5,0,2,0,0,0,0,1,2,68,68,73,5210,0.0028790786948176,0.0,0.001151631477927,0.0,0.001535508637236,0.0,0.0024952015355086,0.0,0.0034548944337811,0.000383877159309,0.0001919385796545,0.0009596928982725,0.0,0.000383877159309,0.0,0.0,0.0,0.0,0.0001919385796545,0.000383877159309
2012-02-01,2012,2,37,0,5,0,10,0,26,1,34,2,6,12,2,0,4,0,0,0,0,0,128,128,139,5714,0.0064753237661883,0.0,0.0008750437521876,0.0,0.0017500875043752,0.0,0.0045502275113755,0.0001750087504375,0.0059502975148757,0.000350017500875,0.0010500525026251,0.0021001050052502,0.000350017500875,0.0,0.00070003500175,0.0,0.0,0.0,0.0,0.0
2012-03-01,2012,3,13,0,10,0,14,0,26,0,15,6,3,11,2,2,2,0,2,0,0,0,87,87,106,5996,0.0021681120747164,0.0,0.0016677785190126,0.0,0.0023348899266177,0.0,0.0043362241494329,0.0,0.002501667778519,0.0010006671114076,0.0005003335557038,0.0018345563709139,0.0003335557038025,0.0003335557038025,0.0003335557038025,0.0,0.0003335557038025,0.0,0.0,0.0
2012-04-01,2012,4,10,0,5,0,11,0,18,0,7,1,4,6,3,0,1,0,0,0,0,0,57,57,66,6242,0.0016020506247997,0.0,0.0008010253123998,0.0,0.0017622556872797,0.0,0.0028836911246395,0.0,0.0011214354373598,0.0001602050624799,0.0006408202499198,0.0009612303748798,0.0004806151874399,0.0,0.0001602050624799,0.0,0.0,0.0,0.0,0.0
2012-05-01,2012,5,13,0,2,0,7,0,17,0,6,2,5,5,1,0,0,1,1,0,0,0,55,55,60,6314,0.002058916693063,0.0,0.0003167564143173,0.0,0.0011086474501108,0.0,0.0026924295216978,0.0,0.0009502692429521,0.0003167564143173,0.0007918910357934,0.0007918910357934,0.0001583782071586,0.0,0.0,0.0001583782071586,0.0001583782071586,0.0,0.0,0.0
2012-06-01,2012,6,35,0,6,0,18,0,10,1,12,3,4,3,0,0,3,1,1,0,0,1,83,83,98,5891,0.0059412663384824,0.0,0.0010185028008827,0.0,0.0030555084026481,0.0,0.0016975046681378,0.0001697504668137,0.0020370056017654,0.0005092514004413,0.0006790018672551,0.0005092514004413,0.0,0.0,0.0005092514004413,0.0001697504668137,0.0001697504668137,0.0,0.0,0.0001697504668137
2012-07-01,2012,7,45,2,5,0,10,0,16,1,16,2,7,7,0,1,1,0,0,0,0,0,106,106,113,6574,0.0068451475509583,0.0003042287800425,0.0007605719501064,0.0,0.0015211439002129,0.0,0.0024338302403407,0.0001521143900212,0.0024338302403407,0.0003042287800425,0.001064800730149,0.001064800730149,0.0,0.0001521143900212,0.0001521143900212,0.0,0.0,0.0,0.0,0.0
2012-08-01,2012,8,42,0,4,1,14,1,26,0,14,4,5,11,1,1,1,1,1,5,2,0,123,123,134,5968,0.0070375335120643,0.0,0.0006702412868632,0.0001675603217158,0.0023458445040214,0.0001675603217158,0.0043565683646112,0.0,0.0023458445040214,0.0006702412868632,0.000837801608579,0.0018431635388739,0.0001675603217158,0.0001675603217158,0.0001675603217158,0.0001675603217158,0.0001675603217158,0.000837801608579,0.0003351206434316,0.0
2012-09-01,2012,9,7,1,4,0,15,0,13,0,9,1,2,2,1,1,2,1,2,0,1,0,55,55,62,5737,0.001220149904131,0.0001743071291615,0.0006972285166463,0.0,0.0026146069374237,0.0,0.0022659926791005,0.0,0.0015687641624542,0.0001743071291615,0.0003486142583231,0.0003486142583231,0.0001743071291615,0.0001743071291615,0.0003486142583231,0.0001743071291615,0.0003486142583231,0.0,0.0001743071291615,0.0
2012-10-01,2012,10,12,0,5,0,15,0,10,0,13,2,2,5,2,4,4,0,2,0,0,0,68,68,76,8252,0.0014541929229277,0.0,0.0006059137178865,0.0,0.0018177411536597,0.0,0.0012118274357731,0.0,0.001575375666505,0.0002423654871546,0.0002423654871546,0.0006059137178865,0.0002423654871546,0.0004847309743092,0.0004847309743092,0.0,0.0002423654871546,0.0,0.0,0.0
2012-11-01,2012,11,4,2,1,0,16,0,13,0,14,4,1,5,1,3,6,0,2,0,0,1,64,64,73,6635,0.00060286360211,0.000301431801055,0.0001507159005275,0.0,0.00241145440844,0.0,0.0019593067068575,0.0,0.002110022607385,0.00060286360211,0.0001507159005275,0.0007535795026375,0.0001507159005275,0.0004521477015825,0.000904295403165,0.0,0.000301431801055,0.0,0.0,0.0001507159005275
2012-12-01,2012,12,31,0,3,1,20,0,16,0,22,2,7,13,0,0,0,0,1,0,0,1,101,101,117,6195,0.00500403551251,0.0,0.0004842615012106,0.0001614205004035,0.003228410008071,0.0,0.0025827280064568,0.0,0.0035512510088781,0.0003228410008071,0.0011299435028248,0.0020984665052461,0.0,0.0,0.0,0.0,0.0001614205004035,0.0,0.0,0.0001614205004035
2013-01-01,2013,1,12,0,1,3,11,0,25,0,15,2,2,7,2,3,0,0,2,0,3,1,77,77,89,5762,0.00208261020479,0.0,0.0001735508503991,0.0005206525511975,0.0019090593543908,0.0,0.0043387712599791,0.0,0.0026032627559875,0.0003471017007983,0.0003471017007983,0.0012148559527941,0.0003471017007983,0.0005206525511975,0.0,0.0,0.0003471017007983,0.0,0.0005206525511975,0.0001735508503991
2013-02-01,2013,2,18,1,1,0,16,0,32,0,14,5,3,3,0,3,1,1,0,0,8,0,99,99,106,6316,0.0028499050031665,0.0001583280557314,0.0001583280557314,0.0,0.0025332488917036,0.0,0.0050664977834072,0.0,0.0022165927802406,0.0007916402786573,0.0004749841671944,0.0004749841671944,0.0,0.0004749841671944,0.0001583280557314,0.0001583280557314,0.0,0.0,0.0012666244458518,0.0
