date,year,month,sudden-onset environmental disaster,environmental cooperation,environmental government initiatives,environmental security,environmental -999,environmental arrest,human-induced disaster,displacement,-999,environmental legal action,environmental opinion,slow-onset environmental disaster,environmental corruption,environmental crime,environmental legal change,environmental activism,environmental corporate initiatives,lethal environmental violence,environmental protests,nonlethal environmental violence,total_articles,total_from_source,total_label_events,total_local_docs,sudden-onset environmental disasterNorm,environmental cooperationNorm,environmental government initiativesNorm,environmental securityNorm,environmental -999Norm,environmental arrestNorm,human-induced disasterNorm,displacementNorm,-999Norm,environmental legal actionNorm,environmental opinionNorm,slow-onset environmental disasterNorm,environmental corruptionNorm,environmental crimeNorm,environmental legal changeNorm,environmental activismNorm,environmental corporate initiativesNorm,lethal environmental violenceNorm,environmental protestsNorm,nonlethal environmental violenceNorm
2012-01-01,2012,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,2,2,3,183,0.0,0.0,0.0,0.0,0.0,0.0,0.0054644808743169,0.0,0.0054644808743169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0054644808743169,0.0,0.0,0.0
2012-02-01,2012,2,2,0,1,0,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,7,7,9,175,0.0114285714285714,0.0,0.0057142857142857,0.0,0.0171428571428571,0.0,0.0,0.0,0.0114285714285714,0.0,0.0057142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-01,2012,3,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,5,5,6,207,0.0193236714975845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048309178743961,0.0,0.0,0.0048309178743961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-04-01,2012,4,1,1,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,5,5,6,219,0.0045662100456621,0.0045662100456621,0.0045662100456621,0.0,0.0,0.0,0.0045662100456621,0.0,0.0,0.0,0.0091324200913242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-05-01,2012,5,1,0,0,0,3,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,6,6,7,226,0.0044247787610619,0.0,0.0,0.0,0.0132743362831858,0.0,0.0044247787610619,0.0,0.0044247787610619,0.0,0.0,0.0,0.0,0.0044247787610619,0.0,0.0,0.0,0.0,0.0,0.0
2012-06-01,2012,6,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,5,5,5,223,0.0044843049327354,0.0,0.0044843049327354,0.0,0.0044843049327354,0.0,0.0044843049327354,0.0,0.0,0.0,0.0044843049327354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-07-01,2012,7,4,0,1,0,0,0,2,0,1,0,1,1,0,0,0,0,0,0,0,0,9,9,10,470,0.0085106382978723,0.0,0.002127659574468,0.0,0.0,0.0,0.0042553191489361,0.0,0.002127659574468,0.0,0.002127659574468,0.002127659574468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-08-01,2012,8,0,0,1,0,3,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,7,7,8,439,0.0,0.0,0.0022779043280182,0.0,0.0068337129840546,0.0,0.0,0.0,0.0022779043280182,0.0,0.0022779043280182,0.0,0.0,0.0,0.0,0.0022779043280182,0.0,0.0,0.0022779043280182,0.0
2012-09-01,2012,9,0,0,1,0,2,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,6,6,7,321,0.0,0.0,0.0031152647975077,0.0,0.0062305295950155,0.0,0.0,0.0,0.0062305295950155,0.0,0.0,0.0031152647975077,0.0,0.0,0.0,0.0,0.0031152647975077,0.0,0.0,0.0
2012-10-01,2012,10,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,5,5,5,338,0.0,0.0,0.0,0.0,0.0029585798816568,0.0,0.0029585798816568,0.0,0.0029585798816568,0.0,0.0029585798816568,0.0,0.0,0.0,0.0029585798816568,0.0,0.0,0.0,0.0,0.0
2012-11-01,2012,11,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,3,3,291,0.0,0.0,0.0034364261168384,0.0,0.0034364261168384,0.0,0.0,0.0,0.0,0.0,0.0,0.0034364261168384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-12-01,2012,12,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,4,4,245,0.0,0.0,0.0081632653061224,0.0,0.0040816326530612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0040816326530612,0.0,0.0,0.0,0.0,0.0
2013-01-01,2013,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,2,178,0.0056179775280898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0056179775280898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-01,2013,2,3,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,6,6,7,246,0.0121951219512195,0.0,0.0,0.0,0.008130081300813,0.0,0.0,0.0,0.0,0.0,0.0,0.0040650406504065,0.0040650406504065,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-01,2013,3,0,0,0,0,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,5,5,5,222,0.0,0.0,0.0,0.0,0.0045045045045045,0.0,0.0045045045045045,0.0,0.0045045045045045,0.0,0.0,0.009009009009009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
