country,influencer,date,year,month,-999,arms_transfer_security_aid_assistance,bribery_economic_corruption,cyber_attack,diplomatic_action,diplomatic_mediation,diplomatic_meeting,diplomatic_statement,diplomatic_ties,foreign_aid_assistance,foreign_investment,intelligence_counterintelligence,joint_security_force_exercise,media_campaign_intervention,military_activity,political_process_policy_intervention,security_engagement,social_academic_cultural_activity,tech_transfer_investment,trade_agreement_exchange,trade_financial_sanction,transnational_organization_crime,-999Norm,arms_transfer_security_aid_assistanceNorm,bribery_economic_corruptionNorm,cyber_attackNorm,diplomatic_actionNorm,diplomatic_mediationNorm,diplomatic_meetingNorm,diplomatic_statementNorm,diplomatic_tiesNorm,foreign_aid_assistanceNorm,foreign_investmentNorm,intelligence_counterintelligenceNorm,joint_security_force_exerciseNorm,media_campaign_interventionNorm,military_activityNorm,political_process_policy_interventionNorm,security_engagementNorm,social_academic_cultural_activityNorm,tech_transfer_investmentNorm,trade_agreement_exchangeNorm,trade_financial_sanctionNorm,transnational_organization_crimeNorm
Algeria,Combined,2012-01-01,2012,1,1440,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.997920997920998,0.0,0.0,0.0,0.0,0.0006930006930006,0.0,0.0,0.0,0.0,0.0006930006930006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,Combined,2012-02-01,2012,2,1208,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.9983471074380166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008264462809917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008264462809917,0.0
Algeria,Combined,2012-03-01,2012,3,1461,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9965893587994544,0.0,0.0,0.0,0.0,0.0006821282401091,0.0020463847203274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,Combined,2012-04-01,2012,4,1520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,Combined,2012-05-01,2012,5,1711,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0.9965055329062318,0.0,0.0,0.0,0.0,0.0,0.0,0.0005824111822947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005824111822947,0.0,0.0005824111822947,0.0,0.0005824111822947,0.0005824111822947,0.0
Algeria,Combined,2012-06-01,2012,6,1761,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9982993197278912,0.0,0.0005668934240362,0.0,0.0,0.0,0.0005668934240362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,Combined,2012-07-01,2012,7,1808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.9994472084024324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005527915975677,0.0,0.0
Algeria,Combined,2012-08-01,2012,8,1371,0,0,0,0,0,1,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0.9949201741654572,0.0,0.0,0.0,0.0,0.0,0.0007256894049346,0.0,0.0,0.0,0.0,0.0,0.002177068214804,0.0,0.0014513788098693,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,Combined,2012-09-01,2012,9,1484,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.9979825151311366,0.0006724949562878,0.0,0.0,0.0,0.0,0.0,0.0006724949562878,0.0,0.0,0.0,0.0,0.0006724949562878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,Combined,2012-10-01,2012,10,1553,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.9980719794344473,0.0,0.0006426735218508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006426735218508,0.0006426735218508,0.0,0.0,0.0,0.0
Algeria,Combined,2012-11-01,2012,11,1605,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0.9968944099378882,0.0006211180124223,0.0,0.0,0.0,0.0006211180124223,0.0,0.0,0.0,0.0,0.0,0.0,0.0006211180124223,0.0,0.0,0.0,0.0,0.0006211180124223,0.0,0.0006211180124223,0.0,0.0
Algeria,Combined,2012-12-01,2012,12,1651,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,1,1,1,1,0.994578313253012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006024096385542,0.0,0.0,0.0012048192771084,0.0,0.0,0.0006024096385542,0.0,0.0006024096385542,0.0006024096385542,0.0006024096385542,0.0006024096385542
Algeria,Combined,2013-01-01,2013,1,2203,0,0,0,0,1,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.9883355764917005,0.0,0.0,0.0,0.0,0.0004486316733961,0.0,0.0008972633467922,0.0,0.0,0.0,0.0,0.0004486316733961,0.0,0.0004486316733961,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,Combined,2013-02-01,2013,2,1421,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.9964936886395512,0.0,0.0,0.0,0.0,0.0007012622720897,0.0021037868162692,0.0,0.0,0.0,0.0,0.0,0.0007012622720897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,Combined,2013-03-01,2013,3,1475,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.9972954699121028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006761325219743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006761325219743,0.0
Algeria,Combined,2013-04-01,2013,4,1500,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0.9966777408637874,0.0006644518272425,0.0,0.0,0.0,0.0006644518272425,0.0,0.0,0.0,0.0,0.0006644518272425,0.0,0.0,0.0,0.0006644518272425,0.0,0.0,0.0,0.0,0.0,0.0,0.0006644518272425
Algeria,Combined,2013-05-01,2013,5,1691,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0.9958775029446408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005889281507656,0.0005889281507656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005889281507656,0.0
Algeria,Combined,2013-06-01,2013,6,1611,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0.9938309685379396,0.0,0.0,0.0,0.0,0.0,0.0,0.0018507094386181,0.0,0.0,0.0,0.000616903146206,0.000616903146206,0.0,0.0,0.0,0.0,0.000616903146206,0.0,0.0,0.000616903146206,0.000616903146206
Algeria,Combined,2013-07-01,2013,7,1852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.9994603345925526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005396654074473
Algeria,Combined,2013-08-01,2013,8,1376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.9992737835875092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007262164124909
Algeria,Combined,2013-09-01,2013,9,1441,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0.9972318339100346,0.0,0.0,0.0,0.0,0.0006920415224913,0.0,0.0,0.0,0.0,0.0006920415224913,0.0006920415224913,0.0,0.0,0.0,0.0,0.0006920415224913,0.0,0.0,0.0,0.0,0.0
Algeria,Combined,2013-10-01,2013,10,1658,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.9987951807228916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012048192771084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,Combined,2013-11-01,2013,11,1720,1,0,0,1,0,0,2,1,0,3,0,2,0,0,2,0,0,0,0,0,0,0.9930715935334872,0.0005773672055427,0.0,0.0,0.0005773672055427,0.0,0.0,0.0011547344110854,0.0005773672055427,0.0,0.0017321016166281,0.0,0.0011547344110854,0.0,0.0,0.0011547344110854,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,Combined,2013-12-01,2013,12,1910,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0.9968684759916492,0.0,0.0,0.0,0.0,0.0,0.0,0.0010438413361169,0.0005219206680584,0.0,0.0,0.0,0.0010438413361169,0.0,0.0,0.0,0.0,0.0005219206680584,0.0,0.0,0.0,0.0
Algeria,Combined,2014-01-01,2014,1,1991,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0.9979949874686715,0.0,0.0,0.0,0.0,0.0,0.0,0.000501253132832,0.0,0.0,0.0,0.0,0.000501253132832,0.0,0.0,0.0,0.0,0.0010025062656641,0.0,0.0,0.0,0.0
Algeria,Combined,2014-02-01,2014,2,1829,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0.9967302452316076,0.0005449591280653,0.0,0.0,0.0,0.0005449591280653,0.0,0.0,0.0005449591280653,0.0,0.0,0.0005449591280653,0.0005449591280653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,Combined,2014-03-01,2014,3,2438,4,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0.9963220269718022,0.001634654679199,0.0,0.0,0.0,0.0,0.0004086636697997,0.0,0.0,0.0,0.0004086636697997,0.0,0.0004086636697997,0.0,0.0,0.0,0.0,0.0004086636697997,0.0,0.0,0.0,0.0
Algeria,Combined,2014-04-01,2014,4,2168,3,0,0,0,0,0,1,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0.995408631772268,0.0013774104683195,0.0,0.0,0.0,0.0,0.0,0.0004591368227731,0.0,0.0,0.0004591368227731,0.0,0.0018365472910927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,Combined,2014-05-01,2014,5,1806,0,0,0,0,0,3,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.996138996138996,0.0,0.0,0.0,0.0,0.0,0.0016547159404302,0.0011031439602868,0.0,0.0,0.0005515719801434,0.0,0.0005515719801434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,Combined,2014-06-01,2014,6,1681,1,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0,0.990571596935769,0.0005892751915144,0.0,0.0,0.0,0.0005892751915144,0.0,0.0,0.0,0.0,0.0,0.0,0.0053034767236299,0.0,0.0,0.0,0.0,0.0005892751915144,0.0,0.0,0.0,0.0
Algeria,Combined,2014-07-01,2014,7,1539,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0.994186046511628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006459948320413,0.0,0.0006459948320413,0.0,0.0,0.0,0.0,0.0,0.0,0.0006459948320413,0.0,0.0
Algeria,Combined,2014-08-01,2014,8,1416,1,0,0,0,0,1,0,0,0,1,0,3,0,0,0,0,1,0,0,1,0,0.9936842105263158,0.0007017543859649,0.0,0.0,0.0,0.0,0.0007017543859649,0.0,0.0,0.0,0.0007017543859649,0.0,0.0021052631578947,0.0,0.0,0.0,0.0,0.0007017543859649,0.0,0.0,0.0007017543859649,0.0
Algeria,Combined,2014-09-01,2014,9,1842,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,0,1,4,0,0.9913885898815932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010764262648008,0.0,0.0010764262648008,0.0,0.0,0.0,0.0,0.0005382131324004,0.0,0.0005382131324004,0.0021528525296017,0.0
Algeria,Combined,2014-10-01,2014,10,1622,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.9981538461538462,0.0006153846153846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012307692307692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,Combined,2014-11-01,2014,11,1811,1,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,2,0,1,0,0,0.9956019791094008,0.0005497526113249,0.0,0.0,0.0,0.0,0.0,0.0010995052226498,0.0,0.0,0.0005497526113249,0.0,0.0,0.0,0.0005497526113249,0.0,0.0,0.0010995052226498,0.0,0.0005497526113249,0.0,0.0
Algeria,Combined,2014-12-01,2014,12,1859,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0.9978529253891572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005367686527106,0.0,0.0,0.0,0.0,0.0,0.0,0.0005367686527106,0.0,0.0005367686527106,0.0,0.0
Algeria,Combined,2015-01-01,2015,1,1769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.9983069977426636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005643340857787,0.0
Algeria,Combined,2015-02-01,2015,2,1711,0,0,0,0,0,1,0,0,0,0,4,1,0,0,0,0,1,0,2,0,0,0.9947674418604652,0.0,0.0,0.0,0.0,0.0,0.0005813953488372,0.0,0.0,0.0,0.0,0.0023255813953488,0.0005813953488372,0.0,0.0,0.0,0.0,0.0005813953488372,0.0,0.0011627906976744,0.0,0.0
Algeria,Combined,2015-03-01,2015,3,1856,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0.9978494623655914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010752688172043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010752688172043,0.0
Algeria,Combined,2015-04-01,2015,4,1813,0,0,0,0,1,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0.9956068094453596,0.0,0.0,0.0,0.0,0.00054914881933,0.0,0.0,0.0016474464579901,0.0,0.0021965952773201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,Combined,2015-05-01,2015,5,1804,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.9988925802879292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005537098560354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,Combined,2015-06-01,2015,6,2126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.9981220657276996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009389671361502,0.0,0.0,0.0,0.0
Algeria,Combined,2015-07-01,2015,7,3164,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.9993682880606444,0.0,0.0,0.0003158559696778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003158559696778,0.0,0.0,0.0
Algeria,Combined,2015-08-01,2015,8,3078,5,0,0,0,0,1,1,0,0,2,0,0,0,2,0,0,1,0,0,4,0,0.9945072697899838,0.0016155088852988,0.0,0.0,0.0,0.0,0.0003231017770597,0.0003231017770597,0.0,0.0,0.0006462035541195,0.0,0.0,0.0,0.0006462035541195,0.0,0.0,0.0003231017770597,0.0,0.0,0.001292407108239,0.0
Algeria,Combined,2015-09-01,2015,9,2924,2,0,0,0,0,0,0,1,0,1,0,2,0,1,0,0,0,0,0,0,0,0.9972714870395636,0.0006821282401091,0.0,0.0,0.0,0.0,0.0,0.0,0.0003410641200545,0.0,0.0003410641200545,0.0,0.0006821282401091,0.0,0.0003410641200545,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,Combined,2015-10-01,2015,10,2960,2,1,0,0,0,2,1,1,2,5,0,0,0,4,0,0,0,0,1,0,0,0.9936220208123532,0.0006713662302786,0.0003356831151393,0.0,0.0,0.0,0.0006713662302786,0.0003356831151393,0.0003356831151393,0.0006713662302786,0.0016784155756965,0.0,0.0,0.0,0.0013427324605572,0.0,0.0,0.0,0.0,0.0003356831151393,0.0,0.0
Algeria,Combined,2015-11-01,2015,11,2984,0,0,0,0,1,2,3,0,0,0,0,1,0,3,0,0,0,0,1,0,0,0.9963272120200334,0.0,0.0,0.0,0.0,0.0003338898163606,0.0006677796327212,0.0010016694490818,0.0,0.0,0.0,0.0,0.0003338898163606,0.0,0.0010016694490818,0.0,0.0,0.0,0.0,0.0003338898163606,0.0,0.0
Algeria,Combined,2015-12-01,2015,12,3069,0,0,0,0,0,0,1,0,0,3,0,0,0,2,0,1,0,0,1,0,0,0.9974000649983752,0.0,0.0,0.0,0.0,0.0,0.0,0.0003249918752031,0.0,0.0,0.0009749756256093,0.0,0.0,0.0,0.0006499837504062,0.0,0.0003249918752031,0.0,0.0,0.0003249918752031,0.0,0.0
Algeria,Combined,2016-01-01,2016,1,2655,0,0,0,1,0,0,0,2,1,3,0,0,0,1,0,0,0,0,2,1,0,0.9955005624296964,0.0,0.0,0.0,0.0003749531308586,0.0,0.0,0.0,0.0007499062617172,0.0003749531308586,0.0011248593925759,0.0,0.0,0.0,0.0003749531308586,0.0,0.0,0.0,0.0,0.0007499062617172,0.0003749531308586,0.0
