country,influencer,date,year,month,-999,arms_transfer_security_aid_assistance,bribery_economic_corruption,cyber_attack,diplomatic_action,diplomatic_mediation,diplomatic_meeting,diplomatic_statement,diplomatic_ties,foreign_aid_assistance,foreign_investment,intelligence_counterintelligence,joint_security_force_exercise,media_campaign_intervention,military_activity,political_process_policy_intervention,security_engagement,social_academic_cultural_activity,tech_transfer_investment,trade_agreement_exchange,trade_financial_sanction,transnational_organization_crime,-999Norm,arms_transfer_security_aid_assistanceNorm,bribery_economic_corruptionNorm,cyber_attackNorm,diplomatic_actionNorm,diplomatic_mediationNorm,diplomatic_meetingNorm,diplomatic_statementNorm,diplomatic_tiesNorm,foreign_aid_assistanceNorm,foreign_investmentNorm,intelligence_counterintelligenceNorm,joint_security_force_exerciseNorm,media_campaign_interventionNorm,military_activityNorm,political_process_policy_interventionNorm,security_engagementNorm,social_academic_cultural_activityNorm,tech_transfer_investmentNorm,trade_agreement_exchangeNorm,trade_financial_sanctionNorm,transnational_organization_crimeNorm
Armenia,China,2012-01-01,2012,1,3080,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.9996754300551768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003245699448231,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armenia,China,2012-02-01,2012,2,3473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armenia,China,2012-03-01,2012,3,3879,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9997422680412372,0.0002577319587628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armenia,China,2012-04-01,2012,4,4627,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0.9991362556683222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002159360829194,0.0002159360829194,0.0,0.0,0.0,0.0,0.0,0.0002159360829194,0.0,0.0,0.0,0.0
Armenia,China,2012-05-01,2012,5,4741,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.9991570073761856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002107481559536,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armenia,China,2012-06-01,2012,6,4438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9990995047276002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armenia,China,2012-07-01,2012,7,4688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armenia,China,2012-08-01,2012,8,4813,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.9991696076396096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002075980900975,0.0,0.0002075980900975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armenia,China,2012-09-01,2012,9,5647,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.9992921606795258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001769598301185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armenia,China,2012-10-01,2012,10,6662,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0.9993999399939996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001500150015001,0.0,0.0001500150015001,0.0,0.0001500150015001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armenia,China,2012-11-01,2012,11,6266,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.9996809189534142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001595405232929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armenia,China,2012-12-01,2012,12,6571,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0.9993916349809886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003041825095057,0.0,0.0,0.0,0.0,0.0,0.0,0.0001520912547528,0.0,0.0,0.0,0.0
Armenia,China,2013-01-01,2013,1,6497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999846106494306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armenia,China,2013-02-01,2013,2,7939,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.9994964119350372,0.0,0.0,0.0,0.0,0.0,0.0001258970162407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001258970162407,0.0,0.0,0.0,0.0
Armenia,China,2013-03-01,2013,3,7241,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.999447895100069,0.0,0.0,0.0,0.0001380262249827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001380262249827,0.0,0.0,0.0001380262249827,0.0,0.0,0.0,0.0
Armenia,China,2013-04-01,2013,4,6966,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999426111908178,0.0,0.0,0.0,0.0,0.0,0.0,0.000286944045911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armenia,China,2013-05-01,2013,5,6727,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.9992572786690432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001485442661913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armenia,China,2013-06-01,2013,6,5872,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.9991492257954738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001701548409052,0.0,0.0,0.0,0.0,0.0,0.0,0.0001701548409052,0.0,0.0,0.0
Armenia,China,2013-07-01,2013,7,6480,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.9992289899768696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000154202004626,0.0,0.000154202004626,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armenia,China,2013-08-01,2013,8,6350,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.999213217938631,0.0003147128245476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001573564122738,0.0,0.0,0.0,0.0,0.0,0.0,0.0001573564122738,0.0,0.0,0.0,0.0
Armenia,China,2013-09-01,2013,9,6513,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0.9992328935256214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001534212948757,0.0,0.0,0.0,0.0,0.0001534212948757,0.0,0.0,0.0001534212948757,0.0,0.0,0.0,0.0
Armenia,China,2013-10-01,2013,10,6803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9998530276308054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armenia,China,2013-11-01,2013,11,6008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9991684683186428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armenia,China,2013-12-01,2013,12,6014,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.9995014126641184,0.0,0.0,0.0,0.0001661957786272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001661957786272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armenia,China,2014-01-01,2014,1,5728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9998254494676208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armenia,China,2014-02-01,2014,2,5250,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.9992386752950132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001903311762466,0.0,0.0,0.0,0.0001903311762466,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armenia,China,2014-03-01,2014,3,5864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9994886654167376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armenia,China,2014-04-01,2014,4,6743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.9994071439158144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001482140210463,0.0,0.0,0.0,0.0
Armenia,China,2014-05-01,2014,5,6493,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0.99861581051984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003075976622577,0.0,0.0,0.0,0.0,0.0,0.0,0.0001537988311288,0.0,0.0,0.0,0.0
Armenia,China,2014-06-01,2014,6,6606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.999092558983666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001512401693889,0.0001512401693889,0.0,0.0,0.0
Armenia,China,2014-07-01,2014,7,6077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.9995065789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001644736842105,0.0,0.0,0.0,0.0
