country,influencer,date,year,month,-999,arms_transfer_security_aid_assistance,bribery_economic_corruption,cyber_attack,diplomatic_action,diplomatic_mediation,diplomatic_meeting,diplomatic_statement,diplomatic_ties,foreign_aid_assistance,foreign_investment,intelligence_counterintelligence,joint_security_force_exercise,media_campaign_intervention,military_activity,political_process_policy_intervention,security_engagement,social_academic_cultural_activity,tech_transfer_investment,trade_agreement_exchange,trade_financial_sanction,transnational_organization_crime,-999Norm,arms_transfer_security_aid_assistanceNorm,bribery_economic_corruptionNorm,cyber_attackNorm,diplomatic_actionNorm,diplomatic_mediationNorm,diplomatic_meetingNorm,diplomatic_statementNorm,diplomatic_tiesNorm,foreign_aid_assistanceNorm,foreign_investmentNorm,intelligence_counterintelligenceNorm,joint_security_force_exerciseNorm,media_campaign_interventionNorm,military_activityNorm,political_process_policy_interventionNorm,security_engagementNorm,social_academic_cultural_activityNorm,tech_transfer_investmentNorm,trade_agreement_exchangeNorm,trade_financial_sanctionNorm,transnational_organization_crimeNorm
Armenia,Combined,2012-01-01,2012,1,3075,0,0,0,0,1,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0.9980525803310614,0.0,0.0,0.0,0.0,0.0003245699448231,0.0003245699448231,0.0,0.0,0.0,0.0,0.0,0.0006491398896462,0.0,0.0003245699448231,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armenia,Combined,2012-02-01,2012,2,3472,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.9997120644975526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002879355024474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armenia,Combined,2012-03-01,2012,3,3876,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.9989690721649483,0.0005154639175257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005154639175257,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armenia,Combined,2012-04-01,2012,4,4620,0,0,0,1,0,1,1,0,0,1,1,1,0,1,0,0,1,1,0,1,0,0.997624703087886,0.0,0.0,0.0,0.0002159360829194,0.0,0.0002159360829194,0.0002159360829194,0.0,0.0,0.0002159360829194,0.0002159360829194,0.0002159360829194,0.0,0.0002159360829194,0.0,0.0,0.0002159360829194,0.0002159360829194,0.0,0.0002159360829194,0.0
Armenia,Combined,2012-05-01,2012,5,4740,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0.9989462592202318,0.0,0.0,0.0,0.0,0.0,0.0002107481559536,0.0,0.0,0.0,0.0002107481559536,0.0,0.0,0.0,0.0004214963119072,0.0,0.0,0.0002107481559536,0.0,0.0,0.0,0.0
Armenia,Combined,2012-06-01,2012,6,4428,0,0,0,0,1,0,0,0,0,0,0,3,0,4,0,1,0,0,1,1,0,0.9970727313668092,0.0,0.0,0.0,0.0,0.0002251745102454,0.0,0.0,0.0,0.0,0.0,0.0,0.0006755235307363,0.0,0.0009006980409817,0.0,0.0002251745102454,0.0,0.0,0.0002251745102454,0.0002251745102454,0.0
Armenia,Combined,2012-07-01,2012,7,4683,0,0,0,1,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0.998933447098976,0.0,0.0,0.0,0.0002133105802047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002133105802047,0.0,0.0006399317406143,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armenia,Combined,2012-08-01,2012,8,4802,1,0,0,0,0,1,0,0,0,2,0,4,0,3,0,1,0,0,1,0,0,0.9968860286485364,0.0002075980900975,0.0,0.0,0.0,0.0,0.0002075980900975,0.0,0.0,0.0,0.0004151961801951,0.0,0.0008303923603902,0.0,0.0006227942702927,0.0,0.0002075980900975,0.0,0.0,0.0002075980900975,0.0,0.0
Armenia,Combined,2012-09-01,2012,9,5633,0,0,0,0,0,0,1,0,0,4,0,4,0,4,0,1,0,0,0,0,0,0.996814723057866,0.0,0.0,0.0,0.0,0.0,0.0,0.0001769598301185,0.0,0.0,0.0007078393204742,0.0,0.0007078393204742,0.0,0.0007078393204742,0.0,0.0001769598301185,0.0,0.0,0.0,0.0,0.0
Armenia,Combined,2012-10-01,2012,10,6650,0,0,0,1,2,0,1,0,0,1,0,4,0,4,0,0,1,0,1,0,0,0.9975997599759976,0.0,0.0,0.0,0.0001500150015001,0.0003000300030003,0.0,0.0001500150015001,0.0,0.0,0.0001500150015001,0.0,0.0006000600060006,0.0,0.0006000600060006,0.0,0.0,0.0001500150015001,0.0,0.0001500150015001,0.0,0.0
Armenia,Combined,2012-11-01,2012,11,6257,2,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0.9984043401946704,0.0003191319610659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004786979415988,0.0001595659805329,0.0001595659805329,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armenia,Combined,2012-12-01,2012,12,6559,1,0,0,0,1,0,0,0,0,4,0,1,1,3,0,0,1,0,2,1,0,0.9975665399239544,0.0001520912547528,0.0,0.0,0.0,0.0001520912547528,0.0,0.0,0.0,0.0,0.0006083650190114,0.0,0.0001520912547528,0.0001520912547528,0.0004562737642585,0.0,0.0,0.0001520912547528,0.0,0.0003041825095057,0.0001520912547528,0.0
Armenia,Combined,2013-01-01,2013,1,6487,0,0,0,0,0,0,0,1,0,1,0,2,0,2,0,1,3,0,0,0,0,0.9983071714373654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000153893505694,0.0,0.000153893505694,0.0,0.0003077870113881,0.0,0.0003077870113881,0.0,0.000153893505694,0.0004616805170821,0.0,0.0,0.0,0.0
Armenia,Combined,2013-02-01,2013,2,7926,2,0,0,0,0,2,0,0,1,0,1,1,0,4,0,0,2,0,0,0,1,0.997859750723908,0.0002517940324814,0.0,0.0,0.0,0.0,0.0002517940324814,0.0,0.0,0.0001258970162407,0.0,0.0001258970162407,0.0001258970162407,0.0,0.0005035880649628,0.0,0.0,0.0002517940324814,0.0,0.0,0.0,0.0001258970162407
Armenia,Combined,2013-03-01,2013,3,7228,1,0,0,1,0,2,0,1,0,1,0,3,0,3,1,0,1,0,0,1,0,0.9977912755383764,0.0001380452788514,0.0,0.0,0.0001380452788514,0.0,0.0002760905577029,0.0,0.0001380452788514,0.0,0.0001380452788514,0.0,0.0004141358365543,0.0,0.0004141358365543,0.0001380452788514,0.0,0.0001380452788514,0.0,0.0,0.0001380452788514,0.0
Armenia,Combined,2013-04-01,2013,4,6953,0,0,0,0,0,1,3,0,2,4,0,0,0,4,0,0,0,0,1,0,0,0.997560975609756,0.0,0.0,0.0,0.0,0.0,0.0001434720229555,0.0004304160688665,0.0,0.000286944045911,0.000573888091822,0.0,0.0,0.0,0.000573888091822,0.0,0.0,0.0,0.0,0.0001434720229555,0.0,0.0
Armenia,Combined,2013-05-01,2013,5,6716,0,0,0,0,0,2,2,1,0,2,0,3,0,1,0,0,0,0,1,0,0,0.9976232917409388,0.0,0.0,0.0,0.0,0.0,0.0002970885323826,0.0002970885323826,0.0001485442661913,0.0,0.0002970885323826,0.0,0.0004456327985739,0.0,0.0001485442661913,0.0,0.0,0.0,0.0,0.0001485442661913,0.0,0.0
