country,influencer,date,year,month,-999,arms_transfer_security_aid_assistance,bribery_economic_corruption,cyber_attack,diplomatic_action,diplomatic_mediation,diplomatic_meeting,diplomatic_statement,diplomatic_ties,foreign_aid_assistance,foreign_investment,intelligence_counterintelligence,joint_security_force_exercise,media_campaign_intervention,military_activity,political_process_policy_intervention,security_engagement,social_academic_cultural_activity,tech_transfer_investment,trade_agreement_exchange,trade_financial_sanction,transnational_organization_crime,-999Norm,arms_transfer_security_aid_assistanceNorm,bribery_economic_corruptionNorm,cyber_attackNorm,diplomatic_actionNorm,diplomatic_mediationNorm,diplomatic_meetingNorm,diplomatic_statementNorm,diplomatic_tiesNorm,foreign_aid_assistanceNorm,foreign_investmentNorm,intelligence_counterintelligenceNorm,joint_security_force_exerciseNorm,media_campaign_interventionNorm,military_activityNorm,political_process_policy_interventionNorm,security_engagementNorm,social_academic_cultural_activityNorm,tech_transfer_investmentNorm,trade_agreement_exchangeNorm,trade_financial_sanctionNorm,transnational_organization_crimeNorm
Azerbaijan,Combined,2012-01-01,2012,1,675,0,0,0,0,0,1,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0.9926470588235294,0.0,0.0,0.0,0.0,0.0,0.0014705882352941,0.0,0.0,0.0,0.0029411764705882,0.0,0.0014705882352941,0.0,0.0014705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Azerbaijan,Combined,2012-02-01,2012,2,755,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0.9921156373193168,0.0,0.0,0.0,0.0,0.0,0.0013140604467805,0.0,0.0,0.0,0.0013140604467805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013140604467805,0.0013140604467805
Azerbaijan,Combined,2012-03-01,2012,3,811,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0.9902319902319904,0.0012210012210012,0.0,0.0,0.0,0.0,0.0,0.0024420024420024,0.0,0.0,0.0012210012210012,0.0,0.0,0.0,0.0,0.0,0.0,0.0012210012210012,0.0,0.0012210012210012,0.0,0.0012210012210012
Azerbaijan,Combined,2012-04-01,2012,4,876,0,0,0,0,0,1,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0.9920724801812004,0.0,0.0,0.0,0.0,0.0,0.001132502831257,0.001132502831257,0.0,0.0,0.0,0.0,0.001132502831257,0.0,0.0033975084937712,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Azerbaijan,Combined,2012-05-01,2012,5,989,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0.99197592778335,0.0,0.0,0.0,0.0010030090270812,0.0,0.0,0.0010030090270812,0.0,0.0,0.0010030090270812,0.0,0.0010030090270812,0.0,0.0010030090270812,0.0,0.0,0.0010030090270812,0.0,0.0,0.0,0.0
Azerbaijan,Combined,2012-06-01,2012,6,1125,0,0,0,1,0,0,1,0,0,0,1,2,0,3,0,0,0,0,1,0,0,0.992063492063492,0.0,0.0,0.0,0.0008818342151675,0.0,0.0,0.0008818342151675,0.0,0.0,0.0,0.0008818342151675,0.001763668430335,0.0,0.0026455026455026,0.0,0.0,0.0,0.0,0.0008818342151675,0.0,0.0
Azerbaijan,Combined,2012-07-01,2012,7,1904,0,0,0,0,0,0,1,2,3,2,0,1,0,4,0,0,0,0,0,0,0,0.9921834288692029,0.0,0.0,0.0,0.0,0.0,0.0,0.0005211047420531,0.0010422094841063,0.0015633142261594,0.0010422094841063,0.0,0.0005211047420531,0.0,0.0020844189682126,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Azerbaijan,Combined,2012-08-01,2012,8,2450,0,0,0,1,0,0,0,0,1,0,0,2,1,7,0,0,1,0,1,0,0,0.9939148073022313,0.0,0.0,0.0,0.0004056795131845,0.0,0.0,0.0,0.0,0.0004056795131845,0.0,0.0,0.0008113590263691,0.0004056795131845,0.002839756592292,0.0,0.0,0.0004056795131845,0.0,0.0004056795131845,0.0,0.0
Azerbaijan,Combined,2012-09-01,2012,9,3158,0,0,0,0,1,0,6,1,0,3,0,1,0,3,0,0,2,0,1,1,0,0.9927695693178246,0.0,0.0,0.0,0.0,0.0003143665513989,0.0,0.0018861993083935,0.0003143665513989,0.0,0.0009430996541967,0.0,0.0003143665513989,0.0,0.0009430996541967,0.0,0.0,0.0006287331027978,0.0,0.0003143665513989,0.0003143665513989,0.0
Azerbaijan,Combined,2012-10-01,2012,10,2641,0,0,0,0,1,0,2,1,0,3,0,1,0,3,0,0,0,0,0,0,1,0.995476818695816,0.0,0.0,0.0,0.0,0.0003769317753486,0.0,0.0007538635506973,0.0003769317753486,0.0,0.0011307953260459,0.0,0.0003769317753486,0.0,0.0011307953260459,0.0,0.0,0.0,0.0,0.0,0.0,0.0003769317753486
Azerbaijan,Combined,2012-11-01,2012,11,2259,1,0,0,0,1,1,3,0,0,5,0,1,1,1,0,0,0,0,1,0,2,0.9920948616600792,0.0004391743522178,0.0,0.0,0.0,0.0004391743522178,0.0004391743522178,0.0013175230566534,0.0,0.0,0.0021958717610891,0.0,0.0004391743522178,0.0004391743522178,0.0004391743522178,0.0,0.0,0.0,0.0,0.0004391743522178,0.0,0.0008783487044356
Azerbaijan,Combined,2012-12-01,2012,12,2320,1,0,0,0,0,0,1,1,0,0,0,3,0,2,0,1,0,0,1,1,0,0.9944277753964852,0.0004286326618088,0.0,0.0,0.0,0.0,0.0,0.0004286326618088,0.0004286326618088,0.0,0.0,0.0,0.0012858979854264,0.0,0.0008572653236176,0.0,0.0004286326618088,0.0,0.0,0.0004286326618088,0.0004286326618088,0.0
Azerbaijan,Combined,2013-01-01,2013,1,2434,0,0,0,0,1,0,2,0,0,0,2,0,0,2,0,0,0,0,2,0,0,0.9963160049119936,0.0,0.0,0.0,0.0,0.0004093327875562,0.0,0.0008186655751125,0.0,0.0,0.0,0.0008186655751125,0.0,0.0,0.0008186655751125,0.0,0.0,0.0,0.0,0.0008186655751125,0.0,0.0
Azerbaijan,Combined,2013-02-01,2013,2,2406,0,0,0,2,0,1,3,1,0,2,0,0,0,2,1,0,0,0,1,0,0,0.9946258784621744,0.0,0.0,0.0,0.0008267879288962,0.0,0.0004133939644481,0.0012401818933443,0.0004133939644481,0.0,0.0008267879288962,0.0,0.0,0.0,0.0008267879288962,0.0004133939644481,0.0,0.0,0.0,0.0004133939644481,0.0,0.0
Azerbaijan,Combined,2013-03-01,2013,3,2188,0,0,0,0,1,0,0,0,0,0,0,4,0,0,2,1,0,0,2,0,0,0.9954504094631484,0.0,0.0,0.0,0.0,0.0004549590536851,0.0,0.0,0.0,0.0,0.0,0.0,0.0018198362147406,0.0,0.0,0.0009099181073703,0.0004549590536851,0.0,0.0,0.0009099181073703,0.0,0.0
Azerbaijan,Combined,2013-04-01,2013,4,2409,1,0,0,0,1,1,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.9962779156327544,0.0004135649296939,0.0,0.0,0.0,0.0004135649296939,0.0004135649296939,0.0012406947890818,0.0004135649296939,0.0,0.0,0.0,0.0,0.0,0.0004135649296939,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Azerbaijan,Combined,2013-05-01,2013,5,2532,0,0,0,1,1,0,5,0,0,8,0,0,0,2,1,0,1,0,1,2,0,0.9913860610806576,0.0,0.0,0.0,0.0003915426781519,0.0003915426781519,0.0,0.0019577133907595,0.0,0.0,0.0031323414252153,0.0,0.0,0.0,0.0007830853563038,0.0003915426781519,0.0,0.0003915426781519,0.0,0.0003915426781519,0.0007830853563038,0.0
Azerbaijan,Combined,2013-06-01,2013,6,2140,4,0,0,3,0,3,4,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0.9921186833565137,0.0018544274455261,0.0,0.0,0.0013908205841446,0.0,0.0013908205841446,0.0018544274455261,0.0,0.0,0.0004636068613815,0.0,0.0004636068613815,0.0,0.0,0.0,0.0,0.0004636068613815,0.0,0.0,0.0,0.0
Azerbaijan,Combined,2013-07-01,2013,7,2548,0,0,0,1,0,2,0,1,0,3,0,3,0,1,0,0,0,0,1,0,0,0.9953125,0.0,0.0,0.0,0.000390625,0.0,0.00078125,0.0,0.000390625,0.0,0.001171875,0.0,0.001171875,0.0,0.000390625,0.0,0.0,0.0,0.0,0.000390625,0.0,0.0
Azerbaijan,Combined,2013-08-01,2013,8,2592,0,1,0,0,0,5,3,0,0,1,1,3,0,6,0,2,0,0,0,0,1,0.991204588910134,0.0,0.0003824091778202,0.0,0.0,0.0,0.0019120458891013,0.0011472275334608,0.0,0.0,0.0003824091778202,0.0003824091778202,0.0011472275334608,0.0,0.0022944550669216,0.0,0.0007648183556405,0.0,0.0,0.0,0.0,0.0003824091778202
Azerbaijan,Combined,2013-09-01,2013,9,2704,1,0,0,2,0,0,3,0,0,2,0,3,0,1,0,0,0,0,2,2,1,0.9937522969496508,0.0003675119441381,0.0,0.0,0.0007350238882763,0.0,0.0,0.0011025358324145,0.0,0.0,0.0007350238882763,0.0,0.0011025358324145,0.0,0.0003675119441381,0.0,0.0,0.0,0.0,0.0007350238882763,0.0007350238882763,0.0003675119441381
Azerbaijan,Combined,2013-10-01,2013,10,2819,1,1,0,3,0,1,5,0,0,1,1,4,0,10,0,0,2,0,0,1,2,0.988429172510519,0.0003506311360448,0.0003506311360448,0.0,0.0010518934081346,0.0,0.0003506311360448,0.0017531556802244,0.0,0.0,0.0003506311360448,0.0003506311360448,0.0014025245441795,0.0,0.0035063113604488,0.0,0.0,0.0007012622720897,0.0,0.0,0.0003506311360448,0.0007012622720897
Azerbaijan,Combined,2013-11-01,2013,11,2461,0,0,0,4,0,2,6,0,0,0,0,1,0,2,1,0,1,0,0,2,1,0.991938734381298,0.0,0.0,0.0,0.0016122531237404,0.0,0.0008061265618702,0.0024183796856106,0.0,0.0,0.0,0.0,0.0004030632809351,0.0,0.0008061265618702,0.0004030632809351,0.0,0.0004030632809351,0.0,0.0,0.0008061265618702,0.0004030632809351
