country,influencer,date,year,month,-999,arms_transfer_security_aid_assistance,bribery_economic_corruption,cyber_attack,diplomatic_action,diplomatic_mediation,diplomatic_meeting,diplomatic_statement,diplomatic_ties,foreign_aid_assistance,foreign_investment,intelligence_counterintelligence,joint_security_force_exercise,media_campaign_intervention,military_activity,political_process_policy_intervention,security_engagement,social_academic_cultural_activity,tech_transfer_investment,trade_agreement_exchange,trade_financial_sanction,transnational_organization_crime,-999Norm,arms_transfer_security_aid_assistanceNorm,bribery_economic_corruptionNorm,cyber_attackNorm,diplomatic_actionNorm,diplomatic_mediationNorm,diplomatic_meetingNorm,diplomatic_statementNorm,diplomatic_tiesNorm,foreign_aid_assistanceNorm,foreign_investmentNorm,intelligence_counterintelligenceNorm,joint_security_force_exerciseNorm,media_campaign_interventionNorm,military_activityNorm,political_process_policy_interventionNorm,security_engagementNorm,social_academic_cultural_activityNorm,tech_transfer_investmentNorm,trade_agreement_exchangeNorm,trade_financial_sanctionNorm,transnational_organization_crimeNorm
Belarus,Combined,2012-01-01,2012,1,4313,1,1,0,3,0,2,2,4,0,7,0,3,1,5,1,0,8,0,6,3,0,0.988539995415998,0.00022920009168,0.00022920009168,0.0,0.0006876002750401,0.0,0.00045840018336,0.00045840018336,0.0009168003667201,0.0,0.0016044006417602,0.0,0.0006876002750401,0.00022920009168,0.0011460004584001,0.00022920009168,0.0,0.0018336007334402,0.0,0.0013752005500802,0.0006876002750401,0.0
Belarus,Combined,2012-02-01,2012,2,4864,1,0,0,0,0,0,3,2,0,9,1,2,0,0,3,2,7,1,4,6,3,0.9904296477295866,0.0002036245163917,0.0,0.0,0.0,0.0,0.0,0.0006108735491753,0.0004072490327835,0.0,0.0018326206475259,0.0002036245163917,0.0004072490327835,0.0,0.0,0.0006108735491753,0.0004072490327835,0.0014253716147424,0.0002036245163917,0.000814498065567,0.0012217470983506,0.0006108735491753
Belarus,Combined,2012-03-01,2012,3,4860,0,0,1,2,1,2,6,3,0,5,0,8,2,4,1,4,10,0,1,8,0,0.9872029250457038,0.0,0.0,0.0002031281738777,0.0004062563477554,0.0002031281738777,0.0004062563477554,0.0012187690432663,0.0006093845216331,0.0,0.0010156408693885,0.0,0.0016250253910217,0.0004062563477554,0.0008125126955108,0.0002031281738777,0.0008125126955108,0.0020312817387771,0.0,0.0002031281738777,0.0016250253910217,0.0
Belarus,Combined,2012-04-01,2012,4,4191,0,0,0,6,2,0,5,1,0,11,1,3,0,0,0,3,13,2,3,2,0,0.98751178133836,0.0,0.0,0.0,0.0014137606032045,0.0004712535344015,0.0,0.0011781338360037,0.0002356267672007,0.0,0.0025918944392082,0.0002356267672007,0.0007068803016022,0.0,0.0,0.0,0.0007068803016022,0.0030631479736098,0.0004712535344015,0.0007068803016022,0.0004712535344015,0.0
Belarus,Combined,2012-05-01,2012,5,4605,0,0,0,0,0,8,4,2,2,0,2,4,0,2,1,1,2,1,4,2,2,0.9916020671834626,0.0,0.0,0.0,0.0,0.0,0.0017226528854435,0.0008613264427217,0.0004306632213608,0.0004306632213608,0.0,0.0004306632213608,0.0008613264427217,0.0,0.0004306632213608,0.0002153316106804,0.0002153316106804,0.0004306632213608,0.0002153316106804,0.0008613264427217,0.0004306632213608,0.0004306632213608
Belarus,Combined,2012-06-01,2012,6,4809,1,0,0,3,0,8,4,4,1,14,0,8,0,4,0,4,10,4,8,7,0,0.983033524121014,0.0002044153720359,0.0,0.0,0.0006132461161079,0.0,0.0016353229762878,0.0008176614881439,0.0008176614881439,0.0002044153720359,0.0028618152085036,0.0,0.0016353229762878,0.0,0.0008176614881439,0.0,0.0008176614881439,0.0020441537203597,0.0008176614881439,0.0016353229762878,0.0014309076042518,0.0
Belarus,Combined,2012-07-01,2012,7,4812,0,0,0,7,1,4,3,1,1,7,2,15,0,2,0,5,4,0,2,5,1,0.9868744872846597,0.0,0.0,0.0,0.0014356029532403,0.0002050861361771,0.0008203445447087,0.0006152584085315,0.0002050861361771,0.0002050861361771,0.0014356029532403,0.0004101722723543,0.0030762920426579,0.0,0.0004101722723543,0.0,0.0010254306808859,0.0008203445447087,0.0,0.0004101722723543,0.0010254306808859,0.0002050861361771
Belarus,Combined,2012-08-01,2012,8,5464,0,0,0,4,5,3,9,1,0,6,0,6,0,4,4,0,5,5,3,4,3,0.987707881417209,0.0,0.0,0.0,0.0007230657989877,0.0009038322487346,0.0005422993492407,0.0016268980477223,0.0001807664497469,0.0,0.0010845986984815,0.0,0.0010845986984815,0.0,0.0007230657989877,0.0007230657989877,0.0,0.0009038322487346,0.0009038322487346,0.0005422993492407,0.0007230657989877,0.0005422993492407
Belarus,Combined,2012-09-01,2012,9,4888,2,0,0,1,2,4,4,8,1,5,0,4,0,2,9,0,4,4,10,5,0,0.985483870967742,0.0004032258064516,0.0,0.0,0.0002016129032258,0.0004032258064516,0.0008064516129032,0.0008064516129032,0.0016129032258064,0.0002016129032258,0.001008064516129,0.0,0.0008064516129032,0.0,0.0004032258064516,0.0018145161290322,0.0,0.0008064516129032,0.0008064516129032,0.002016129032258,0.001008064516129,0.0
Belarus,Combined,2012-10-01,2012,10,5611,2,0,0,1,2,8,5,2,1,19,1,3,0,4,5,4,7,4,4,7,0,0.985769501054111,0.0003513703443429,0.0,0.0,0.0001756851721714,0.0003513703443429,0.0014054813773717,0.0008784258608573,0.0003513703443429,0.0001756851721714,0.0033380182712579,0.0001756851721714,0.0005270555165144,0.0,0.0007027406886858,0.0008784258608573,0.0007027406886858,0.0012297962052002,0.0007027406886858,0.0007027406886858,0.0012297962052002,0.0
