country,influencer,date,year,month,-999,arms_transfer_security_aid_assistance,bribery_economic_corruption,cyber_attack,diplomatic_action,diplomatic_mediation,diplomatic_meeting,diplomatic_statement,diplomatic_ties,foreign_aid_assistance,foreign_investment,intelligence_counterintelligence,joint_security_force_exercise,media_campaign_intervention,military_activity,political_process_policy_intervention,security_engagement,social_academic_cultural_activity,tech_transfer_investment,trade_agreement_exchange,trade_financial_sanction,transnational_organization_crime,-999Norm,arms_transfer_security_aid_assistanceNorm,bribery_economic_corruptionNorm,cyber_attackNorm,diplomatic_actionNorm,diplomatic_mediationNorm,diplomatic_meetingNorm,diplomatic_statementNorm,diplomatic_tiesNorm,foreign_aid_assistanceNorm,foreign_investmentNorm,intelligence_counterintelligenceNorm,joint_security_force_exerciseNorm,media_campaign_interventionNorm,military_activityNorm,political_process_policy_interventionNorm,security_engagementNorm,social_academic_cultural_activityNorm,tech_transfer_investmentNorm,trade_agreement_exchangeNorm,trade_financial_sanctionNorm,transnational_organization_crimeNorm
Cambodia,China,2012-01-01,2012,1,808,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0.993849938499385,0.0,0.0,0.0,0.0,0.0,0.0,0.002460024600246,0.0,0.0,0.002460024600246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001230012300123,0.0,0.0
Cambodia,China,2012-02-01,2012,2,768,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0.9884169884169884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012870012870012,0.0025740025740025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cambodia,China,2012-03-01,2012,3,845,1,0,0,0,0,4,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0.9825581395348836,0.0011627906976744,0.0,0.0,0.0,0.0,0.0046511627906976,0.0,0.0,0.0,0.0,0.0,0.0034883720930232,0.0,0.0023255813953488,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cambodia,China,2012-04-01,2012,4,775,0,0,0,1,0,1,2,1,1,3,0,3,0,1,0,0,1,1,1,1,1,0.9675405742821472,0.0,0.0,0.0,0.0012484394506866,0.0,0.0012484394506866,0.0024968789013732,0.0012484394506866,0.0012484394506866,0.0037453183520599,0.0,0.0037453183520599,0.0,0.0012484394506866,0.0,0.0,0.0012484394506866,0.0012484394506866,0.0012484394506866,0.0012484394506866,0.0012484394506866
Cambodia,China,2012-05-01,2012,5,1074,1,1,0,0,2,0,1,0,1,4,0,3,0,0,0,1,1,0,1,0,1,0.9826166514181152,0.000914913083257,0.000914913083257,0.0,0.0,0.0018298261665141,0.0,0.000914913083257,0.0,0.000914913083257,0.0036596523330283,0.0,0.0027447392497712,0.0,0.0,0.0,0.000914913083257,0.000914913083257,0.0,0.000914913083257,0.0,0.000914913083257
Cambodia,China,2012-06-01,2012,6,998,0,0,0,4,0,2,0,0,1,3,1,5,0,0,0,0,0,0,0,0,1,0.9813176007866272,0.0,0.0,0.0,0.0039331366764995,0.0,0.0019665683382497,0.0,0.0,0.0009832841691248,0.0029498525073746,0.0009832841691248,0.0049164208456243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009832841691248
Cambodia,China,2012-07-01,2012,7,979,0,0,0,3,6,6,14,0,1,1,0,5,0,6,1,8,0,0,0,0,2,0.9359464627151052,0.0,0.0,0.0,0.002868068833652,0.005736137667304,0.005736137667304,0.0133843212237093,0.0,0.0009560229445506,0.0009560229445506,0.0,0.0047801147227533,0.0,0.005736137667304,0.0009560229445506,0.0076481835564053,0.0,0.0,0.0,0.0,0.0019120458891013
Cambodia,China,2012-08-01,2012,8,978,0,0,0,2,0,0,1,0,0,2,0,4,0,0,0,0,0,0,1,0,1,0.9868819374369324,0.0,0.0,0.0,0.0020181634712411,0.0,0.0,0.0010090817356205,0.0,0.0,0.0020181634712411,0.0,0.0040363269424823,0.0,0.0,0.0,0.0,0.0,0.0,0.0010090817356205,0.0,0.0010090817356205
Cambodia,China,2012-09-01,2012,9,964,0,0,0,0,0,1,0,0,2,2,0,1,0,0,0,0,1,0,1,0,0,0.9866939611054248,0.0,0.0,0.0,0.0,0.0,0.0010235414534288,0.0,0.0,0.0020470829068577,0.0020470829068577,0.0,0.0010235414534288,0.0,0.0,0.0,0.0,0.0010235414534288,0.0,0.0010235414534288,0.0,0.0
Cambodia,China,2012-10-01,2012,10,984,0,0,0,3,0,0,4,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0.9820359281437124,0.0,0.0,0.0,0.0029940119760479,0.0,0.0,0.0039920159680638,0.0,0.0009980039920159,0.0009980039920159,0.0,0.0009980039920159,0.0,0.0,0.0,0.0,0.0009980039920159,0.0,0.0009980039920159,0.0,0.0
Cambodia,China,2012-11-01,2012,11,983,0,0,0,0,2,4,7,0,1,5,1,8,0,1,0,0,0,0,7,0,0,0.9580896686159844,0.0,0.0,0.0,0.0,0.0019493177387914,0.0038986354775828,0.0068226120857699,0.0,0.0009746588693957,0.0048732943469785,0.0009746588693957,0.0077972709551656,0.0,0.0009746588693957,0.0,0.0,0.0,0.0,0.0068226120857699,0.0,0.0
Cambodia,China,2012-12-01,2012,12,1007,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0.9911417322834646,0.0009842519685039,0.0,0.0,0.0,0.0,0.0,0.0009842519685039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009842519685039,0.0,0.0009842519685039,0.0,0.0019685039370078
Cambodia,China,2013-01-01,2013,1,1069,1,0,0,0,0,1,0,0,0,5,0,0,0,2,0,0,0,0,0,1,1,0.987985212569316,0.0009242144177449,0.0,0.0,0.0,0.0,0.0009242144177449,0.0,0.0,0.0,0.0046210720887245,0.0,0.0,0.0,0.0018484288354898,0.0,0.0,0.0,0.0,0.0,0.0009242144177449,0.0009242144177449
Cambodia,China,2013-02-01,2013,2,939,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,1,0,0,0,0,0.9894625922023182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021074815595363,0.0,0.0010537407797681,0.0,0.0010537407797681,0.0,0.0,0.0010537407797681,0.0,0.0,0.0,0.0
Cambodia,China,2013-03-01,2013,3,876,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0.9842696629213484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022471910112359,0.0,0.0011235955056179,0.0,0.0,0.0,0.0,0.0,0.0,0.0011235955056179,0.0,0.0
Cambodia,China,2013-04-01,2013,4,815,0,0,1,0,3,1,0,1,2,3,0,2,0,0,0,0,0,1,0,0,1,0.978391356542617,0.0,0.0,0.0012004801920768,0.0,0.0036014405762304,0.0012004801920768,0.0,0.0012004801920768,0.0024009603841536,0.0036014405762304,0.0,0.0024009603841536,0.0,0.0,0.0,0.0,0.0,0.0012004801920768,0.0,0.0,0.0012004801920768
Cambodia,China,2013-05-01,2013,5,1302,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,3,0,0,0,1,0.9893617021276596,0.0,0.0,0.0,0.0007598784194528,0.0,0.0007598784194528,0.0,0.0,0.0,0.0,0.0,0.0015197568389057,0.0,0.0,0.0,0.0,0.0022796352583586,0.0,0.0,0.0,0.0007598784194528
Cambodia,China,2013-06-01,2013,6,1169,1,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,1,0,0,0,1,0.9906779661016948,0.0008474576271186,0.0,0.0,0.0008474576271186,0.0,0.0,0.0,0.0008474576271186,0.0,0.0025423728813559,0.0,0.0,0.0,0.0,0.0,0.0,0.0008474576271186,0.0,0.0,0.0,0.0008474576271186
Cambodia,China,2013-07-01,2013,7,1298,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,0,3,0,1,0,1,0.9781461944235116,0.0,0.0,0.0,0.0,0.0,0.0007535795026375,0.0,0.0,0.0,0.0007535795026375,0.0,0.0022607385079125,0.0,0.0,0.0,0.0,0.0022607385079125,0.0,0.0007535795026375,0.0,0.0007535795026375
Cambodia,China,2013-08-01,2013,8,1008,2,0,0,0,0,5,2,0,2,1,0,1,0,0,0,1,0,0,0,0,0,0.980544747081712,0.0019455252918287,0.0,0.0,0.0,0.0,0.0048638132295719,0.0019455252918287,0.0,0.0019455252918287,0.0009727626459143,0.0,0.0009727626459143,0.0,0.0,0.0,0.0009727626459143,0.0,0.0,0.0,0.0,0.0
Cambodia,China,2013-09-01,2013,9,1065,0,0,0,0,0,1,2,2,5,1,0,1,0,0,0,0,3,0,0,0,1,0.9664246823956444,0.0,0.0,0.0,0.0,0.0,0.0009074410163339,0.0018148820326678,0.0018148820326678,0.0045372050816696,0.0009074410163339,0.0,0.0009074410163339,0.0,0.0,0.0,0.0,0.0027223230490018,0.0,0.0,0.0,0.0009074410163339
Cambodia,China,2013-10-01,2013,10,1034,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,2,0,0,0,1,0.9810246679316889,0.0,0.0,0.0,0.0,0.0,0.0009487666034155,0.0009487666034155,0.0,0.0009487666034155,0.0009487666034155,0.0,0.0,0.0,0.0,0.0,0.0,0.0018975332068311,0.0,0.0,0.0,0.0009487666034155
Cambodia,China,2013-11-01,2013,11,1087,0,1,0,0,0,0,1,0,2,1,0,0,0,0,0,0,1,0,0,0,2,0.9810469314079422,0.0,0.0009025270758122,0.0,0.0,0.0,0.0,0.0009025270758122,0.0,0.0018050541516245,0.0009025270758122,0.0,0.0,0.0,0.0,0.0,0.0,0.0009025270758122,0.0,0.0,0.0,0.0018050541516245
Cambodia,China,2013-12-01,2013,12,1106,0,0,0,0,1,1,1,2,0,2,0,0,0,0,0,0,3,0,0,0,0,0.9866190900981266,0.0,0.0,0.0,0.0,0.0008920606601248,0.0008920606601248,0.0008920606601248,0.0017841213202497,0.0,0.0017841213202497,0.0,0.0,0.0,0.0,0.0,0.0,0.0026761819803746,0.0,0.0,0.0,0.0
Cambodia,China,2014-01-01,2014,1,1137,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,2,0,0,0,1,0.9776440240756664,0.0,0.0,0.0,0.0,0.0,0.0,0.0017196904557179,0.0,0.0,0.0008598452278589,0.0,0.0,0.0008598452278589,0.0,0.0,0.0,0.0017196904557179,0.0,0.0,0.0,0.0008598452278589
Cambodia,China,2014-02-01,2014,2,977,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0.9918781725888324,0.0010152284263959,0.0,0.0,0.0,0.0,0.0010152284263959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020304568527918,0.0010152284263959,0.0,0.0,0.0
Cambodia,China,2014-03-01,2014,3,1063,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.992530345471522,0.0,0.0,0.0,0.0,0.0,0.0009337068160597,0.0,0.0,0.0,0.0009337068160597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009337068160597,0.0
Cambodia,China,2014-04-01,2014,4,826,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0.9904076738609112,0.0,0.0,0.0,0.0,0.0,0.001199040767386,0.0,0.0,0.0,0.0035971223021582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cambodia,China,2014-05-01,2014,5,1131,0,0,0,4,0,0,1,0,3,1,1,1,0,1,0,0,1,0,1,0,2,0.9800693240901212,0.0,0.0,0.0,0.0034662045060658,0.0,0.0,0.0008665511265164,0.0,0.0025996533795493,0.0008665511265164,0.0008665511265164,0.0008665511265164,0.0,0.0008665511265164,0.0,0.0,0.0008665511265164,0.0,0.0008665511265164,0.0,0.0017331022530329
Cambodia,China,2014-06-01,2014,6,1176,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0.9907329401853412,0.0,0.0,0.0,0.0,0.0,0.0008424599831508,0.0,0.0,0.0,0.0016849199663016,0.0,0.0008424599831508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008424599831508
Cambodia,China,2014-07-01,2014,7,1201,0,0,0,1,0,0,1,0,0,0,0,3,0,1,0,0,2,0,0,0,2,0.982011447260834,0.0,0.0,0.0,0.0008176614881439,0.0,0.0,0.0008176614881439,0.0,0.0,0.0,0.0,0.0024529844644317,0.0,0.0008176614881439,0.0,0.0,0.0016353229762878,0.0,0.0,0.0,0.0016353229762878
Cambodia,China,2014-08-01,2014,8,1228,0,0,0,0,0,1,1,0,0,5,0,1,0,0,0,0,0,0,2,0,0,0.9887278582930756,0.0,0.0,0.0,0.0,0.0,0.000805152979066,0.000805152979066,0.0,0.0,0.0040257648953301,0.0,0.000805152979066,0.0,0.0,0.0,0.0,0.0,0.0,0.001610305958132,0.0,0.0
