country,influencer,date,year,month,-999,arms_transfer_security_aid_assistance,bribery_economic_corruption,cyber_attack,diplomatic_action,diplomatic_mediation,diplomatic_meeting,diplomatic_statement,diplomatic_ties,foreign_aid_assistance,foreign_investment,intelligence_counterintelligence,joint_security_force_exercise,media_campaign_intervention,military_activity,political_process_policy_intervention,security_engagement,social_academic_cultural_activity,tech_transfer_investment,trade_agreement_exchange,trade_financial_sanction,transnational_organization_crime,-999Norm,arms_transfer_security_aid_assistanceNorm,bribery_economic_corruptionNorm,cyber_attackNorm,diplomatic_actionNorm,diplomatic_mediationNorm,diplomatic_meetingNorm,diplomatic_statementNorm,diplomatic_tiesNorm,foreign_aid_assistanceNorm,foreign_investmentNorm,intelligence_counterintelligenceNorm,joint_security_force_exerciseNorm,media_campaign_interventionNorm,military_activityNorm,political_process_policy_interventionNorm,security_engagementNorm,social_academic_cultural_activityNorm,tech_transfer_investmentNorm,trade_agreement_exchangeNorm,trade_financial_sanctionNorm,transnational_organization_crimeNorm
Colombia,Russia,2012-01-01,2012,1,3760,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99867197875166,0.0,0.0,0.0,0.0,0.0002656042496679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colombia,Russia,2012-02-01,2012,2,9946,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,1,0,0,0,0,0.9989955805544396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000100441944556,0.000200883889112,0.0,0.000100441944556,0.0,0.0,0.000100441944556,0.0,0.0,0.0,0.0
Colombia,Russia,2012-03-01,2012,3,10350,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.9996136758740584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.658103148541626e-05,9.658103148541626e-05,0.0,0.0,0.0,0.0,0.0,0.0
Colombia,Russia,2012-04-01,2012,4,10263,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.9977639510013612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.721952167995334e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colombia,Russia,2012-05-01,2012,5,10916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9992676675210546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colombia,Russia,2012-06-01,2012,6,8122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9997538158542588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colombia,Russia,2012-07-01,2012,7,8781,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.998521719354105,0.0,0.0,0.0,0.0,0.000113713895838,0.0,0.000113713895838,0.000113713895838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000113713895838,0.0
Colombia,Russia,2012-08-01,2012,8,8717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9987396883593034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colombia,Russia,2012-09-01,2012,9,9485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.9992625368731564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001053518752633,0.0,0.0,0.0,0.0
Colombia,Russia,2012-10-01,2012,10,9429,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.998940565737896,0.0001059434262104,0.0,0.0,0.0,0.0,0.0001059434262104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colombia,Russia,2012-11-01,2012,11,9126,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.998905429071804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001094570928196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001094570928196
Colombia,Russia,2012-12-01,2012,12,7304,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.9991792065663476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001367989056087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colombia,Russia,2013-01-01,2013,1,7608,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,1,0.998818432453722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001312852829197,0.0,0.0,0.0,0.0,0.0001312852829197,0.0,0.0,0.0,0.0002625705658395,0.0,0.0,0.0,0.0001312852829197
Colombia,Russia,2013-02-01,2013,2,8517,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9997652306608756,0.0,0.0,0.0,0.0,0.0,0.0001173846695621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colombia,Russia,2013-03-01,2013,3,7429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9995963401506996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colombia,Russia,2013-04-01,2013,4,8207,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.9990261716372488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002434570906877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colombia,Russia,2013-05-01,2013,5,8686,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.99885004599816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002299908003679,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colombia,Russia,2013-06-01,2013,6,8833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9993211901798846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
