country,influencer,date,year,month,-999,arms_transfer_security_aid_assistance,bribery_economic_corruption,cyber_attack,diplomatic_action,diplomatic_mediation,diplomatic_meeting,diplomatic_statement,diplomatic_ties,foreign_aid_assistance,foreign_investment,intelligence_counterintelligence,joint_security_force_exercise,media_campaign_intervention,military_activity,political_process_policy_intervention,security_engagement,social_academic_cultural_activity,tech_transfer_investment,trade_agreement_exchange,trade_financial_sanction,transnational_organization_crime,-999Norm,arms_transfer_security_aid_assistanceNorm,bribery_economic_corruptionNorm,cyber_attackNorm,diplomatic_actionNorm,diplomatic_mediationNorm,diplomatic_meetingNorm,diplomatic_statementNorm,diplomatic_tiesNorm,foreign_aid_assistanceNorm,foreign_investmentNorm,intelligence_counterintelligenceNorm,joint_security_force_exerciseNorm,media_campaign_interventionNorm,military_activityNorm,political_process_policy_interventionNorm,security_engagementNorm,social_academic_cultural_activityNorm,tech_transfer_investmentNorm,trade_agreement_exchangeNorm,trade_financial_sanctionNorm,transnational_organization_crimeNorm
DR Congo,Combined,2012-01-01,2012,1,555,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.992844364937388,0.0,0.0,0.0,0.0,0.0,0.0,0.0017889087656529,0.0,0.0,0.0017889087656529,0.0,0.0,0.0,0.0,0.0017889087656529,0.0,0.0,0.0,0.0,0.0,0.0
DR Congo,Combined,2012-02-01,2012,2,571,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.9930434782608696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017391304347826,0.0,0.0,0.0,0.0,0.0,0.0,0.0017391304347826,0.0,0.0,0.0,0.0
DR Congo,Combined,2012-03-01,2012,3,718,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.9903448275862068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013793103448275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DR Congo,Combined,2012-04-01,2012,4,716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99860529986053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DR Congo,Combined,2012-05-01,2012,5,946,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.9957894736842106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010526315789473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010526315789473
DR Congo,Combined,2012-06-01,2012,6,909,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.9934426229508196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021857923497267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DR Congo,Combined,2012-07-01,2012,7,1093,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,3,0.988245931283906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018083182640144,0.0,0.0,0.0009041591320072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027124773960217
DR Congo,Combined,2012-08-01,2012,8,941,1,0,0,1,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0.9832810867293624,0.0010449320794148,0.0,0.0,0.0010449320794148,0.0,0.0,0.0,0.0,0.0010449320794148,0.006269592476489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DR Congo,Combined,2012-09-01,2012,9,768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.9974025974025974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012987012987012,0.0,0.0
DR Congo,Combined,2012-10-01,2012,10,988,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0.988988988988989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002002002002002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001001001001001
DR Congo,Combined,2012-11-01,2012,11,1219,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0.9878444084278768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008103727714748,0.0,0.0,0.0,0.0,0.0,0.0,0.0008103727714748,0.0008103727714748,0.0,0.0,0.0008103727714748
DR Congo,Combined,2012-12-01,2012,12,812,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.9890377588306942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012180267965895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DR Congo,Combined,2013-01-01,2013,1,753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.996031746031746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026455026455026
DR Congo,Combined,2013-02-01,2013,2,741,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.9946308724832216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013422818791946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DR Congo,Combined,2013-03-01,2013,3,917,0,0,0,0,0,5,1,0,0,0,0,1,0,8,0,0,0,0,2,0,1,0.9786552828175028,0.0,0.0,0.0,0.0,0.0,0.0053361792956243,0.0010672358591248,0.0,0.0,0.0,0.0,0.0010672358591248,0.0,0.0085378868729989,0.0,0.0,0.0,0.0,0.0021344717182497,0.0,0.0010672358591248
DR Congo,Combined,2013-04-01,2013,4,826,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.9963811821471652,0.0,0.0,0.0,0.0,0.0,0.0,0.0012062726176115,0.0,0.0,0.0,0.0,0.0,0.0,0.0012062726176115,0.0,0.0,0.0,0.0,0.0,0.0,0.0012062726176115
DR Congo,Combined,2013-05-01,2013,5,959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9968814968814969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DR Congo,Combined,2013-06-01,2013,6,829,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.9940047961630696,0.0,0.0,0.0,0.001199040767386,0.0,0.0,0.0023980815347721,0.0,0.0,0.0,0.0,0.001199040767386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DR Congo,Combined,2013-07-01,2013,7,1047,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9914772727272728,0.0,0.0,0.0,0.0,0.0,0.0009469696969696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DR Congo,Combined,2013-08-01,2013,8,1036,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.9951969260326607,0.0,0.0,0.0,0.0,0.0,0.0,0.0009606147934678,0.0,0.0,0.0009606147934678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009606147934678
DR Congo,Combined,2013-09-01,2013,9,902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.9966850828729282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011049723756906,0.0,0.0,0.0,0.0,0.0011049723756906
DR Congo,Combined,2013-10-01,2013,10,1095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.9963603275705186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009099181073703,0.0,0.0,0.0,0.0,0.0
DR Congo,Combined,2013-11-01,2013,11,969,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0.9948665297741272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002053388090349,0.0,0.0,0.0,0.0,0.0,0.0,0.0010266940451745,0.0,0.0,0.0,0.0
DR Congo,Combined,2013-12-01,2013,12,751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.9960212201591512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026525198938992,0.0,0.0,0.0,0.0
DR Congo,Combined,2014-01-01,2014,1,877,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.9954597048808173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011350737797956,0.0,0.0,0.0,0.0,0.0,0.0,0.0011350737797956,0.0,0.0,0.0,0.0
DR Congo,Combined,2014-02-01,2014,2,954,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.994786235662148,0.0,0.0,0.0,0.0,0.0,0.0,0.0010427528675703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010427528675703,0.0,0.0010427528675703
