country,influencer,date,year,month,-999,arms_transfer_security_aid_assistance,bribery_economic_corruption,cyber_attack,diplomatic_action,diplomatic_mediation,diplomatic_meeting,diplomatic_statement,diplomatic_ties,foreign_aid_assistance,foreign_investment,intelligence_counterintelligence,joint_security_force_exercise,media_campaign_intervention,military_activity,political_process_policy_intervention,security_engagement,social_academic_cultural_activity,tech_transfer_investment,trade_agreement_exchange,trade_financial_sanction,transnational_organization_crime,-999Norm,arms_transfer_security_aid_assistanceNorm,bribery_economic_corruptionNorm,cyber_attackNorm,diplomatic_actionNorm,diplomatic_mediationNorm,diplomatic_meetingNorm,diplomatic_statementNorm,diplomatic_tiesNorm,foreign_aid_assistanceNorm,foreign_investmentNorm,intelligence_counterintelligenceNorm,joint_security_force_exerciseNorm,media_campaign_interventionNorm,military_activityNorm,political_process_policy_interventionNorm,security_engagementNorm,social_academic_cultural_activityNorm,tech_transfer_investmentNorm,trade_agreement_exchangeNorm,trade_financial_sanctionNorm,transnational_organization_crimeNorm
India,China,2012-01-01,2012,1,14951,0,0,2,8,4,3,8,2,0,8,1,7,2,4,0,1,3,1,3,6,0,0.8726434366427362,0.0,0.0,0.0001167337885951,0.0004669351543804,0.0002334675771902,0.0001751006828926,0.0004669351543804,0.0001167337885951,0.0,0.0004669351543804,5.836689429755443e-05,0.0004085682600828,0.0001167337885951,0.0002334675771902,0.0,5.836689429755443e-05,0.0001751006828926,5.836689429755443e-05,0.0001751006828926,0.0003502013657853,0.0
India,China,2012-02-01,2012,2,15971,3,0,1,3,2,13,8,4,2,10,0,9,0,10,1,2,1,4,5,9,1,0.7790351690161456,0.0001463343251548,0.0,4.877810838495683e-05,0.0001463343251548,9.755621676991366e-05,0.0006341154090044,0.0003902248670796,0.0001951124335398,9.755621676991366e-05,0.0004877810838495,0.0,0.0004390029754646,0.0,0.0004877810838495,4.877810838495683e-05,9.755621676991366e-05,4.877810838495683e-05,0.0001951124335398,0.0002438905419247,0.0004390029754646,4.877810838495683e-05
India,China,2012-03-01,2012,3,19000,8,1,2,2,3,6,6,3,1,12,1,10,0,8,1,2,4,2,6,12,1,0.7917326443870323,0.0003333611134261,4.167013917826485e-05,8.33402783565297e-05,8.33402783565297e-05,0.0001250104175347,0.0002500208350695,0.0002500208350695,0.0001250104175347,4.167013917826485e-05,0.0005000416701391,4.167013917826485e-05,0.0004167013917826,0.0,0.0003333611134261,4.167013917826485e-05,8.33402783565297e-05,0.000166680556713,8.33402783565297e-05,0.0002500208350695,0.0005000416701391,4.167013917826485e-05
India,China,2012-04-01,2012,4,19407,3,0,0,0,3,3,11,0,0,22,0,24,0,23,1,0,1,1,7,4,0,0.8006848749896857,0.0001237725884974,0.0,0.0,0.0,0.0001237725884974,0.0001237725884974,0.0004538328244904,0.0,0.0,0.0009076656489809,0.0,0.0009901807079792,0.0,0.00094892317848,4.12575294991336e-05,0.0,4.12575294991336e-05,4.12575294991336e-05,0.0002888027064939,0.0001650301179965,0.0
India,China,2012-05-01,2012,5,31737,2,0,0,1,1,3,6,4,0,9,5,8,0,8,0,2,0,2,5,9,0,0.867842493847416,5.468963631391851e-05,0.0,0.0,2.7344818156959256e-05,2.7344818156959256e-05,8.203445447087777e-05,0.0001640689089417,0.0001093792726278,0.0,0.0002461033634126,0.0001367240907847,0.0002187585452556,0.0,0.0002187585452556,0.0,5.468963631391851e-05,0.0,5.468963631391851e-05,0.0001367240907847,0.0002461033634126,0.0
India,China,2012-06-01,2012,6,31087,5,2,0,3,0,5,9,3,5,12,2,7,1,8,0,8,1,2,3,9,0,0.8644162055445875,0.0001390317826655,5.561271306620693e-05,0.0,8.34190695993104e-05,0.0,0.0001390317826655,0.0002502572087979,8.34190695993104e-05,0.0001390317826655,0.0003336762783972,5.561271306620693e-05,0.0001946444957317,2.7806356533103467e-05,0.0002224508522648,0.0,0.0002224508522648,2.7806356533103467e-05,5.561271306620693e-05,8.34190695993104e-05,0.0002502572087979,0.0
India,China,2012-07-01,2012,7,35908,3,0,1,3,3,0,4,1,0,8,0,9,2,8,2,2,2,1,6,6,0,0.8770027354435326,7.327080890973036e-05,0.0,2.4423602969910123e-05,7.327080890973036e-05,7.327080890973036e-05,0.0,9.769441187964048e-05,2.4423602969910123e-05,0.0,0.0001953888237592,0.0,0.0002198124267291,4.8847205939820246e-05,0.0001953888237592,4.8847205939820246e-05,4.8847205939820246e-05,4.8847205939820246e-05,2.4423602969910123e-05,0.0001465416178194,0.0001465416178194,0.0
India,China,2012-08-01,2012,8,43391,0,0,1,2,0,1,5,1,1,5,0,7,0,7,1,1,3,2,7,3,0,0.8940698920300009,0.0,0.0,2.0604961674771284e-05,4.120992334954257e-05,0.0,2.0604961674771284e-05,0.0001030248083738,2.0604961674771284e-05,2.0604961674771284e-05,0.0001030248083738,0.0,0.0001442347317233,0.0,0.0001442347317233,2.0604961674771284e-05,2.0604961674771284e-05,6.181488502431386e-05,4.120992334954257e-05,0.0001442347317233,6.181488502431386e-05,0.0
India,China,2012-09-01,2012,9,37346,6,0,0,0,0,4,4,2,0,6,0,20,0,10,0,10,1,1,7,1,0,0.8842848009850117,0.0001420689981767,0.0,0.0,0.0,0.0,9.471266545118746e-05,9.471266545118746e-05,4.735633272559373e-05,0.0,0.0001420689981767,0.0,0.0004735633272559,0.0,0.0002367816636279,0.0,0.0002367816636279,2.3678166362796863e-05,2.3678166362796863e-05,0.0001657471645395,2.3678166362796863e-05,0.0
India,China,2012-10-01,2012,10,50311,1,0,0,0,4,2,5,3,0,10,0,5,0,8,0,2,2,0,4,5,1,0.9163782740155184,1.821427270409093e-05,0.0,0.0,0.0,7.28570908163637e-05,3.642854540818185e-05,9.107136352045465e-05,5.464281811227277e-05,0.0,0.0001821427270409,0.0,9.107136352045465e-05,0.0,0.0001457141816327,0.0,3.642854540818185e-05,3.642854540818185e-05,0.0,7.28570908163637e-05,9.107136352045465e-05,1.821427270409093e-05
