country,influencer,date,year,month,-999,arms_transfer_security_aid_assistance,bribery_economic_corruption,cyber_attack,diplomatic_action,diplomatic_mediation,diplomatic_meeting,diplomatic_statement,diplomatic_ties,foreign_aid_assistance,foreign_investment,intelligence_counterintelligence,joint_security_force_exercise,media_campaign_intervention,military_activity,political_process_policy_intervention,security_engagement,social_academic_cultural_activity,tech_transfer_investment,trade_agreement_exchange,trade_financial_sanction,transnational_organization_crime,-999Norm,arms_transfer_security_aid_assistanceNorm,bribery_economic_corruptionNorm,cyber_attackNorm,diplomatic_actionNorm,diplomatic_mediationNorm,diplomatic_meetingNorm,diplomatic_statementNorm,diplomatic_tiesNorm,foreign_aid_assistanceNorm,foreign_investmentNorm,intelligence_counterintelligenceNorm,joint_security_force_exerciseNorm,media_campaign_interventionNorm,military_activityNorm,political_process_policy_interventionNorm,security_engagementNorm,social_academic_cultural_activityNorm,tech_transfer_investmentNorm,trade_agreement_exchangeNorm,trade_financial_sanctionNorm,transnational_organization_crimeNorm
India,Combined,2012-01-01,2012,1,14948,2,0,2,8,4,3,8,2,0,8,1,7,2,4,0,1,3,1,4,6,0,0.8724683359598435,0.0001167337885951,0.0,0.0001167337885951,0.0004669351543804,0.0002334675771902,0.0001751006828926,0.0004669351543804,0.0001167337885951,0.0,0.0004669351543804,5.836689429755443e-05,0.0004085682600828,0.0001167337885951,0.0002334675771902,0.0,5.836689429755443e-05,0.0001751006828926,5.836689429755443e-05,0.0002334675771902,0.0003502013657853,0.0
India,Combined,2012-02-01,2012,2,15962,4,0,1,3,2,14,10,4,2,10,0,11,0,11,1,2,2,4,5,10,1,0.7785961660406809,0.0001951124335398,0.0,4.877810838495683e-05,0.0001463343251548,9.755621676991366e-05,0.0006828935173893,0.0004877810838495,0.0001951124335398,9.755621676991366e-05,0.0004877810838495,0.0,0.0005365591922345,0.0,0.0005365591922345,4.877810838495683e-05,9.755621676991366e-05,9.755621676991366e-05,0.0001951124335398,0.0002438905419247,0.0004877810838495,4.877810838495683e-05
India,Combined,2012-03-01,2012,3,18986,10,1,2,3,3,8,7,3,1,17,1,10,0,9,1,2,4,2,8,12,1,0.7911492624385366,0.0004167013917826,4.167013917826485e-05,8.33402783565297e-05,0.0001250104175347,0.0001250104175347,0.0003333611134261,0.0002916909742478,0.0001250104175347,4.167013917826485e-05,0.0007083923660305,4.167013917826485e-05,0.0004167013917826,0.0,0.0003750312526043,4.167013917826485e-05,8.33402783565297e-05,0.000166680556713,8.33402783565297e-05,0.0003333611134261,0.0005000416701391,4.167013917826485e-05
India,Combined,2012-04-01,2012,4,19399,4,0,0,1,3,3,11,0,0,23,0,25,0,24,1,1,2,1,8,4,0,0.8003548147536925,0.0001650301179965,0.0,0.0,4.12575294991336e-05,0.0001237725884974,0.0001237725884974,0.0004538328244904,0.0,0.0,0.00094892317848,0.0,0.0010314382374783,0.0,0.0009901807079792,4.12575294991336e-05,4.12575294991336e-05,8.251505899826719e-05,4.12575294991336e-05,0.000330060235993,0.0001650301179965,0.0
India,Combined,2012-05-01,2012,5,31732,4,0,0,1,1,3,6,4,0,9,5,9,0,9,0,2,0,2,6,9,0,0.8677057697566312,0.0001093792726278,0.0,0.0,2.7344818156959256e-05,2.7344818156959256e-05,8.203445447087777e-05,0.0001640689089417,0.0001093792726278,0.0,0.0002461033634126,0.0001367240907847,0.0002461033634126,0.0,0.0002461033634126,0.0,5.468963631391851e-05,0.0,5.468963631391851e-05,0.0001640689089417,0.0002461033634126,0.0
India,Combined,2012-06-01,2012,6,31080,6,2,0,3,0,5,9,3,6,14,2,7,1,10,0,8,1,2,4,9,0,0.8642215610488557,0.0001668381391986,5.561271306620693e-05,0.0,8.34190695993104e-05,0.0,0.0001390317826655,0.0002502572087979,8.34190695993104e-05,0.0001668381391986,0.0003892889914634,5.561271306620693e-05,0.0001946444957317,2.7806356533103467e-05,0.000278063565331,0.0,0.0002224508522648,2.7806356533103467e-05,5.561271306620693e-05,0.0001112254261324,0.0002502572087979,0.0
India,Combined,2012-07-01,2012,7,35900,5,0,1,3,3,0,4,1,0,12,0,9,2,9,2,2,3,1,6,6,0,0.8768073466197733,0.0001221180148495,0.0,2.4423602969910123e-05,7.327080890973036e-05,7.327080890973036e-05,0.0,9.769441187964048e-05,2.4423602969910123e-05,0.0,0.0002930832356389,0.0,0.0002198124267291,4.8847205939820246e-05,0.0002198124267291,4.8847205939820246e-05,4.8847205939820246e-05,7.327080890973036e-05,2.4423602969910123e-05,0.0001465416178194,0.0001465416178194,0.0
India,Combined,2012-08-01,2012,8,43380,1,0,1,2,0,1,5,1,1,6,0,12,0,9,1,1,3,2,7,5,0,0.8938432374515783,2.0604961674771284e-05,0.0,2.0604961674771284e-05,4.120992334954257e-05,0.0,2.0604961674771284e-05,0.0001030248083738,2.0604961674771284e-05,2.0604961674771284e-05,0.0001236297700486,0.0,0.0002472595400972,0.0,0.0001854446550729,2.0604961674771284e-05,2.0604961674771284e-05,6.181488502431386e-05,4.120992334954257e-05,0.0001442347317233,0.0001030248083738,0.0
India,Combined,2012-09-01,2012,9,37336,9,0,0,0,0,4,4,2,0,10,0,21,0,10,0,10,1,1,9,1,0,0.8840480193213838,0.0002131034972651,0.0,0.0,0.0,0.0,9.471266545118746e-05,9.471266545118746e-05,4.735633272559373e-05,0.0,0.0002367816636279,0.0,0.0004972414936187,0.0,0.0002367816636279,0.0,0.0002367816636279,2.3678166362796863e-05,2.3678166362796863e-05,0.0002131034972651,2.3678166362796863e-05,0.0
India,Combined,2012-10-01,2012,10,50288,7,0,0,0,7,4,6,3,0,16,0,7,0,8,0,4,3,0,4,5,1,0.9159593457433244,0.0001274999089286,0.0,0.0,0.0,0.0001274999089286,7.28570908163637e-05,0.0001092856362245,5.464281811227277e-05,0.0,0.0002914283632654,0.0,0.0001274999089286,0.0,0.0001457141816327,0.0,7.28570908163637e-05,5.464281811227277e-05,0.0,7.28570908163637e-05,9.107136352045465e-05,1.821427270409093e-05
India,Combined,2012-11-01,2012,11,37288,3,0,0,4,2,3,8,0,0,8,1,12,0,9,0,0,8,3,11,1,0,0.893082966085457,7.185284537267676e-05,0.0,0.0,9.580379383023568e-05,4.790189691511784e-05,7.185284537267676e-05,0.0001916075876604,0.0,0.0,0.0001916075876604,2.395094845755892e-05,0.0002874113814907,0.0,0.000215558536118,0.0,0.0,0.0001916075876604,7.185284537267676e-05,0.0002634604330331,2.395094845755892e-05,0.0
India,Combined,2012-12-01,2012,12,36762,9,0,0,3,3,2,13,3,0,14,0,7,0,12,0,6,1,1,5,5,0,0.880168554121675,0.0002154811214595,0.0,0.0,7.182704048650849e-05,7.182704048650849e-05,4.788469365767233e-05,0.0003112505087748,7.182704048650849e-05,0.0,0.0003351928556037,0.0,0.0001675964278018,0.0,0.000287308161946,0.0,0.000143654080973,2.3942346828836164e-05,2.3942346828836164e-05,0.0001197117341441,0.0001197117341441,0.0
India,Combined,2013-01-01,2013,1,36829,0,0,2,0,2,0,4,1,0,12,0,15,0,5,0,1,2,0,2,1,0,0.880907960199005,0.0,0.0,4.7837734404898585e-05,0.0,4.7837734404898585e-05,0.0,9.567546880979716e-05,2.3918867202449293e-05,0.0,0.0002870264064293,0.0,0.0003587830080367,0.0,0.0001195943360122,0.0,2.3918867202449293e-05,4.7837734404898585e-05,0.0,4.7837734404898585e-05,2.3918867202449293e-05,0.0
India,Combined,2013-02-01,2013,2,38380,4,0,1,0,2,0,5,0,0,9,0,9,0,4,0,4,3,0,5,1,1,0.8916664730618219,9.293032548846502e-05,0.0,2.323258137211625e-05,0.0,4.646516274423251e-05,0.0,0.0001161629068605,0.0,0.0,0.000209093232349,0.0,0.000209093232349,0.0,9.293032548846502e-05,0.0,9.293032548846502e-05,6.969774411634877e-05,0.0,0.0001161629068605,2.323258137211625e-05,2.323258137211625e-05
India,Combined,2013-03-01,2013,3,43572,6,0,1,0,1,10,7,0,0,16,0,8,0,6,0,3,1,2,8,1,1,0.8922289341660694,0.0001228627009317,0.0,2.047711682195147e-05,0.0,2.047711682195147e-05,0.0002047711682195,0.0001433398177536,0.0,0.0,0.0003276338691512,0.0,0.0001638169345756,0.0,0.0001228627009317,0.0,6.14313504658544e-05,2.047711682195147e-05,4.095423364390294e-05,0.0001638169345756,2.047711682195147e-05,2.047711682195147e-05
India,Combined,2013-04-01,2013,4,45764,2,0,0,1,16,16,14,0,1,11,1,35,0,58,0,2,3,0,4,5,0,0.8894157888599525,3.886966999650173e-05,0.0,0.0,1.9434834998250865e-05,0.000310957359972,0.000310957359972,0.0002720876899755,0.0,1.9434834998250865e-05,0.0002137831849807,1.9434834998250865e-05,0.0006802192249387,0.0,0.0011272204298985,0.0,3.886966999650173e-05,5.83045049947526e-05,0.0,7.773933999300346e-05,9.717417499125432e-05,0.0
India,Combined,2013-05-01,2013,5,42728,3,3,0,1,26,62,30,6,0,21,3,55,0,41,0,2,3,1,22,5,1,0.8769394959362943,6.157129956489615e-05,6.157129956489615e-05,0.0,2.052376652163205e-05,0.0005336179295624,0.0012724735243411,0.0006157129956489,0.0001231425991297,0.0,0.0004309990969542,6.157129956489615e-05,0.0011288071586897,0.0,0.0008414744273869,0.0,4.10475330432641e-05,6.157129956489615e-05,2.052376652163205e-05,0.0004515228634759,0.0001026188326081,2.052376652163205e-05
India,Combined,2013-06-01,2013,6,45440,3,0,0,1,8,3,6,0,0,9,4,12,0,4,0,5,4,2,3,6,1,0.883204727011215,5.831017123753621e-05,0.0,0.0,1.94367237458454e-05,0.0001554937899667,5.831017123753621e-05,0.000116620342475,0.0,0.0,0.0001749305137126,7.77468949833816e-05,0.0002332406849501,0.0,7.77468949833816e-05,0.0,9.7183618729227e-05,7.77468949833816e-05,3.88734474916908e-05,5.831017123753621e-05,0.000116620342475,1.94367237458454e-05
India,Combined,2013-07-01,2013,7,46464,1,0,0,1,10,13,16,2,0,13,0,17,0,36,2,4,4,2,8,3,3,0.8858384808968199,1.906504995043087e-05,0.0,0.0,1.906504995043087e-05,0.0001906504995043,0.0002478456493556,0.0003050407992068,3.813009990086174e-05,0.0,0.0002478456493556,0.0,0.0003241058491573,0.0,0.0006863417982155,3.813009990086174e-05,7.626019980172348e-05,7.626019980172348e-05,3.813009990086174e-05,0.0001525203996034,5.719514985129261e-05,5.719514985129261e-05
