country,influencer,date,year,month,-999,arms_transfer_security_aid_assistance,bribery_economic_corruption,cyber_attack,diplomatic_action,diplomatic_mediation,diplomatic_meeting,diplomatic_statement,diplomatic_ties,foreign_aid_assistance,foreign_investment,intelligence_counterintelligence,joint_security_force_exercise,media_campaign_intervention,military_activity,political_process_policy_intervention,security_engagement,social_academic_cultural_activity,tech_transfer_investment,trade_agreement_exchange,trade_financial_sanction,transnational_organization_crime,-999Norm,arms_transfer_security_aid_assistanceNorm,bribery_economic_corruptionNorm,cyber_attackNorm,diplomatic_actionNorm,diplomatic_mediationNorm,diplomatic_meetingNorm,diplomatic_statementNorm,diplomatic_tiesNorm,foreign_aid_assistanceNorm,foreign_investmentNorm,intelligence_counterintelligenceNorm,joint_security_force_exerciseNorm,media_campaign_interventionNorm,military_activityNorm,political_process_policy_interventionNorm,security_engagementNorm,social_academic_cultural_activityNorm,tech_transfer_investmentNorm,trade_agreement_exchangeNorm,trade_financial_sanctionNorm,transnational_organization_crimeNorm
India,Russia,2012-01-01,2012,1,15011,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.8761454503005895,0.0001167337885951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.836689429755443e-05,0.0,0.0
India,Russia,2012-02-01,2012,2,16046,1,0,0,0,0,1,3,0,0,0,0,3,0,1,0,0,1,0,0,3,0,0.7826935271450173,4.877810838495683e-05,0.0,0.0,0.0,0.0,4.877810838495683e-05,0.0001463343251548,0.0,0.0,0.0,0.0,0.0001463343251548,0.0,4.877810838495683e-05,0.0,0.0,4.877810838495683e-05,0.0,0.0,0.0001463343251548,0.0
India,Russia,2012-03-01,2012,3,19075,2,0,0,1,0,2,1,0,0,6,0,0,0,1,0,0,0,0,3,0,0,0.7948579048254021,8.33402783565297e-05,0.0,0.0,4.167013917826485e-05,0.0,8.33402783565297e-05,4.167013917826485e-05,0.0,0.0,0.0002500208350695,0.0,0.0,0.0,4.167013917826485e-05,0.0,0.0,0.0,0.0,0.0001250104175347,0.0,0.0
India,Russia,2012-04-01,2012,4,19501,1,0,0,1,0,0,0,0,0,1,0,2,0,1,0,1,1,0,1,0,0,0.8045630827626041,4.12575294991336e-05,0.0,0.0,4.12575294991336e-05,0.0,0.0,0.0,0.0,0.0,4.12575294991336e-05,0.0,8.251505899826719e-05,0.0,4.12575294991336e-05,0.0,4.12575294991336e-05,4.12575294991336e-05,0.0,4.12575294991336e-05,0.0,0.0
India,Russia,2012-05-01,2012,5,31796,2,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0.8694558381186765,5.468963631391851e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7344818156959256e-05,0.0,2.7344818156959256e-05,0.0,2.7344818156959256e-05,0.0,0.0,0.0,0.0,2.7344818156959256e-05,0.0,0.0
India,Russia,2012-06-01,2012,6,31165,1,0,0,0,0,0,0,0,1,2,0,0,0,2,0,0,0,0,1,0,0,0.8665851013541696,2.7806356533103467e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7806356533103467e-05,5.561271306620693e-05,0.0,0.0,0.0,5.561271306620693e-05,0.0,0.0,0.0,0.0,2.7806356533103467e-05,0.0,0.0
India,Russia,2012-07-01,2012,7,35956,2,0,0,0,1,0,0,0,0,5,0,0,0,1,1,0,1,0,1,1,0,0.8781750683860883,4.8847205939820246e-05,0.0,0.0,0.0,2.4423602969910123e-05,0.0,0.0,0.0,0.0,0.0001221180148495,0.0,0.0,0.0,2.4423602969910123e-05,2.4423602969910123e-05,0.0,2.4423602969910123e-05,0.0,2.4423602969910123e-05,2.4423602969910123e-05,0.0
India,Russia,2012-08-01,2012,8,43427,1,0,0,0,0,0,0,0,0,1,0,5,0,2,0,0,0,0,0,2,0,0.8948116706502925,2.0604961674771284e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0604961674771284e-05,0.0,0.0001030248083738,0.0,4.120992334954257e-05,0.0,0.0,0.0,0.0,0.0,4.120992334954257e-05,0.0
India,Russia,2012-09-01,2012,9,37408,3,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,2,0,0,0.8857528472995051,7.10344990883906e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.471266545118746e-05,0.0,2.3678166362796863e-05,0.0,0.0,0.0,0.0,0.0,0.0,4.735633272559373e-05,0.0,0.0
India,Russia,2012-10-01,2012,10,50340,6,0,0,0,3,2,1,0,0,6,0,2,0,0,0,2,1,0,0,0,0,0.9169064879239373,0.0001092856362245,0.0,0.0,0.0,5.464281811227277e-05,3.642854540818185e-05,1.821427270409093e-05,0.0,0.0,0.0001092856362245,0.0,3.642854540818185e-05,0.0,0.0,0.0,3.642854540818185e-05,1.821427270409093e-05,0.0,0.0,0.0,0.0
