country,influencer,date,year,month,-999,arms_transfer_security_aid_assistance,bribery_economic_corruption,cyber_attack,diplomatic_action,diplomatic_mediation,diplomatic_meeting,diplomatic_statement,diplomatic_ties,foreign_aid_assistance,foreign_investment,intelligence_counterintelligence,joint_security_force_exercise,media_campaign_intervention,military_activity,political_process_policy_intervention,security_engagement,social_academic_cultural_activity,tech_transfer_investment,trade_agreement_exchange,trade_financial_sanction,transnational_organization_crime,-999Norm,arms_transfer_security_aid_assistanceNorm,bribery_economic_corruptionNorm,cyber_attackNorm,diplomatic_actionNorm,diplomatic_mediationNorm,diplomatic_meetingNorm,diplomatic_statementNorm,diplomatic_tiesNorm,foreign_aid_assistanceNorm,foreign_investmentNorm,intelligence_counterintelligenceNorm,joint_security_force_exerciseNorm,media_campaign_interventionNorm,military_activityNorm,political_process_policy_interventionNorm,security_engagementNorm,social_academic_cultural_activityNorm,tech_transfer_investmentNorm,trade_agreement_exchangeNorm,trade_financial_sanctionNorm,transnational_organization_crimeNorm
Indonesia,China,2012-01-01,2012,1,3192,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.9996868149076104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003131850923896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indonesia,China,2012-02-01,2012,2,3828,1,0,0,0,0,0,2,0,0,3,0,1,0,0,0,0,0,1,1,0,0,0.9976544175136826,0.0002606202762574,0.0,0.0,0.0,0.0,0.0,0.0005212405525149,0.0,0.0,0.0007818608287724,0.0,0.0002606202762574,0.0,0.0,0.0,0.0,0.0,0.0002606202762574,0.0002606202762574,0.0,0.0
Indonesia,China,2012-03-01,2012,3,4257,0,0,0,0,1,1,0,0,0,6,0,2,0,0,0,0,0,0,2,0,0,0.9971890372452564,0.0,0.0,0.0,0.0,0.0002342468962286,0.0002342468962286,0.0,0.0,0.0,0.0014054813773717,0.0,0.0004684937924572,0.0,0.0,0.0,0.0,0.0,0.0,0.0004684937924572,0.0,0.0
Indonesia,China,2012-04-01,2012,4,4208,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,2,1,0,0.9973927470964684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001659160938611,0.0,0.0,0.0,0.0002370229912301,0.0,0.0,0.0,0.0,0.0004740459824602,0.0002370229912301,0.0
Indonesia,China,2012-05-01,2012,5,3877,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,3,0,0.9981977342945416,0.0,0.0,0.0,0.0,0.0,0.0,0.0002574665293511,0.0,0.0,0.0005149330587023,0.0,0.0002574665293511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007723995880535,0.0
Indonesia,China,2012-06-01,2012,6,3366,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0.998813056379822,0.0002967359050445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000593471810089,0.0,0.0,0.0,0.0002967359050445,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indonesia,China,2012-07-01,2012,7,3704,0,0,0,0,2,0,5,0,0,4,0,1,0,0,0,0,0,0,1,0,1,0.9962345346960731,0.0,0.0,0.0,0.0,0.0005379236148466,0.0,0.0013448090371167,0.0,0.0,0.0010758472296933,0.0,0.0002689618074233,0.0,0.0,0.0,0.0,0.0,0.0,0.0002689618074233,0.0,0.0002689618074233
Indonesia,China,2012-08-01,2012,8,4108,0,0,0,1,1,0,1,0,0,6,0,4,0,1,0,1,0,0,1,0,0,0.9961202715809894,0.0,0.0,0.0,0.0002424830261881,0.0002424830261881,0.0,0.0002424830261881,0.0,0.0,0.001454898157129,0.0,0.0009699321047526,0.0,0.0002424830261881,0.0,0.0002424830261881,0.0,0.0,0.0002424830261881,0.0,0.0
Indonesia,China,2012-09-01,2012,9,4372,0,0,0,0,0,2,7,1,0,5,0,1,0,0,0,0,0,0,0,2,0,0.9958997722095672,0.0,0.0,0.0,0.0,0.0,0.0004555808656036,0.0015945330296127,0.0002277904328018,0.0,0.0011389521640091,0.0,0.0002277904328018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004555808656036,0.0
Indonesia,China,2012-10-01,2012,10,5917,0,0,0,1,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0.9984812689841376,0.0,0.0,0.0,0.0001687478906513,0.0,0.0,0.0,0.0,0.0,0.0010124873439082,0.0,0.0,0.0,0.0003374957813027,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indonesia,China,2012-11-01,2012,11,5583,0,0,0,0,0,0,3,0,0,6,0,0,0,2,0,0,1,0,2,0,0,0.9974986599964266,0.0,0.0,0.0,0.0,0.0,0.0,0.0005360014293371,0.0,0.0,0.0010720028586742,0.0,0.0,0.0,0.0003573342862247,0.0,0.0,0.0001786671431123,0.0,0.0003573342862247,0.0,0.0
Indonesia,China,2012-12-01,2012,12,5236,0,0,0,0,0,1,2,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0.9986648865153538,0.0,0.0,0.0,0.0,0.0,0.0001907304978065,0.0003814609956131,0.0,0.0,0.0003814609956131,0.0,0.0,0.0,0.0,0.0,0.0001907304978065,0.0001907304978065,0.0,0.0,0.0,0.0
Indonesia,China,2013-01-01,2013,1,5947,0,0,0,0,0,1,1,0,0,4,0,5,0,0,0,0,1,2,1,0,1,0.9973167868522556,0.0,0.0,0.0,0.0,0.0,0.000167700821734,0.000167700821734,0.0,0.0,0.0006708032869361,0.0,0.0008385041086701,0.0,0.0,0.0,0.0,0.000167700821734,0.000335401643468,0.000167700821734,0.0,0.000167700821734
